0.0
120.0
Note,Start,End,Volume
43,28.0,29.411458333333332,75
50,29.5,29.78125,71
48,29.997395833333332,31.822916666666668,75
43,32.002604166666664,33.348958333333336,75
50,33.4921875,33.731770833333336,75
48,33.984375,35.729166666666664,75
43,35.986979166666664,36.1328125,127
46,37.736979166666664,37.958333333333336,109
48,37.986979166666664,38.0625,123
48,38.236979166666664,38.317708333333336,109
48,38.627604166666664,38.708333333333336,109
48,38.986979166666664,39.091145833333336,112
41,39.736979166666664,39.958333333333336,117
43,39.986979166666664,40.1328125,127
46,41.736979166666664,41.958333333333336,109
48,41.986979166666664,42.0625,123
48,42.236979166666664,42.317708333333336,109
48,42.627604166666664,42.708333333333336,109
48,42.986979166666664,43.091145833333336,112
41,43.736979166666664,43.958333333333336,117
43,43.986979166666664,44.1328125,127
46,45.736979166666664,45.958333333333336,109
48,45.986979166666664,46.0625,123
48,46.236979166666664,46.317708333333336,109
48,46.627604166666664,46.708333333333336,109
48,46.986979166666664,47.091145833333336,112
41,47.736979166666664,47.958333333333336,117
43,47.986979166666664,48.1328125,127
46,49.736979166666664,49.958333333333336,109
48,49.986979166666664,50.0625,123
48,50.236979166666664,50.317708333333336,109
48,50.627604166666664,50.708333333333336,109
48,50.986979166666664,51.091145833333336,112
41,51.736979166666664,51.958333333333336,117
43,51.986979166666664,52.1328125,127
46,53.736979166666664,53.958333333333336,109
48,53.986979166666664,54.1328125,123
41,55.736979166666664,55.958333333333336,117
43,55.986979166666664,56.1328125,127
46,57.736979166666664,57.958333333333336,109
48,57.986979166666664,58.1328125,123
41,59.736979166666664,59.958333333333336,117
43,59.986979166666664,60.1328125,127
46,61.736979166666664,61.958333333333336,109
48,61.986979166666664,62.1328125,123
41,63.736979166666664,63.958333333333336,117
43,63.986979166666664,64.1328125,127
46,65.73697916666667,65.95833333333333,109
48,65.98697916666667,66.1328125,123
50,67.73697916666667,67.95833333333333,109
55,67.98697916666667,68.1015625,114
55,68.34635416666667,68.47916666666667,101
50,68.71614583333333,68.8671875,101
55,68.98697916666667,69.20572916666667,101
50,69.48697916666667,69.7109375,109
48,69.98697916666667,70.0625,123
48,70.34895833333333,70.48697916666667,110
43,70.73697916666667,70.890625,97
48,70.98697916666667,71.09114583333333,123
50,71.73697916666667,71.95833333333333,100
55,71.98697916666667,72.1015625,114
55,72.34375,72.4765625,101
50,72.71614583333333,72.8671875,101
55,72.98697916666667,73.20572916666667,101
50,73.48697916666667,73.7109375,109
48,73.98697916666667,74.0625,123
48,74.34895833333333,74.48697916666667,110
43,74.73697916666667,74.86979166666667,97
48,74.98697916666667,75.09114583333333,123
50,75.48697916666667,75.70833333333333,100
55,75.98697916666667,77.28125,110
50,77.49479166666667,77.796875,110
48,77.98697916666667,79.25260416666667,110
50,79.48697916666667,79.75520833333333,110
55,79.98697916666667,81.29166666666667,110
50,81.48697916666667,81.84114583333333,110
48,81.98697916666667,82.265625,110
51,82.3515625,82.49739583333333,101
55,82.70572916666667,82.8203125,110
60,82.98697916666667,83.1328125,110
55,83.98697916666667,84.1015625,123
55,84.36197916666667,84.46354166666667,101
50,84.7265625,84.8046875,119
55,84.99479166666667,85.11458333333333,119
50,85.48697916666667,85.6015625,109
51,85.98697916666667,86.0625,123
51,86.34895833333333,86.45833333333333,110
46,86.73697916666667,86.83854166666667,104
51,86.98958333333333,87.0859375,110
51,87.24479166666667,87.32291666666667,110
50,87.48697916666667,87.58854166666667,110
48,87.98697916666667,88.1015625,122
48,88.36197916666667,88.46354166666667,105
43,88.7265625,88.8046875,119
48,88.99479166666667,89.13541666666667,119
50,89.48697916666667,89.6015625,109
51,89.98697916666667,90.0625,123
51,90.34895833333333,90.45833333333333,110
46,90.73697916666667,90.83854166666667,97
51,90.98958333333333,91.0859375,110
51,91.24479166666667,91.32291666666667,110
53,91.48697916666667,91.58854166666667,110
53,91.7421875,91.859375,110
55,91.98697916666667,92.1015625,123
55,92.36197916666667,92.46354166666667,101
50,92.7265625,92.8046875,119
55,92.99479166666667,93.11458333333333,119
50,93.48697916666667,93.6015625,109
51,93.98697916666667,94.0625,123
51,94.34895833333333,94.45833333333333,110
46,94.73697916666667,94.83854166666667,104
51,94.98958333333333,95.0859375,110
51,95.24479166666667,95.32291666666667,110
50,95.48697916666667,95.58854166666667,110
48,95.98697916666667,96.1015625,122
48,96.36197916666667,96.46354166666667,105
43,96.7265625,96.8046875,119
48,96.99479166666667,97.13541666666667,119
50,97.48697916666667,97.6015625,109
51,97.98697916666667,98.0625,123
51,98.34895833333333,98.45833333333333,110
46,98.73697916666667,98.83854166666667,97
51,98.98958333333333,99.0859375,110
51,99.24479166666667,99.32291666666667,110
53,99.48697916666667,99.60677083333333,113
58,99.98697916666667,100.11458333333333,123
58,100.36197916666667,100.45572916666667,101
58,100.7265625,100.82291666666667,119
46,101.98697916666667,102.13020833333333,116
46,102.36197916666667,102.484375,110
46,102.734375,102.85416666666667,116
58,103.98697916666667,104.11458333333333,123
58,104.36197916666667,104.45572916666667,101
58,104.7265625,104.82291666666667,119
46,105.98697916666667,106.13020833333333,116
46,106.36197916666667,106.484375,110
46,106.734375,106.85416666666667,116
45,106.97395833333333,107.26041666666667,92
50,107.48697916666667,107.734375,110
42,107.75,108.00260416666667,83
43,107.98697916666667,108.1328125,127
46,109.73697916666667,109.95833333333333,109
48,109.98697916666667,110.1328125,123
41,111.73697916666667,111.95833333333333,117
43,111.98697916666667,112.1328125,127
46,113.73697916666667,113.95833333333333,109
48,113.98697916666667,114.1328125,123
41,115.73697916666667,115.95833333333333,117
43,115.98697916666667,116.1328125,127
46,117.73697916666667,117.95833333333333,109
48,117.98697916666667,118.1328125,123
41,119.73697916666667,119.95833333333333,117
43,119.98697916666667,120.1328125,127
46,121.73697916666667,121.95833333333333,109
48,121.98697916666667,122.1328125,123
41,123.73697916666667,123.95833333333333,117
43,123.98697916666667,124.1328125,127
46,125.73697916666667,125.95833333333333,109
48,125.98697916666667,126.1328125,123
41,127.73697916666667,127.95833333333333,117
43,127.98697916666667,128.1328125,127
46,129.73697916666666,129.95833333333334,109
48,129.98697916666666,130.1328125,123
50,131.73697916666666,131.95833333333334,109
55,131.98697916666666,132.1015625,114
55,132.34635416666666,132.47916666666666,101
50,132.71614583333334,132.8671875,101
55,132.98697916666666,133.20572916666666,101
50,133.48697916666666,133.7109375,109
51,133.98697916666666,134.0625,123
51,134.34895833333334,134.48697916666666,110
46,134.73697916666666,134.890625,97
51,134.98697916666666,135.09114583333334,123
53,135.48697916666666,135.64322916666666,100
55,135.98697916666666,136.1015625,114
55,136.34375,136.4765625,101
50,136.71614583333334,136.8671875,101
55,136.98697916666666,137.20572916666666,101
50,137.48697916666666,137.7109375,109
51,137.98697916666666,138.0625,123
51,138.34895833333334,138.48697916666666,110
46,138.73697916666666,138.86979166666666,97
51,138.98697916666666,139.09114583333334,123
51,139.23697916666666,139.34635416666666,83
53,139.48697916666666,139.70833333333334,100
55,139.98697916666666,141.28125,110
50,141.49479166666666,141.796875,110
48,141.98697916666666,143.25260416666666,110
50,143.48697916666666,143.75520833333334,110
55,143.98697916666666,145.29166666666666,110
50,145.48697916666666,145.84114583333334,110
48,145.98697916666666,146.265625,110
51,146.3515625,146.49739583333334,101
55,146.70572916666666,146.8203125,110
60,146.98697916666666,147.1328125,110
55,147.98697916666666,148.1015625,123
55,148.36197916666666,148.46354166666666,101
50,148.7265625,148.8046875,119
55,148.99479166666666,149.11458333333334,119
53,149.48697916666666,149.6015625,109
51,149.98697916666666,150.0625,123
51,150.34895833333334,150.45833333333334,110
46,150.73697916666666,150.83854166666666,104
51,150.98958333333334,151.0859375,110
51,151.24479166666666,151.32291666666666,110
50,151.48697916666666,151.58854166666666,110
48,151.98697916666666,152.1015625,122
48,152.36197916666666,152.46354166666666,105
43,152.7265625,152.8046875,119
48,152.99479166666666,153.13541666666666,119
50,153.48697916666666,153.6015625,109
51,153.98697916666666,154.0625,123
51,154.34895833333334,154.45833333333334,110
46,154.73697916666666,154.83854166666666,97
51,154.98958333333334,155.0859375,110
51,155.24479166666666,155.32291666666666,110
53,155.48697916666666,155.58854166666666,110
55,155.98697916666666,156.1015625,123
55,156.36197916666666,156.46354166666666,101
50,156.7265625,156.8046875,119
55,156.99479166666666,157.11458333333334,119
53,157.48697916666666,157.6015625,109
51,157.98697916666666,158.0625,123
51,158.34895833333334,158.45833333333334,110
46,158.73697916666666,158.83854166666666,104
51,158.98958333333334,159.0859375,110
51,159.24479166666666,159.32291666666666,110
50,159.48697916666666,159.58854166666666,110
48,159.98697916666666,160.1015625,122
48,160.36197916666666,160.46354166666666,105
43,160.7265625,160.8046875,119
48,160.99479166666666,161.13541666666666,119
50,161.48697916666666,161.6015625,109
51,161.98697916666666,162.0625,123
51,162.34895833333334,162.45833333333334,110
46,162.73697916666666,162.83854166666666,97
51,162.98958333333334,163.0859375,110
51,163.24479166666666,163.32291666666666,110
53,163.48697916666666,163.71875,113
58,163.98697916666666,164.11458333333334,123
58,164.3515625,164.4453125,101
58,164.7265625,164.82291666666666,119
46,165.98697916666666,166.13020833333334,116
46,166.3515625,166.47395833333334,110
46,166.734375,166.85416666666666,116
58,167.98697916666666,168.11458333333334,123
58,168.3515625,168.4453125,101
58,168.7265625,168.82291666666666,119
46,169.98697916666666,170.13020833333334,116
46,170.3515625,170.47395833333334,110
46,170.734375,170.85416666666666,116
45,170.97395833333334,171.26041666666666,92
50,171.48697916666666,171.734375,110
42,171.75,172.00260416666666,83
43,171.98697916666666,172.1328125,127
46,173.73697916666666,173.95833333333334,109
48,173.98697916666666,174.1328125,123
41,175.73697916666666,175.95833333333334,117
43,175.98697916666666,176.1328125,127
46,177.73697916666666,177.95833333333334,109
48,177.98697916666666,178.08854166666666,123
55,178.23697916666666,178.31510416666666,92
51,178.48697916666666,178.56770833333334,92
50,178.73697916666666,178.8359375,92
48,178.98697916666666,179.10416666666666,92
44,179.98697916666666,180.1328125,127
47,181.73697916666666,181.95833333333334,109
49,181.98697916666666,182.1328125,123
42,183.73697916666666,183.95833333333334,117
44,183.98697916666666,184.1328125,127
47,185.73697916666666,185.95833333333334,109
