0.0
120.0
Note,Start,End,Volume
57,27.75,28.0,90
62,28.0,28.25,90
64,28.25,28.75,90
64,28.75,29.0,90
62,29.0,29.25,90
57,29.25,29.5,90
59,29.75,30.0,90
62,30.0,30.25,90
64,30.25,30.75,90
64,30.75,31.0,90
62,31.0,31.25,90
57,31.25,31.75,90
57,31.75,32.0,90
59,32.0,32.25,90
62,32.25,32.75,90
59,32.75,33.0,90
57,33.0,33.75,90
57,33.75,34.0,90
59,34.0,34.25,90
62,34.25,34.75,90
59,34.75,35.0,90
62,35.0,35.25,90
57,35.25,35.5,90
57,35.75,36.0,90
62,36.0,36.25,90
64,36.25,36.75,90
64,36.75,37.0,90
62,37.0,37.25,90
57,37.25,37.5,90
59,37.75,38.0,90
62,38.0,38.25,90
64,38.25,38.75,90
64,38.75,39.0,90
62,39.0,39.25,90
57,39.25,39.75,90
57,39.75,40.0,90
59,40.0,40.25,90
62,40.25,40.75,90
59,40.75,41.0,90
57,41.0,41.75,90
57,41.75,42.0,90
59,42.0,42.25,90
62,42.25,42.75,90
59,42.75,43.0,90
62,43.0,43.25,90
57,43.25,43.5,90
61,59.5,60.0,90
54,60.0,60.25,73
64,60.25,60.75,90
54,60.75,61.0,60
64,61.0,61.25,90
54,61.25,61.5,70
62,61.5,62.0,90
59,62.0,62.25,60
64,62.25,62.75,90
62,62.75,63.25,90
61,63.25,64.0,90
54,64.0,64.25,50
64,64.25,64.75,90
54,64.75,65.0,50
61,65.0,65.25,90
54,65.25,65.5,50
62,65.5,66.0,90
54,66.0,66.25,50
62,66.25,66.75,90
54,66.75,67.0,50
59,67.0,67.25,90
54,67.25,67.5,50
57,67.5,68.0,90
55,68.0,68.75,90
50,68.75,69.0,40
55,69.0,69.25,90
50,69.25,69.5,40
54,69.5,70.125,90
59,70.25,70.625,90
59,70.75,71.5,90
62,71.5,72.25,90
54,72.25,72.75,40
55,72.75,73.0,55
62,73.0,73.5,90
62,73.5,74.0,90
57,74.0,74.25,40
62,74.25,74.75,90
57,74.75,75.0,40
62,75.0,75.25,90
57,75.25,75.5,40
61,75.5,76.5,90
57,77.75,78.0,90
62,78.0,78.25,90
64,78.25,78.75,90
64,78.75,79.0,90
62,79.0,79.25,90
57,79.25,79.5,90
59,79.75,80.0,90
62,80.0,80.25,90
64,80.25,80.75,90
64,80.75,81.0,90
62,81.0,81.25,90
57,81.25,81.75,90
57,81.75,82.0,90
59,82.0,82.25,90
62,82.25,82.75,90
59,82.75,83.0,90
57,83.0,83.75,90
57,83.75,84.0,90
59,84.0,84.25,90
62,84.25,84.75,90
59,84.75,85.0,90
62,85.0,85.25,90
57,85.25,85.5,90
57,85.75,86.0,90
62,86.0,86.25,90
64,86.25,86.75,90
64,86.75,87.0,90
62,87.0,87.25,90
57,87.25,87.5,90
59,87.75,88.0,90
62,88.0,88.25,90
64,88.25,88.75,90
64,88.75,89.0,90
62,89.0,89.25,90
57,89.25,89.75,90
57,89.75,90.0,90
59,90.0,90.25,90
62,90.25,90.75,90
59,90.75,91.0,90
57,91.0,91.75,90
57,91.75,92.0,90
59,92.0,92.25,90
62,92.25,92.75,90
59,92.75,93.0,90
62,93.0,93.25,90
57,93.25,93.5,90
57,93.75,94.0,90
62,94.0,94.25,90
64,94.25,94.75,90
64,94.75,95.0,90
62,95.0,95.25,90
57,95.25,95.5,90
61,113.52083333333333,114.02083333333333,90
54,114.02083333333333,114.27083333333333,73
64,114.27083333333333,114.77083333333333,90
54,114.77083333333333,115.02083333333333,60
64,115.02083333333333,115.27083333333333,90
54,115.27083333333333,115.52083333333333,70
62,115.52083333333333,116.02083333333333,90
59,116.02083333333333,116.27083333333333,60
64,116.27083333333333,116.77083333333333,90
62,116.77083333333333,117.27083333333333,90
61,117.27083333333333,118.02083333333333,90
54,118.02083333333333,118.27083333333333,50
64,118.27083333333333,118.77083333333333,90
54,118.77083333333333,119.02083333333333,50
61,119.02083333333333,119.27083333333333,90
54,119.27083333333333,119.52083333333333,50
62,119.52083333333333,120.02083333333333,90
54,120.02083333333333,120.27083333333333,50
62,120.27083333333333,120.77083333333333,90
54,120.77083333333333,121.02083333333333,50
59,121.02083333333333,121.27083333333333,90
54,121.27083333333333,121.52083333333333,50
57,121.52083333333333,122.02083333333333,90
55,122.02083333333333,122.77083333333333,90
50,122.77083333333333,123.02083333333333,40
55,123.02083333333333,123.27083333333333,90
50,123.27083333333333,123.52083333333333,40
54,123.52083333333333,124.14583333333333,90
59,124.27083333333333,124.64583333333333,90
59,124.77083333333333,125.52083333333333,90
62,125.52083333333333,126.27083333333333,90
54,126.27083333333333,126.77083333333333,40
55,126.77083333333333,127.02083333333333,55
62,127.02083333333333,127.52083333333333,90
62,127.52083333333333,128.02083333333334,90
57,128.02083333333334,128.27083333333334,40
62,128.27083333333334,128.77083333333334,90
57,128.77083333333334,129.02083333333334,40
62,129.02083333333334,129.27083333333334,90
57,129.27083333333334,129.52083333333334,40
61,129.52083333333334,130.52083333333334,90
57,131.75,132.0,90
62,132.0,132.25,90
64,132.25,132.75,90
64,132.75,133.0,90
62,133.0,133.25,90
57,133.25,133.5,90
59,133.75,134.0,90
