0.0
120.0
Note,Start,End,Volume
59,63.25,63.5,80
71,63.5,63.75,80
66,63.75,64.0,80
64,64.0,64.25,80
63,64.25,64.5,80
64,64.5,65.0,80
64,65.0,65.5,80
59,65.5,66.0,80
59,67.25,67.5,80
62,67.5,68.0,80
61,68.0,68.25,80
59,68.25,68.5,80
59,68.5,68.75,80
59,68.75,69.0,80
59,69.0,69.5,80
59,71.25,71.5,80
71,71.5,71.75,80
66,71.75,72.0,80
64,72.0,72.25,80
63,72.25,72.5,80
64,72.5,72.75,80
64,72.75,73.0,80
66,73.0,73.5,80
62,75.0,75.25,80
62,75.25,75.5,80
61,75.5,75.75,80
62,75.75,76.0,80
61,76.0,76.25,80
59,76.25,76.5,80
59,76.5,76.75,80
57,76.75,77.0,80
59,77.0,77.5,80
63,79.5,79.75,80
63,79.75,80.0,80
64,80.0,80.25,80
64,80.25,80.5,80
66,80.5,81.0,80
66,81.0,81.5,80
62,83.25,83.5,80
64,83.5,83.75,80
62,83.75,84.0,80
64,84.0,84.5,80
64,84.5,84.75,80
62,84.75,85.0,80
64,85.0,85.5,80
62,87.5,87.75,80
62,87.75,88.25,80
59,88.25,88.5,80
62,88.5,88.75,80
59,88.75,89.0,80
62,89.0,89.25,80
59,89.25,89.5,80
63,91.5,91.75,80
63,91.75,92.0,80
63,92.0,92.25,80
59,92.25,92.5,80
59,92.5,92.75,80
57,92.75,93.0,80
59,93.0,93.5,80
71,95.5,95.75,80
66,95.75,96.0,80
64,96.0,96.25,80
62,96.25,96.5,80
64,96.5,96.75,80
62,96.75,97.0,80
66,97.0,97.5,80
71,99.5,99.625,80
71,99.625,99.75,80
66,99.75,100.0,80
64,100.0,100.25,80
62,100.25,100.5,80
64,100.5,100.75,80
64,100.75,101.0,80
66,101.0,101.5,80
71,103.5,103.75,80
66,103.75,104.0,80
64,104.0,104.25,80
63,104.25,104.5,80
64,104.5,104.625,80
64,104.625,105.0,80
66,105.0,105.5,80
57,107.5,107.75,80
59,107.75,108.0,80
59,108.0,108.25,80
59,108.25,108.5,80
62,108.5,108.75,80
57,108.75,109.0,80
59,109.0,109.5,80
69,111.25,111.5,80
69,111.5,111.75,80
69,111.75,112.0,80
69,112.0,112.25,80
66,112.25,112.5,80
69,112.5,113.0,80
71,113.0,114.0,80
69,115.25,115.5,80
69,115.5,115.75,80
69,115.75,116.0,80
69,116.0,116.25,80
69,116.25,116.5,80
71,116.5,117.0,80
66,117.0,117.25,80
64,117.25,118.0,80
63,119.25,119.5,80
63,119.5,119.75,80
63,119.75,120.0,80
63,120.0,120.25,80
59,120.25,120.5,80
62,120.5,120.75,80
59,120.75,121.0,80
62,121.0,121.5,80
71,123.0,123.25,80
66,123.25,123.5,80
64,123.5,123.75,80
64,123.75,124.0,80
62,124.0,124.25,80
59,124.25,124.5,80
59,124.5,124.75,80
57,124.75,125.0,80
59,125.0,125.5,80
69,129.75,130.0,80
69,130.0,130.25,80
69,130.25,130.5,80
68,130.75,131.0,80
69,131.0,131.5,80
69,131.5,132.0,80
64,132.0,132.5,80
64,133.75,134.0,80
64,134.0,134.25,80
67,134.25,134.5,80
66,134.83333333333334,135.16666666666666,80
64,135.16666666666666,135.5,80
64,135.5,136.0,80
64,138.5,139.0,80
64,139.0,139.25,80
66,139.25,139.5,80
64,139.5,139.75,80
59,139.75,140.0,80
59,235.25,235.5,80
71,235.5,235.75,80
66,235.75,236.0,80
64,236.0,236.25,80
63,236.25,236.5,80
64,236.5,237.0,80
