0.0
120.0
Note,Start,End,Volume
64,25.0,25.356770833333332,110
67,25.25,25.7265625,109
69,25.75,26.3515625,109
69,26.5,26.856770833333332,110
69,27.0,27.234375,111
69,27.25,27.484375,107
71,27.75,27.984375,111
67,28.25,28.484375,117
64,29.0,29.234375,117
62,29.25,29.606770833333332,111
64,30.5,30.734375,109
64,30.75,30.864583333333332,107
64,31.0,31.234375,102
64,31.25,31.484375,101
67,31.75,32.106770833333336,117
69,34.25,34.364583333333336,114
69,34.75,34.984375,111
69,35.0,35.234375,103
67,35.25,35.606770833333336,105
71,35.75,35.984375,111
67,36.25,36.484375,117
64,36.75,36.984375,111
64,38.5,38.614583333333336,110
64,38.75,38.984375,99
67,39.0,39.234375,114
64,39.25,39.364583333333336,106
64,39.5,39.614583333333336,102
64,39.75,40.106770833333336,110
69,42.0,42.234375,118
69,42.25,42.484375,103
69,42.75,43.106770833333336,113
69,43.25,43.606770833333336,110
71,43.75,43.984375,117
67,44.25,44.484375,114
64,44.75,44.984375,113
62,46.25,46.364583333333336,100
62,46.5,46.734375,101
62,46.75,46.864583333333336,98
62,47.0,47.234375,105
64,47.375,47.609375,103
67,47.75,47.984375,111
69,49.75,49.864583333333336,109
69,50.0,50.114583333333336,109
69,50.25,50.484375,109
71,50.75,51.106770833333336,105
64,51.75,51.864583333333336,105
67,52.0,52.234375,109
67,52.25,52.484375,109
67,52.75,52.984375,114
64,54.25,54.484375,117
64,54.625,54.859375,114
64,55.0,55.234375,117
64,55.375,55.489583333333336,114
64,55.75,55.984375,117
62,56.0,56.234375,114
64,59.25,59.364583333333336,107
64,59.5,59.856770833333336,106
69,60.0,60.6015625,113
67,60.5,60.856770833333336,120
64,61.0,61.234375,113
59,61.75,61.984375,113
62,62.0,62.114583333333336,113
64,62.25,62.484375,107
67,62.75,63.2265625,109
69,64.0,64.4765625,120
67,64.5,64.9765625,120
64,65.0,65.234375,112
71,65.75,65.84375,113
71,65.875,65.98958333333333,103
71,66.0,66.234375,96
69,66.25,66.60677083333333,110
71,66.75,66.984375,114
69,68.0,68.4765625,120
67,68.5,68.97395833333333,114
64,69.0,69.234375,114
59,69.5,69.61458333333333,110
59,69.75,69.984375,99
62,70.0,70.234375,109
64,70.25,70.484375,100
64,70.5,70.734375,107
67,70.75,71.10677083333333,109
69,72.0,72.6015625,120
67,72.5,72.85677083333333,120
64,73.0,73.234375,111
71,74.0,74.234375,120
69,74.25,74.484375,114
67,74.5,74.61458333333333,117
71,74.75,77.8984375,109
69,86.75,86.86458333333333,107
71,87.0,87.234375,118
64,87.25,87.60677083333333,109
71,88.0,88.234375,120
62,88.75,88.984375,110
64,89.0,89.234375,103
64,89.375,89.48958333333333,109
64,89.75,90.10677083333333,111
62,90.0,90.4765625,111
64,91.25,91.484375,113
64,91.625,91.859375,111
64,92.0,92.234375,113
64,92.375,92.609375,106
64,92.75,92.984375,114
62,93.0,93.35677083333333,105
69,95.25,95.484375,113
69,95.75,95.86458333333333,109
69,96.0,96.11458333333333,107
69,96.125,96.23958333333333,100
69,96.25,96.60677083333333,101
69,96.75,97.10677083333333,113
69,97.25,97.484375,117
67,97.5,97.734375,100
71,97.75,97.984375,116
