0.0
120.0
Note,Start,End,Volume
45,1.75,1.9052083333333334,100
48,2.0,2.1614583333333335,100
45,2.25,2.4052083333333334,100
50,2.5,2.6614583333333335,100
45,2.75,2.9052083333333334,100
48,3.0,3.1614583333333335,100
45,3.25,3.4052083333333334,100
45,5.75,5.905208333333333,100
48,6.0,6.161458333333333,100
45,6.25,6.405208333333333,100
50,6.5,6.661458333333333,100
45,6.75,6.905208333333333,100
48,7.0,7.161458333333333,100
45,7.25,7.405208333333333,100
45,9.75,9.905208333333333,100
48,10.0,10.161458333333334,100
45,10.25,10.405208333333333,100
50,10.5,10.661458333333334,100
45,10.75,10.905208333333333,100
48,11.0,11.161458333333334,100
45,11.25,11.405208333333333,100
45,13.75,13.905208333333333,100
48,14.0,14.161458333333334,100
45,14.25,14.405208333333333,100
50,14.5,14.661458333333334,100
45,14.75,14.905208333333333,100
48,15.0,15.161458333333334,100
45,15.25,15.405208333333333,100
45,17.75,17.905208333333334,100
48,18.0,18.161458333333332,100
45,18.25,18.405208333333334,100
50,18.5,18.661458333333332,100
45,18.75,18.905208333333334,100
48,19.0,19.161458333333332,100
45,19.25,19.405208333333334,100
45,21.75,21.905208333333334,100
48,22.0,22.161458333333332,100
45,22.25,22.405208333333334,100
50,22.5,22.661458333333332,100
45,22.75,22.905208333333334,100
48,23.0,23.161458333333332,100
45,23.25,23.405208333333334,100
45,25.75,25.905208333333334,100
48,26.0,26.161458333333332,100
45,26.25,26.405208333333334,100
50,26.5,26.661458333333332,100
45,26.75,26.905208333333334,100
48,27.0,27.161458333333332,100
45,27.25,27.405208333333334,100
45,29.75,29.905208333333334,100
48,30.0,30.161458333333332,100
45,30.25,30.405208333333334,100
50,30.5,30.661458333333332,100
45,30.75,30.905208333333334,100
48,31.0,31.161458333333332,100
45,31.25,31.405208333333334,100
45,33.75,33.905208333333334,100
48,34.0,34.161458333333336,100
45,34.25,34.405208333333334,100
50,34.5,34.661458333333336,100
45,34.75,34.905208333333334,100
48,35.0,35.161458333333336,100
45,35.25,35.405208333333334,100
45,37.75,37.905208333333334,100
48,38.0,38.161458333333336,100
45,38.25,38.405208333333334,100
50,38.5,38.661458333333336,100
45,38.75,38.905208333333334,100
48,39.0,39.161458333333336,100
45,39.25,39.405208333333334,100
45,41.75,41.905208333333334,100
48,42.0,42.161458333333336,100
45,42.25,42.405208333333334,100
50,42.5,42.661458333333336,100
45,42.75,42.905208333333334,100
48,43.0,43.161458333333336,100
45,43.25,43.405208333333334,100
45,49.75,49.905208333333334,100
48,50.0,50.161458333333336,100
45,50.25,50.405208333333334,100
50,50.5,50.661458333333336,100
45,50.75,50.905208333333334,100
48,51.0,51.161458333333336,100
45,51.25,51.405208333333334,100
45,51.5,51.74270833333333,115
45,52.0,52.25,115
45,52.25,52.5,115
45,52.5,52.75,115
45,52.75,53.0,115
45,53.0,53.25,115
45,53.25,53.5,115
45,53.5,53.75,115
45,53.75,54.0,115
45,54.0,54.25,115
45,54.25,54.5,115
45,54.5,54.75,115
45,54.75,55.0,115
45,55.0,55.25,115
45,55.25,55.5,115
45,55.5,55.75,115
45,55.75,56.0,115
45,56.0,56.25,115
45,56.25,56.5,115
45,56.5,56.75,115
45,56.75,57.0,115
45,57.0,57.25,115
45,57.25,57.5,115
45,57.5,57.75,115
45,57.75,58.0,115
45,58.0,58.25,115
45,58.25,58.5,115
45,58.5,58.75,115
45,58.75,59.0,115
45,59.0,59.25,115
45,59.25,59.5,115
45,59.5,59.75,115
45,59.75,60.0,115
45,60.0,60.25,115
45,60.25,60.5,115
45,60.5,60.75,115
45,60.75,61.0,115
45,61.0,61.25,115
45,61.25,61.5,115
45,61.5,61.75,115
45,61.75,62.0,115
45,62.0,62.25,115
45,62.25,62.5,115
45,62.5,62.75,115
45,62.75,63.0,115
45,63.0,63.25,115
45,63.25,63.5,115
45,63.5,63.75,115
45,63.75,64.0,115
45,64.0,64.25,115
45,64.25,64.5,115
45,64.5,64.75,115
45,64.75,65.0,115
45,65.0,65.25,115
45,65.25,65.5,115
45,65.5,65.75,115
45,65.75,66.0,115
45,66.0,66.25,115
45,66.25,66.5,115
45,66.5,66.75,115
45,66.75,67.0,115
45,67.0,67.25,115
45,67.25,67.5,115
45,67.5,67.75,115
45,67.75,68.0,115
45,68.0,68.25,115
45,68.25,68.5,115
45,68.5,68.75,115
45,68.75,69.0,115
45,69.0,69.25,115
45,69.25,69.5,115
45,69.5,69.75,115
45,69.75,70.0,115
45,70.0,70.25,115
45,70.25,70.5,115
45,70.5,70.75,115
45,70.75,71.0,115
45,71.0,71.25,115
45,71.25,71.5,115
45,71.5,71.75,115
45,71.75,72.0,115
45,72.0,72.25,115
45,72.25,72.5,115
45,72.5,72.75,115
45,72.75,73.0,115
45,73.0,73.25,115
45,73.25,73.5,115
45,73.5,73.75,115
