0.0
120.0
Note,Start,End,Volume
40,0.0,0.25,127
40,0.25,0.5,127
40,0.5,0.75,127
50,0.75,1.25,127
49,1.25,1.5,127
40,1.5,2.0,127
40,2.0,2.25,127
40,2.25,2.5,127
40,2.5,2.75,127
50,2.75,3.25,127
49,3.25,3.5,127
40,3.5,4.0,127
40,4.0,4.25,127
40,4.25,4.5,127
40,4.5,4.75,127
50,4.75,5.25,127
49,5.25,5.5,127
40,5.5,6.0,127
40,6.0,6.25,127
40,6.25,6.5,127
40,6.5,6.75,127
50,6.75,7.25,127
49,7.25,7.5,127
40,7.5,8.0,127
40,8.0,8.25,127
40,8.25,8.5,127
40,8.5,8.75,127
50,8.75,9.25,127
49,9.25,9.5,127
40,9.5,10.0,127
40,10.0,10.25,127
40,10.25,10.5,127
40,10.5,10.75,127
50,10.75,11.25,127
49,11.25,11.5,127
40,11.5,12.0,127
40,12.0,12.25,127
40,12.25,12.5,127
40,12.5,12.75,127
50,12.75,13.25,127
49,13.25,13.5,127
40,13.5,14.0,127
40,14.0,14.25,127
40,14.25,14.5,127
40,14.5,14.75,127
50,14.75,15.25,127
49,15.25,15.5,127
40,15.5,16.0,127
40,16.0,16.25,127
40,16.25,16.5,127
40,16.5,16.75,127
50,16.75,17.25,127
49,17.25,17.5,127
40,17.5,18.0,127
40,18.0,18.25,127
40,18.25,18.5,127
40,18.5,18.75,127
50,18.75,19.25,127
49,19.25,19.5,127
40,19.5,20.0,127
40,20.0,20.25,127
40,20.25,20.5,127
40,20.5,20.75,127
50,20.75,21.25,127
49,21.25,21.5,127
40,21.5,22.0,127
40,24.0,24.25,127
40,24.25,24.5,127
40,24.5,24.75,127
50,24.75,25.25,127
49,25.25,25.5,127
40,25.5,26.0,127
40,26.0,26.25,127
40,26.25,26.5,127
40,26.5,26.75,127
50,26.75,27.25,127
49,27.25,27.5,127
40,27.5,28.0,127
40,28.0,28.25,127
40,28.25,28.5,127
40,28.5,28.75,127
50,28.75,29.25,127
49,29.25,29.5,127
40,29.5,30.0,127
40,30.0,30.25,127
40,30.25,30.5,127
40,30.5,30.75,127
50,30.75,31.25,127
49,31.25,31.5,127
40,31.5,32.0,127
40,32.0,32.25,127
40,32.25,32.5,127
40,32.5,32.75,127
50,32.75,33.25,127
49,33.25,33.5,127
40,33.5,34.0,127
40,34.0,34.25,127
40,34.25,34.5,127
40,34.5,34.75,127
50,34.75,35.25,127
49,35.25,35.5,127
40,35.5,36.0,127
40,36.0,36.25,127
40,36.25,36.5,127
40,36.5,36.75,127
50,36.75,37.25,127
49,37.25,37.5,127
40,37.5,38.0,127
40,38.0,38.25,127
40,38.25,38.5,127
40,38.5,38.75,127
50,38.75,39.25,127
49,39.25,39.5,127
40,39.5,40.0,127
40,40.0,40.25,127
40,40.25,40.5,127
40,40.5,40.75,127
50,40.75,41.25,127
49,41.25,41.5,127
40,41.5,42.0,127
40,42.0,42.25,127
40,42.25,42.5,127
40,42.5,42.75,127
