0.0
120.0
Note,Start,End,Volume
45,10.004166666666666,10.25,112
50,10.254166666666666,10.5,109
45,10.504166666666666,10.75,109
50,10.754166666666666,11.25,115
50,11.254166666666666,11.5,121
55,12.254166666666666,12.5,121
55,12.504166666666666,12.75,118
55,12.754166666666666,13.0,115
55,13.004166666666666,13.25,118
54,13.254166666666666,13.5,111
54,13.504166666666666,13.75,111
50,13.754166666666666,14.0,115
50,14.004166666666666,14.25,111
45,14.254166666666666,14.5,111
45,14.504166666666666,14.75,111
45,14.754166666666666,15.875,112
45,16.004166666666666,16.25,112
50,16.254166666666666,16.5,109
45,16.504166666666666,16.75,109
50,16.754166666666666,17.25,115
50,17.254166666666666,17.5,121
55,18.254166666666666,18.5,121
55,18.504166666666666,18.75,118
55,18.754166666666666,19.0,115
55,19.004166666666666,19.25,118
54,19.254166666666666,19.5,111
54,19.504166666666666,19.75,111
50,19.754166666666666,20.0,115
50,20.004166666666666,20.25,111
45,20.254166666666666,20.5,111
45,20.504166666666666,20.75,111
45,20.754166666666666,21.875,112
45,22.004166666666666,22.25,112
50,22.254166666666666,22.5,109
45,22.504166666666666,22.75,109
50,22.754166666666666,23.25,115
50,23.254166666666666,23.5,121
55,24.254166666666666,24.5,121
55,24.504166666666666,24.75,118
55,24.754166666666666,25.0,115
55,25.004166666666666,25.25,118
54,25.254166666666666,25.5,111
54,25.504166666666666,25.75,111
50,25.754166666666666,26.0,115
50,26.004166666666666,26.25,111
45,26.254166666666666,26.5,111
45,26.504166666666666,26.75,111
45,26.754166666666666,30.0,112
