0.0
120.0
Note,Start,End,Volume
40,13.5,13.745833333333334,100
40,13.75,13.995833333333334,100
40,14.0,14.245833333333334,70
40,14.25,14.495833333333334,100
40,14.5,14.745833333333334,100
40,14.75,14.995833333333334,70
40,15.0,15.245833333333334,100
40,15.25,15.495833333333334,70
40,15.5,15.745833333333334,70
40,15.75,15.995833333333334,100
40,16.0,16.245833333333334,70
40,16.25,16.495833333333334,70
40,16.5,16.745833333333334,100
40,16.75,16.995833333333334,70
40,17.0,17.245833333333334,100
40,17.25,17.495833333333334,70
40,17.5,17.745833333333334,100
40,17.5,17.745833333333334,100
40,17.75,17.995833333333334,100
40,17.75,17.995833333333334,100
40,18.0,18.245833333333334,60
40,18.0,18.245833333333334,70
40,18.25,18.495833333333334,100
40,18.25,18.495833333333334,100
40,18.5,18.745833333333334,100
40,18.5,18.745833333333334,100
40,18.75,18.995833333333334,60
40,18.75,18.995833333333334,70
40,19.0,19.245833333333334,100
40,19.0,19.245833333333334,100
40,19.25,19.495833333333334,60
40,19.25,19.495833333333334,70
40,19.5,19.745833333333334,60
40,19.5,19.745833333333334,70
40,19.75,19.995833333333334,100
40,19.75,19.995833333333334,100
40,20.0,20.245833333333334,60
40,20.0,20.245833333333334,70
40,20.25,20.495833333333334,60
40,20.25,20.495833333333334,70
40,20.5,20.745833333333334,100
40,20.5,20.745833333333334,100
40,20.75,20.995833333333334,60
40,20.75,20.995833333333334,70
40,21.0,21.245833333333334,100
40,21.0,21.245833333333334,100
40,21.25,21.495833333333334,60
40,21.25,21.495833333333334,70
40,21.5,21.745833333333334,100
40,21.75,21.995833333333334,70
40,22.0,22.245833333333334,100
40,22.25,22.495833333333334,100
40,22.5,22.745833333333334,70
40,22.75,22.995833333333334,70
40,23.0,23.245833333333334,100
40,23.25,23.495833333333334,70
48,23.5,23.745833333333334,100
48,23.75,23.995833333333334,70
48,24.0,24.245833333333334,100
48,24.25,24.495833333333334,100
48,24.5,24.745833333333334,70
48,24.75,24.995833333333334,70
48,25.0,25.245833333333334,100
48,25.25,25.495833333333334,70
45,25.5,25.745833333333334,100
45,25.75,25.995833333333334,70
45,26.0,26.245833333333334,100
45,26.25,26.495833333333334,100
45,26.5,26.745833333333334,70
45,26.75,26.995833333333334,70
45,27.0,27.245833333333334,100
45,27.25,27.495833333333334,70
45,27.5,27.745833333333334,70
45,27.75,27.995833333333334,100
45,28.0,28.245833333333334,70
45,28.25,28.495833333333334,70
45,28.5,28.745833333333334,100
45,28.75,28.995833333333334,70
45,29.0,29.245833333333334,100
45,29.25,29.495833333333334,70
40,29.5,29.745833333333334,100
40,29.75,29.995833333333334,70
40,30.0,30.245833333333334,100
40,30.25,30.495833333333334,100
40,30.5,30.745833333333334,70
40,30.75,30.995833333333334,70
40,31.0,31.245833333333334,100
40,31.25,31.495833333333334,70
48,31.5,31.745833333333334,100
48,31.75,31.995833333333334,70
48,32.0,32.24583333333333,100
48,32.25,32.49583333333333,100
48,32.5,32.74583333333333,70
48,32.75,32.99583333333333,70
48,33.0,33.24583333333333,100
48,33.25,33.49583333333333,70
45,33.5,33.74583333333333,100
45,33.75,33.99583333333333,70
45,34.0,34.24583333333333,100
45,34.25,34.49583333333333,100
45,34.5,34.74583333333333,70
45,34.75,34.99583333333333,70
45,35.0,35.24583333333333,100
45,35.25,35.49583333333333,70
45,35.5,35.74583333333333,70
45,35.75,35.99583333333333,100
45,36.0,36.24583333333333,70
45,36.25,36.49583333333333,70
45,36.5,36.74583333333333,100
45,36.75,36.99583333333333,70
45,37.0,37.24583333333333,100
45,37.25,37.49583333333333,70
48,37.5,37.74583333333333,100
55,37.5,37.74583333333333,100
48,38.75,38.99583333333333,100
55,38.75,38.99583333333333,100
55,39.25,39.49583333333333,100
48,39.25,39.49583333333333,100
45,41.5,41.74583333333333,100
52,41.5,41.74583333333333,100
45,42.75,42.99583333333333,100
52,42.75,42.99583333333333,100
52,43.25,43.49583333333333,100
45,43.25,43.49583333333333,100
55,45.5,45.74583333333333,100
48,45.5,45.74583333333333,100
55,46.0,46.24583333333333,100
48,46.0,46.24583333333333,100
55,46.75,46.99583333333333,100
48,46.75,46.99583333333333,100
55,47.25,47.49583333333333,100
48,47.25,47.49583333333333,100
48,48.25,48.49583333333333,100
55,48.5,48.74583333333333,100
48,48.5,48.74583333333333,100
55,49.0,49.24583333333333,100
48,49.0,49.24583333333333,100
50,49.5,49.87083333333333,100
57,49.5,49.87083333333333,100
50,50.0,50.49583333333333,100
57,50.0,50.49583333333333,100
57,50.75,51.12083333333333,100
50,50.75,51.12083333333333,100
57,51.25,51.99583333333333,100
50,51.25,51.99583333333333,100
50,52.25,52.49583333333333,100
50,52.5,52.87083333333333,100
57,52.5,52.87083333333333,100
57,53.0,53.49583333333333,100
50,53.0,53.49583333333333,100
40,54.0,54.24583333333333,100
47,54.0,54.24583333333333,100
40,54.25,54.99583333333333,100
47,54.25,54.99583333333333,100
40,55.0,55.24583333333333,100
43,55.25,55.99583333333333,100
50,55.25,55.99583333333333,100
43,56.0,56.49583333333333,100
50,56.0,56.49583333333333,100
43,56.5,56.99583333333333,100
50,56.5,56.99583333333333,100
50,57.0,57.49583333333333,100
43,57.0,57.49583333333333,100
45,57.5,57.99583333333333,100
52,57.5,57.99583333333333,100
52,58.0,58.49583333333333,100
45,58.0,58.49583333333333,100
52,58.5,58.99583333333333,100
45,58.5,58.99583333333333,100
45,59.0,59.24583333333333,100
52,59.0,59.24583333333333,100
48,59.25,59.74583333333333,100
47,59.75,59.99583333333333,100
45,60.0,60.24583333333333,100
50,60.25,60.74583333333333,100
57,60.25,60.74583333333333,100
57,60.75,60.99583333333333,100
50,60.75,60.99583333333333,100
50,61.0,61.49583333333333,100
57,61.0,61.49583333333333,100
47,61.5,61.99583333333333,100
40,61.5,61.99583333333333,100
47,62.0,62.49583333333333,100
40,62.0,62.49583333333333,100
47,62.5,62.99583333333333,100
40,62.5,62.99583333333333,100
40,63.0,63.24583333333333,100
43,63.25,63.99583333333333,100
50,63.25,63.99583333333333,100
43,64.0,64.49583333333334,100
50,64.0,64.49583333333334,100
43,64.5,64.99583333333334,100
50,64.5,64.99583333333334,100
50,65.0,65.49583333333334,100
43,65.0,65.49583333333334,100
45,65.5,65.99583333333334,100
52,65.5,65.99583333333334,100
52,66.0,66.49583333333334,100
45,66.0,66.49583333333334,100
52,66.5,66.99583333333334,100
45,66.5,66.99583333333334,100
45,67.0,67.24583333333334,100
52,67.0,67.24583333333334,100
48,67.25,67.74583333333334,100
47,67.75,67.99583333333334,100
45,68.0,68.24583333333334,100
50,68.25,68.74583333333334,100
57,68.25,68.74583333333334,100
57,68.75,68.99583333333334,100
50,68.75,68.99583333333334,100
50,69.0,69.49583333333334,100
57,69.0,69.49583333333334,100
47,69.5,69.99583333333334,100
40,69.5,69.99583333333334,100
47,70.0,70.49583333333334,100
40,70.0,70.49583333333334,100
47,70.5,70.99583333333334,100
40,70.5,70.99583333333334,100
40,71.0,71.24583333333334,100
43,71.25,71.99583333333334,100
50,71.25,71.99583333333334,100
43,72.0,72.49583333333334,100
50,72.0,72.49583333333334,100
43,72.5,72.99583333333334,100
50,72.5,72.99583333333334,100
50,73.0,73.49583333333334,100
43,73.0,73.49583333333334,100
45,73.5,73.99583333333334,100
52,73.5,73.99583333333334,100
52,74.0,74.49583333333334,100
45,74.0,74.49583333333334,100
52,74.5,74.99583333333334,100
45,74.5,74.99583333333334,100
45,75.0,75.24583333333334,100
52,75.0,75.24583333333334,100
48,75.25,75.74583333333334,100
55,75.25,75.74583333333334,100
48,75.75,75.99583333333334,100
55,75.75,75.99583333333334,100
55,76.0,76.24583333333334,100
48,76.0,76.24583333333334,100
57,76.25,76.74583333333334,100
50,76.25,76.74583333333334,100
57,76.75,76.99583333333334,100
50,76.75,76.99583333333334,100
57,77.0,77.49583333333334,100
50,77.0,77.49583333333334,100
40,78.0,78.24583333333334,100
47,78.0,78.24583333333334,100
40,78.25,78.99583333333334,100
47,78.25,78.99583333333334,100
40,79.0,79.24583333333334,100
43,79.25,79.99583333333334,100
50,79.25,79.99583333333334,100
45,81.5,81.74583333333334,100
52,81.5,81.74583333333334,100
57,81.5,81.74583333333334,100
45,81.75,81.99583333333334,100
45,82.0,82.24583333333334,100
45,82.25,82.49583333333334,100
45,82.5,82.74583333333334,100
