0.0
120.0
Note,Start,End,Volume
40,0.0,0.25,127
40,0.25,0.5,127
40,0.5,0.75,127
40,0.75,1.0,127
40,1.0,1.25,127
40,1.25,1.5,127
40,1.5,1.75,127
43,1.75,2.0,127
43,2.0,2.25,127
40,2.25,2.5,127
40,2.5,2.75,127
40,2.75,3.0,127
40,3.0,3.25,127
40,3.25,3.5,127
40,3.5,3.75,127
45,3.75,4.0,127
45,4.0,4.25,127
40,4.25,4.5,127
40,4.5,4.75,127
40,4.75,5.0,127
40,5.0,5.25,127
40,5.25,5.5,127
40,5.5,5.75,127
50,5.75,6.0,127
50,6.0,6.25,127
40,6.25,6.5,127
40,6.5,6.75,127
40,6.75,7.0,127
40,7.0,7.25,127
40,7.25,7.5,127
40,7.5,7.75,127
40,7.75,8.0,127
40,8.0,8.25,127
40,8.25,8.5,127
40,8.5,8.75,127
40,8.75,9.0,127
40,9.0,9.25,127
40,9.25,9.5,127
40,9.5,9.75,127
43,9.75,10.0,127
43,10.0,10.25,127
40,10.25,10.5,127
40,10.5,10.75,127
40,10.75,11.0,127
40,11.0,11.25,127
40,11.25,11.5,127
40,11.5,11.75,127
45,11.75,12.0,127
45,12.0,12.25,127
40,12.25,12.5,127
40,12.5,12.75,127
40,12.75,13.0,127
40,13.0,13.25,127
40,13.25,13.5,127
40,13.5,13.75,127
50,13.75,14.0,127
50,14.0,14.25,127
40,14.25,14.5,127
40,14.5,14.75,127
40,14.75,15.0,127
40,15.0,15.25,127
40,15.25,15.5,127
40,15.5,15.75,127
40,15.75,16.0,127
40,16.0,16.25,127
40,16.25,16.5,127
40,16.5,16.75,127
40,16.75,17.0,127
40,17.0,17.25,127
40,17.25,17.5,127
40,17.5,17.75,127
43,17.75,18.0,127
43,18.0,18.25,127
40,18.25,18.5,127
40,18.5,18.75,127
40,18.75,19.0,127
40,19.0,19.25,127
40,19.25,19.5,127
40,19.5,19.75,127
45,19.75,20.0,127
45,20.0,20.25,127
40,20.25,20.5,127
40,20.5,20.75,127
40,20.75,21.0,127
40,21.0,21.25,127
40,21.25,21.5,127
40,21.5,21.75,127
50,21.75,22.0,127
50,22.0,22.25,127
40,22.25,22.5,127
40,22.5,22.75,127
40,22.75,23.0,127
40,23.0,23.25,127
40,23.25,23.5,127
40,23.5,23.75,127
40,23.75,24.0,127
40,24.0,24.25,127
40,24.25,24.5,127
40,24.5,24.75,127
40,24.75,25.0,127
40,25.0,25.25,127
40,25.25,25.5,127
40,25.5,25.75,127
43,25.75,26.0,127
43,26.0,26.25,127
40,26.25,26.5,127
40,26.5,26.75,127
40,26.75,27.0,127
40,27.0,27.25,127
40,27.25,27.5,127
40,27.5,27.75,127
45,27.75,28.0,127
45,28.0,28.25,127
40,28.25,28.5,127
40,28.5,28.75,127
40,28.75,29.0,127
40,29.0,29.25,127
40,29.25,29.5,127
40,29.5,29.75,127
50,29.75,30.0,127
50,30.0,30.25,127
40,30.25,30.5,127
40,30.5,30.75,127
