0.0
120.0
Note,Start,End,Volume
47,29.5,29.916666666666668,115
47,30.0,31.0,115
45,31.25,31.5,72
47,31.5,31.625,98
47,32.0,33.125,115
43,33.5,35.125,109
41,35.25,35.5,86
43,35.5,35.625,86
50,35.75,35.875,68
55,36.0,36.875,92
54,37.0,37.25,80
50,37.25,37.375,66
52,37.5,39.25,70
50,39.208333333333336,39.333333333333336,64
52,39.5,39.75,76
50,39.75,39.875,64
47,40.0,41.0,76
45,41.208333333333336,41.47083333333333,68
47,41.5125,43.2625,78
45,43.291666666666664,43.525,72
47,43.5,43.75,86
40,43.75,44.083333333333336,74
41,44.25,44.708333333333336,104
45,44.75,45.25,109
46,45.25,45.5,58
47,45.5,45.916666666666664,115
47,45.958333333333336,46.958333333333336,115
45,47.208333333333336,47.458333333333336,72
47,47.458333333333336,47.583333333333336,98
47,47.958333333333336,49.083333333333336,115
43,49.458333333333336,51.083333333333336,109
41,51.208333333333336,51.458333333333336,86
43,51.458333333333336,51.583333333333336,86
50,51.708333333333336,51.833333333333336,68
55,51.958333333333336,52.833333333333336,92
54,52.958333333333336,53.208333333333336,80
50,53.208333333333336,53.333333333333336,66
52,53.458333333333336,55.208333333333336,70
50,55.166666666666664,55.291666666666664,64
52,55.458333333333336,55.708333333333336,76
50,55.708333333333336,55.833333333333336,64
47,55.958333333333336,56.541666666666664,76
47,56.775,56.983333333333334,78
50,57.016666666666666,57.291666666666664,52
52,57.275,57.604166666666664,82
54,57.512499999999996,60.637499999999996,81
47,61.50833333333333,61.699999999999996,115
47,62.00416666666666,63.30416666666667,104
45,63.275,63.425,72
47,63.416666666666664,63.68333333333333,96
47,63.9875,65.44166666666666,96
40,65.5,66.95416666666667,96
38,67.29166666666667,67.54166666666667,95
40,67.50416666666666,67.67083333333333,95
40,67.975,69.375,95
45,69.32083333333333,69.58333333333333,95
47,69.5,70.91666666666667,95
45,71.32916666666667,71.4875,94
47,71.44166666666666,71.7,94
47,71.975,73.44166666666666,93
40,73.5375,75.13333333333333,92
38,75.35,75.47083333333333,96
40,75.44583333333333,75.70833333333333,96
40,76.01666666666667,77.15416666666667,97
45,77.42916666666666,77.5375,99
47,77.50833333333333,79.2375,100
45,79.35833333333333,79.4625,100
47,79.475,79.64166666666667,100
47,79.96666666666667,81.41666666666667,100
40,81.50416666666666,83.30416666666666,98
38,83.30416666666666,83.45833333333333,95
40,83.46666666666667,83.67916666666666,95
40,84.01666666666667,85.45833333333333,96
55,85.5,89.5,96
47,89.5,90.5,86
49,90.5,91.5,86
50,91.5,92.5,86
52,92.5,93.5,104
50,93.5,97.5,98
48,97.5,101.0,86
48,101.0,101.5,74
47,101.5,103.0,80
47,103.0,104.5,76
47,104.5,108.0,78
47,108.0,108.5,68
47,108.0,108.5,72
47,108.5,109.0,74
47,109.0,109.5,76
50,109.5,112.0,56
50,112.5,113.5,64
48,113.5,115.0,78
48,115.0,116.5,47
48,116.5,117.0,72
48,117.0,117.5,80
47,117.5,119.0,78
47,119.0,121.0,72
47,121.0,121.5,54
54,121.5,123.5,68
54,123.5,124.0,60
54,124.0,124.5,64
54,124.5,125.0,64
54,124.5,125.0,72
54,125.0,125.5,74
47,125.50833333333333,125.7,115
47,126.00416666666666,127.30416666666666,104
45,127.27499999999999,127.425,72
47,127.41666666666667,127.68333333333334,96
47,127.9875,129.44166666666666,96
40,129.5,130.95416666666665,96
38,131.29166666666666,131.54166666666666,95
40,131.50416666666666,131.67083333333332,95
40,131.975,133.375,95
45,133.32083333333333,133.58333333333334,95
47,133.5,134.91666666666666,95
45,135.32916666666665,135.4875,94
47,135.44166666666666,135.7,94
47,135.975,137.44166666666666,93
40,137.5375,139.13333333333333,92
38,139.35,139.47083333333333,96
40,139.44583333333333,139.70833333333334,96
40,140.01666666666665,141.15416666666667,97
45,141.42916666666667,141.5375,99
47,141.50833333333333,143.2375,100
45,143.35833333333332,143.4625,100
47,143.475,143.64166666666665,100
47,143.96666666666667,145.41666666666666,100
40,145.50416666666666,147.30416666666667,98
38,147.30416666666667,147.45833333333334,95
40,147.46666666666667,147.67916666666667,95
40,148.01666666666665,149.45833333333334,96
55,149.5,153.5,96
47,153.5,154.5,86
49,154.5,155.5,86
50,155.5,156.5,86
52,156.5,157.5,113
50,157.5,161.5,119
48,161.5,165.0,104
48,165.0,165.5,109
47,165.5,167.0,110
47,167.0,168.5,111
47,168.5,172.0,111
47,172.0,172.5,68
47,172.0,172.5,72
47,172.5,173.0,108
47,173.0,173.5,108
50,173.5,176.0,107
50,176.5,177.5,114
48,177.5,179.0,114
48,179.0,180.5,110
48,180.5,181.0,111
48,181.0,181.5,111
47,181.5,183.0,112
47,183.0,185.0,114
47,185.0,185.5,112
54,185.5,187.5,112
54,187.5,188.0,109
54,188.0,188.5,109
54,188.5,189.0,109
54,188.5,189.0,109
54,189.0,189.5,109
47,189.5,189.91666666666666,108
47,190.0,191.0,93
45,191.25,191.5,111
47,191.5,191.625,111
47,192.0,193.125,111
43,193.5,195.125,112
41,195.25,195.5,115
43,195.5,195.625,115
50,195.75,195.875,116
55,196.0,196.875,92
54,197.0,197.25,80
50,197.25,197.375,66
52,197.5,199.25,70
50,199.20833333333334,199.33333333333334,64
52,199.5,199.75,76
50,199.75,199.875,64
47,200.0,201.0,76
45,201.20833333333334,201.47083333333333,68
47,201.5125,203.2625,78
45,203.29166666666666,203.525,72
47,203.5,203.75,86
40,203.75,204.08333333333334,74
41,204.25,204.70833333333334,104
45,204.75,205.25,109
46,205.25,205.5,58
47,205.5,205.91666666666666,115
47,206.0,207.0,115
45,207.25,207.5,72
47,207.5,207.625,98
47,208.0,209.125,115
43,209.5,211.125,109
41,211.25,211.5,86
43,211.5,211.625,86
50,211.75,211.875,68
55,212.0,212.875,92
54,213.0,213.25,80
50,213.25,213.375,66
52,213.5,215.25,70
50,215.20833333333334,215.33333333333334,64
52,215.5,215.75,76
50,215.75,215.875,64
47,216.0,217.0,76
45,217.20833333333334,217.47083333333333,68
47,217.5125,219.2625,78
45,219.29166666666666,219.525,72
47,219.5,219.75,86
40,219.75,220.08333333333334,74
41,220.25,220.70833333333334,104
45,220.75,221.25,109
46,221.25,221.5,58
47,221.5,221.91666666666666,115
47,222.0,223.0,115
45,223.25,223.5,72
47,223.5,223.625,98
47,224.0,225.125,115
43,225.5,227.125,109
41,227.25,227.5,86
43,227.5,227.625,86
50,227.75,227.875,68
55,228.0,228.875,92
54,229.0,229.25,80
50,229.25,229.375,66
52,229.5,231.25,70
50,231.20833333333334,231.33333333333334,64
52,231.5,231.75,76
50,231.75,231.875,64
47,232.0,233.0,76
45,233.20833333333334,233.47083333333333,68
47,233.5125,235.2625,78
45,235.29166666666666,235.525,72
47,235.5,235.75,86
40,235.75,236.08333333333334,74
41,236.25,236.70833333333334,104
45,236.75,237.25,109
46,237.25,237.5,58
47,237.5,237.91666666666666,115
47,238.0,239.0,115
45,239.25,239.5,72
47,239.5,239.625,98
47,240.0,241.125,115
43,241.5,243.125,109
41,243.25,243.5,86
43,243.5,243.625,86
50,243.75,243.875,68
55,244.0,244.875,92
54,245.0,245.25,80
50,245.25,245.375,66
52,245.5,247.25,70
50,247.20833333333334,247.33333333333334,64
52,247.5,247.75,76
50,247.75,247.875,64
47,248.0,249.0,76
45,249.20833333333334,249.47083333333333,68
47,249.5125,251.2625,78
45,251.29166666666666,251.525,72
47,251.5,251.75,86
40,251.75,252.08333333333334,74
41,252.25,252.70833333333334,104
45,252.75,253.25,109
46,253.25,253.5,58
47,253.5,253.69166666666666,115
47,253.99583333333334,255.29583333333332,104
45,255.26666666666665,255.41666666666666,72
47,255.40833333333333,255.67499999999998,96
47,255.97916666666666,257.43333333333334,96
40,257.4916666666667,258.9458333333333,96
38,259.2833333333333,259.5333333333333,95
40,259.49583333333334,259.6625,95
40,259.96666666666664,261.3666666666667,95
45,261.3125,261.575,95
47,261.4916666666667,262.9083333333333,95
45,263.3208333333333,263.4791666666667,94
47,263.43333333333334,263.69166666666666,94
47,263.96666666666664,265.43333333333334,93
40,265.52916666666664,267.125,92
38,267.34166666666664,267.4625,96
40,267.4375,267.7,96
40,268.0083333333333,269.1458333333333,97
45,269.42083333333335,269.52916666666664,99
47,269.5,269.69166666666666,115
47,269.99583333333334,271.29583333333335,104
45,271.26666666666665,271.4166666666667,72
47,271.4083333333333,271.675,96
47,271.9791666666667,273.43333333333334,96
40,273.4916666666667,274.9458333333333,96
38,275.2833333333333,275.5333333333333,95
40,275.49583333333334,275.6625,95
40,275.96666666666664,277.3666666666667,95
45,277.3125,277.575,95
50,277.4916666666667,281.1666666666667,95
43,281.4916666666667,284.51666666666665,115
50,284.5208333333333,287.30833333333334,56
43,287.50416666666666,288.0833333333333,115
45,288.0541666666667,289.07916666666665,98
47,289.06666666666666,289.9583333333333,104
50,290.025,291.3333333333333,80
47,291.5,293.2083333333333,109
47,293.5,294.0,100
47,294.0,294.5,100
47,294.5,295.0,100
47,295.0,295.5,100
47,295.5,295.9166666666667,115
47,296.0,297.0,115
45,297.25,297.5,72
47,297.5,297.625,98
47,298.0,299.125,115
43,299.5,301.125,109
41,301.25,301.5,86
43,301.5,301.625,86
50,301.75,301.875,68
55,302.0,302.875,92
54,303.0,303.25,80
50,303.25,303.375,66
52,303.5,305.25,70
50,305.2083333333333,305.3333333333333,64
52,305.5,305.75,76
50,305.75,305.875,64
47,306.0,307.0,76
45,307.2083333333333,307.4708333333333,68
47,307.5125,309.2625,78
45,309.2916666666667,309.525,72
47,309.5,309.75,86
40,309.75,310.0833333333333,74
41,310.25,310.7083333333333,104
45,310.75,311.25,109
46,311.25,311.5,58
47,311.5,311.9166666666667,115
47,312.0,313.0,115
45,313.25,313.5,72
47,313.5,313.625,98
47,314.0,315.125,115
43,315.5,317.125,109
41,317.25,317.5,86
43,317.5,317.625,86
50,317.75,317.875,68
55,318.0,318.875,92
54,319.0,319.25,80
50,319.25,319.375,66
52,319.5,321.25,70
50,321.2083333333333,321.3333333333333,64
52,321.5,321.75,76
50,321.75,321.875,64
47,322.0,323.0,76
45,323.2083333333333,323.4708333333333,68
47,323.5125,325.2625,78
45,325.2916666666667,325.525,72
47,325.5,325.75,86
40,325.75,326.0833333333333,74
41,326.25,326.7083333333333,104
45,326.75,327.25,109
46,327.25,327.5,58
47,327.4583333333333,329.5,100
