0.0
120.0
Note,Start,End,Volume
51,28.559895833333332,29.307291666666668,127
51,29.309895833333332,30.057291666666668,110
51,30.059895833333332,30.557291666666668,80
51,30.559895833333332,31.307291666666668,110
51,31.309895833333332,32.557291666666664,100
51,32.559895833333336,33.307291666666664,100
51,33.309895833333336,34.557291666666664,104
51,34.559895833333336,35.307291666666664,87
51,35.309895833333336,36.557291666666664,104
51,36.559895833333336,37.307291666666664,104
51,37.309895833333336,38.057291666666664,95
51,38.059895833333336,38.557291666666664,100
51,38.559895833333336,39.307291666666664,104
51,39.309895833333336,40.557291666666664,110
51,40.559895833333336,41.307291666666664,110
51,41.309895833333336,42.557291666666664,104
51,42.559895833333336,43.307291666666664,104
51,43.309895833333336,44.466145833333336,100
51,44.559895833333336,45.307291666666664,127
51,45.309895833333336,46.057291666666664,110
51,46.059895833333336,46.557291666666664,80
51,46.559895833333336,47.307291666666664,110
51,47.309895833333336,48.557291666666664,100
51,48.559895833333336,49.307291666666664,100
51,49.309895833333336,50.557291666666664,104
51,50.559895833333336,51.307291666666664,87
51,51.309895833333336,52.557291666666664,104
51,52.559895833333336,53.307291666666664,104
51,53.309895833333336,54.057291666666664,95
51,54.059895833333336,54.557291666666664,100
51,54.559895833333336,55.307291666666664,104
51,55.309895833333336,56.557291666666664,110
51,56.559895833333336,57.307291666666664,110
51,57.309895833333336,58.557291666666664,104
51,58.559895833333336,59.307291666666664,104
51,59.309895833333336,60.466145833333336,100
51,60.559895833333336,61.307291666666664,127
51,61.309895833333336,62.057291666666664,110
51,62.059895833333336,62.557291666666664,80
51,62.559895833333336,63.307291666666664,110
51,63.309895833333336,64.55729166666667,100
51,64.55989583333333,65.30729166666667,100
51,65.30989583333333,66.55729166666667,104
51,66.55989583333333,67.30729166666667,87
51,67.30989583333333,68.55729166666667,104
53,70.55989583333333,74.58333333333333,97
51,90.55989583333333,91.30729166666667,127
51,91.30989583333333,92.55729166666667,127
51,92.55989583333333,93.30729166666667,127
51,93.30989583333333,94.55729166666667,127
51,94.55989583333333,95.30729166666667,127
51,95.30989583333333,96.55729166666667,127
51,96.55989583333333,97.30729166666667,127
