0.0
120.0
Note,Start,End,Volume
60,0.003125,0.21979166666666666,98
60,0.3364583333333333,0.47812499999999997,87
61,0.503125,0.7572916666666667,68
61,0.8364583333333333,0.9239583333333333,85
60,1.003125,1.503125,105
64,1.503125,2.003125,105
57,2.003125,2.232291666666667,78
57,2.3364583333333333,2.5364583333333335,85
55,2.503125,2.7072916666666664,70
55,2.8364583333333333,3.0072916666666667,59
53,3.0072916666666667,3.2072916666666664,70
53,3.3364583333333333,3.5697916666666667,68
52,3.503125,3.7447916666666665,63
52,3.8364583333333333,4.003125,74
62,4.003125,4.219791666666667,98
62,4.336458333333333,4.478125,87
68,4.503125,4.757291666666666,68
68,4.836458333333333,4.923958333333333,85
67,5.003125,5.303125,82
55,5.336458333333333,5.457291666666666,72
67,5.503125,5.940625,80
60,6.003125,6.503125,105
67,6.503125,7.003125,105
57,7.003125,7.503125,105
59,7.503125,8.003125,105
60,8.003125,8.303125,82
48,8.336458333333333,8.457291666666666,72
60,8.503125,8.940625,80
60,9.003125,9.503125,105
64,9.503125,10.003125,105
57,10.003125,10.207291666666666,82
57,10.336458333333333,10.573958333333334,70
59,10.503125,10.698958333333334,85
59,10.836458333333333,10.982291666666667,82
60,11.003125,11.232291666666667,80
60,11.336458333333333,11.515625,66
61,11.515625,11.757291666666667,85
61,11.836458333333333,12.003125,87
62,12.003125,12.219791666666666,98
62,12.336458333333333,12.478125,87
68,12.503125,12.757291666666667,68
68,12.836458333333333,12.923958333333333,85
67,13.003124999999999,13.219791666666666,98
67,13.336458333333333,13.478125,87
61,13.503124999999999,13.757291666666667,68
61,13.836458333333333,13.923958333333333,85
60,14.003124999999999,14.503124999999999,105
67,14.503124999999999,15.003124999999999,105
57,15.003124999999999,15.503124999999999,105
59,15.503124999999999,16.003125,105
60,16.003125,16.303125,82
48,16.336458333333333,16.457291666666666,72
60,16.503125,16.940625,80
60,17.003125,17.503125,105
64,17.503125,18.003125,105
57,18.003125,18.207291666666666,82
57,18.336458333333333,18.573958333333334,70
59,18.503125,18.698958333333334,85
59,18.836458333333333,18.982291666666665,82
60,19.003125,19.232291666666665,80
60,19.336458333333333,19.515625,66
61,19.515625,19.757291666666667,85
61,19.836458333333333,20.003125,87
62,20.003125,20.207291666666666,82
62,20.336458333333333,20.573958333333334,70
64,20.503125,20.698958333333334,85
64,20.836458333333333,20.982291666666665,82
65,21.003125,21.232291666666665,80
65,21.336458333333333,21.515625,66
66,21.515625,21.757291666666667,85
66,21.836458333333333,22.003125,87
67,22.003125,22.503125,105
57,22.503125,23.003125,105
58,23.003125,23.503125,105
59,23.503125,24.003125,105
60,24.003125,24.211458333333333,85
60,24.336458333333333,24.511458333333334,85
60,24.503125,24.511458333333334,70
60,24.836458333333333,25.007291666666667,68
57,25.007291666666667,25.169791666666665,80
57,25.336458333333333,25.503125,66
55,25.503125,25.73645833333333,82
55,25.836458333333333,25.961458333333333,80
60,26.003125,26.232291666666665,78
60,26.336458333333333,26.536458333333332,85
58,26.503125,26.707291666666666,70
58,26.836458333333333,27.007291666666667,59
57,27.007291666666667,27.207291666666666,70
57,27.336458333333333,27.569791666666667,68
55,27.503125,27.744791666666668,63
55,27.836458333333333,28.003125,74
65,28.003125,28.211458333333333,85
65,28.336458333333333,28.511458333333334,85
65,28.503125,28.511458333333334,70
65,28.836458333333333,29.007291666666667,68
62,29.007291666666667,29.169791666666665,80
62,29.336458333333333,29.503125,66
60,29.503125,29.73645833333333,82
60,29.836458333333333,29.961458333333333,80
66,30.003125,30.219791666666666,98
66,30.336458333333333,30.478125,87
67,30.503125,30.757291666666667,68
67,30.836458333333333,30.92395833333333,85
59,31.003125,31.503125,105
57,31.503125,32.003125,105
60,32.003125,32.303125,82
48,32.33645833333333,32.45729166666666,72
60,32.503125,32.940625,80
60,33.003125,33.503125,105
64,33.503125,34.003125,105
57,34.003125,34.23229166666667,78
57,34.33645833333333,34.536458333333336,85
55,34.503125,34.70729166666666,70
55,34.83645833333333,35.00729166666667,59
53,35.00729166666667,35.20729166666666,70
53,35.33645833333333,35.56979166666667,68
52,35.503125,35.744791666666664,63
52,35.83645833333333,36.003125,74
62,36.003125,36.219791666666666,98
62,36.33645833333333,36.478125,87
68,36.503125,36.75729166666667,68
68,36.83645833333333,36.92395833333333,85
67,37.003125,37.219791666666666,98
67,37.33645833333333,37.478125,87
61,37.503125,37.75729166666667,68
61,37.83645833333333,37.92395833333333,85
60,38.003125,38.503125,105
67,38.503125,39.003125,105
57,39.003125,39.503125,105
59,39.503125,40.003125,105
60,40.003125,40.303125,82
48,40.33645833333333,40.45729166666666,72
60,40.503125,40.940625,80
60,41.003125,41.503125,105
64,41.503125,42.003125,105
57,42.003125,42.20729166666666,82
57,42.33645833333333,42.57395833333333,70
59,42.503125,42.69895833333333,85
59,42.83645833333333,42.98229166666667,82
60,43.003125,43.23229166666667,80
60,43.33645833333333,43.515625,66
61,43.515625,43.75729166666667,85
61,43.83645833333333,44.003125,87
62,44.003125,44.303125,82
50,44.33645833333333,44.45729166666666,72
62,44.503125,44.940625,80
67,45.003125,45.219791666666666,98
67,45.33645833333333,45.478125,87
61,45.503125,45.75729166666667,68
61,45.83645833333333,45.92395833333333,85
60,46.003125,46.503125,105
67,46.503125,47.003125,105
57,47.003125,47.503125,105
59,47.503125,48.003125,105
60,48.003125,48.219791666666666,98
60,48.33645833333333,48.478125,87
61,48.503125,48.75729166666667,68
61,48.83645833333333,48.92395833333333,85
60,49.003125,49.503125,105
64,49.503125,50.003125,105
57,50.003125,50.23229166666667,78
57,50.33645833333333,50.536458333333336,85
55,50.503125,50.70729166666666,70
55,50.83645833333333,51.00729166666667,59
53,51.00729166666667,51.20729166666666,70
53,51.33645833333333,51.56979166666667,68
52,51.503125,51.744791666666664,63
52,51.83645833333333,52.003125,74
62,52.003125,52.23229166666667,78
62,52.33645833333333,52.536458333333336,85
60,52.503125,52.70729166666666,70
60,52.83645833333333,53.00729166666667,59
59,53.00729166666667,53.20729166666666,70
59,53.33645833333333,53.56979166666667,68
57,53.503125,53.744791666666664,63
57,53.83645833333333,54.003125,74
67,54.003125,54.503125,105
57,54.503125,55.003125,105
58,55.003125,55.503125,105
59,55.503125,56.003125,105
60,56.003125,56.21145833333333,85
60,56.33645833333333,56.51145833333333,85
60,56.503125,56.51145833333333,70
60,56.83645833333333,57.00729166666667,68
57,57.00729166666667,57.16979166666667,80
57,57.33645833333333,57.503125,66
55,57.503125,57.73645833333333,82
55,57.83645833333333,57.96145833333333,80
60,58.003125,58.20729166666666,82
60,58.33645833333333,58.57395833333333,70
62,58.503125,58.69895833333333,85
62,58.83645833333333,58.98229166666667,82
63,59.003125,59.23229166666667,80
63,59.33645833333333,59.515625,66
64,59.515625,59.75729166666667,85
64,59.83645833333333,60.003125,87
65,60.003125,60.21145833333333,85
65,60.33645833333333,60.51145833333333,85
65,60.503125,60.51145833333333,70
65,60.83645833333333,61.00729166666667,68
62,61.00729166666667,61.16979166666667,80
62,61.33645833333333,61.503125,66
60,61.503125,61.73645833333333,82
60,61.83645833333333,61.96145833333333,80
66,62.003125,62.303125,82
54,62.33645833333333,62.45729166666666,72
66,62.503125,62.940625,80
59,63.003125,63.503125,105
57,63.503125,64.003125,105
60,64.003125,64.303125,82
48,64.33645833333333,64.45729166666666,72
60,64.503125,64.940625,80
60,65.003125,65.503125,105
64,65.503125,66.003125,105
57,66.003125,66.20729166666666,82
57,66.33645833333333,66.57395833333334,70
59,66.503125,66.69895833333334,85
59,66.83645833333333,66.98229166666667,82
60,67.003125,67.23229166666667,80
60,67.33645833333333,67.515625,66
61,67.515625,67.75729166666666,85
61,67.83645833333333,68.003125,87
62,68.003125,68.303125,82
50,68.33645833333333,68.45729166666666,72
62,68.503125,68.940625,80
67,69.003125,69.21979166666667,98
67,69.33645833333333,69.478125,87
61,69.503125,69.75729166666666,68
61,69.83645833333333,69.92395833333333,85
60,70.003125,70.503125,105
67,70.503125,71.003125,105
57,71.003125,71.503125,105
59,71.503125,72.003125,105
60,72.003125,72.21979166666667,98
60,72.33645833333333,72.478125,87
61,72.503125,72.75729166666666,68
61,72.83645833333333,72.92395833333333,85
60,73.003125,73.503125,105
64,73.503125,74.003125,105
57,74.003125,74.23229166666667,78
57,74.33645833333333,74.53645833333333,85
55,74.503125,74.70729166666666,70
55,74.83645833333333,75.00729166666666,59
53,75.00729166666666,75.20729166666666,70
53,75.33645833333333,75.56979166666666,68
52,75.503125,75.74479166666667,63
52,75.83645833333333,76.003125,74
62,76.003125,76.21979166666667,98
62,76.33645833333333,76.478125,87
68,76.503125,76.75729166666666,68
68,76.83645833333333,76.92395833333333,85
67,77.003125,77.21979166666667,98
67,77.33645833333333,77.478125,87
61,77.503125,77.75729166666666,68
61,77.83645833333333,77.92395833333333,85
60,78.003125,78.503125,105
67,78.503125,79.003125,105
57,79.003125,79.503125,105
59,79.503125,80.003125,105
60,80.003125,80.21979166666667,98
60,80.33645833333333,80.478125,87
61,80.503125,80.75729166666666,68
61,80.83645833333333,80.92395833333333,85
60,81.003125,81.503125,105
64,81.503125,82.003125,105
57,82.003125,82.23229166666667,78
57,82.33645833333333,82.53645833333333,85
55,82.503125,82.70729166666666,70
55,82.83645833333333,83.00729166666666,59
53,83.00729166666666,83.20729166666666,70
53,83.33645833333333,83.56979166666666,68
52,83.503125,83.74479166666667,63
52,83.83645833333333,84.003125,74
62,84.003125,84.23229166666667,78
62,84.33645833333333,84.53645833333333,85
60,84.503125,84.70729166666666,70
60,84.83645833333333,85.00729166666666,59
59,85.00729166666666,85.20729166666666,70
59,85.33645833333333,85.56979166666666,68
57,85.503125,85.74479166666667,63
57,85.83645833333333,86.003125,74
67,86.003125,86.503125,105
57,86.503125,87.003125,105
58,87.003125,87.503125,105
59,87.503125,88.003125,105
60,88.003125,88.21145833333333,85
60,88.33645833333333,88.51145833333334,85
60,88.503125,88.51145833333334,70
60,88.83645833333333,89.00729166666666,68
57,89.00729166666666,89.16979166666667,80
57,89.33645833333333,89.503125,66
55,89.503125,89.73645833333333,82
55,89.83645833333333,89.96145833333333,80
