0.0
120.0
Note,Start,End,Volume
72,28.0,28.229166666666668,96
71,28.25,28.729166666666668,96
62,27.75,28.979166666666668,96
59,29.0,29.229166666666668,96
67,28.75,29.479166666666668,96
62,29.25,29.479166666666668,96
62,29.75,29.979166666666668,96
67,30.0,30.229166666666668,96
62,30.25,30.479166666666668,96
59,30.75,30.979166666666668,96
62,31.0,31.229166666666668,96
59,31.25,31.479166666666668,96
72,32.0,32.229166666666664,96
71,32.25,32.729166666666664,96
62,31.75,32.979166666666664,96
59,33.0,33.229166666666664,96
67,32.75,33.479166666666664,96
62,33.25,33.479166666666664,96
62,33.75,33.979166666666664,96
67,34.0,34.229166666666664,96
62,34.25,34.479166666666664,96
59,34.75,34.979166666666664,96
62,35.0,35.229166666666664,96
59,35.25,35.479166666666664,96
62,36.0,36.229166666666664,96
67,36.25,36.729166666666664,96
62,36.75,36.979166666666664,96
67,37.0,37.479166666666664,96
69,37.5,37.729166666666664,96
67,37.75,38.229166666666664,96
66,38.25,38.729166666666664,96
64,38.75,39.229166666666664,96
62,39.25,39.729166666666664,96
62,39.75,39.979166666666664,96
67,40.0,40.229166666666664,96
62,40.25,40.479166666666664,96
59,40.75,40.979166666666664,96
62,41.0,41.229166666666664,96
59,41.25,41.479166666666664,96
62,41.75,41.979166666666664,96
67,42.0,42.229166666666664,96
62,42.25,42.479166666666664,96
59,42.75,42.979166666666664,96
62,43.0,43.229166666666664,96
59,43.25,43.479166666666664,96
67,43.5,43.604166666666664,96
67,43.625,43.729166666666664,96
67,43.75,44.229166666666664,96
67,44.25,44.729166666666664,96
64,44.75,45.479166666666664,96
72,45.5,45.979166666666664,96
67,45.75,46.229166666666664,96
72,46.0,46.479166666666664,96
67,46.25,46.479166666666664,96
72,46.5,46.729166666666664,96
67,47.0,47.479166666666664,96
62,47.75,47.979166666666664,96
67,48.0,48.229166666666664,96
62,48.25,48.479166666666664,96
59,48.75,48.979166666666664,96
62,49.0,49.229166666666664,96
71,47.5,49.479166666666664,96
59,49.25,49.479166666666664,96
62,49.75,49.979166666666664,96
67,50.0,50.229166666666664,96
62,50.25,50.479166666666664,96
59,50.75,50.979166666666664,96
62,51.0,51.229166666666664,96
59,51.25,51.479166666666664,96
62,52.0,52.229166666666664,96
67,52.25,52.729166666666664,96
62,52.75,52.979166666666664,96
67,53.0,53.229166666666664,96
69,53.25,53.729166666666664,96
67,53.75,54.229166666666664,96
66,54.25,54.729166666666664,96
64,54.75,55.229166666666664,96
62,55.25,55.729166666666664,96
62,55.75,55.979166666666664,96
67,56.0,56.229166666666664,96
62,56.25,56.479166666666664,96
59,56.75,56.979166666666664,96
62,57.0,57.229166666666664,96
59,57.25,57.479166666666664,96
62,57.75,57.979166666666664,96
