0.0
120.0
Note,Start,End,Volume
57,1.0088541666666666,1.5046875,127
45,1.5088541666666666,2.2546875,127
57,2.2588541666666666,2.7546875,127
57,2.7630208333333335,3.0088541666666666,127
50,3.1380208333333335,3.3838541666666666,127
52,3.2630208333333335,3.5088541666666666,127
45,3.5088541666666666,4.1296875,127
45,4.008854166666667,4.1296875,127
57,4.258854166666667,4.7546875,127
57,4.758854166666667,5.0046875,127
50,5.008854166666667,5.2546875,127
52,5.258854166666667,5.5046875,127
47,5.508854166666667,6.0046875,127
47,6.008854166666667,6.2546875,127
54,6.258854166666667,6.6296875,127
54,6.758854166666667,7.0046875,127
59,7.008854166666667,7.2546875,101
54,7.258854166666667,7.5046875,101
47,7.508854166666667,8.2546875,127
54,8.258854166666666,8.5046875,127
59,8.508854166666666,8.7546875,127
54,8.758854166666666,9.0046875,127
47,9.008854166666666,9.5046875,127
50,9.508854166666666,10.1296875,127
38,10.008854166666666,10.2546875,85
52,10.258854166666666,10.8796875,127
40,10.258854166666666,11.1296875,101
52,11.008854166666666,11.3796875,101
40,11.258854166666666,11.5046875,127
38,11.508854166666666,12.2546875,101
50,11.508854166666666,12.2546875,127
52,12.258854166666666,13.0046875,127
40,12.258854166666666,13.3796875,127
52,13.008854166666666,13.3796875,127
45,13.508854166666666,14.0046875,101
52,14.008854166666666,14.2546875,85
57,14.258854166666666,14.7546875,101
52,14.758854166666666,15.2546875,127
45,15.258854166666666,15.5046875,101
52,15.508854166666666,15.7546875,127
38,15.508854166666666,15.7546875,101
40,15.508854166666666,15.7546875,127
45,17.508854166666666,18.2546875,127
57,18.258854166666666,18.7546875,127
57,18.883854166666666,19.1296875,127
50,19.133854166666666,19.3796875,127
52,19.258854166666666,19.5046875,127
45,19.633854166666666,20.1296875,127
45,20.133854166666666,20.3796875,127
57,20.383854166666666,20.7546875,127
57,20.758854166666666,21.0046875,127
50,21.008854166666666,21.2546875,127
52,21.258854166666666,21.5046875,127
47,21.508854166666666,22.0046875,127
47,22.008854166666666,22.2546875,127
54,22.258854166666666,22.6296875,127
54,22.758854166666666,23.0046875,127
59,23.008854166666666,23.2546875,101
54,23.258854166666666,23.5046875,101
47,23.508854166666666,24.2546875,127
54,24.258854166666666,24.5046875,127
59,24.508854166666666,24.7546875,127
54,24.758854166666666,25.0046875,127
47,25.008854166666666,25.5046875,127
50,25.508854166666666,26.1296875,127
38,26.008854166666666,26.2546875,85
52,26.258854166666666,26.8796875,127
40,26.258854166666666,27.1296875,101
52,27.008854166666666,27.3796875,101
40,27.258854166666666,27.5046875,127
38,27.508854166666666,28.2546875,101
50,27.508854166666666,28.2546875,127
52,28.258854166666666,29.0046875,127
40,28.258854166666666,29.3796875,127
52,29.008854166666666,29.3796875,127
45,29.508854166666666,30.2546875,127
57,30.258854166666666,30.7546875,127
57,30.883854166666666,31.1296875,127
50,31.133854166666666,31.3796875,127
52,31.258854166666666,31.5046875,127
45,31.633854166666666,32.1296875,127
45,32.133854166666666,32.3796875,127
57,32.383854166666666,32.7546875,127
57,32.758854166666666,33.0046875,127
50,33.008854166666666,33.2546875,127
52,33.258854166666666,33.5046875,127
42,33.508854166666666,34.2546875,127
42,34.383854166666666,35.0046875,127
42,35.133854166666666,35.5046875,127
47,35.633854166666666,36.2546875,127
47,36.258854166666666,37.0046875,127
54,37.008854166666666,37.3796875,101
52,37.508854166666666,38.2546875,127
52,38.258854166666666,39.0046875,101
57,39.008854166666666,39.1296875,101
59,39.008854166666666,39.5046875,101
57,39.508854166666666,40.1296875,101
57,40.258854166666666,41.0046875,101
52,41.133854166666666,41.5046875,127
50,41.633854166666666,42.2546875,127
50,42.258854166666666,43.0046875,127
50,43.008854166666666,43.3796875,127
47,43.508854166666666,44.1296875,101
47,44.258854166666666,44.8796875,127
47,45.008854166666666,45.3796875,101
45,45.508854166666666,46.2546875,101
