0.0
120.0
Note,Start,End,Volume
40,31.5,31.65,88
40,31.75,31.9,88
43,32.0,32.15,88
40,32.25,32.4,88
45,32.5,32.65,88
45,32.75,32.9,88
38,33.0,33.15,88
39,33.25,33.4,88
40,33.5,33.65,88
40,33.75,33.9,88
43,34.0,34.15,88
40,34.25,34.4,88
45,34.5,34.65,88
45,34.75,34.9,88
38,35.0,35.15,88
39,35.25,35.4,88
40,35.5,35.9,88
40,39.5,39.65,88
40,39.75,39.9,88
43,40.0,40.15,88
40,40.25,40.4,88
45,40.5,40.65,88
45,40.75,40.9,88
38,41.0,41.15,88
39,41.25,41.4,88
40,41.5,41.65,88
40,41.75,41.9,88
43,42.0,42.15,88
40,42.25,42.4,88
45,42.5,42.65,88
45,42.75,42.9,88
38,43.0,43.15,88
39,43.25,43.4,88
40,43.5,43.65,88
40,43.75,43.9,88
43,44.0,44.15,88
40,44.25,44.4,88
45,44.5,44.65,88
45,44.75,44.9,88
38,45.0,45.15,88
39,45.25,45.4,88
40,45.5,45.65,88
40,45.75,45.9,88
43,46.0,46.15,88
40,46.25,46.4,88
45,46.5,46.65,88
45,46.75,46.9,88
38,47.0,47.15,88
39,47.25,47.4,88
40,47.5,47.65,88
40,47.75,47.9,88
43,48.0,48.15,88
40,48.25,48.4,88
45,48.5,48.65,88
45,48.75,48.9,88
38,49.0,49.15,88
39,49.25,49.4,88
40,49.5,49.65,88
40,49.75,49.9,88
43,50.0,50.15,88
40,50.25,50.4,88
45,50.5,50.65,88
45,50.75,50.9,88
38,51.0,51.15,88
39,51.25,51.4,88
40,51.5,51.65,88
40,51.75,51.9,88
43,52.0,52.15,88
40,52.25,52.4,88
45,52.5,52.65,88
45,52.75,52.9,88
38,53.0,53.15,88
39,53.25,53.4,88
40,53.5,53.65,88
40,53.75,53.9,88
43,54.0,54.15,88
40,54.25,54.4,88
45,54.5,54.65,88
45,54.75,54.9,88
38,55.0,55.15,88
39,55.25,55.4,88
40,55.5,55.65,88
40,55.75,55.9,88
43,56.0,56.15,88
40,56.25,56.4,88
45,56.5,56.65,88
45,56.75,56.9,88
38,57.0,57.15,88
39,57.25,57.4,88
40,57.5,57.65,88
40,57.75,57.9,88
43,58.0,58.15,88
40,58.25,58.4,88
45,58.5,58.65,88
45,58.75,58.9,88
38,59.0,59.15,88
39,59.25,59.4,88
40,59.5,59.65,88
40,59.75,59.9,88
43,60.0,60.15,88
40,60.25,60.4,88
45,60.5,60.65,88
45,60.75,60.9,88
38,61.0,61.15,88
39,61.25,61.4,88
40,61.5,61.65,88
40,61.75,61.9,88
43,62.0,62.15,88
45,62.25,62.449999999999996,88
46,62.483333333333334,62.5,88
47,62.5,62.65,88
47,62.75,62.9,88
45,63.0,63.15,88
43,63.25,63.4,88
45,63.5,63.65,88
45,63.75,63.9,88
48,64.0,64.15,88
45,64.25,64.4,88
50,64.5,64.65,88
50,64.75,64.9,88
43,65.0,65.15,88
44,65.25,65.4,88
45,65.5,65.65,88
45,65.75,65.9,88
48,66.0,66.15,88
45,66.25,66.4,88
50,66.5,66.65,88
50,66.75,66.9,88
38,67.0,67.15,88
39,67.25,67.4,88
40,67.5,67.65,88
40,67.75,67.9,88
43,68.0,68.15,88
40,68.25,68.4,88
45,68.5,68.65,88
45,68.75,68.9,88
38,69.0,69.15,88
39,69.25,69.4,88
40,69.5,69.65,88
40,69.75,69.9,88
43,70.0,70.15,88
40,70.25,70.4,88
45,70.5,70.65,88
45,70.75,70.9,88
46,71.0,71.15,88
47,71.25,71.4,88
48,71.5,71.65,88
48,71.75,71.9,88
48,72.0,72.15,88
48,72.25,72.4,88
48,72.5,72.65,88
48,72.75,72.9,88
48,73.0,73.15,88
48,73.25,73.4,88
47,73.5,73.65,88
47,73.75,73.9,88
47,74.0,74.15,88
47,74.25,74.4,88
47,74.5,74.65,88
47,74.75,74.825,88
47,74.875,74.95,88
47,75.0,75.075,88
45,75.125,75.2,88
43,75.25,75.325,88
42,75.375,75.45,88
40,75.5,75.65,88
40,75.75,75.9,88
43,76.0,76.15,88
40,76.25,76.4,88
45,76.5,76.65,88
45,76.75,76.9,88
38,77.0,77.15,88
39,77.25,77.4,88
40,77.5,77.65,88
40,77.75,77.9,88
43,78.0,78.15,88
40,78.25,78.4,88
45,78.5,78.65,88
45,78.75,78.9,88
38,79.0,79.15,88
39,79.25,79.4,88
48,79.5,79.65,88
48,79.75,79.9,88
48,80.0,80.15,88
48,80.25,80.4,88
48,80.5,80.65,88
48,80.75,80.9,88
48,81.0,81.15,88
48,81.25,81.4,88
47,81.5,81.65,88
47,81.75,81.9,88
47,82.0,82.15,88
47,82.25,82.4,88
47,82.5,82.65,88
47,82.75,82.825,88
47,82.875,82.95,88
47,83.0,83.075,88
45,83.125,83.2,88
43,83.25,83.325,88
42,83.375,83.45,88
40,83.5,83.65,88
40,83.75,83.9,88
43,84.0,84.15,88
40,84.25,84.4,88
45,84.5,84.65,88
45,84.75,84.9,88
38,85.0,85.15,88
39,85.25,85.4,88
40,85.5,85.65,88
40,85.75,85.9,88
43,86.0,86.15,88
40,86.25,86.4,88
45,86.5,86.65,88
45,86.75,86.9,88
38,87.0,87.15,88
39,87.25,87.4,88
40,87.5,87.65,88
40,87.75,87.9,88
43,88.0,88.15,88
40,88.25,88.4,88
45,88.5,88.65,88
45,88.75,88.9,88
38,89.0,89.15,88
39,89.25,89.4,88
40,89.5,89.65,88
40,89.75,89.9,88
43,90.0,90.15,88
40,90.25,90.4,88
45,90.5,90.65,88
45,90.75,90.9,88
38,91.0,91.15,88
39,91.25,91.4,88
40,91.5,91.65,88
40,91.75,91.9,88
43,92.0,92.15,88
40,92.25,92.4,88
45,92.5,92.65,88
45,92.75,92.9,88
38,93.0,93.15,88
39,93.25,93.4,88
40,93.5,93.65,88
40,93.75,93.9,88
43,94.0,94.15,88
40,94.25,94.4,88
45,94.5,94.65,88
45,94.75,94.9,88
38,95.0,95.15,88
39,95.25,95.4,88
40,95.5,95.65,88
40,95.75,95.9,88
43,96.0,96.15,88
40,96.25,96.4,88
45,96.5,96.65,88
45,96.75,96.9,88
38,97.0,97.15,88
39,97.25,97.4,88
40,97.5,97.65,88
40,97.75,97.9,88
43,98.0,98.15,88
40,98.25,98.4,88
45,98.5,98.65,88
45,98.75,98.9,88
38,99.0,99.15,88
39,99.25,99.4,88
40,99.5,99.65,88
40,99.75,99.9,88
43,100.0,100.15,88
40,100.25,100.4,88
45,100.5,100.65,88
45,100.75,100.9,88
38,101.0,101.15,88
39,101.25,101.4,88
40,101.5,101.65,88
40,101.75,101.9,88
43,102.0,102.15,88
45,102.25,102.45,88
46,102.48333333333333,102.5,88
47,102.5,102.64999999999999,88
47,102.75,102.89999999999999,88
45,103.0,103.14999999999999,88
43,103.25,103.39999999999999,88
45,103.5,103.64999999999999,88
45,103.75,103.89999999999999,88
48,104.0,104.14999999999999,88
45,104.25,104.39999999999999,88
50,104.5,104.64999999999999,88
50,104.75,104.89999999999999,88
43,105.0,105.14999999999999,88
44,105.25,105.39999999999999,88
45,105.5,105.64999999999999,88
45,105.75,105.89999999999999,88
48,106.0,106.14999999999999,88
45,106.25,106.39999999999999,88
50,106.5,106.64999999999999,88
50,106.75,106.89999999999999,88
38,107.0,107.14999999999999,88
39,107.25,107.39999999999999,88
40,107.5,107.64999999999999,88
40,107.75,107.89999999999999,88
43,108.0,108.14999999999999,88
40,108.25,108.39999999999999,88
45,108.5,108.64999999999999,88
45,108.75,108.89999999999999,88
38,109.0,109.14999999999999,88
