0.0
120.0
Note,Start,End,Volume
53,29.0,29.905208333333334,104
63,29.0,29.905208333333334,125
53,30.5,30.9,100
46,30.0,31.8,109
62,31.0,31.8,103
50,32.5,32.9,112
43,32.0,33.8,111
58,33.0,33.8,110
58,34.0,35.6,114
48,34.0,35.6,108
57,36.0,37.6,105
46,38.0,38.8,122
46,39.0,39.8,105
43,40.0,40.479166666666664,111
48,40.75,41.35,107
41,41.5,41.9,111
46,42.0,42.479166666666664,110
46,43.0,43.479166666666664,109
43,44.0,44.479166666666664,113
43,44.75,45.35,110
43,45.5,45.9,111
39,46.0,46.479166666666664,102
39,47.0,47.479166666666664,117
41,48.0,48.479166666666664,96
41,49.0,49.479166666666664,120
46,50.0,50.479166666666664,124
46,51.0,51.479166666666664,121
43,52.0,52.479166666666664,115
43,52.75,53.35,115
43,53.5,53.9,110
39,54.0,54.479166666666664,110
39,55.0,55.479166666666664,110
41,56.0,56.479166666666664,108
41,56.75,57.35,116
41,57.5,57.9,122
46,58.0,58.479166666666664,101
46,59.0,59.479166666666664,105
45,60.0,60.479166666666664,109
38,61.0,61.479166666666664,114
39,62.0,62.479166666666664,111
39,63.0,63.479166666666664,107
40,64.0,64.47916666666667,100
40,65.0,65.4,110
40,65.5,65.9,102
41,66.0,66.47916666666667,103
43,67.0,67.47916666666667,109
48,68.0,68.47916666666667,109
41,69.0,69.47916666666667,107
46,70.0,70.4,123
53,70.5,70.7,113
55,70.75,71.15,117
55,71.25,71.45,111
53,71.5,71.9,110
46,72.0,72.4,109
53,72.5,72.7,112
51,72.75,73.15,110
50,73.25,73.45,102
48,73.5,73.9,109
46,74.0,74.47916666666667,113
46,75.0,75.47916666666667,105
43,76.0,76.47916666666667,106
43,76.75,77.35,117
41,77.5,77.9,111
39,78.0,78.47916666666667,111
39,79.0,79.4,115
39,79.5,79.7,104
41,79.75,81.15,97
41,81.5,81.9,114
46,82.0,82.47916666666667,107
46,83.0,83.47916666666667,124
43,84.0,84.47916666666667,110
43,85.0,85.47916666666667,99
39,86.0,86.4,111
46,86.5,86.9,110
51,87.0,87.4,110
55,87.5,87.9,109
53,88.0,88.4,116
41,88.5,88.7,109
43,88.75,89.15,123
43,89.25,89.45,110
45,89.5,89.9,115
46,90.0,90.47916666666667,110
46,91.0,91.47916666666667,109
43,92.0,92.47916666666667,122
43,93.0,93.4,118
41,93.5,93.9,110
39,94.0,94.47916666666667,110
39,94.75,95.35,96
39,95.5,95.7,113
41,95.75,96.75,110
39,97.0,97.8,112
41,98.0,98.47916666666667,107
43,99.0,99.47916666666667,114
48,100.0,100.47916666666667,115
41,101.0,101.47916666666667,111
46,102.0,102.4,124
53,102.5,103.3,123
53,103.5,103.89999999999999,110
46,104.0,104.39999999999999,109
53,104.5,104.7,99
51,104.75,105.14999999999999,110
50,105.25,105.45,125
48,105.5,105.89999999999999,116
46,106.0,106.47916666666667,123
46,107.0,107.47916666666667,110
43,108.0,108.47916666666667,110
43,108.75,109.35,113
43,109.5,109.89999999999999,109
39,110.0,110.47916666666667,110
39,111.0,111.47916666666667,110
41,112.0,112.47916666666667,113
41,113.0,113.47916666666667,100
46,114.0,114.47916666666667,111
46,115.0,115.47916666666667,112
43,116.0,116.47916666666667,110
43,116.75,117.35,110
43,117.5,117.89999999999999,106
39,118.0,118.47916666666667,111
39,119.0,119.47916666666667,110
41,120.0,120.47916666666667,110
41,120.75,121.35,111
41,121.5,121.89999999999999,105
46,122.0,122.47916666666667,110
46,123.0,123.47916666666667,105
45,124.0,124.47916666666667,107
38,125.0,125.47916666666667,105
39,126.0,126.47916666666667,111
39,127.0,127.47916666666667,110
40,128.0,128.47916666666666,120
40,129.0,129.4,105
40,129.5,129.9,107
41,130.0,130.47916666666666,104
43,131.0,131.47916666666666,105
48,132.0,132.47916666666666,119
41,133.0,133.47916666666666,120
46,134.0,134.4,100
53,134.5,134.7,113
55,134.75,135.15,112
55,135.25,135.45,97
53,135.5,135.9,121
46,136.0,136.4,114
53,136.5,136.7,113
51,136.75,137.15,109
50,137.25,137.45,103
48,137.5,137.9,122
46,138.0,138.47916666666666,112
46,139.0,139.47916666666666,110
43,140.0,140.47916666666666,115
43,140.75,141.35,97
41,141.5,141.9,110
39,142.0,142.47916666666666,110
39,143.0,143.4,112
39,143.5,143.7,112
41,143.75,145.15,99
41,145.5,145.9,111
46,146.0,146.47916666666666,109
46,147.0,147.47916666666666,99
43,148.0,148.47916666666666,120
43,149.0,149.47916666666666,119
39,150.0,150.4,121
46,150.5,150.9,110
51,151.0,151.4,112
55,151.5,151.9,110
53,152.0,152.4,109
41,152.5,152.7,102
43,152.75,153.15,95
43,153.25,153.45,116
45,153.5,153.9,117
46,154.0,154.47916666666666,99
46,155.0,155.47916666666666,108
43,156.0,156.47916666666666,109
43,157.0,157.4,124
41,157.5,157.9,110
39,158.0,158.47916666666666,111
39,158.75,159.35,111
39,159.5,159.7,113
41,159.75,160.75,123
39,161.0,161.8,108
41,162.0,162.47916666666666,110
43,163.0,163.47916666666666,122
48,164.0,164.47916666666666,101
41,165.0,165.47916666666666,124
46,166.0,166.4,120
53,166.5,167.3,111
53,167.5,167.9,110
46,168.0,168.2,115
55,168.25,168.65,113
53,168.75,168.95,110
46,169.0,169.47916666666666,111
