0.0
134.00005806669182
Note,Start,End,Volume
64,22.60726632291667,22.826482645833334,101
62,22.826482645833334,23.05502732291667,98
59,23.05502732291667,23.27890782291667,95
52,23.27890782291667,24.16510146875,99
47,24.174429822916668,25.03263840625,93
52,25.069951822916668,25.932824583333336,93
47,25.970138000000002,26.814354052083335,91
52,26.856331645833333,27.74718946875,93
47,27.765846177083333,28.6287189375,94
52,28.661368177083332,29.542897645833335,92
47,29.552226,29.995322822916666,96
49,29.995322822916666,30.20987496875,90
50,30.20987496875,30.438419645833335,91
52,30.438419645833335,31.338605822916666,89
47,31.338605822916666,32.23412782291667,92
52,32.24345617708333,33.124985645833334,96
47,33.124985645833334,33.98785840625,93
43,34.03450017708333,34.90203711458334,96
45,34.91602964583333,35.77890240625,93
52,35.80688746875,36.70707364583333,94
47,36.70707364583333,37.61658817708334,92
52,37.61658817708334,38.507446,91
47,38.507446,39.38897546875,93
52,39.402968,40.29849,94
47,40.29849,41.1660269375,92
43,41.18468364583333,42.07087729166667,93
45,42.084869822916666,42.97572764583333,93
52,42.97572764583333,43.857257114583334,94
47,43.86658546875,44.75744329166667,94
52,44.76210746875,45.666957822916665,89
47,45.666957822916665,46.119383,93
49,46.119383,46.33393514583334,92
50,46.33393514583334,46.55781564583334,91
52,46.55781564583334,47.44867346875,90
47,47.45800182291667,48.358188,90
52,48.36751635416667,49.23971746875,90
47,49.23971746875,50.111918583333335,96
43,50.139903645833336,51.02143311458333,90
45,51.026097291666666,51.93561182291667,91
52,51.93561182291667,52.83113382291667,96
47,52.83113382291667,53.69400658333333,93
52,53.721991645833334,54.62217782291667,93
47,54.62217782291667,55.531692354166665,90
52,55.531692354166665,56.40389346875,95
47,56.40389346875,57.27609458333333,93
43,57.30407964583333,58.19493746875,88
45,58.19493746875,59.081131114583336,94
52,59.09512364583333,59.967324760416666,93
47,59.98131729166667,60.8675109375,92
52,60.87683929166667,61.68374192708333,91
52,61.78168964583333,61.90762242708333,95
52,62.019562677083336,62.24810735416667,96
54,62.24810735416667,62.467323677083336,92
56,62.467323677083336,62.66788329166667,89
57,62.67721164583333,63.568069468750004,87
52,63.568069468750004,64.42627805208333,92
57,64.45892729166667,65.37777017708333,88
52,65.37777017708333,65.80687446875,92
57,65.80687446875,66.02142661458333,93
58,66.02142661458333,66.27329217708333,85
59,66.27329217708333,67.10351569791666,94
54,67.14549329166667,68.04567946875,92
59,68.05034364583334,68.91788058333333,93
54,68.93653729166667,69.85538017708333,88
59,69.85538017708333,70.74157382291666,91
54,70.74157382291666,71.193999,87
59,71.193999,71.41321532291667,93
58,71.41321532291667,71.63243164583334,86
57,71.63709582291666,72.51396111458334,89
52,72.53261782291666,73.39549058333334,92
57,73.42347564583334,74.32366182291666,92
52,74.32366182291666,75.15854952083333,90
55,75.21918382291666,76.0913849375,91
50,76.11004164583333,76.99157111458334,93
52,77.01022782291666,77.8824289375,91
47,77.91507817708333,78.74530169791667,92
57,78.79660764583333,79.65015205208333,88
52,79.68280129166666,80.59698,93
57,80.59698,81.44119605208334,91
52,81.47384529166666,82.36936729166666,91
55,82.37869564583333,83.25089676041667,92
50,83.26488929166666,84.15574711458333,93
