0.0
125.0
Note,Start,End,Volume
39,3.6,3.8360000000000003,127
46,3.6,3.8360000000000003,127
41,3.84,4.0760000000000005,127
48,3.84,4.0760000000000005,127
41,4.08,4.316,127
48,4.08,4.316,127
39,4.32,4.556,127
46,4.32,4.556,127
41,4.5600000000000005,4.796,127
48,4.5600000000000005,4.796,127
39,5.5200000000000005,5.756,127
46,5.5200000000000005,5.756,127
41,5.76,5.996,127
48,5.76,5.996,127
41,6.0,6.236,127
48,6.0,6.236,127
39,6.24,6.476,127
46,6.24,6.476,127
41,6.48,6.716,127
48,6.48,6.716,127
39,7.44,7.676,127
46,7.44,7.676,127
41,7.68,7.916,127
48,7.68,7.916,127
41,7.92,8.156,127
48,7.92,8.156,127
39,8.16,8.396,127
46,8.16,8.396,127
41,8.4,8.636000000000001,127
48,8.4,8.636000000000001,127
39,9.36,9.596,127
46,9.36,9.596,127
41,9.6,9.836,127
48,9.6,9.836,127
41,9.84,10.076,127
48,9.84,10.076,127
39,10.08,10.316,127
46,10.08,10.316,127
41,10.32,10.556000000000001,127
48,10.32,10.556000000000001,127
39,11.28,11.516,127
46,11.28,11.516,127
41,11.52,11.756,127
48,11.52,11.756,127
41,11.76,11.996,127
48,11.76,11.996,127
39,12.0,12.236,127
46,12.0,12.236,127
41,12.24,12.476,127
48,12.24,12.476,127
46,13.200000000000001,13.436,127
46,13.200000000000001,13.436,127
39,13.200000000000001,13.44,127
41,13.44,13.676,127
48,13.44,13.676,127
41,13.68,13.916,127
48,13.68,13.916,127
39,13.92,14.156,127
46,13.92,14.156,127
41,14.16,14.396,127
48,14.16,14.396,127
39,15.120000000000001,15.356,127
46,15.120000000000001,15.356,127
41,15.36,15.596,127
48,15.36,15.596,127
41,15.6,15.836,127
48,15.6,15.836,127
39,15.84,16.076,127
46,15.84,16.076,127
41,16.080000000000002,16.316,127
48,16.080000000000002,16.316,127
39,17.04,17.276,127
46,17.04,17.276,127
41,17.28,17.516000000000002,127
48,17.28,17.516000000000002,127
41,17.52,17.756,127
48,17.52,17.756,127
39,17.76,17.996,127
46,17.76,17.996,127
41,18.0,18.236,127
48,18.0,18.236,127
39,18.96,19.196,127
46,18.96,19.196,127
41,19.2,19.436,127
48,19.2,19.436,127
41,19.44,19.676000000000002,127
48,19.44,19.676000000000002,127
39,19.68,19.916,127
46,19.68,19.916,127
41,19.92,20.156,127
48,19.92,20.156,127
39,20.88,21.116,127
46,20.88,21.116,127
41,21.12,21.356,127
48,21.12,21.356,127
41,21.36,21.596,127
48,21.36,21.596,127
39,21.6,21.836000000000002,127
46,21.6,21.836000000000002,127
41,21.84,22.076,127
48,21.84,22.076,127
46,22.8,23.036,127
46,22.8,23.036,127
39,22.8,23.04,127
48,23.06,23.296,127
41,23.06,23.296,127
41,23.3,23.536,127
48,23.3,23.536,127
39,23.54,23.776,127
46,23.54,23.776,127
41,23.78,24.016000000000002,127
48,23.78,24.016000000000002,127
39,24.713,24.953,127
46,24.713,24.953,127
41,24.96,25.196,127
48,24.96,25.196,127
41,25.2,25.436,127
48,25.2,25.436,127
39,25.44,25.676000000000002,127
46,25.44,25.676000000000002,127
41,25.68,25.916,127
48,25.68,25.916,127
41,26.64,26.876,127
48,26.64,26.876,127
43,26.88,27.116,127
50,26.88,27.116,127
43,27.12,27.341,127
50,27.12,27.341,127
41,27.36,27.596,127
48,27.36,27.596,127
50,27.593,27.829,127
43,27.593,27.829,127
41,28.553,28.793,127
48,28.553,28.793,127
43,28.8,29.036,127
50,28.8,29.036,127
43,29.04,29.276,127
50,29.04,29.276,127
41,29.28,29.516000000000002,127
48,29.28,29.516000000000002,127
43,29.52,29.756,127
50,29.52,29.756,127
41,30.48,30.716,127
48,30.48,30.716,127
43,30.72,30.956,127
50,30.72,30.956,127
43,30.96,31.196,127
50,30.96,31.196,127
41,31.2,31.436,127
48,31.2,31.436,127
43,31.44,31.676000000000002,127
50,31.44,31.676000000000002,127
41,32.4,32.636,127
48,32.4,32.636,127
43,32.64,32.876,127
50,32.64,32.876,127
43,32.88,33.116,127
50,32.88,33.116,127
41,33.12,33.356,127
48,33.12,33.356,127
43,33.36,33.596000000000004,127
50,33.36,33.596000000000004,127
46,34.32,34.556,127
53,34.32,34.556,127
48,34.56,34.796,127
55,34.56,34.796,127
48,34.800000000000004,35.036,127
55,34.800000000000004,35.036,127
46,35.04,35.276,127
53,35.04,35.276,127
48,35.28,35.516,127
55,35.28,35.516,127
46,36.24,36.476,127
53,36.24,36.476,127
48,36.480000000000004,36.716,127
55,36.480000000000004,36.716,127
48,36.72,36.956,127
55,36.72,36.956,127
46,36.96,37.196,127
53,36.96,37.196,127
48,37.2,37.436,127
55,37.2,37.436,127
46,38.160000000000004,38.396,127
53,38.160000000000004,38.396,127
48,38.4,38.636,127
55,38.4,38.636,127
48,38.64,38.876,127
55,38.64,38.876,127
46,38.88,39.116,127
53,38.88,39.116,127
48,39.12,39.356,127
55,39.12,39.356,127
46,40.08,40.316,127
53,40.08,40.316,127
48,40.32,40.556,127
55,40.32,40.556,127
48,40.56,40.796,127
55,40.56,40.796,127
46,40.800000000000004,41.036,127
53,40.800000000000004,41.036,127
48,41.04,41.756,127
55,41.04,41.756,127
46,42.0,42.236000000000004,127
53,42.0,42.236000000000004,127
48,42.24,42.476,127
55,42.24,42.476,127
48,42.480000000000004,42.716,127
55,42.480000000000004,42.716,127
46,42.72,42.956,127
53,42.72,42.956,127
48,42.96,43.676,127
55,42.96,43.676,127
46,43.92,44.156,127
53,43.92,44.156,127
48,44.160000000000004,44.396,127
55,44.160000000000004,44.396,127
48,44.4,44.636,127
55,44.4,44.636,127
46,44.64,44.876,127
53,44.64,44.876,127
48,44.88,45.596000000000004,127
55,44.88,45.596000000000004,127
46,45.84,46.076,127
53,45.84,46.076,127
46,46.08,46.556000000000004,127
53,46.56,46.796,127
43,46.800000000000004,47.036,127
41,47.04,47.516,127
53,47.52,47.996,127
46,48.0,48.476,127
53,48.480000000000004,48.716,127
41,48.72,48.956,127
41,48.96,49.436,127
48,49.44,49.916000000000004,127
41,49.92,50.156,127
48,49.92,50.156,127
41,50.160000000000004,50.396,127
48,50.160000000000004,50.396,127
39,50.4,50.636,127
46,50.4,50.636,127
41,50.64,50.876,127
48,50.64,50.876,127
46,51.6,51.836,127
46,51.6,51.836,127
39,51.6,51.84,127
41,51.84,52.076,127
48,51.84,52.076,127
41,52.08,52.316,127
48,52.08,52.316,127
39,52.32,52.556000000000004,127
46,52.32,52.556000000000004,127
41,52.56,52.796,127
48,52.56,52.796,127
39,53.52,53.756,127
46,53.52,53.756,127
41,53.76,53.996,127
48,53.76,53.996,127
41,54.0,54.236000000000004,127
48,54.0,54.236000000000004,127
39,54.24,54.476,127
46,54.24,54.476,127
41,54.480000000000004,54.716,127
48,54.480000000000004,54.716,127
39,55.44,55.676,127
46,55.44,55.676,127
41,55.68,55.916000000000004,127
48,55.68,55.916000000000004,127
41,55.92,56.156,127
48,55.92,56.156,127
39,56.160000000000004,56.396,127
46,56.160000000000004,56.396,127
41,56.4,56.636,127
48,56.4,56.636,127
39,57.36,57.596000000000004,127
46,57.36,57.596000000000004,127
41,57.6,57.836,127
48,57.6,57.836,127
41,57.84,58.076,127
48,57.84,58.076,127
39,58.08,58.316,127
46,58.08,58.316,127
41,58.32,58.556000000000004,127
48,58.32,58.556000000000004,127
39,59.28,59.516,127
46,59.28,59.516,127
41,59.52,59.756,127
48,59.52,59.756,127
41,59.76,59.996,127
48,59.76,59.996,127
39,60.0,60.236000000000004,127
46,60.0,60.236000000000004,127
41,60.24,60.476,127
48,60.24,60.476,127
46,61.2,61.436,127
46,61.2,61.436,127
39,61.2,61.44,127
48,61.46,61.696,127
41,61.46,61.696,127
41,61.7,61.936,127
48,61.7,61.936,127
39,61.940000000000005,62.176,127
46,61.940000000000005,62.176,127
41,62.18,62.416000000000004,127
48,62.18,62.416000000000004,127
39,63.113,63.353,127
46,63.113,63.353,127
41,63.36,63.596000000000004,127
48,63.36,63.596000000000004,127
41,63.6,63.836,127
48,63.6,63.836,127
39,63.84,64.07600000000001,127
46,63.84,64.07600000000001,127
41,64.08,64.316,127
48,64.08,64.316,127
41,65.04,65.276,127
48,65.04,65.276,127
43,65.28,65.516,127
50,65.28,65.516,127
43,65.52,65.741,127
50,65.52,65.741,127
41,65.76,65.996,127
48,65.76,65.996,127
50,65.993,66.229,127
43,65.993,66.229,127
41,66.953,67.193,127
48,66.953,67.193,127
43,67.2,67.436,127
50,67.2,67.436,127
43,67.44,67.676,127
50,67.44,67.676,127
41,67.68,67.916,127
48,67.68,67.916,127
43,67.92,68.156,127
50,67.92,68.156,127
41,68.88,69.116,127
48,68.88,69.116,127
43,69.12,69.356,127
50,69.12,69.356,127
43,69.36,69.596,127
50,69.36,69.596,127
41,69.60000000000001,69.836,127
48,69.60000000000001,69.836,127
43,69.84,70.07600000000001,127
50,69.84,70.07600000000001,127
41,70.8,71.036,127
48,70.8,71.036,127
43,71.04,71.276,127
50,71.04,71.276,127
43,71.28,71.516,127
50,71.28,71.516,127
41,71.52,71.756,127
48,71.52,71.756,127
43,71.76,71.996,127
50,71.76,71.996,127
46,72.72,72.956,127
53,72.72,72.956,127
48,72.96000000000001,73.196,127
55,72.96000000000001,73.196,127
48,73.2,73.436,127
55,73.2,73.436,127
46,73.44,73.676,127
53,73.44,73.676,127
48,73.68,73.916,127
55,73.68,73.916,127
46,74.64,74.876,127
53,74.64,74.876,127
48,74.88,75.116,127
55,74.88,75.116,127
48,75.12,75.356,127
55,75.12,75.356,127
46,75.36,75.596,127
53,75.36,75.596,127
48,75.60000000000001,75.836,127
55,75.60000000000001,75.836,127
46,76.56,76.796,127
53,76.56,76.796,127
48,76.8,77.036,127
55,76.8,77.036,127
48,77.04,77.276,127
55,77.04,77.276,127
46,77.28,77.516,127
53,77.28,77.516,127
48,77.52,77.756,127
55,77.52,77.756,127
46,78.48,78.71600000000001,127
53,78.48,78.71600000000001,127
48,78.72,78.956,127
55,78.72,78.956,127
48,78.96000000000001,79.196,127
55,78.96000000000001,79.196,127
46,79.2,79.436,127
53,79.2,79.436,127
48,79.44,80.156,127
55,79.44,80.156,127
46,80.4,80.636,127
53,80.4,80.636,127
48,80.64,80.876,127
55,80.64,80.876,127
48,80.88,81.116,127
55,80.88,81.116,127
46,81.12,81.35600000000001,127
53,81.12,81.35600000000001,127
48,81.36,82.07600000000001,127
55,81.36,82.07600000000001,127
46,82.32000000000001,82.556,127
53,82.32000000000001,82.556,127
48,82.56,82.796,127
55,82.56,82.796,127
48,82.8,83.036,127
55,82.8,83.036,127
46,83.04,83.276,127
53,83.04,83.276,127
48,83.28,83.996,127
55,83.28,83.996,127
46,84.24,84.476,127
53,84.24,84.476,127
46,84.48,84.956,127
53,84.96000000000001,85.196,127
41,85.2,85.436,127
41,85.44,85.916,127
53,85.92,86.396,127
46,86.64,86.876,127
46,86.88,87.116,127
46,87.12,87.35600000000001,127
46,87.36,87.596,127
46,87.60000000000001,87.836,127
46,87.84,88.07600000000001,127
48,88.08,88.316,127
41,88.32000000000001,88.556,127
48,88.32000000000001,88.556,127
41,88.56,88.796,127
48,88.56,88.796,127
39,88.8,89.036,127
46,88.8,89.036,127
41,89.04,89.276,127
48,89.04,89.276,127
46,90.0,90.236,127
46,90.0,90.236,127
39,90.0,90.24,127
41,90.24,90.476,127
48,90.24,90.476,127
41,90.48,90.71600000000001,127
48,90.48,90.71600000000001,127
39,90.72,90.956,127
46,90.72,90.956,127
41,90.96000000000001,91.196,127
48,90.96000000000001,91.196,127
39,91.92,92.156,127
46,91.92,92.156,127
41,92.16,92.396,127
48,92.16,92.396,127
41,92.4,92.636,127
48,92.4,92.636,127
39,92.64,92.876,127
46,92.64,92.876,127
41,92.88,93.116,127
48,92.88,93.116,127
39,93.84,94.07600000000001,127
46,93.84,94.07600000000001,127
41,94.08,94.316,127
48,94.08,94.316,127
41,94.32000000000001,94.556,127
48,94.32000000000001,94.556,127
39,94.56,94.796,127
46,94.56,94.796,127
41,94.8,95.036,127
48,94.8,95.036,127
39,95.76,95.996,127
46,95.76,95.996,127
41,96.0,96.236,127
48,96.0,96.236,127
41,96.24000000000001,96.476,127
48,96.24000000000001,96.476,127
39,96.48,96.71600000000001,127
46,96.48,96.71600000000001,127
41,96.72,96.956,127
48,96.72,96.956,127
39,97.68,97.916,127
46,97.68,97.916,127
41,97.92,98.156,127
48,97.92,98.156,127
41,98.16,98.396,127
48,98.16,98.396,127
39,98.4,98.636,127
46,98.4,98.636,127
41,98.64,98.876,127
48,98.64,98.876,127
46,99.60000000000001,99.836,127
46,99.60000000000001,99.836,127
39,99.60000000000001,99.84,127
48,99.86,100.096,127
41,99.86,100.096,127
41,100.10000000000001,100.336,127
48,100.10000000000001,100.336,127
39,100.34,100.57600000000001,127
46,100.34,100.57600000000001,127
41,100.58,100.816,127
48,100.58,100.816,127
39,101.513,101.753,127
46,101.513,101.753,127
41,101.76,101.996,127
48,101.76,101.996,127
41,102.0,102.236,127
48,102.0,102.236,127
39,102.24000000000001,102.476,127
46,102.24000000000001,102.476,127
41,102.48,102.71600000000001,127
48,102.48,102.71600000000001,127
41,103.44,103.676,127
48,103.44,103.676,127
43,103.68,103.916,127
50,103.68,103.916,127
43,103.92,104.141,127
50,103.92,104.141,127
41,104.16,104.396,127
48,104.16,104.396,127
50,104.393,104.629,127
43,104.393,104.629,127
41,105.35300000000001,105.593,127
48,105.35300000000001,105.593,127
43,105.60000000000001,105.836,127
50,105.60000000000001,105.836,127
43,105.84,106.07600000000001,127
50,105.84,106.07600000000001,127
41,106.08,106.316,127
48,106.08,106.316,127
43,106.32000000000001,106.556,127
50,106.32000000000001,106.556,127
41,107.28,107.516,127
48,107.28,107.516,127
43,107.52,107.756,127
50,107.52,107.756,127
43,107.76,107.99600000000001,127
50,107.76,107.99600000000001,127
41,108.0,108.236,127
48,108.0,108.236,127
43,108.24000000000001,108.476,127
50,108.24000000000001,108.476,127
41,109.2,109.436,127
48,109.2,109.436,127
43,109.44,109.676,127
50,109.44,109.676,127
43,109.68,109.916,127
50,109.68,109.916,127
41,109.92,110.156,127
48,109.92,110.156,127
43,110.16,110.396,127
50,110.16,110.396,127
46,111.12,111.35600000000001,127
53,111.12,111.35600000000001,127
48,111.36,111.596,127
55,111.36,111.596,127
48,111.60000000000001,111.836,127
55,111.60000000000001,111.836,127
46,111.84,112.07600000000001,127
53,111.84,112.07600000000001,127
48,112.08,112.316,127
55,112.08,112.316,127
46,113.04,113.276,127
53,113.04,113.276,127
48,113.28,113.516,127
55,113.28,113.516,127
48,113.52,113.756,127
55,113.52,113.756,127
46,113.76,113.99600000000001,127
53,113.76,113.99600000000001,127
48,114.0,114.236,127
55,114.0,114.236,127
46,114.96000000000001,115.196,127
53,114.96000000000001,115.196,127
48,115.2,115.436,127
55,115.2,115.436,127
48,115.44,115.676,127
55,115.44,115.676,127
46,115.68,115.916,127
53,115.68,115.916,127
48,115.92,116.156,127
55,115.92,116.156,127
46,116.88,117.116,127
53,116.88,117.116,127
48,117.12,117.35600000000001,127
55,117.12,117.35600000000001,127
48,117.36,117.596,127
55,117.36,117.596,127
46,117.60000000000001,117.836,127
53,117.60000000000001,117.836,127
48,117.84,118.556,127
