0.0
100.0
Note,Start,End,Volume
45,4.8,4.95,100
47,4.95,5.1000000000000005,100
50,5.1000000000000005,5.25,100
52,5.25,5.4,100
40,5.4,5.8500000000000005,100
57,5.8500000000000005,6.0,100
59,6.0,6.3,100
57,6.3,6.45,100
56,6.45,6.6000000000000005,100
57,6.6000000000000005,6.75,100
56,6.75,6.9,100
52,6.9,7.2,100
45,7.2,7.3500000000000005,100
47,7.3500000000000005,7.5,100
50,7.5,7.65,100
52,7.65,7.8,100
40,7.8,8.25,100
57,8.25,8.4,100
59,8.4,8.700000000000001,100
57,8.700000000000001,8.85,100
56,8.85,9.0,100
57,9.0,9.6,100
45,9.6,9.75,100
47,9.75,9.9,100
50,9.9,10.05,100
52,10.05,10.200000000000001,100
40,10.200000000000001,10.65,100
57,10.65,10.8,100
59,10.8,11.1,100
57,11.1,11.25,100
56,11.25,11.4,100
57,11.4,11.55,100
56,11.55,11.700000000000001,100
52,11.700000000000001,12.0,100
45,12.0,12.15,100
47,12.15,12.3,100
50,12.3,12.450000000000001,100
52,12.450000000000001,12.6,100
40,12.6,13.05,100
57,13.05,13.200000000000001,100
59,13.200000000000001,13.5,100
57,13.5,13.65,100
56,13.65,13.8,100
57,13.8,14.4,100
45,14.4,14.55,100
47,14.55,14.700000000000001,100
50,14.700000000000001,14.85,100
52,14.85,15.0,100
40,15.0,15.450000000000001,100
57,15.450000000000001,15.6,100
59,15.6,15.9,100
57,15.9,16.05,100
56,16.05,16.2,100
57,16.2,16.35,100
56,16.35,16.5,100
52,16.5,16.8,100
45,16.8,16.95,100
47,16.95,17.1,100
50,17.1,17.25,100
52,17.25,17.400000000000002,100
40,17.400000000000002,17.85,100
57,17.85,18.0,100
59,18.0,18.3,100
56,18.3,18.45,100
57,18.45,18.6,100
57,18.6,19.165,100
40,19.2,19.765,100
43,20.25,20.400000000000002,100
44,20.55,20.7,100
47,20.85,21.0,100
49,21.150000000000002,21.3,100
52,21.3,21.45,100
49,21.45,21.6,100
52,21.6,22.05,100
52,22.05,22.2,100
49,22.2,22.35,100
52,22.35,22.5,100
49,22.650000000000002,22.8,100
52,22.8,23.365000000000002,100
43,23.400000000000002,23.7,100
40,23.7,24.0,100
50,24.0,24.150000000000002,100
52,24.150000000000002,24.3,100
52,24.45,24.6,100
52,24.6,24.75,100
52,24.75,24.900000000000002,100
43,25.05,25.2,100
45,25.35,25.5,100
47,25.650000000000002,25.8,100
49,25.95,26.1,100
52,26.1,26.400000000000002,100
52,26.400000000000002,26.85,100
52,26.85,27.0,100
49,27.0,27.150000000000002,100
52,27.150000000000002,27.3,100
52,27.45,27.6,100
52,27.75,27.900000000000002,100
52,28.05,28.2,100
43,28.2,28.5,100
40,28.5,28.8,100
50,28.8,28.95,100
52,28.95,29.1,100
52,29.25,29.400000000000002,100
52,29.400000000000002,29.55,100
52,29.55,29.7,100
43,29.85,30.0,100
44,30.150000000000002,30.3,100
47,30.45,30.6,100
49,30.75,30.900000000000002,100
52,30.900000000000002,31.05,100
49,31.05,31.2,100
52,31.2,31.650000000000002,100
52,31.650000000000002,31.8,100
49,31.8,31.95,100
52,31.95,32.1,100
52,32.25,32.4,100
52,32.55,32.7,100
52,32.85,33.0,100
43,33.0,33.3,100
40,33.3,33.6,100
50,33.6,33.75,100
52,33.75,33.9,100
52,33.9,34.05,100
52,34.05,34.2,100
52,34.2,34.35,100
52,34.35,34.5,100
43,34.65,34.800000000000004,100
44,34.800000000000004,34.95,100
47,34.95,35.1,100
47,35.25,35.4,100
49,35.4,35.550000000000004,100
52,35.550000000000004,35.7,100
49,35.85,36.0,100
52,36.0,36.45,100
52,36.45,36.6,100
52,36.6,36.75,100
52,36.75,36.9,100
49,37.050000000000004,37.2,100
52,37.35,37.5,100
52,37.65,37.800000000000004,100
43,37.800000000000004,38.075,100
40,38.1,38.4,100
50,38.4,38.825,100
52,38.85,39.0,100
52,39.0,39.15,100
52,39.15,39.300000000000004,100
57,39.45,39.725,100
62,39.75,39.9,100
62,40.050000000000004,40.2,100
59,40.2,40.475,100
64,40.5,40.65,100
59,40.65,40.725,110
52,40.800000000000004,41.25,100
52,41.25,41.4,100
50,41.4,41.550000000000004,100
47,41.550000000000004,41.7,100
45,41.85,42.0,100
43,42.15,42.300000000000004,100
40,42.45,42.6,100
43,42.6,42.875,100
40,42.9,43.2,100
52,43.2,43.65,100
52,43.65,43.800000000000004,100
52,43.800000000000004,43.95,100
52,43.95,44.1,100
52,44.25,44.4,100
57,44.550000000000004,44.825,100
62,44.85,45.0,100
59,45.0,45.275,100
64,45.300000000000004,45.45,100
61,45.45,45.525,100
52,45.6,46.050000000000004,100
52,46.050000000000004,46.2,100
52,46.2,46.35,100
52,46.35,46.5,100
50,46.65,46.800000000000004,100
47,46.95,47.1,100
40,47.25,47.4,100
43,47.4,47.7,100
40,47.7,48.0,100
50,48.0,48.425000000000004,100
52,48.45,48.6,100
52,48.6,48.75,100
52,48.75,48.9,100
57,49.050000000000004,49.325,100
62,49.35,49.5,100
62,49.65,49.800000000000004,100
59,49.800000000000004,50.075,100
64,50.1,50.25,100
59,50.25,50.325,110
52,50.4,50.85,100
52,50.85,51.0,100
52,51.0,51.15,100
52,51.15,51.300000000000004,100
50,51.45,51.6,100
47,51.75,51.9,100
40,52.050000000000004,52.2,100
43,52.2,52.5,100
40,52.5,52.800000000000004,100
50,52.800000000000004,53.225,100
52,53.25,53.4,100
52,53.4,53.550000000000004,100
52,53.550000000000004,53.85,100
52,53.85,54.15,100
52,54.15,54.45,100
52,54.45,54.6,100
52,54.6,54.75,100
50,54.75,54.9,100
47,54.9,55.050000000000004,100
45,55.050000000000004,55.2,100
45,55.2,55.35,100
47,55.35,55.5,100
50,55.5,55.65,100
52,55.65,55.800000000000004,100
40,55.800000000000004,56.25,100
57,56.25,56.4,100
59,56.4,56.7,100
57,56.7,56.85,100
56,56.85,57.0,100
57,57.0,57.6,100
45,57.6,57.75,100
47,57.75,57.9,100
50,57.9,58.050000000000004,100
52,58.050000000000004,58.2,100
40,58.2,58.65,100
57,58.65,58.800000000000004,100
59,58.800000000000004,59.1,100
57,59.1,59.25,100
56,59.25,59.4,100
57,59.4,59.550000000000004,100
56,59.550000000000004,59.7,100
52,59.7,60.0,100
45,60.0,60.15,100
47,60.15,60.300000000000004,100
50,60.300000000000004,60.45,100
52,60.45,60.6,100
40,60.6,61.050000000000004,100
57,61.050000000000004,61.2,100
59,61.2,61.5,100
57,61.5,61.65,100
56,61.65,61.800000000000004,100
57,61.800000000000004,62.4,100
45,62.4,62.550000000000004,100
47,62.550000000000004,62.7,100
50,62.7,62.85,100
52,62.85,63.0,100
40,63.0,63.45,100
57,63.45,63.6,100
59,63.6,63.9,100
57,63.9,64.05,100
56,64.05,64.2,100
57,64.2,64.35,100
56,64.35,64.5,100
52,64.5,64.8,100
45,64.8,64.95,100
47,64.95,65.1,100
50,65.1,65.25,100
52,65.25,65.4,100
40,65.4,65.85,100
57,65.85,66.0,100
59,66.0,66.3,100
57,66.3,66.45,100
56,66.45,66.6,100
57,66.6,67.2,100
45,67.2,67.35,100
47,67.35,67.5,100
50,67.5,67.65,100
52,67.65,67.8,100
40,67.8,68.25,100
57,68.25,68.4,100
59,68.4,68.7,100
57,68.7,68.85000000000001,100
56,68.85000000000001,69.0,100
57,69.0,69.15,100
56,69.15,69.3,100
52,69.3,69.60000000000001,100
45,69.60000000000001,69.75,100
47,69.75,69.9,100
50,69.9,70.05,100
52,70.05,70.2,100
40,70.2,70.65,100
57,70.65,70.8,100
59,70.8,71.10000000000001,100
57,71.10000000000001,71.25,100
56,71.25,71.4,100
57,71.4,72.0,100
40,72.0,72.45,100
40,72.45,72.60000000000001,100
43,72.60000000000001,72.75,100
44,72.75,73.05,100
45,73.05,73.35000000000001,100
46,73.35000000000001,73.65,100
47,73.65,74.10000000000001,100
49,74.10000000000001,74.4,100
52,74.4,74.85000000000001,100
49,74.85000000000001,75.0,100
52,75.0,75.15,100
59,75.15,75.45,100
55,75.45,75.60000000000001,100
56,75.60000000000001,75.9,100
59,75.9,76.05,100
59,76.05,76.2,100
47,76.2,76.35000000000001,100
47,76.35000000000001,76.5,100
45,76.5,76.65,100
45,76.65,76.8,100
40,76.8,77.25,100
40,77.25,77.4,100
43,77.4,77.55,100
44,77.55,77.85000000000001,100
45,77.85000000000001,78.15,100
46,78.15,78.45,100
47,78.45,78.75,100
47,78.75,79.05,100
47,79.05,79.2,100
52,79.2,79.65,100
49,79.65,79.8,100
52,79.8,79.95,100
52,79.95,80.10000000000001,100
49,80.25,80.4,100
52,80.55,80.7,100
40,80.85000000000001,81.0,100
43,81.0,81.15,100
44,81.15,81.3,100
40,81.3,81.60000000000001,100
40,81.60000000000001,82.05,100
40,82.05,82.2,100
43,82.2,82.35000000000001,100
44,82.35000000000001,82.65,100
45,82.65,82.95,100
46,82.95,83.25,100
47,83.25,83.55,100
49,83.55,83.85000000000001,100
49,83.85000000000001,84.0,100
52,84.0,84.45,100
49,84.45,84.60000000000001,100
52,84.60000000000001,84.75,100
52,84.75,85.05,100
49,85.05,85.35000000000001,100
52,85.35000000000001,85.65,100
40,85.65,85.8,100
43,85.8,85.95,100
44,85.95,86.10000000000001,100
40,86.10000000000001,86.4,100
40,86.4,86.85000000000001,100
40,86.85000000000001,87.0,100
43,87.0,87.15,100
44,87.15,87.45,100
45,87.45,87.75,100
46,87.75,88.05,100
47,88.05,88.2,100
48,88.2,88.35000000000001,100
49,88.35000000000001,88.5,100
50,88.5,88.65,100
51,88.65,88.8,100
52,88.8,89.25,100
49,89.25,89.4,100
52,89.4,89.55,100
52,89.55,89.85000000000001,100
49,89.85000000000001,90.15,100
52,90.15,90.45,100
40,90.45,90.60000000000001,100
43,90.60000000000001,90.75,100
44,90.75,90.9,100
40,90.9,91.2,100
49,91.2,91.35000000000001,100
52,91.35000000000001,91.65,100
52,91.65,91.8,100
52,91.8,91.95,100
52,91.95,92.10000000000001,100
57,92.25,92.4,100
59,92.4,92.55,100
62,92.55,92.85000000000001,100
59,92.85000000000001,92.9,100
62,93.0,93.15,100
64,93.15,93.3,100
67,93.3,93.60000000000001,100
52,93.60000000000001,94.05,100
52,94.05,94.2,100
52,94.2,94.35000000000001,100
52,94.35000000000001,94.65,100
50,94.65,94.8,100
50,94.95,95.10000000000001,100
40,95.25,95.4,100
43,95.4,95.55,100
44,95.55,95.7,100
40,95.7,96.0,100
49,96.0,96.3,100
52,96.3,96.45,100
52,96.45,96.60000000000001,100
52,96.60000000000001,96.75,100
52,96.75,97.05,100
52,97.05,97.2,100
57,97.5,97.65,100
59,97.65,97.8,100
62,97.8,97.95,100
59,97.95,98.10000000000001,100
61,98.10000000000001,98.25,100
64,98.25,98.4,100
52,98.4,98.85000000000001,100
52,98.85000000000001,99.0,100
52,99.0,99.15,100
52,99.15,99.45,100
50,99.45,99.60000000000001,100
50,99.75,99.9,100
40,100.05,100.2,100
43,100.2,100.35000000000001,100
44,100.35000000000001,100.5,100
40,100.5,100.8,100
45,100.8,100.95,100
47,100.95,101.25,100
52,101.25,101.4,100
52,101.4,101.55,100
52,101.55,101.7,100
52,101.85000000000001,102.0,100
50,102.15,102.3,100
47,102.45,102.60000000000001,100
50,102.60000000000001,102.75,100
52,102.75,102.9,100
55,102.9,103.05,100
56,103.05,103.2,100
52,103.2,103.65,100
49,103.65,103.72500000000001,100
50,103.8,103.95,100
51,103.95,104.10000000000001,100
52,104.10000000000001,104.25,100
52,104.25,104.4,100
46,104.55,104.7,100
47,104.7,104.85000000000001,100
40,104.85000000000001,105.0,100
43,105.0,105.15,100
44,105.15,105.3,100
40,105.3,105.60000000000001,100
50,105.60000000000001,105.75,100
52,105.75,105.9,100
52,105.9,106.05,100
52,106.05,106.2,100
52,106.2,106.65,100
57,106.65,106.8,100
59,106.8,107.10000000000001,100
57,107.10000000000001,107.25,100
56,107.25,107.4,100
57,107.4,107.55,100
56,107.55,107.7,100
52,107.7,108.0,100
45,108.0,108.15,100
47,108.15,108.3,100
50,108.3,108.45,100
52,108.45,108.60000000000001,100
40,108.60000000000001,109.05,100
57,109.05,109.2,100
59,109.2,109.5,100
57,109.5,109.65,100
56,109.65,109.8,100
57,109.8,110.4,100
45,110.4,110.55,100
47,110.55,110.7,100
50,110.7,110.85000000000001,100
52,110.85000000000001,111.0,100
40,111.0,111.45,100
57,111.45,111.60000000000001,100
59,111.60000000000001,111.9,100
57,111.9,112.05,100
56,112.05,112.2,100
57,112.2,112.35000000000001,100
56,112.35000000000001,112.5,100
52,112.5,112.8,100
45,112.8,112.95,100
47,112.95,113.10000000000001,100
50,113.10000000000001,113.25,100
52,113.25,113.4,100
40,113.4,113.85000000000001,100
57,113.85000000000001,114.0,100
59,114.0,114.3,100
57,114.3,114.45,100
56,114.45,114.60000000000001,100
57,114.60000000000001,115.2,100
45,115.2,115.35000000000001,100
47,115.35000000000001,115.5,100
50,115.5,115.65,100
52,115.65,115.8,100
40,115.8,116.25,100
57,116.25,116.4,100
59,116.4,116.7,100
57,116.7,116.85000000000001,100
56,116.85000000000001,117.0,100
57,117.0,117.15,100
56,117.15,117.3,100
52,117.3,117.60000000000001,100
45,117.60000000000001,117.75,100
47,117.75,117.9,100
50,117.9,118.05,100
52,118.05,118.2,100
40,118.2,118.65,100
57,118.65,118.8,100
59,118.8,119.10000000000001,100
57,119.10000000000001,119.25,100
56,119.25,119.4,100
57,119.4,120.0,100
45,120.0,120.15,100
47,120.15,120.3,100
50,120.3,120.45,100
52,120.45,120.60000000000001,100
40,120.60000000000001,121.05,100
57,121.05,121.2,100
59,121.2,121.5,100
57,121.5,121.65,100
56,121.65,121.8,100
57,121.8,121.95,100
56,121.95,122.10000000000001,100
52,122.10000000000001,122.4,100
45,122.4,122.55,100
47,122.55,122.7,100
50,122.7,122.85000000000001,100
52,122.85000000000001,123.0,100
40,123.0,123.45,100
57,123.45,123.60000000000001,100
59,123.60000000000001,123.9,100
57,123.9,124.05,100
56,124.05,124.2,100
57,124.2,127.2,100
