0.0
160.0
Note,Start,End,Volume
48,4.5,4.875,100
48,4.875,5.0625,100
52,5.25,5.4375,100
53,5.4375,5.625,100
55,5.625,6.0,100
45,6.0,6.375,100
45,6.375,6.75,100
45,6.9375,7.125,100
48,7.125,7.3125,100
45,7.3125,7.5,100
41,7.5,7.875,100
41,7.875,8.25,100
41,8.25,8.625,100
43,9.0,9.1875,100
43,9.200000000000001,9.575000000000001,100
43,9.540625,9.575000000000001,100
43,9.959375000000001,10.146875000000001,100
45,10.137500000000001,10.512500000000001,100
48,10.5,10.875,100
48,10.86875,10.875,100
48,11.0625,11.25,100
52,11.25,11.4375,100
53,11.4375,11.625,100
55,11.625,12.0,100
45,12.0,12.375,100
45,12.375,12.75,100
45,12.9375,13.125,100
48,13.125,13.3125,100
45,13.3125,13.5,100
41,13.5,13.875,100
41,13.875,14.25,100
43,14.8125,15.0,100
43,15.0,15.1875,100
43,15.175,15.1875,100
43,15.55,15.925,100
43,15.921875,15.925,100
45,16.125,16.5,100
48,16.5,16.875,100
48,16.875,17.0625,100
52,17.25,17.4375,100
53,17.4375,17.625,100
55,17.625,18.0,100
45,18.0,18.375,100
45,18.375,18.75,100
45,18.9375,19.125,100
48,19.125,19.3125,100
45,19.3125,19.5,100
41,19.5,19.875,100
41,19.875,20.25,100
41,20.25,20.625,100
43,21.0,21.1875,100
43,21.200000000000003,21.575000000000003,100
43,21.540625000000002,21.575000000000003,100
43,21.959375,22.146875,100
45,22.137500000000003,22.512500000000003,100
48,22.5,22.875,100
48,22.868750000000002,22.875,100
48,23.0625,23.25,100
52,23.25,23.4375,100
53,23.4375,23.625,100
55,23.625,24.0,100
45,24.0,24.375,100
45,24.375,24.75,100
45,24.9375,25.125,100
48,25.125,25.3125,100
45,25.3125,25.5,100
41,25.5,25.875,100
41,25.875,26.25,100
43,26.8125,27.0,100
43,27.0,27.1875,100
43,27.175,27.1875,100
43,27.55,27.925,100
43,27.921875,27.925,100
45,28.125,28.5,100
48,28.5,28.875,100
48,28.868750000000002,28.875,100
48,29.0625,29.25,100
52,29.25,29.4375,100
53,29.4375,29.625,100
55,29.625,30.0,100
45,30.0,30.375,100
45,30.375,30.75,100
45,30.9375,31.125,100
48,31.125,31.3125,100
45,31.3125,31.5,100
41,31.5,31.875,100
41,31.875,32.25,100
41,32.8125,33.0,100
43,33.0,33.375,100
43,33.550000000000004,33.925000000000004,100
43,34.125,34.5,100
45,34.5,36.75,100
43,39.9375,40.125,100
45,40.125,40.3125,100
47,40.3125,40.5,100
48,40.5,40.875,100
48,40.875,41.0625,100
52,41.25,41.4375,100
53,41.4375,41.625,100
55,41.625,42.0,100
45,42.0,42.375,100
45,42.375,42.75,100
45,42.9375,43.125,100
48,43.125,43.3125,100
45,43.3125,43.5,100
41,43.5,43.875,100
41,43.875,44.25,100
41,44.25,44.625,100
43,45.0,45.1875,100
43,45.2,45.575,100
43,45.540625000000006,45.575,100
43,45.959375,46.146875,100
45,46.1375,46.5125,100
48,46.5,46.875,100
48,46.868750000000006,46.875,100
48,47.0625,47.25,100
52,47.25,47.4375,100
53,47.4375,47.625,100
55,47.625,48.0,100
45,48.0,48.375,100
45,48.375,48.75,100
45,48.9375,49.125,100
48,49.125,49.3125,100
45,49.3125,49.5,100
41,49.5,49.875,100
41,49.875,50.25,100
43,50.8125,51.0,100
43,51.0,51.1875,100
43,51.175000000000004,51.1875,100
43,51.550000000000004,51.925000000000004,100
43,51.921875,51.925000000000004,100
45,52.125,52.5,100
48,52.5,52.875,100
48,52.868750000000006,52.875,100
48,53.0625,53.25,100
52,53.25,53.4375,100
53,53.4375,53.625,100
55,53.625,54.0,100
45,54.0,54.375,100
45,54.375,54.75,100
45,54.9375,55.125,100
48,55.125,55.3125,100
45,55.3125,55.5,100
41,55.5,55.875,100
41,55.875,56.25,100
41,56.8125,57.0,100
43,57.0,57.375,100
43,57.550000000000004,57.925000000000004,100
43,58.125,58.5,100
45,58.5,60.75,100
45,64.5,64.6875,100
45,64.6875,64.875,100
45,65.0625,65.25,100
45,65.25,65.625,100
45,66.0,66.1875,100
45,66.1875,66.375,100
45,66.5625,66.75,100
45,66.75,67.125,100
43,67.5,67.6875,100
43,67.6875,67.875,100
43,68.0625,68.25,100
43,68.25,68.625,100
43,69.0,69.1875,100
43,69.1875,69.375,100
43,69.5625,69.75,100
43,69.75,70.125,100
45,70.5,70.6875,100
45,70.6875,70.875,100
45,71.0625,71.25,100
45,71.25,71.625,100
45,72.0,72.1875,100
45,72.1875,72.375,100
45,72.5625,72.75,100
45,72.75,73.125,100
43,73.5,73.6875,100
43,73.6875,73.875,100
43,74.0625,74.25,100
43,74.25,74.625,100
43,75.0,75.1875,100
43,75.1875,75.375,100
43,75.5625,75.75,100
43,75.75,76.125,100
45,76.5,76.6875,100
45,76.6875,76.875,100
45,77.0625,77.25,100
45,77.25,77.625,100
45,78.0,78.1875,100
45,78.1875,78.375,100
45,78.5625,78.75,100
45,78.75,79.125,100
43,79.5,79.6875,100
43,79.6875,79.875,100
43,80.0625,80.25,100
43,80.25,80.625,100
43,81.0,81.1875,100
43,81.1875,81.375,100
43,81.5625,81.75,100
43,81.75,82.125,100
41,82.5,85.5,100
43,85.5,87.75,100
43,87.9375,88.125,100
45,88.125,88.3125,100
47,88.3125,88.5,100
48,88.5,88.875,100
48,88.875,89.0625,100
52,89.25,89.4375,100
53,89.4375,89.625,100
55,89.625,90.0,100
45,90.0,90.375,100
45,90.375,90.75,100
45,90.9375,91.125,100
48,91.125,91.3125,100
45,91.3125,91.5,100
41,91.5,91.875,100
41,91.875,92.25,100
41,92.25,92.625,100
43,93.0,93.1875,100
43,93.2,93.575,100
43,93.540625,93.575,100
43,93.95937500000001,94.14687500000001,100
45,94.1375,94.5125,100
48,94.5,94.875,100
48,94.86875,94.875,100
48,95.0625,95.25,100
52,95.25,95.4375,100
53,95.4375,95.625,100
55,95.625,96.0,100
45,96.0,96.375,100
45,96.375,96.75,100
45,96.9375,97.125,100
48,97.125,97.3125,100
45,97.3125,97.5,100
41,97.5,97.875,100
41,97.875,98.25,100
43,98.8125,99.0,100
43,99.0,99.1875,100
43,99.17500000000001,99.1875,100
43,99.55000000000001,99.92500000000001,100
43,99.921875,99.92500000000001,100
45,100.125,100.5,100
48,100.5,100.875,100
48,100.86875,100.875,100
48,101.0625,101.25,100
52,101.25,101.4375,100
53,101.4375,101.625,100
55,101.625,102.0,100
45,102.0,102.375,100
45,102.375,102.75,100
45,102.9375,103.125,100
48,103.125,103.3125,100
45,103.3125,103.5,100
41,103.5,103.875,100
41,103.875,104.25,100
41,104.8125,105.0,100
43,105.0,105.375,100
43,105.55000000000001,105.92500000000001,100
43,106.125,106.5,100
45,106.5,108.75,100
43,111.946875,112.134375,100
45,112.11875,112.30625,100
47,112.31875000000001,112.50625000000001,100
48,112.5,112.875,100
48,112.875,113.0625,100
52,113.25,113.4375,100
53,113.4375,113.625,100
55,113.625,114.0,100
45,114.0,114.375,100
45,114.375,114.75,100
45,114.9375,115.125,100
48,115.125,115.3125,100
45,115.3125,115.5,100
41,115.5,115.875,100
41,115.875,116.25,100
41,116.25,116.625,100
43,117.0,117.1875,100
43,117.2,117.575,100
43,117.540625,117.575,100
43,117.95937500000001,118.14687500000001,100
45,118.1375,118.5125,100
48,118.5,118.875,100
48,118.86875,118.875,100
48,119.0625,119.25,100
52,119.25,119.4375,100
53,119.4375,119.625,100
55,119.625,120.0,100
45,120.0,120.375,100
45,120.375,120.75,100
45,120.9375,121.125,100
48,121.125,121.3125,100
45,121.3125,121.5,100
41,121.5,121.875,100
41,121.875,122.25,100
43,122.8125,123.0,100
43,123.0,123.1875,100
43,123.17500000000001,123.1875,100
43,123.55000000000001,123.92500000000001,100
43,123.921875,123.92500000000001,100
45,124.125,124.5,100
48,124.5,124.875,100
48,124.86875,124.875,100
48,125.0625,125.25,100
52,125.25,125.4375,100
53,125.4375,125.625,100
55,125.625,126.0,100
45,126.0,126.375,100
45,126.375,126.75,100
45,126.9375,127.125,100
48,127.125,127.3125,100
45,127.3125,127.5,100
41,127.5,127.875,100
41,127.875,128.25,100
41,128.8125,129.0,100
43,129.0,129.375,100
43,129.55,129.925,100
43,130.125,130.5,100
45,130.5,132.75,100
45,136.5,136.6875,100
45,136.6875,136.875,100
45,137.0625,137.25,100
45,137.25,137.625,100
45,138.0,138.1875,100
45,138.1875,138.375,100
45,138.5625,138.75,100
45,138.75,139.125,100
43,139.5,139.6875,100
43,139.6875,139.875,100
43,140.0625,140.25,100
43,140.25,140.625,100
43,141.0,141.1875,100
43,141.1875,141.375,100
43,141.5625,141.75,100
43,141.75,142.125,100
45,142.5,142.6875,100
45,142.6875,142.875,100
45,143.0625,143.25,100
45,143.25,143.625,100
45,144.0,144.1875,100
45,144.1875,144.375,100
45,144.5625,144.75,100
45,144.75,145.125,100
43,145.5,145.6875,100
43,145.6875,145.875,100
43,146.0625,146.25,100
43,146.25,146.625,100
43,147.0,147.1875,100
43,147.1875,147.375,100
43,147.5625,147.75,100
43,147.75,148.125,100
45,148.5,148.6875,100
45,148.6875,148.875,100
45,149.0625,149.25,100
45,149.25,149.625,100
45,150.0,150.1875,100
45,150.1875,150.375,100
45,150.5625,150.75,100
45,150.75,151.125,100
43,151.5,151.6875,100
43,151.6875,151.875,100
43,152.0625,152.25,100
43,152.25,152.625,100
43,153.0,153.1875,100
43,153.1875,153.375,100
43,153.5625,153.75,100
43,153.75,154.125,100
41,154.5,157.5,100
43,157.5,159.75,100
43,159.9375,160.125,100
45,160.125,160.3125,100
47,160.3125,160.5,100
48,160.5,160.875,100
48,160.875,161.0625,100
52,161.25,161.4375,100
53,161.4375,161.625,100
55,161.625,162.0,100
45,162.0,162.375,100
45,162.375,162.75,100
45,162.9375,163.125,100
48,163.125,163.3125,100
45,163.3125,163.5,100
41,163.5,163.875,100
41,163.875,164.25,100
41,164.25,164.625,100
43,165.0,165.1875,100
43,165.20000000000002,165.57500000000002,100
43,165.540625,165.57500000000002,100
43,165.95937500000002,166.14687500000002,100
45,166.13750000000002,166.51250000000002,100
48,166.5,166.875,100
48,166.86875,166.875,100
48,167.0625,167.25,100
52,167.25,167.4375,100
53,167.4375,167.625,100
55,167.625,168.0,100
45,168.0,168.375,100
45,168.375,168.75,100
45,168.9375,169.125,100
48,169.125,169.3125,100
45,169.3125,169.5,100
41,169.5,169.875,100
41,169.875,170.25,100
43,170.8125,171.0,100
43,171.0,171.1875,100
43,171.175,171.1875,100
43,171.55,171.925,100
43,171.921875,171.925,100
45,172.125,172.5,100
48,172.5,172.875,100
48,172.86875,172.875,100
48,173.0625,173.25,100
52,173.25,173.4375,100
53,173.4375,173.625,100
55,173.625,174.0,100
45,174.0,174.375,100
45,174.375,174.75,100
45,174.9375,175.125,100
48,175.125,175.3125,100
45,175.3125,175.5,100
41,175.5,175.875,100
41,175.875,176.25,100
41,176.8125,177.0,100
43,177.0,177.375,100
43,177.55,177.925,100
43,178.125,178.5,100
45,178.5,180.75,100
48,184.5,184.875,100
48,184.875,185.0625,100
52,185.25,185.4375,100
53,185.4375,185.625,100
55,185.625,186.0,100
45,186.0,186.375,100
45,186.375,186.75,100
45,186.9375,187.125,100
48,187.125,187.3125,100
45,187.3125,187.5,100
41,187.5,187.875,100
41,187.875,188.25,100
41,188.25,188.625,100
43,189.0,189.1875,100
43,189.20000000000002,189.57500000000002,100
43,189.540625,189.57500000000002,100
43,189.95937500000002,190.14687500000002,100
45,190.13750000000002,190.51250000000002,100
48,190.5,190.875,100
48,190.86875,190.875,100
48,191.0625,191.25,100
52,191.25,191.4375,100
53,191.4375,191.625,100
55,191.625,192.0,100
45,192.0,192.375,100
45,192.375,192.75,100
45,192.9375,193.125,100
48,193.125,193.3125,100
45,193.3125,193.5,100
41,193.5,193.875,100
41,193.875,194.25,100
43,194.8125,195.0,100
43,195.0,195.1875,100
43,195.175,195.1875,100
43,195.55,195.925,100
43,195.921875,195.925,100
45,196.125,196.5,100
48,196.5,196.875,100
48,196.875,197.0625,100
52,197.25,197.4375,100
53,197.4375,197.625,100
55,197.625,198.0,100
45,198.0,198.375,100
45,198.375,198.75,100
45,198.9375,199.125,100
48,199.125,199.3125,100
45,199.3125,199.5,100
41,199.5,199.875,100
41,199.875,200.25,100
41,200.25,200.625,100
43,201.0,201.1875,100
43,201.20000000000002,201.57500000000002,100
43,201.540625,201.57500000000002,100
43,201.95937500000002,202.14687500000002,100
45,202.13750000000002,202.51250000000002,100
48,202.5,202.875,100
48,202.86875,202.875,100
48,203.0625,203.25,100
52,203.25,203.4375,100
53,203.4375,203.625,100
55,203.625,204.0,100
45,204.0,204.375,100
45,204.375,204.75,100
45,204.9375,205.125,100
48,205.125,205.3125,100
45,205.3125,205.5,100
41,205.5,205.875,100
41,205.875,206.25,100
43,206.8125,207.0,100
43,207.0,207.1875,100
43,207.175,207.1875,100
43,207.55,207.925,100
43,207.921875,207.925,100
45,208.125,208.5,100
48,208.5,208.875,100
48,208.86875,208.875,100
48,209.0625,209.25,100
52,209.25,209.4375,100
53,209.4375,209.625,100
55,209.625,210.0,100
45,210.0,210.375,100
45,210.375,210.75,100
45,210.9375,211.125,100
48,211.125,211.3125,100
45,211.3125,211.5,100
41,211.5,211.875,100
41,211.875,212.25,100
43,212.8125,213.0,100
43,213.0,213.1875,100
43,213.175,213.1875,100
43,213.55,213.925,100
43,213.921875,213.925,100
45,214.125,214.5,100
45,214.5,216.0,100
43,219.9375,220.125,100
45,220.125,220.3125,100
47,220.3125,220.5,100
48,220.5,220.875,100
48,220.875,221.0625,100
52,221.25,221.4375,100
53,221.4375,221.625,100
55,221.625,222.0,100
45,222.0,222.375,100
45,222.375,222.75,100
45,222.9375,223.125,100
48,223.125,223.3125,100
45,223.3125,223.5,100
41,223.5,223.875,100
41,223.875,224.25,100
41,224.25,224.625,100
43,225.0,225.1875,100
43,225.20000000000002,225.57500000000002,100
43,225.540625,225.57500000000002,100
43,225.95937500000002,226.14687500000002,100
45,226.13750000000002,226.51250000000002,100
48,226.5,226.875,100
48,226.86875,226.875,100
48,227.0625,227.25,100
52,227.25,227.4375,100
53,227.4375,227.625,100
55,227.625,228.0,100
45,228.0,228.375,100
45,228.375,228.75,100
45,228.9375,229.125,100
48,229.125,229.3125,100
45,229.3125,229.5,100
41,229.5,229.875,100
41,229.875,230.25,100
43,230.8125,231.0,100
43,231.0,231.1875,100
43,231.175,231.1875,100
43,231.55,231.925,100
43,231.921875,231.925,100
45,232.125,232.5,100
48,232.5,232.875,100
48,232.875,233.0625,100
52,233.25,233.4375,100
53,233.4375,233.625,100
55,233.625,234.0,100
45,234.0,234.375,100
45,234.375,234.75,100
45,234.9375,235.125,100
48,235.125,235.3125,100
45,235.3125,235.5,100
41,235.5,235.875,100
41,235.875,236.25,100
41,236.25,236.625,100
43,237.0,237.1875,100
43,237.20000000000002,237.57500000000002,100
43,237.540625,237.57500000000002,100
43,237.95937500000002,238.14687500000002,100
45,238.13750000000002,238.51250000000002,100
48,238.5,238.875,100
48,238.86875,238.875,100
48,239.0625,239.25,100
52,239.25,239.4375,100
53,239.4375,239.625,100
55,239.625,240.0,100
45,240.0,240.375,100
45,240.375,240.75,100
45,240.9375,241.125,100
48,241.125,241.3125,100
45,241.3125,241.5,100
41,241.5,241.875,100
41,241.875,242.25,100
43,242.8125,243.0,100
43,243.0,243.1875,100
43,243.175,243.1875,100
43,243.55,243.925,100
43,243.921875,243.925,100
45,244.125,244.5,100
48,244.5,244.875,100
48,244.86875,244.875,100
48,245.0625,245.25,100
52,245.25,245.4375,100
53,245.4375,245.625,100
55,245.625,246.0,100
45,246.0,246.375,100
45,246.375,246.75,100
45,246.9375,247.125,100
48,247.125,247.3125,100
45,247.3125,247.5,100
41,247.5,247.875,100
41,247.875,248.25,100
43,248.8125,249.0,100
43,249.0,249.1875,100
43,249.175,249.1875,100
43,249.55,249.925,100
43,249.921875,249.925,100
45,250.125,250.5,100
45,250.5,252.0,100
43,255.9375,256.125,100
45,256.125,256.3125,100
47,256.3125,256.496875,100
