0.0
96.0
Note,Start,End,Volume
45,7.5,8.125,100
48,8.125,8.75,100
50,8.75,9.21875,100
51,9.21875,9.375,100
52,9.375,9.510416666666666,100
44,9.53125,10.0,100
45,10.0,10.46875,100
45,10.46875,10.625,100
48,10.625,11.25,100
50,11.25,11.71875,100
51,11.71875,11.875,100
52,11.875,12.010416666666666,100
44,12.03125,12.5,100
45,12.5,13.125,100
48,13.125,13.75,100
50,13.75,14.21875,100
51,14.21875,14.375,100
52,14.375,14.510416666666666,100
44,14.53125,15.0,100
45,15.0,15.46875,100
45,15.46875,15.625,100
48,15.625,16.25,100
50,16.25,16.71875,100
51,16.71875,16.875,100
52,16.875,17.010416666666664,100
44,17.03125,17.5,100
47,17.5,18.125,100
50,18.125,18.75,100
52,18.75,19.21875,100
53,19.21875,19.375,100
54,19.375,19.510416666666664,100
45,19.53125,20.0,100
47,20.0,20.46875,100
47,20.46875,20.625,100
50,20.625,21.09375,100
50,21.09375,21.25,100
52,21.25,21.71875,100
53,21.71875,21.875,100
54,21.875,22.010416666666664,100
45,22.03125,22.5,100
45,22.5,23.125,100
48,23.125,23.75,100
50,23.75,24.21875,100
51,24.21875,24.375,100
52,24.375,24.510416666666664,100
44,24.53125,25.0,100
45,25.0,25.46875,100
45,25.46875,25.625,100
48,25.625,26.25,100
50,26.25,26.71875,100
51,26.71875,26.875,100
52,26.875,27.010416666666664,100
44,27.03125,27.5,100
57,47.5,47.96875,119
62,47.96875,48.4375,119
57,48.4375,48.90625,119
62,48.90625,49.375,119
57,49.375,50.0,119
52,50.015625,50.609375,119
45,50.625,51.25,100
48,51.25,51.875,100
50,51.875,52.34375,100
51,52.34375,52.5,100
52,52.5,52.635416666666664,100
44,52.65625,53.125,100
45,53.125,53.59375,100
45,53.59375,53.75,100
48,53.75,54.375,100
50,54.375,54.84375,100
51,54.84375,55.0,100
52,55.0,55.135416666666664,100
44,55.15625,55.625,100
45,55.625,56.25,100
48,56.25,56.875,100
50,56.875,57.34375,100
51,57.34375,57.5,100
52,57.5,57.635416666666664,100
44,57.65625,58.125,100
45,58.125,58.59375,100
45,58.59375,58.75,100
48,58.75,59.375,100
50,59.375,59.84375,100
51,59.84375,60.0,100
52,60.0,60.135416666666664,100
44,60.15625,60.625,100
47,60.625,61.25,100
50,61.25,61.875,100
52,61.875,62.34375,100
53,62.34375,62.5,100
54,62.5,62.635416666666664,100
45,62.65625,63.125,100
47,63.125,63.59375,100
47,63.59375,63.75,100
50,63.75,64.375,100
52,64.375,64.84375,100
53,64.84375,65.0,100
54,65.0,65.13541666666666,100
45,65.15625,65.625,100
45,65.625,66.25,100
48,66.25,66.875,100
50,66.875,67.34375,100
51,67.34375,67.5,100
52,67.5,67.63541666666666,100
44,67.65625,68.125,100
45,68.125,68.59375,100
45,68.59375,68.75,100
48,68.75,69.375,100
50,69.375,69.84375,100
51,69.84375,70.0,100
52,70.0,70.13541666666666,100
44,70.15625,70.625,100
57,90.625,91.09375,119
62,91.09375,91.5625,119
57,91.5625,92.03125,119
62,92.03125,92.5,119
57,92.5,93.125,119
55,93.140625,93.734375,119
48,93.75,94.375,100
51,94.375,95.0,100
53,95.0,95.46875,100
54,95.46875,95.625,100
55,95.625,95.76041666666666,100
47,95.78125,96.25,100
48,96.25,96.71875,100
48,96.71875,96.875,100
51,96.875,97.34375,100
51,97.34375,97.5,100
53,97.5,97.8125,100
53,97.8125,97.96875,100
54,97.96875,98.125,100
55,98.125,98.26041666666666,100
47,98.28125,98.75,100
48,98.75,99.375,100
51,99.375,100.0,100
53,100.0,100.46875,100
54,100.46875,100.625,100
55,100.625,100.76041666666666,100
47,100.78125,101.25,100
48,101.25,101.71875,100
48,101.71875,101.875,100
51,101.875,102.34375,100
51,102.34375,102.5,100
53,102.5,102.8125,100
53,102.8125,102.96875,100
54,102.96875,103.125,100
55,103.125,103.26041666666666,100
47,103.28125,103.75,100
50,103.75,104.0625,100
50,104.0625,104.21875,100
50,104.21875,104.375,100
53,104.375,104.84375,100
53,104.84375,105.0,100
55,105.0,105.46875,100
56,105.46875,105.625,100
57,105.625,105.76041666666666,100
48,105.78125,106.25,100
50,106.25,106.5625,100
