0.0
80.0
Note,Start,End,Volume
50,0.0,0.1875,127
50,0.1875,0.375,127
50,1.125,1.3125,127
50,1.3125,1.5,127
50,1.5,1.6875,127
38,1.6875,1.875,127
38,1.875,2.25,127
38,2.25,2.4375,127
38,2.4375,2.625,127
38,2.625,3.0,127
50,3.375,3.5625,127
50,3.5625,3.75,127
50,3.75,4.125,127
38,4.125,4.5,127
38,4.5,4.6875,127
38,4.6875,4.875,127
38,4.875,5.25,127
50,5.625,5.8125,127
50,5.8125,6.0,127
50,6.0,6.375,127
38,6.375,6.75,127
38,6.75,6.9375,127
38,6.9375,7.125,127
38,7.125,7.5,127
50,7.875,8.0625,127
50,8.0625,8.25,127
50,8.25,8.625,127
38,8.625,9.0,127
38,9.0,9.1875,127
38,9.1875,9.375,127
38,9.375,9.75,127
50,10.125,10.3125,127
50,10.3125,10.5,127
50,10.5,10.6875,127
38,10.6875,10.875,127
38,10.875,11.25,127
38,11.25,11.4375,127
38,11.4375,11.625,127
38,11.625,12.0,127
50,12.375,12.5625,127
50,12.5625,12.75,127
50,12.75,13.125,127
38,13.125,13.5,127
38,13.5,13.6875,127
38,13.6875,13.875,127
38,13.875,14.25,127
50,14.625,14.8125,127
50,14.8125,15.0,127
50,15.0,15.375,127
38,15.375,15.75,127
38,15.75,15.9375,127
38,15.9375,16.125,127
38,16.125,16.5,127
50,16.875,17.0625,127
50,17.0625,17.25,127
50,17.25,17.625,127
38,17.625,18.0,127
38,18.0,18.1875,127
38,18.1875,18.375,127
38,18.375,18.75,127
50,19.125,19.3125,127
50,19.3125,19.5,127
50,19.5,19.6875,127
38,19.6875,19.875,127
38,19.875,20.25,127
38,20.25,20.4375,127
38,20.4375,20.625,127
38,20.625,21.0,127
50,21.375,21.5625,127
50,21.5625,21.75,127
50,21.75,22.125,127
38,22.125,22.5,127
38,22.5,22.6875,127
38,22.6875,22.875,127
38,22.875,23.25,127
50,23.625,23.8125,127
50,23.8125,24.0,127
50,24.0,24.375,127
38,24.375,24.75,127
38,24.75,24.9375,127
38,24.9375,25.125,127
38,25.125,25.5,127
50,25.875,26.0625,127
50,26.0625,26.25,127
50,26.25,26.625,127
38,26.625,27.0,127
38,27.0,27.1875,127
38,27.1875,27.375,127
38,27.375,27.75,127
38,28.125,28.3125,127
38,28.3125,28.5,127
38,28.5,28.6875,127
38,28.6875,28.875,127
38,28.875,29.25,127
38,29.25,29.4375,127
38,29.4375,29.625,127
38,29.625,30.0,127
38,30.375,30.5625,127
38,30.5625,30.75,127
38,30.75,30.9375,127
38,30.9375,31.125,127
38,31.125,31.5,127
38,31.5,31.6875,127
38,31.6875,31.875,127
38,31.875,32.25,127
50,32.625,32.8125,127
50,32.8125,33.0,127
50,33.0,33.375,127
38,33.375,33.75,127
38,33.75,33.9375,127
38,33.9375,34.125,127
38,34.125,34.5,127
50,34.875,35.0625,127
50,35.0625,35.25,127
50,35.25,35.625,127
38,35.625,36.0,127
38,36.0,36.1875,127
38,36.1875,36.375,127
38,36.375,36.75,127
50,37.125,37.3125,127
50,37.3125,37.5,127
50,37.5,37.6875,127
38,37.6875,37.875,127
38,37.875,38.25,127
38,38.25,38.4375,127
38,38.4375,38.625,127
38,38.625,39.0,127
50,39.375,39.5625,127
50,39.5625,39.75,127
50,39.75,39.9375,127
38,39.9375,40.125,127
38,40.125,40.5,127
38,40.5,40.6875,127
38,40.6875,40.875,127
38,40.875,41.25,127
50,41.625,41.8125,127
50,41.8125,42.0,127
50,42.0,42.375,127
38,42.375,42.75,127
38,42.75,42.9375,127
38,42.9375,43.125,127
38,43.125,43.5,127
38,43.875,44.0625,127
38,44.0625,44.25,127
38,44.25,44.4375,127
38,44.4375,44.625,127
38,44.625,45.0,127
38,45.0,45.1875,127
38,45.1875,45.375,127
38,45.375,45.75,127
38,46.125,46.3125,127
38,46.3125,46.5,127
38,46.5,46.6875,127
38,46.6875,46.875,127
38,46.875,47.25,127
38,47.25,47.4375,127
38,47.4375,47.625,127
38,47.625,48.0,127
38,48.375,48.5625,127
38,48.5625,48.75,127
38,48.75,48.9375,127
38,48.9375,49.125,127
38,49.125,49.5,127
38,49.5,49.6875,127
38,49.6875,49.875,127
38,49.875,50.25,127
50,50.625,50.8125,127
50,50.8125,51.0,127
50,51.0,51.1875,127
38,51.1875,51.375,127
38,51.375,51.75,127
38,51.75,51.9375,127
38,51.9375,52.125,127
38,52.125,52.5,127
38,52.875,53.0625,127
38,53.0625,53.25,127
38,53.25,53.4375,127
38,53.4375,53.625,127
38,53.625,54.0,127
38,54.0,54.1875,127
38,54.1875,54.375,127
38,54.375,55.125,127
50,55.125,57.0,127
50,57.375,57.5625,127
38,57.5625,57.75,127
50,57.75,58.125,127
38,58.125,58.3125,127
38,58.3125,58.5,127
38,58.6875,58.875,127
38,58.875,59.25,127
50,59.625,59.8125,127
50,59.8125,60.0,127
38,60.375,60.5625,127
38,60.5625,60.75,127
38,60.75,60.9375,127
38,60.9375,61.125,127
38,61.125,61.875,127
50,61.875,62.0625,127
