0.0
192.0
Note,Start,End,Volume
41,3.75,3.919270833333333,91
41,3.9322916666666665,4.0234375,60
44,4.0625,4.231770833333333,75
45,4.244791666666666,4.3359375,49
48,4.375,4.544270833333333,94
48,4.557291666666666,4.6484375,60
50,4.6875,4.84375,75
48,4.869791666666666,4.98046875,51
41,5.0,5.169270833333333,91
41,5.182291666666666,5.2734375,60
44,5.3125,5.481770833333333,75
45,5.494791666666666,5.5859375,49
48,5.625,5.794270833333333,94
48,5.807291666666666,5.8984375,60
50,5.9375,6.09375,75
48,6.119791666666666,6.23046875,51
41,6.25,6.419270833333333,91
41,6.432291666666666,6.5234375,60
44,6.5625,6.731770833333333,75
45,6.744791666666666,6.8359375,49
48,6.875,7.044270833333333,94
48,7.057291666666666,7.1484375,60
50,7.1875,7.34375,75
48,7.369791666666666,7.48046875,51
41,7.5,7.669270833333333,91
41,7.682291666666666,7.7734375,60
44,7.8125,7.981770833333333,75
45,7.994791666666666,8.0859375,49
48,8.125,8.294270833333332,94
48,8.307291666666666,8.3984375,60
50,8.4375,8.59375,75
48,8.619791666666666,8.73046875,51
46,8.75,8.90625,95
46,8.932291666666666,9.010416666666666,51
50,9.0625,9.21875,72
51,9.244791666666666,9.3359375,41
53,9.375,9.53125,95
53,9.557291666666666,9.6484375,52
55,9.6875,9.84375,70
53,9.869791666666666,9.9609375,39
46,10.0,10.15625,94
46,10.182291666666666,10.2734375,51
50,10.3125,10.46875,72
51,10.494791666666666,10.572916666666666,39
53,10.625,10.78125,94
53,10.807291666666666,10.8984375,51
55,10.9375,11.07421875,75
53,11.119791666666666,11.2109375,41
41,11.25,11.40625,94
41,11.432291666666666,11.549479166666666,52
44,11.5625,11.71875,72
45,11.744791666666666,11.861979166666666,43
48,11.875,12.03125,94
48,12.057291666666666,12.174479166666666,52
50,12.1875,12.32421875,75
48,12.369791666666666,12.48046875,40
41,12.5,12.65625,94
41,12.682291666666666,12.799479166666666,52
44,12.8125,12.96875,72
45,12.994791666666666,13.111979166666666,43
48,13.125,13.28125,94
48,13.307291666666666,13.424479166666666,52
50,13.4375,13.57421875,75
48,13.619791666666666,13.73046875,40
48,13.75,13.90625,95
48,13.932291666666666,14.036458333333332,52
51,14.0625,14.21875,72
52,14.244791666666666,14.361979166666666,40
55,14.375,14.53125,95
55,14.557291666666666,14.661458333333332,52
57,14.6875,14.82421875,75
55,14.869791666666666,14.98046875,37
46,15.0,15.15625,94
46,15.182291666666666,15.286458333333332,52
49,15.3125,15.46875,72
50,15.494791666666666,15.611979166666666,39
53,15.625,15.78125,94
53,15.807291666666666,15.924479166666666,52
55,15.9375,16.07421875,75
53,16.119791666666664,16.23046875,39
41,18.75,18.919270833333332,91
41,18.932291666666664,19.0234375,60
44,19.0625,19.231770833333332,75
45,19.244791666666664,19.3359375,49
48,19.375,19.544270833333332,94
48,19.557291666666664,19.6484375,60
50,19.6875,19.84375,75
48,19.869791666666664,19.98046875,51
41,20.0,20.169270833333332,91
41,20.182291666666664,20.2734375,60
44,20.3125,20.481770833333332,75
45,20.494791666666664,20.5859375,49
48,20.625,20.794270833333332,94
48,20.807291666666664,20.8984375,60
50,20.9375,21.09375,75
48,21.119791666666664,21.23046875,51
41,21.25,21.419270833333332,91
41,21.432291666666664,21.5234375,60
44,21.5625,21.731770833333332,75
45,21.744791666666664,21.8359375,49
48,21.875,22.044270833333332,94
48,22.057291666666664,22.1484375,60
50,22.1875,22.34375,75
48,22.369791666666664,22.48046875,51
41,22.5,22.669270833333332,91
41,22.682291666666664,22.7734375,60
44,22.8125,22.981770833333332,75
45,22.994791666666664,23.0859375,49
48,23.125,23.294270833333332,94
48,23.307291666666664,23.3984375,60
50,23.4375,23.59375,75
48,23.619791666666664,23.73046875,51
46,23.75,23.90625,95
46,23.932291666666664,24.010416666666664,51
50,24.0625,24.21875,72
51,24.244791666666664,24.3359375,41
53,24.375,24.53125,95
53,24.557291666666664,24.6484375,52
55,24.6875,24.84375,70
53,24.869791666666664,24.9609375,39
46,25.0,25.15625,94
46,25.182291666666664,25.2734375,51
50,25.3125,25.46875,72
51,25.494791666666664,25.572916666666664,39
53,25.625,25.78125,94
53,25.807291666666664,25.8984375,51
55,25.9375,26.07421875,75
53,26.119791666666664,26.2109375,41
41,26.25,26.40625,94
41,26.432291666666664,26.549479166666664,52
44,26.5625,26.71875,72
45,26.744791666666664,26.861979166666664,43
48,26.875,27.03125,94
48,27.057291666666664,27.174479166666664,52
50,27.1875,27.32421875,75
48,27.369791666666664,27.48046875,40
41,27.5,27.65625,94
41,27.682291666666664,27.799479166666664,52
44,27.8125,27.96875,72
45,27.994791666666664,28.111979166666664,43
48,28.125,28.28125,94
48,28.307291666666664,28.424479166666664,52
50,28.4375,28.57421875,75
48,28.619791666666664,28.73046875,40
41,33.75,33.91927083333333,91
41,33.932291666666664,34.0234375,60
44,34.0625,34.23177083333333,75
45,34.244791666666664,34.3359375,49
48,34.375,34.54427083333333,94
48,34.557291666666664,34.6484375,60
50,34.6875,34.84375,75
48,34.869791666666664,34.98046875,51
41,35.0,35.16927083333333,91
41,35.182291666666664,35.2734375,60
44,35.3125,35.48177083333333,75
45,35.494791666666664,35.5859375,49
48,35.625,35.79427083333333,94
48,35.807291666666664,35.8984375,60
50,35.9375,36.09375,75
48,36.119791666666664,36.23046875,51
41,36.25,36.41927083333333,91
41,36.432291666666664,36.5234375,60
44,36.5625,36.73177083333333,75
45,36.744791666666664,36.8359375,49
48,36.875,37.04427083333333,94
48,37.057291666666664,37.1484375,60
50,37.1875,37.34375,75
48,37.369791666666664,37.48046875,51
41,37.5,37.66927083333333,91
41,37.682291666666664,37.7734375,60
44,37.8125,37.98177083333333,75
45,37.994791666666664,38.0859375,49
48,38.125,38.29427083333333,94
48,38.307291666666664,38.3984375,60
50,38.4375,38.59375,75
48,38.619791666666664,38.73046875,51
46,38.75,38.90625,95
46,38.932291666666664,39.010416666666664,51
50,39.0625,39.21875,72
51,39.244791666666664,39.3359375,41
53,39.375,39.53125,95
53,39.557291666666664,39.6484375,52
55,39.6875,39.84375,70
53,39.869791666666664,39.9609375,39
46,40.0,40.15625,94
46,40.182291666666664,40.2734375,51
50,40.3125,40.46875,72
51,40.494791666666664,40.572916666666664,39
53,40.625,40.78125,94
53,40.807291666666664,40.8984375,51
55,40.9375,41.07421875,75
53,41.119791666666664,41.2109375,41
41,41.25,41.40625,94
41,41.432291666666664,41.549479166666664,52
44,41.5625,41.71875,72
45,41.744791666666664,41.861979166666664,43
48,41.875,42.03125,94
48,42.057291666666664,42.174479166666664,52
50,42.1875,42.32421875,75
48,42.369791666666664,42.48046875,40
41,42.5,42.65625,94
41,42.682291666666664,42.799479166666664,52
44,42.8125,42.96875,72
45,42.994791666666664,43.111979166666664,43
48,43.125,43.28125,94
48,43.307291666666664,43.424479166666664,52
50,43.4375,43.57421875,75
48,43.619791666666664,43.73046875,40
48,43.75,43.90625,95
48,43.932291666666664,44.03645833333333,52
51,44.0625,44.21875,72
52,44.244791666666664,44.361979166666664,40
55,44.375,44.53125,95
55,44.557291666666664,44.66145833333333,52
57,44.6875,44.82421875,75
55,44.869791666666664,44.98046875,37
46,45.0,45.15625,94
46,45.182291666666664,45.28645833333333,52
49,45.3125,45.46875,72
50,45.494791666666664,45.611979166666664,39
53,45.625,45.78125,94
53,45.807291666666664,45.924479166666664,52
55,45.9375,46.07421875,75
53,46.119791666666664,46.23046875,39
41,48.75,48.91927083333333,91
41,48.932291666666664,49.0234375,60
44,49.0625,49.23177083333333,75
45,49.244791666666664,49.3359375,49
48,49.375,49.54427083333333,94
48,49.557291666666664,49.6484375,60
50,49.6875,49.84375,75
48,49.869791666666664,49.98046875,51
41,50.0,50.16927083333333,91
41,50.182291666666664,50.2734375,60
44,50.3125,50.48177083333333,75
45,50.494791666666664,50.5859375,49
48,50.625,50.79427083333333,94
48,50.807291666666664,50.8984375,60
50,50.9375,51.09375,75
48,51.119791666666664,51.23046875,51
41,51.25,51.41927083333333,91
41,51.432291666666664,51.5234375,60
44,51.5625,51.73177083333333,75
45,51.744791666666664,51.8359375,49
48,51.875,52.04427083333333,94
48,52.057291666666664,52.1484375,60
50,52.1875,52.34375,75
48,52.369791666666664,52.48046875,51
41,52.5,52.66927083333333,91
41,52.682291666666664,52.7734375,60
44,52.8125,52.98177083333333,75
45,52.994791666666664,53.0859375,49
48,53.125,53.29427083333333,94
48,53.307291666666664,53.3984375,60
50,53.4375,53.59375,75
48,53.619791666666664,53.73046875,51
46,53.75,53.90625,95
46,53.932291666666664,54.010416666666664,51
50,54.0625,54.21875,72
51,54.244791666666664,54.3359375,41
53,54.375,54.53125,95
53,54.557291666666664,54.6484375,52
55,54.6875,54.84375,70
53,54.869791666666664,54.9609375,39
46,55.0,55.15625,94
46,55.182291666666664,55.2734375,51
50,55.3125,55.46875,72
51,55.494791666666664,55.572916666666664,39
53,55.625,55.78125,94
53,55.807291666666664,55.8984375,51
55,55.9375,56.07421875,75
53,56.119791666666664,56.2109375,41
41,56.25,56.40625,94
41,56.432291666666664,56.549479166666664,52
44,56.5625,56.71875,72
45,56.744791666666664,56.861979166666664,43
48,56.875,57.03125,94
48,57.057291666666664,57.174479166666664,52
50,57.1875,57.32421875,75
48,57.369791666666664,57.48046875,40
41,57.5,57.65625,94
41,57.682291666666664,57.799479166666664,52
44,57.8125,57.96875,72
45,57.994791666666664,58.111979166666664,43
48,58.125,58.28125,94
48,58.307291666666664,58.424479166666664,52
50,58.4375,58.57421875,75
48,58.619791666666664,58.73046875,40
41,63.75,63.91927083333333,91
41,63.932291666666664,64.0234375,60
44,64.0625,64.23177083333333,75
45,64.24479166666666,64.3359375,49
48,64.375,64.54427083333333,94
48,64.55729166666666,64.6484375,60
50,64.6875,64.84375,75
48,64.86979166666666,64.98046875,51
41,65.0,65.16927083333333,91
41,65.18229166666666,65.2734375,60
44,65.3125,65.48177083333333,75
45,65.49479166666666,65.5859375,49
48,65.625,65.79427083333333,94
48,65.80729166666666,65.8984375,60
50,65.9375,66.09375,75
48,66.11979166666666,66.23046875,51
41,66.25,66.41927083333333,91
41,66.43229166666666,66.5234375,60
44,66.5625,66.73177083333333,75
45,66.74479166666666,66.8359375,49
48,66.875,67.04427083333333,94
48,67.05729166666666,67.1484375,60
50,67.1875,67.34375,75
48,67.36979166666666,67.48046875,51
41,67.5,67.66927083333333,91
41,67.68229166666666,67.7734375,60
44,67.8125,67.98177083333333,75
45,67.99479166666666,68.0859375,49
48,68.125,68.29427083333333,94
48,68.30729166666666,68.3984375,60
50,68.4375,68.59375,75
48,68.61979166666666,68.73046875,51
46,68.75,68.90625,95
46,68.93229166666666,69.01041666666666,51
50,69.0625,69.21875,72
51,69.24479166666666,69.3359375,41
53,69.375,69.53125,95
53,69.55729166666666,69.6484375,52
55,69.6875,69.84375,70
53,69.86979166666666,69.9609375,39
46,70.0,70.15625,94
46,70.18229166666666,70.2734375,51
50,70.3125,70.46875,72
51,70.49479166666666,70.57291666666666,39
53,70.625,70.78125,94
53,70.80729166666666,70.8984375,51
55,70.9375,71.07421875,75
53,71.11979166666666,71.2109375,41
41,71.25,71.40625,94
41,71.43229166666666,71.54947916666666,52
44,71.5625,71.71875,72
45,71.74479166666666,71.86197916666666,43
48,71.875,72.03125,94
48,72.05729166666666,72.17447916666666,52
50,72.1875,72.32421875,75
48,72.36979166666666,72.48046875,40
41,72.5,72.65625,94
41,72.68229166666666,72.79947916666666,52
44,72.8125,72.96875,72
45,72.99479166666666,73.11197916666666,43
48,73.125,73.28125,94
48,73.30729166666666,73.42447916666666,52
50,73.4375,73.57421875,75
48,73.61979166666666,73.73046875,40
48,73.75,73.90625,95
48,73.93229166666666,74.03645833333333,52
51,74.0625,74.21875,72
52,74.24479166666666,74.36197916666666,40
55,74.375,74.53125,95
55,74.55729166666666,74.66145833333333,52
57,74.6875,74.82421875,75
55,74.86979166666666,74.98046875,37
46,75.0,75.15625,94
46,75.18229166666666,75.28645833333333,52
49,75.3125,75.46875,72
50,75.49479166666666,75.61197916666666,39
53,75.625,75.78125,94
53,75.80729166666666,75.92447916666666,52
55,75.9375,76.07421875,75
53,76.11979166666666,76.23046875,39
41,78.75,78.90625,79
41,78.90625,79.0625,79
45,79.0625,79.21875,72
46,79.21875,79.375,49
48,79.375,79.53125,79
48,79.53125,79.6875,79
50,79.6875,79.82421875,75
48,79.86328125,79.97395833333333,64
41,80.0,80.15625,79
41,80.15625,80.3125,79
45,80.3125,80.46875,72
46,80.46875,80.625,47
48,80.625,80.78125,79
48,80.78125,80.9375,79
50,80.9375,81.07421875,75
48,81.11328125,81.22395833333333,64
41,81.25,81.40625,79
41,81.40625,81.5625,79
45,81.5625,81.71875,72
46,81.71875,81.875,49
48,81.875,82.03125,79
48,82.03125,82.1875,79
50,82.1875,82.32421875,75
48,82.36328125,82.47395833333333,64
41,82.5,82.65625,79
41,82.65625,82.8125,79
45,82.8125,82.96875,72
46,82.96875,83.125,47
48,83.125,83.28125,79
48,83.28125,83.4375,79
50,83.4375,83.57421875,75
48,83.61328125,83.72395833333333,64
46,83.75,83.90625,79
46,83.90625,84.0625,79
50,84.0625,84.21875,72
51,84.21875,84.375,49
53,84.375,84.53125,79
53,84.53125,84.6875,79
55,84.6875,84.82421875,75
53,84.86328125,84.97395833333333,64
46,85.0,85.15625,79
46,85.15625,85.3125,79
50,85.3125,85.46875,72
51,85.46875,85.625,47
53,85.625,85.78125,79
53,85.78125,85.9375,79
55,85.9375,86.07421875,75
53,86.11328125,86.22395833333333,64
41,86.25,86.40625,79
41,86.40625,86.5625,79
45,86.5625,86.71875,72
46,86.71875,86.875,49
48,86.875,87.03125,79
48,87.03125,87.1875,79
50,87.1875,87.32421875,75
48,87.36328125,87.47395833333333,64
41,87.5,87.65625,79
41,87.65625,87.8125,79
45,87.8125,87.96875,72
46,87.96875,88.125,47
48,88.125,88.28125,79
48,88.28125,88.4375,79
50,88.4375,88.57421875,75
48,88.61328125,88.72395833333333,64
48,88.75,88.90625,79
48,88.90625,89.0625,79
52,89.0625,89.21875,72
53,89.21875,89.375,49
55,89.375,89.53125,79
55,89.53125,89.6875,79
57,89.6875,89.82421875,75
55,89.86328125,89.97395833333333,64
46,90.0,90.15625,79
46,90.15625,90.3125,79
50,90.3125,90.46875,72
51,90.46875,90.625,47
53,90.625,90.78125,79
53,90.78125,90.9375,79
55,90.9375,91.07421875,75
53,91.11328125,91.22395833333333,64
41,92.5,92.65625,79
41,92.65625,92.8125,79
45,92.8125,92.96875,72
46,92.96875,93.125,49
48,93.125,93.28125,79
48,93.28125,93.4375,79
50,93.4375,93.57421875,75
48,93.61328125,93.72395833333333,64
41,93.75,93.91927083333333,91
41,93.93229166666666,94.0234375,60
44,94.0625,94.23177083333333,75
45,94.24479166666666,94.3359375,49
48,94.375,94.54427083333333,94
48,94.55729166666666,94.6484375,60
50,94.6875,94.84375,75
48,94.86979166666666,94.98046875,51
41,95.0,95.16927083333333,91
41,95.18229166666666,95.2734375,60
44,95.3125,95.48177083333333,75
45,95.49479166666666,95.5859375,49
48,95.625,95.79427083333333,94
48,95.80729166666666,95.8984375,60
50,95.9375,96.09375,75
48,96.11979166666666,96.23046875,51
41,96.25,96.41927083333333,91
41,96.43229166666666,96.5234375,60
44,96.5625,96.73177083333333,75
45,96.74479166666666,96.8359375,49
48,96.875,97.04427083333333,94
48,97.05729166666666,97.1484375,60
50,97.1875,97.34375,75
48,97.36979166666666,97.48046875,51
41,97.5,97.66927083333333,91
41,97.68229166666666,97.7734375,60
44,97.8125,97.98177083333333,75
45,97.99479166666666,98.0859375,49
48,98.125,98.29427083333333,94
48,98.30729166666666,98.3984375,60
50,98.4375,98.59375,75
48,98.61979166666666,98.73046875,51
46,98.75,98.90625,95
46,98.93229166666666,99.01041666666666,51
50,99.0625,99.21875,72
51,99.24479166666666,99.3359375,41
53,99.375,99.53125,95
53,99.55729166666666,99.6484375,52
55,99.6875,99.84375,70
53,99.86979166666666,99.9609375,39
46,100.0,100.15625,94
46,100.18229166666666,100.2734375,51
50,100.3125,100.46875,72
51,100.49479166666666,100.57291666666666,39
53,100.625,100.78125,94
53,100.80729166666666,100.8984375,51
55,100.9375,101.07421875,75
53,101.11979166666666,101.2109375,41
