0.0
120.0
Note,Start,End,Volume
42,7.0,7.166666666666667,100
42,7.166666666666667,7.333333333333333,100
42,7.5,7.666666666666667,100
42,7.666666666666667,7.833333333333333,100
40,8.0,11.0,100
42,11.0,11.166666666666666,100
42,11.166666666666666,11.333333333333334,100
42,11.5,11.666666666666666,100
42,11.666666666666666,11.833333333333334,100
40,12.0,15.0,100
42,15.0,15.166666666666666,100
42,15.166666666666666,15.333333333333334,100
42,15.5,15.666666666666666,100
42,15.666666666666666,15.833333333333334,100
40,16.0,19.0,100
42,19.0,19.166666666666668,100
42,19.166666666666668,19.333333333333332,100
42,19.5,19.666666666666668,100
42,19.666666666666668,19.833333333333332,100
40,20.0,23.0,100
42,23.0,23.166666666666668,100
42,23.166666666666668,23.333333333333332,100
42,23.5,23.666666666666668,100
42,23.666666666666668,23.833333333333332,100
40,24.0,27.0,100
42,27.0,27.166666666666668,100
42,27.166666666666668,27.333333333333332,100
42,27.5,27.666666666666668,100
42,27.666666666666668,27.833333333333332,100
40,28.0,31.0,100
42,31.0,31.166666666666668,100
42,31.166666666666668,31.333333333333332,100
42,31.5,31.666666666666668,100
42,31.666666666666668,31.833333333333332,100
40,32.0,35.0,100
42,35.0,35.166666666666664,100
42,35.166666666666664,35.333333333333336,100
42,35.5,35.666666666666664,100
42,35.666666666666664,35.833333333333336,100
40,36.0,39.0,100
42,39.0,39.166666666666664,100
42,39.166666666666664,39.333333333333336,100
42,39.5,39.666666666666664,100
42,39.666666666666664,39.833333333333336,100
40,40.0,40.25,100
43,40.25,40.5,100
42,40.5,40.75,100
41,40.75,41.0,100
40,41.0,41.25,100
43,41.25,41.5,100
42,41.5,41.75,100
41,41.75,42.0,100
40,42.0,42.25,100
43,42.25,42.5,100
42,42.5,42.75,100
41,42.75,43.0,100
40,43.0,43.25,100
42,43.25,43.5,100
43,43.5,43.75,100
45,43.75,44.0,100
40,44.0,44.25,100
43,44.25,44.5,100
42,44.5,44.75,100
41,44.75,45.0,100
40,45.0,45.25,100
43,45.25,45.5,100
42,45.5,45.75,100
41,45.75,46.0,100
40,46.0,46.25,100
43,46.25,46.5,100
42,46.5,46.75,100
41,46.75,47.0,100
40,47.0,47.25,100
42,47.25,47.5,100
43,47.5,47.75,100
47,47.75,48.0,100
40,48.0,48.25,100
43,48.25,48.5,100
42,48.5,48.75,100
41,48.75,49.0,100
40,49.0,49.25,100
43,49.25,49.5,100
42,49.5,49.75,100
41,49.75,50.0,100
40,50.0,50.25,100
43,50.25,50.5,100
42,50.5,50.75,100
41,50.75,51.0,100
40,51.0,51.25,100
42,51.25,51.5,100
43,51.5,51.75,100
45,51.75,52.0,100
40,52.0,52.25,100
43,52.25,52.5,100
42,52.5,52.75,100
41,52.75,53.0,100
40,53.0,53.25,100
43,53.25,53.5,100
42,53.5,53.75,100
41,53.75,54.0,100
40,54.0,54.25,100
43,54.25,54.5,100
42,54.5,54.75,100
41,54.75,55.0,100
40,55.0,55.25,100
42,55.25,55.5,100
43,55.5,55.75,100
47,55.75,56.0,100
40,56.0,56.25,100
43,56.25,56.5,100
42,56.5,56.75,100
41,56.75,57.0,100
40,57.0,57.25,100
43,57.25,57.5,100
42,57.5,57.75,100
41,57.75,58.0,100
40,58.0,58.25,100
43,58.25,58.5,100
42,58.5,58.75,100
41,58.75,59.0,100
40,59.0,59.25,100
42,59.25,59.5,100
43,59.5,59.75,100
45,59.75,60.0,100
40,60.0,60.25,100
43,60.25,60.5,100
42,60.5,60.75,100
41,60.75,61.0,100
40,61.0,61.25,100
43,61.25,61.5,100
42,61.5,61.75,100
41,61.75,62.0,100
40,62.0,62.25,100
43,62.25,62.5,100
42,62.5,62.75,100
41,62.75,63.0,100
40,63.0,63.25,100
42,63.25,63.5,100
43,63.5,63.75,100
47,63.75,64.0,100
40,64.0,64.25,100
43,64.25,64.5,100
42,64.5,64.75,100
41,64.75,65.0,100
40,65.0,65.25,100
43,65.25,65.5,100
42,65.5,65.75,100
41,65.75,66.0,100
40,66.0,66.25,100
43,66.25,66.5,100
42,66.5,66.75,100
41,66.75,67.0,100
40,67.0,67.25,100
42,67.25,67.5,100
43,67.5,67.75,100
45,67.75,68.0,100
40,68.0,68.25,100
43,68.25,68.5,100
42,68.5,68.75,100
41,68.75,69.0,100
40,69.0,69.25,100
43,69.25,69.5,100
42,69.5,69.75,100
41,69.75,70.0,100
40,70.0,70.25,100
43,70.25,70.5,100
42,70.5,70.75,100
41,70.75,71.0,100
40,71.0,71.25,100
42,71.25,71.5,100
43,71.5,71.75,100
47,71.75,72.0,100
40,72.0,76.0,100
40,76.0,76.5,100
40,76.5,76.66666666666667,100
40,76.66666666666667,76.83333333333333,100
40,76.83333333333333,77.0,100
40,77.0,77.5,100
40,77.5,77.66666666666667,100
40,77.66666666666667,77.83333333333333,100
40,77.83333333333333,78.0,100
40,78.0,78.5,100
40,78.5,78.66666666666667,100
40,78.66666666666667,78.83333333333333,100
40,78.83333333333333,79.0,100
40,79.0,79.5,100
40,79.5,79.66666666666667,100
40,79.66666666666667,79.83333333333333,100
40,79.83333333333333,80.0,100
40,80.0,80.5,100
40,80.5,80.66666666666667,100
40,80.66666666666667,80.83333333333333,100
40,80.83333333333333,81.0,100
40,81.0,81.5,100
40,81.5,81.66666666666667,100
40,81.66666666666667,81.83333333333333,100
40,81.83333333333333,82.0,100
40,82.0,82.5,100
52,83.5,84.0,100
40,84.0,84.5,100
40,84.5,84.66666666666667,100
40,84.66666666666667,84.83333333333333,100
40,84.83333333333333,85.0,100
40,85.0,85.5,100
40,85.5,85.66666666666667,100
40,85.66666666666667,85.83333333333333,100
40,85.83333333333333,86.0,100
40,86.0,86.5,100
40,86.5,86.66666666666667,100
40,86.66666666666667,86.83333333333333,100
40,86.83333333333333,87.0,100
40,87.0,87.5,100
40,87.5,87.66666666666667,100
40,87.66666666666667,87.83333333333333,100
40,87.83333333333333,88.0,100
40,88.0,88.5,100
40,88.5,88.66666666666667,100
40,88.66666666666667,88.83333333333333,100
40,88.83333333333333,89.0,100
40,89.0,89.5,100
40,89.5,89.66666666666667,100
40,89.66666666666667,89.83333333333333,100
40,89.83333333333333,90.0,100
48,90.0,90.16666666666667,100
48,90.16666666666667,90.33333333333333,100
48,90.33333333333333,90.5,100
48,90.5,91.0,100
45,91.0,91.16666666666667,100
45,91.16666666666667,91.33333333333333,100
45,91.33333333333333,91.5,100
45,91.5,92.0,100
40,92.0,92.5,100
40,92.5,92.66666666666667,100
40,92.66666666666667,92.83333333333333,100
40,92.83333333333333,93.0,100
40,93.0,93.5,100
40,93.5,93.66666666666667,100
40,93.66666666666667,93.83333333333333,100
40,93.83333333333333,94.0,100
40,94.0,94.5,100
40,94.5,94.66666666666667,100
40,94.66666666666667,94.83333333333333,100
40,94.83333333333333,95.0,100
40,95.0,95.5,100
40,95.5,95.66666666666667,100
40,95.66666666666667,95.83333333333333,100
40,95.83333333333333,96.0,100
40,96.0,96.5,100
40,96.5,96.66666666666667,100
40,96.66666666666667,96.83333333333333,100
40,96.83333333333333,97.0,100
40,97.0,97.5,100
40,97.5,97.66666666666667,100
40,97.66666666666667,97.83333333333333,100
40,97.83333333333333,98.0,100
40,98.0,98.5,100
52,99.5,100.0,100
40,100.0,100.5,100
40,100.5,100.66666666666667,100
40,100.66666666666667,100.83333333333333,100
40,100.83333333333333,101.0,100
40,101.0,101.5,100
40,101.5,101.66666666666667,100
40,101.66666666666667,101.83333333333333,100
40,101.83333333333333,102.0,100
40,102.0,102.5,100
40,102.5,102.66666666666667,100
40,102.66666666666667,102.83333333333333,100
40,102.83333333333333,103.0,100
40,103.0,103.5,100
40,103.5,103.66666666666667,100
40,103.66666666666667,103.83333333333333,100
40,103.83333333333333,104.0,100
40,104.0,104.5,100
40,104.5,104.66666666666667,100
40,104.66666666666667,104.83333333333333,100
40,104.83333333333333,105.0,100
40,105.0,105.5,100
40,105.5,105.66666666666667,100
40,105.66666666666667,105.83333333333333,100
40,105.83333333333333,106.0,100
48,106.0,106.33333333333333,100
48,106.33333333333333,106.5,100
48,106.5,106.66666666666667,100
48,106.66666666666667,107.0,100
45,107.0,107.16666666666667,100
45,107.16666666666667,107.33333333333333,100
45,107.33333333333333,107.5,100
57,107.5,108.0,100
40,108.0,108.16666666666667,100
40,108.16666666666667,108.33333333333333,100
40,108.33333333333333,108.5,100
43,108.5,109.0,100
40,109.0,109.16666666666667,100
40,109.16666666666667,109.33333333333333,100
40,109.33333333333333,109.5,100
45,109.5,110.0,100
40,110.0,110.16666666666667,100
40,110.16666666666667,110.33333333333333,100
40,110.33333333333333,110.5,100
43,110.5,110.83333333333333,100
40,110.83333333333333,111.0,100
46,111.0,111.5,100
42,111.5,112.0,100
40,112.0,112.16666666666667,100
40,112.16666666666667,112.33333333333333,100
40,112.33333333333333,112.5,100
43,112.5,113.0,100
40,113.0,113.16666666666667,100
40,113.16666666666667,113.33333333333333,100
40,113.33333333333333,113.5,100
45,113.5,114.0,100
40,114.0,114.16666666666667,100
40,114.16666666666667,114.33333333333333,100
40,114.33333333333333,114.5,100
43,114.5,114.66666666666667,100
40,114.66666666666667,114.83333333333333,100
40,114.83333333333333,115.0,100
46,115.0,115.33333333333333,100
42,115.33333333333333,115.66666666666667,100
41,115.66666666666667,116.0,100
40,116.0,116.16666666666667,100
40,116.16666666666667,116.33333333333333,100
40,116.33333333333333,116.5,100
43,116.5,117.0,100
40,117.0,117.16666666666667,100
40,117.16666666666667,117.33333333333333,100
40,117.33333333333333,117.5,100
45,117.5,118.0,100
40,118.0,118.16666666666667,100
40,118.16666666666667,118.33333333333333,100
40,118.33333333333333,118.5,100
43,118.5,118.83333333333333,100
40,118.83333333333333,119.0,100
46,119.0,119.5,100
42,119.5,120.0,100
40,120.0,120.16666666666667,100
40,120.16666666666667,120.33333333333333,100
40,120.33333333333333,120.5,100
43,120.5,121.0,100
40,121.0,121.16666666666667,100
40,121.16666666666667,121.33333333333333,100
40,121.33333333333333,121.5,100
45,121.5,122.0,100
40,122.0,122.16666666666667,100
40,122.16666666666667,122.33333333333333,100
40,122.33333333333333,122.5,100
43,122.5,122.66666666666667,100
40,122.66666666666667,122.83333333333333,100
40,122.83333333333333,123.0,100
46,123.0,123.33333333333333,100
42,123.33333333333333,123.66666666666667,100
41,123.66666666666667,124.0,100
40,124.0,124.5,100
40,124.5,124.66666666666667,100
40,124.66666666666667,124.83333333333333,100
40,124.83333333333333,125.0,100
40,125.0,125.5,100
40,125.5,125.66666666666667,100
40,125.66666666666667,125.83333333333333,100
40,125.83333333333333,126.0,100
40,126.0,126.5,100
40,126.5,126.66666666666667,100
40,126.66666666666667,126.83333333333333,100
40,126.83333333333333,127.0,100
40,127.0,127.5,100
40,127.5,127.66666666666667,100
40,127.66666666666667,127.83333333333333,100
40,127.83333333333333,128.0,100
40,128.0,128.5,100
40,128.5,128.66666666666666,100
40,128.66666666666666,128.83333333333334,100
40,128.83333333333334,129.0,100
40,129.0,129.5,100
40,129.5,129.66666666666666,100
40,129.66666666666666,129.83333333333334,100
40,129.83333333333334,130.0,100
40,130.0,130.5,100
52,131.5,132.0,100
40,132.0,132.5,100
40,132.5,132.66666666666666,100
40,132.66666666666666,132.83333333333334,100
40,132.83333333333334,133.0,100
40,133.0,133.5,100
40,133.5,133.66666666666666,100
40,133.66666666666666,133.83333333333334,100
40,133.83333333333334,134.0,100
40,134.0,134.5,100
40,134.5,134.66666666666666,100
40,134.66666666666666,134.83333333333334,100
40,134.83333333333334,135.0,100
40,135.0,135.5,100
40,135.5,135.66666666666666,100
40,135.66666666666666,135.83333333333334,100
40,135.83333333333334,136.0,100
40,136.0,136.5,100
40,136.5,136.66666666666666,100
40,136.66666666666666,136.83333333333334,100
40,136.83333333333334,137.0,100
40,137.0,137.5,100
40,137.5,137.66666666666666,100
40,137.66666666666666,137.83333333333334,100
40,137.83333333333334,138.0,100
48,138.0,138.16666666666666,100
48,138.16666666666666,138.33333333333334,100
48,138.33333333333334,138.5,100
48,138.5,139.0,100
45,139.0,139.16666666666666,100
45,139.16666666666666,139.33333333333334,100
45,139.33333333333334,139.5,100
45,139.5,140.0,100
40,140.0,140.5,100
40,140.5,140.66666666666666,100
40,140.66666666666666,140.83333333333334,100
40,140.83333333333334,141.0,100
40,141.0,141.5,100
40,141.5,141.66666666666666,100
40,141.66666666666666,141.83333333333334,100
40,141.83333333333334,142.0,100
40,142.0,142.5,100
40,142.5,142.66666666666666,100
40,142.66666666666666,142.83333333333334,100
40,142.83333333333334,143.0,100
40,143.0,143.5,100
40,143.5,143.66666666666666,100
40,143.66666666666666,143.83333333333334,100
40,143.83333333333334,144.0,100
40,144.0,144.5,100
40,144.5,144.66666666666666,100
40,144.66666666666666,144.83333333333334,100
40,144.83333333333334,145.0,100
40,145.0,145.5,100
40,145.5,145.66666666666666,100
40,145.66666666666666,145.83333333333334,100
40,145.83333333333334,146.0,100
40,146.0,146.5,100
52,147.5,148.0,100
40,148.0,148.5,100
40,148.5,148.66666666666666,100
40,148.66666666666666,148.83333333333334,100
40,148.83333333333334,149.0,100
40,149.0,149.5,100
40,149.5,149.66666666666666,100
40,149.66666666666666,149.83333333333334,100
40,149.83333333333334,150.0,100
40,150.0,150.5,100
40,150.5,150.66666666666666,100
40,150.66666666666666,150.83333333333334,100
40,150.83333333333334,151.0,100
40,151.0,151.5,100
40,151.5,151.66666666666666,100
40,151.66666666666666,151.83333333333334,100
40,151.83333333333334,152.0,100
40,152.0,152.5,100
40,152.5,152.66666666666666,100
40,152.66666666666666,152.83333333333334,100
40,152.83333333333334,153.0,100
40,153.0,153.5,100
40,153.5,153.66666666666666,100
40,153.66666666666666,153.83333333333334,100
40,153.83333333333334,154.0,100
48,154.0,154.33333333333334,100
48,154.33333333333334,154.5,100
48,154.5,154.66666666666666,100
48,154.6875,155.02083333333334,100
45,155.0,155.16666666666666,100
45,155.16666666666666,155.33333333333334,100
45,155.33333333333334,155.5,100
57,155.5,156.0,100
40,156.0,156.16666666666666,100
40,156.16666666666666,156.33333333333334,100
40,156.33333333333334,156.5,100
43,156.5,157.0,100
40,157.0,157.16666666666666,100
40,157.16666666666666,157.33333333333334,100
