0.0
125.0
Note,Start,End,Volume
57,16.795,17.27,120
57,20.657,21.07,120
45,21.16,21.59,105
47,21.862000000000002,22.045,100
48,22.1,22.282,100
50,22.552,22.72,100
50,22.795,23.027,95
43,23.767,23.945,87
43,24.02,24.287,98
45,24.97,25.405,100
47,25.69,25.867,105
48,25.935000000000002,26.125,100
50,26.387,26.547,105
50,26.635,26.885,98
45,28.8,29.23,98
47,29.52,29.69,85
48,29.76,29.925,105
50,30.240000000000002,30.400000000000002,100
50,30.48,30.707,100
43,31.44,31.585,87
43,31.68,31.997,87
45,32.64,33.07,98
47,33.36,33.53,85
48,33.6,33.765,105
50,34.08,34.24,100
50,34.32,34.547000000000004,100
43,35.28,35.425000000000004,87
43,35.52,35.837,87
45,36.480000000000004,36.910000000000004,98
47,37.2,37.37,85
48,37.44,37.605000000000004,105
50,37.92,38.08,100
50,38.160000000000004,38.387,100
43,39.12,39.265,87
43,39.36,39.677,87
45,40.32,40.75,98
47,41.04,41.21,85
48,41.28,41.445,105
50,41.76,41.92,100
50,42.0,42.227000000000004,100
43,42.96,43.105000000000004,87
43,43.2,43.517,87
45,44.160000000000004,44.59,98
47,44.88,45.050000000000004,85
48,45.12,45.285000000000004,105
50,45.6,45.76,100
50,45.84,46.067,100
43,46.800000000000004,46.945,87
43,47.04,47.357,87
45,48.0,48.43,98
47,48.72,48.89,85
48,48.96,49.125,105
50,49.44,49.6,100
50,49.68,49.907000000000004,100
43,50.64,50.785000000000004,87
43,50.88,51.197,87
45,51.84,52.27,98
47,52.56,52.730000000000004,85
48,52.800000000000004,52.965,105
50,53.28,53.44,100
50,53.52,53.747,100
43,54.480000000000004,54.625,87
43,54.72,55.037,87
45,55.68,56.11,98
47,56.4,56.57,85
48,56.64,56.805,105
50,57.120000000000005,57.28,100
50,57.36,57.587,100
43,58.32,58.465,87
43,58.56,58.877,87
45,59.52,59.95,98
47,60.24,60.410000000000004,85
48,60.480000000000004,60.645,105
50,60.96,61.120000000000005,100
50,61.2,61.427,100
43,62.160000000000004,62.305,87
43,62.4,62.717,87
45,63.36,63.79,98
47,64.08,64.25,85
48,64.32000000000001,64.485,105
50,64.8,64.96000000000001,100
50,65.04,65.267,100
43,66.0,66.145,87
43,66.24,66.557,87
45,67.2,67.63,98
47,67.92,68.09,85
48,68.16,68.325,105
50,68.64,68.8,100
50,68.88,69.107,100
43,69.84,69.985,87
43,70.08,70.397,87
45,71.04,71.47,98
47,71.76,71.93,85
48,72.0,72.165,105
50,72.48,72.64,100
50,72.72,72.947,100
43,73.68,73.825,87
43,73.92,74.237,87
45,74.88,75.31,98
47,75.60000000000001,75.77,85
48,75.84,76.005,105
50,76.32000000000001,76.48,100
50,76.56,80.507,100
45,80.64,81.07000000000001,98
47,81.36,81.53,85
48,81.60000000000001,81.765,105
50,82.08,82.24,100
50,82.32000000000001,82.547,100
43,83.28,83.425,87
43,83.52,83.837,87
45,84.48,84.91,98
47,85.2,85.37,85
48,85.44,85.605,105
50,85.92,86.08,100
50,86.16,86.387,100
43,87.12,87.265,87
43,87.36,87.677,87
45,88.32000000000001,88.75,98
47,89.04,89.21000000000001,85
48,89.28,89.44500000000001,105
50,89.76,89.92,100
50,90.0,90.227,100
43,90.96000000000001,91.105,87
43,91.2,91.517,87
45,92.16,92.59,98
47,92.88,93.05,85
48,93.12,93.285,105
50,93.60000000000001,93.76,100
50,93.84,94.06700000000001,100
43,94.8,94.94500000000001,87
43,95.04,95.357,87
45,96.0,96.43,98
47,96.72,96.89,85
48,96.96000000000001,97.125,105
50,97.44,97.60000000000001,100
50,97.68,97.907,100
43,98.64,98.785,87
43,98.88,99.197,87
45,99.84,100.27,98
47,100.56,100.73,85
48,100.8,100.965,105
50,101.28,101.44,100
50,101.52,101.747,100
43,102.48,102.625,87
43,102.72,103.037,87
45,103.68,104.11,98
47,104.4,104.57000000000001,85
48,104.64,104.805,105
50,105.12,105.28,100
50,105.36,105.587,100
43,106.32000000000001,106.465,87
43,106.56,106.877,87
45,107.52,107.95,98
47,108.24000000000001,108.41,85
48,108.48,108.645,105
50,108.96000000000001,109.12,100
50,109.2,109.427,100
43,110.16,110.305,87
43,110.4,110.717,87
45,111.36,111.79,98
47,112.08,112.25,85
48,112.32000000000001,112.485,105
50,112.8,112.96000000000001,100
50,113.04,113.267,100
43,114.0,114.145,87
43,114.24000000000001,114.557,87
45,115.2,115.63,98
47,115.92,116.09,85
48,116.16,116.325,105
50,116.64,116.8,100
50,116.88,117.107,100
43,117.84,117.985,87
43,118.08,118.397,87
45,119.04,119.47,98
47,119.76,119.93,85
48,120.0,120.165,105
50,120.48,120.64,100
50,120.72,120.947,100
43,121.68,121.825,87
43,121.92,122.23700000000001,87
45,122.88,123.36,98
47,123.60000000000001,123.84,85
48,123.84,124.08,105
50,124.32000000000001,124.56,100
45,124.56,125.04,102
49,125.04,125.28,105
52,125.28,125.52,87
49,125.52,125.76,107
47,126.0,126.24000000000001,89
45,126.48,126.96000000000001,98
43,126.96000000000001,127.2,102
40,127.2,127.44,98
45,127.44,127.92,100
43,127.92,128.16,100
40,128.16,128.4,91
43,128.4,128.64000000000001,85
45,128.64000000000001,128.88,85
49,128.88,129.12,105
52,129.12,129.36,89
49,129.36,129.6,105
47,129.84,130.08,95
45,130.32,130.8,98
43,130.8,131.04,98
40,131.04,131.28,89
45,131.28,131.76,98
43,131.76,132.0,98
40,132.0,132.24,82
45,132.24,132.72,82
49,132.72,132.96,105
52,132.96,133.2,87
49,133.2,133.44,107
47,133.68,133.92000000000002,89
45,134.16,134.64000000000001,98
43,134.64000000000001,134.88,102
40,134.88,135.12,98
45,135.12,135.6,100
43,135.6,135.84,100
40,135.84,136.08,91
43,136.08,136.32,85
45,136.32,136.56,85
49,136.56,136.8,105
52,136.8,137.04,89
49,137.04,137.28,105
47,137.52,137.76,95
45,138.0,138.48,98
43,138.48,138.72,98
40,138.72,138.96,89
45,138.96,139.44,98
43,139.44,139.68,98
