0.0
120.0
Note,Start,End,Volume
69,1.0213541666666666,1.2171875,79
72,1.0213541666666666,1.2213541666666667,78
65,1.0213541666666666,1.2255208333333334,82
65,1.3963541666666666,1.5463541666666667,75
69,1.3963541666666666,1.5463541666666667,79
72,1.3963541666666666,1.5713541666666666,78
74,1.7713541666666666,2.4463541666666666,84
67,1.7713541666666666,2.4713541666666665,76
71,1.7713541666666666,2.4838541666666667,76
64,3.021354166666667,3.2338541666666667,82
71,3.021354166666667,3.2338541666666667,75
67,3.021354166666667,3.2421875,81
64,3.396354166666667,3.5338541666666665,79
67,3.396354166666667,3.5421875,78
71,3.396354166666667,3.5421875,73
65,3.771354166666667,4.5296875,79
69,3.771354166666667,4.5671875,79
72,3.771354166666667,4.625520833333333,81
65,5.021354166666667,5.2296875,81
72,5.021354166666667,5.238020833333334,84
69,5.021354166666667,5.238020833333334,85
69,5.396354166666667,5.525520833333333,81
65,5.396354166666667,5.5296875,75
72,5.396354166666667,5.5421875,82
74,5.771354166666667,6.608854166666666,87
71,5.771354166666667,6.608854166666666,81
67,5.771354166666667,6.638020833333333,72
64,7.021354166666667,7.571354166666667,76
71,7.021354166666667,7.5796874999999995,78
67,7.021354166666667,7.5921875,82
69,7.771354166666667,8.6171875,82
72,7.771354166666667,8.625520833333333,84
65,7.771354166666667,8.6546875,73
69,9.021354166666667,9.246354166666666,85
65,9.021354166666667,9.246354166666666,79
72,9.021354166666667,9.2546875,82
65,9.396354166666667,9.513020833333334,78
69,9.396354166666667,9.521354166666667,78
72,9.396354166666667,9.5296875,78
74,9.771354166666667,10.6046875,84
71,9.771354166666667,10.6171875,81
67,9.771354166666667,10.633854166666666,79
71,11.021354166666667,11.183854166666666,75
67,11.021354166666667,11.1921875,79
64,11.021354166666667,11.2046875,76
71,11.396354166666667,11.525520833333333,67
67,11.396354166666667,11.533854166666666,72
64,11.396354166666667,11.5421875,75
65,11.771354166666667,12.6421875,73
69,11.771354166666667,12.6421875,75
72,11.771354166666667,12.658854166666666,79
72,13.021354166666667,13.171354166666667,78
65,13.021354166666667,13.171354166666667,76
69,13.021354166666667,13.175520833333334,81
72,13.396354166666667,13.508854166666666,69
69,13.396354166666667,13.513020833333334,67
65,13.396354166666667,13.5171875,69
71,13.771354166666667,14.608854166666667,75
67,13.771354166666667,14.613020833333334,75
74,13.771354166666667,14.6296875,84
71,15.021354166666667,15.583854166666667,66
67,15.021354166666667,15.588020833333333,84
64,15.021354166666667,15.596354166666666,76
69,15.771354166666667,16.708854166666665,88
65,15.771354166666667,16.725520833333334,81
72,15.771354166666667,16.733854166666667,84
65,17.021354166666665,17.146354166666665,79
69,17.021354166666665,17.1671875,81
72,17.021354166666665,17.171354166666667,76
69,17.396354166666665,17.500520833333333,81
65,17.396354166666665,17.500520833333333,76
72,17.396354166666665,17.521354166666665,81
71,17.771354166666665,18.646354166666665,75
74,17.771354166666665,18.6671875,84
67,17.771354166666665,18.671354166666667,75
67,19.021354166666665,19.1796875,85
71,19.021354166666665,19.183854166666666,72
64,19.021354166666665,19.183854166666666,81
64,19.396354166666665,19.500520833333333,75
67,19.396354166666665,19.508854166666666,81
71,19.396354166666665,19.5296875,75
72,19.771354166666665,20.7046875,79
65,19.771354166666665,20.725520833333334,78
69,19.771354166666665,20.7296875,82
65,21.021354166666665,21.146354166666665,78
69,21.021354166666665,21.1671875,81
72,21.021354166666665,21.175520833333334,81
69,21.396354166666665,21.496354166666666,69
65,21.396354166666665,21.500520833333333,70
72,21.396354166666665,21.521354166666665,75
74,21.771354166666665,22.6546875,78
71,21.771354166666665,22.663020833333334,76
67,21.771354166666665,22.6921875,76
64,23.021354166666665,23.596354166666668,72
67,23.021354166666665,23.608854166666667,78
71,23.021354166666665,23.6421875,78
69,23.771354166666665,24.6546875,82
65,23.771354166666665,24.675520833333334,81
72,23.771354166666665,24.688020833333333,84
65,25.021354166666665,25.146354166666665,76
69,25.021354166666665,25.200520833333332,82
72,25.021354166666665,25.21302083333333,84
69,25.396354166666665,25.500520833333333,81
72,25.396354166666665,25.513020833333332,81
65,25.396354166666665,25.521354166666665,78
71,25.771354166666665,26.675520833333334,84
74,25.771354166666665,26.675520833333334,85
67,25.771354166666665,26.700520833333332,82
71,27.021354166666665,27.2046875,55
64,27.021354166666665,27.21302083333333,70
67,27.021354166666665,27.217187499999998,76
64,27.396354166666665,27.52552083333333,79
67,27.396354166666665,27.529687499999998,79
71,27.396354166666665,27.5546875,75
65,27.771354166666665,28.708854166666665,76
72,27.771354166666665,28.717187499999998,85
69,27.771354166666665,28.717187499999998,84
65,29.021354166666665,29.175520833333334,76
69,29.021354166666665,29.183854166666666,78
72,29.021354166666665,29.183854166666666,69
65,29.396354166666665,29.4921875,72
69,29.396354166666665,29.496354166666666,70
72,29.396354166666665,29.5421875,76
74,29.771354166666665,30.688020833333333,84
71,29.771354166666665,30.688020833333333,82
67,29.771354166666665,30.708854166666665,78
64,31.021354166666665,31.58802083333333,81
67,31.021354166666665,31.600520833333334,93
71,31.021354166666665,31.608854166666667,85
69,31.771354166666665,32.6546875,91
72,31.771354166666665,32.6546875,88
65,31.771354166666665,32.6671875,84
69,49.02135416666667,49.2171875,79
72,49.02135416666667,49.221354166666664,78
65,49.02135416666667,49.225520833333334,82
65,49.39635416666667,49.54635416666667,75
69,49.39635416666667,49.54635416666667,79
72,49.39635416666667,49.571354166666666,78
74,49.77135416666667,50.446354166666666,84
67,49.77135416666667,50.471354166666664,76
71,49.77135416666667,50.48385416666667,76
64,51.02135416666667,51.23385416666667,82
71,51.02135416666667,51.23385416666667,75
67,51.02135416666667,51.2421875,81
64,51.39635416666667,51.533854166666664,79
67,51.39635416666667,51.5421875,78
71,51.39635416666667,51.5421875,73
65,51.77135416666667,52.5296875,79
69,51.77135416666667,52.567187499999996,79
72,51.77135416666667,52.62552083333333,81
65,53.02135416666667,53.2296875,81
72,53.02135416666667,53.23802083333333,84
69,53.02135416666667,53.23802083333333,85
69,53.39635416666667,53.52552083333333,81
65,53.39635416666667,53.5296875,75
72,53.39635416666667,53.5421875,82
74,53.77135416666667,54.60885416666667,87
71,53.77135416666667,54.60885416666667,81
67,53.77135416666667,54.638020833333336,72
64,55.02135416666667,55.571354166666666,76
71,55.02135416666667,55.5796875,78
67,55.02135416666667,55.5921875,82
69,55.77135416666667,56.6171875,82
72,55.77135416666667,56.62552083333333,84
65,55.77135416666667,56.6546875,73
69,57.02135416666667,57.24635416666666,85
65,57.02135416666667,57.24635416666666,79
72,57.02135416666667,57.254687499999996,82
65,57.39635416666667,57.513020833333336,78
69,57.39635416666667,57.52135416666667,78
72,57.39635416666667,57.5296875,78
74,57.77135416666667,58.6046875,84
71,57.77135416666667,58.6171875,81
67,57.77135416666667,58.633854166666666,79
71,59.02135416666667,59.18385416666666,75
67,59.02135416666667,59.192187499999996,79
64,59.02135416666667,59.2046875,76
71,59.39635416666667,59.52552083333333,67
67,59.39635416666667,59.533854166666664,72
64,59.39635416666667,59.5421875,75
65,59.77135416666667,60.6421875,73
69,59.77135416666667,60.6421875,75
72,59.77135416666667,60.658854166666664,79
72,61.02135416666667,61.17135416666667,78
65,61.02135416666667,61.17135416666667,76
69,61.02135416666667,61.17552083333333,81
72,61.39635416666667,61.508854166666666,69
69,61.39635416666667,61.513020833333336,67
65,61.39635416666667,61.5171875,69
71,61.77135416666667,62.60885416666667,75
67,61.77135416666667,62.61302083333333,75
74,61.77135416666667,62.629687499999996,84
71,63.02135416666667,63.58385416666667,66
67,63.02135416666667,63.58802083333333,84
64,63.02135416666667,63.596354166666664,76
69,63.77135416666667,64.70885416666667,88
65,63.77135416666667,64.72552083333333,81
72,63.77135416666667,64.73385416666666,84
65,65.02135416666667,65.14635416666667,79
69,65.02135416666667,65.1671875,81
72,65.02135416666667,65.17135416666666,76
69,65.39635416666667,65.50052083333333,81
65,65.39635416666667,65.50052083333333,76
72,65.39635416666667,65.52135416666667,81
71,65.77135416666667,66.64635416666667,75
74,65.77135416666667,66.6671875,84
67,65.77135416666667,66.67135416666666,75
67,67.02135416666667,67.1796875,85
71,67.02135416666667,67.18385416666666,72
64,67.02135416666667,67.18385416666666,81
64,67.39635416666667,67.50052083333333,75
67,67.39635416666667,67.50885416666667,81
71,67.39635416666667,67.5296875,75
72,67.77135416666667,68.7046875,79
65,67.77135416666667,68.72552083333333,78
69,67.77135416666667,68.7296875,82
65,69.02135416666667,69.14635416666667,78
69,69.02135416666667,69.1671875,81
72,69.02135416666667,69.17552083333334,81
69,69.39635416666667,69.49635416666666,69
65,69.39635416666667,69.50052083333333,70
72,69.39635416666667,69.52135416666667,75
74,69.77135416666667,70.6546875,78
71,69.77135416666667,70.66302083333333,76
67,69.77135416666667,70.6921875,76
64,71.02135416666667,71.59635416666667,72
67,71.02135416666667,71.60885416666666,78
71,71.02135416666667,71.6421875,78
69,71.77135416666667,72.6546875,82
65,71.77135416666667,72.67552083333334,81
72,71.77135416666667,72.68802083333333,84
65,73.02135416666667,73.14635416666667,76
69,73.02135416666667,73.20052083333333,82
72,73.02135416666667,73.21302083333333,84
69,73.39635416666667,73.50052083333333,81
72,73.39635416666667,73.51302083333333,81
65,73.39635416666667,73.52135416666667,78
71,73.77135416666667,74.67552083333334,84
74,73.77135416666667,74.67552083333334,85
67,73.77135416666667,74.70052083333333,82
71,75.02135416666667,75.2046875,55
64,75.02135416666667,75.21302083333333,70
67,75.02135416666667,75.2171875,76
64,75.39635416666667,75.52552083333333,79
67,75.39635416666667,75.5296875,79
71,75.39635416666667,75.5546875,75
65,75.77135416666667,76.70885416666667,76
72,75.77135416666667,76.7171875,85
69,75.77135416666667,76.7171875,84
65,77.02135416666667,77.17552083333334,76
69,77.02135416666667,77.18385416666666,78
72,77.02135416666667,77.18385416666666,69
65,77.39635416666667,77.4921875,72
69,77.39635416666667,77.49635416666666,70
72,77.39635416666667,77.5421875,76
74,77.77135416666667,78.68802083333333,84
71,77.77135416666667,78.68802083333333,82
67,77.77135416666667,78.70885416666667,78
64,79.02135416666667,79.58802083333333,81
67,79.02135416666667,79.60052083333333,93
71,79.02135416666667,79.60885416666666,85
69,79.77135416666667,80.6546875,91
72,79.77135416666667,80.6546875,88
65,79.77135416666667,80.6671875,84
72,129.02135416666667,129.50052083333333,52
65,129.02135416666667,129.55052083333334,52
69,129.02135416666667,129.55052083333334,48
71,129.77135416666667,130.60052083333332,52
74,129.77135416666667,130.6296875,48
67,129.77135416666667,130.64635416666667,49
64,131.02135416666667,131.53385416666666,51
71,131.02135416666667,131.5421875,49
67,131.02135416666667,131.5421875,49
72,131.77135416666667,132.6921875,47
65,131.77135416666667,132.74635416666666,50
69,131.77135416666667,132.75885416666665,50
72,133.02135416666667,133.5046875,50
65,133.02135416666667,133.5171875,49
69,133.02135416666667,133.5296875,49
71,133.77135416666667,134.5546875,47
74,133.77135416666667,134.68385416666666,48
67,133.77135416666667,134.69635416666665,49
67,135.02135416666667,135.5796875,53
64,135.02135416666667,135.6046875,50
71,135.02135416666667,135.61302083333334,47
69,135.77135416666667,136.75052083333333,52
65,135.77135416666667,136.76302083333334,50
72,135.77135416666667,136.77552083333333,49
65,137.02135416666667,137.58385416666667,51
72,137.02135416666667,137.5921875,46
69,137.02135416666667,137.60885416666667,52
67,137.77135416666667,138.65052083333333,50
74,137.77135416666667,138.65052083333333,56
71,137.77135416666667,138.65885416666666,51
67,139.02135416666667,139.5796875,55
64,139.02135416666667,139.5921875,55
71,139.02135416666667,139.59635416666666,47
72,139.77135416666667,140.75885416666665,53
65,139.77135416666667,140.80052083333334,53
69,139.77135416666667,140.8171875,52
72,141.02135416666667,141.5671875,48
65,141.02135416666667,141.5796875,46
69,141.02135416666667,141.6046875,52
71,141.77135416666667,142.67552083333334,50
67,141.77135416666667,142.68802083333333,50
74,141.77135416666667,142.68802083333333,52
71,143.02135416666667,143.5796875,46
67,143.02135416666667,143.62552083333333,55
64,143.02135416666667,143.63802083333334,54
69,143.77135416666667,144.63802083333334,55
65,143.77135416666667,144.73385416666667,53
72,143.77135416666667,144.78385416666666,51
76,147.77135416666667,147.9296875,38
79,147.77135416666667,147.93385416666666,55
76,148.02135416666667,148.1546875,48
72,148.02135416666667,148.16302083333332,43
69,148.27135416666667,148.45885416666667,49
72,148.27135416666667,148.51302083333334,50
69,148.77135416666667,149.02135416666667,51
65,148.77135416666667,149.02135416666667,56
76,151.77135416666667,151.9296875,38
79,151.77135416666667,151.93385416666666,55
76,152.02135416666667,152.1546875,48
72,152.02135416666667,152.16302083333332,43
69,152.27135416666667,152.45885416666667,49
72,152.27135416666667,152.51302083333334,50
69,152.77135416666667,153.02135416666667,51
65,152.77135416666667,153.02135416666667,56
76,155.77135416666667,155.9296875,38
79,155.77135416666667,155.93385416666666,55
76,156.02135416666667,156.1546875,48
72,156.02135416666667,156.16302083333332,43
69,156.27135416666667,156.45885416666667,49
72,156.27135416666667,156.51302083333334,50
69,156.77135416666667,157.02135416666667,51
65,156.77135416666667,157.02135416666667,56
76,163.77135416666667,163.9296875,38
79,163.77135416666667,163.93385416666666,55
76,164.02135416666667,164.1546875,48
72,164.02135416666667,164.16302083333332,43
69,164.27135416666667,164.45885416666667,49
72,164.27135416666667,164.51302083333334,50
69,164.77135416666667,165.02135416666667,51
65,164.77135416666667,165.02135416666667,56
76,167.77135416666667,167.9296875,38
79,167.77135416666667,167.93385416666666,55
76,168.02135416666667,168.1546875,48
72,168.02135416666667,168.16302083333332,43
69,168.27135416666667,168.45885416666667,49
72,168.27135416666667,168.51302083333334,50
69,168.77135416666667,169.02135416666667,51
65,168.77135416666667,169.02135416666667,56
76,171.77135416666667,171.9296875,38
79,171.77135416666667,171.93385416666666,55
76,172.02135416666667,172.1546875,48
72,172.02135416666667,172.16302083333332,43
69,172.27135416666667,172.45885416666667,49
72,172.27135416666667,172.51302083333334,50
69,172.77135416666667,173.02135416666667,51
65,172.77135416666667,173.02135416666667,56
76,179.77135416666667,179.9296875,38
79,179.77135416666667,179.93385416666666,55
76,180.02135416666667,180.1546875,48
72,180.02135416666667,180.16302083333332,43
69,180.27135416666667,180.45885416666667,49
72,180.27135416666667,180.51302083333334,50
69,180.77135416666667,181.02135416666667,51
65,180.77135416666667,181.02135416666667,56
76,183.77135416666667,183.9296875,38
79,183.77135416666667,183.93385416666666,55
76,184.02135416666667,184.1546875,48
72,184.02135416666667,184.16302083333332,43
69,184.27135416666667,184.45885416666667,49
72,184.27135416666667,184.51302083333334,50
69,184.77135416666667,185.02135416666667,51
65,184.77135416666667,185.02135416666667,56
76,187.77135416666667,187.9296875,38
79,187.77135416666667,187.93385416666666,55
76,188.02135416666667,188.1546875,48
72,188.02135416666667,188.16302083333332,43
69,188.27135416666667,188.45885416666667,49
72,188.27135416666667,188.51302083333334,50
69,188.77135416666667,189.02135416666667,51
65,188.77135416666667,189.02135416666667,56
