0.0
120.0
Note,Start,End,Volume
36,0.25,0.375,96
40,12.5625,12.75,80
57,12.75,13.25,80
52,12.75,13.25,80
45,12.75,13.25,80
40,13.25,13.5,80
57,13.5,14.0,80
52,13.5,14.0,80
45,13.5,14.0,80
40,14.0,14.25,80
57,14.25,14.5,80
52,14.25,14.5,80
45,14.25,14.5,80
40,14.75,15.0,80
52,15.0,16.5,80
47,15.0,16.5,80
40,15.0,16.5,80
40,16.5,16.75,80
57,16.75,17.25,80
52,16.75,17.25,80
45,16.75,17.25,80
40,17.25,17.5,80
57,17.5,18.0,80
52,17.5,18.0,80
45,17.5,18.0,80
40,18.0,18.25,80
57,18.25,18.5,80
52,18.25,18.5,80
45,18.25,18.5,80
40,18.75,19.0,80
52,19.0,20.5,80
47,19.0,20.5,80
40,19.0,20.5,80
40,20.5,20.75,80
57,20.75,21.25,80
52,20.75,21.25,80
45,20.75,21.25,80
40,21.25,21.5,80
57,21.5,22.0,80
52,21.5,22.0,80
45,21.5,22.0,80
40,22.0,22.25,80
57,22.25,22.5,80
52,22.25,22.5,80
45,22.25,22.5,80
40,22.75,23.0,80
52,23.0,24.5,80
47,23.0,24.5,80
40,23.0,24.5,80
40,24.5,24.75,80
57,24.75,25.25,80
52,24.75,25.25,80
45,24.75,25.25,80
40,25.25,25.5,80
57,25.5,26.0,80
52,25.5,26.0,80
45,25.5,26.0,80
40,26.0,26.25,80
57,26.25,26.5,80
52,26.25,26.5,80
45,26.25,26.5,80
40,26.75,27.0,80
52,27.0,28.5,80
47,27.0,28.5,80
40,27.0,28.5,80
42,28.5,28.75,80
59,28.75,29.25,80
54,28.75,29.25,80
47,28.75,29.25,80
42,29.25,29.5,80
59,29.5,30.0,80
54,29.5,30.0,80
47,29.5,30.0,80
42,30.0,30.25,80
59,30.25,30.5,80
54,30.25,30.5,80
47,30.25,30.5,80
42,30.75,31.0,80
58,31.0,32.5,80
54,31.0,32.5,80
49,31.0,32.5,80
42,31.0,32.5,80
42,32.5,32.75,80
59,32.75,33.25,80
54,32.75,33.25,80
47,32.75,33.25,80
42,33.25,33.5,80
59,33.5,34.0,80
54,33.5,34.0,80
47,33.5,34.0,80
42,34.0,34.25,80
59,34.25,34.5,80
54,34.25,34.5,80
47,34.25,34.5,80
42,34.75,35.0,80
58,35.0,36.0,80
54,35.0,36.0,80
49,35.0,36.0,80
42,35.0,36.0,80
40,36.25,36.5,80
45,36.5,36.75,80
62,36.75,37.25,80
57,36.75,37.25,80
50,36.75,37.25,80
45,37.25,37.5,80
62,37.5,38.0,80
57,37.5,38.0,80
50,37.5,38.0,80
45,38.0,38.25,80
62,38.25,38.5,80
57,38.25,38.5,80
50,38.25,38.5,80
45,38.75,39.0,80
57,39.0,40.0,80
52,39.0,40.0,80
45,39.0,40.0,80
45,40.0,40.25,80
40,40.25,40.5,80
66,40.5,40.75,80
63,40.5,40.75,80
59,40.5,40.75,80
54,40.5,40.75,80
47,40.5,40.75,80
68,40.75,41.25,80
64,40.75,41.25,80
59,40.75,41.25,80
52,40.75,41.25,80
66,41.25,41.5,80
63,41.25,41.5,80
59,41.25,41.5,80
54,41.25,41.5,80
47,41.25,41.5,80
68,41.5,42.0,80
64,41.5,42.0,80
59,41.5,42.0,80
52,41.5,42.0,80
66,42.0,42.25,80
63,42.0,42.25,80
59,42.0,42.25,80
54,42.0,42.25,80
47,42.0,42.25,80
68,42.25,42.5,80
64,42.25,42.5,80
59,42.25,42.5,80
52,42.25,42.5,80
63,42.75,43.0,80
59,42.75,43.0,80
54,42.75,43.0,80
47,42.75,43.0,80
63,43.0,44.5,80
59,43.0,44.5,80
54,43.0,44.5,80
47,43.0,44.5,80
66,44.5,44.75,80
63,44.5,44.75,80
59,44.5,44.75,80
54,44.5,44.75,80
47,44.5,44.75,80
68,44.75,45.25,80
64,44.75,45.25,80
59,44.75,45.25,80
52,44.75,45.25,80
66,45.25,45.5,80
63,45.25,45.5,80
59,45.25,45.5,80
54,45.25,45.5,80
47,45.25,45.5,80
68,45.5,46.0,80
64,45.5,46.0,80
59,45.5,46.0,80
52,45.5,46.0,80
66,46.0,46.25,80
63,46.0,46.25,80
59,46.0,46.25,80
54,46.0,46.25,80
47,46.0,46.25,80
68,46.25,46.5,80
64,46.25,46.5,80
59,46.25,46.5,80
52,46.25,46.5,80
63,46.75,47.0,80
59,46.75,47.0,80
54,46.75,47.0,80
47,46.75,47.0,80
63,47.0,48.5,80
59,47.0,48.5,80
54,47.0,48.5,80
47,47.0,48.5,80
66,48.5,48.75,80
63,48.5,48.75,80
59,48.5,48.75,80
54,48.5,48.75,80
47,48.5,48.75,80
68,48.75,49.25,80
64,48.75,49.25,80
59,48.75,49.25,80
52,48.75,49.25,80
66,49.25,49.5,80
63,49.25,49.5,80
59,49.25,49.5,80
54,49.25,49.5,80
47,49.25,49.5,80
68,49.5,50.0,80
64,49.5,50.0,80
59,49.5,50.0,80
52,49.5,50.0,80
66,50.0,50.25,80
63,50.0,50.25,80
59,50.0,50.25,80
54,50.0,50.25,80
47,50.0,50.25,80
68,50.25,50.5,80
64,50.25,50.5,80
59,50.25,50.5,80
52,50.25,50.5,80
63,50.75,51.0,80
59,50.75,51.0,80
54,50.75,51.0,80
47,50.75,51.0,80
63,51.0,52.5,80
59,51.0,52.5,80
54,51.0,52.5,80
47,51.0,52.5,80
66,52.5,52.75,80
63,52.5,52.75,80
59,52.5,52.75,80
54,52.5,52.75,80
47,52.5,52.75,80
68,52.75,53.25,80
64,52.75,53.25,80
59,52.75,53.25,80
52,52.75,53.25,80
66,53.25,53.5,80
63,53.25,53.5,80
59,53.25,53.5,80
54,53.25,53.5,80
47,53.25,53.5,80
68,53.5,54.0,80
64,53.5,54.0,80
59,53.5,54.0,80
52,53.5,54.0,80
66,54.0,54.25,80
63,54.0,54.25,80
59,54.0,54.25,80
54,54.0,54.25,80
47,54.0,54.25,80
68,54.25,54.5,80
64,54.25,54.5,80
59,54.25,54.5,80
52,54.25,54.5,80
63,54.75,55.0,80
59,54.75,55.0,80
54,54.75,55.0,80
47,54.75,55.0,80
63,55.0,56.5,80
59,55.0,56.5,80
54,55.0,56.5,80
47,55.0,56.5,80
66,56.5,56.75,80
63,56.5,56.75,80
59,56.5,56.75,80
54,56.5,56.75,80
47,56.5,56.75,80
68,56.75,57.25,80
64,56.75,57.25,80
59,56.75,57.25,80
52,56.75,57.25,80
66,57.25,57.5,80
63,57.25,57.5,80
59,57.25,57.5,80
54,57.25,57.5,80
47,57.25,57.5,80
68,57.5,58.0,80
64,57.5,58.0,80
59,57.5,58.0,80
52,57.5,58.0,80
66,58.0,58.25,80
63,58.0,58.25,80
59,58.0,58.25,80
54,58.0,58.25,80
47,58.0,58.25,80
68,58.25,58.5,80
64,58.25,58.5,80
59,58.25,58.5,80
52,58.25,58.5,80
63,58.75,59.0,80
59,58.75,59.0,80
54,58.75,59.0,80
47,58.75,59.0,80
63,59.0,60.5,80
59,59.0,60.5,80
54,59.0,60.5,80
47,59.0,60.5,80
66,60.5,60.75,80
63,60.5,60.75,80
59,60.5,60.75,80
54,60.5,60.75,80
47,60.5,60.75,80
68,60.75,61.25,80
64,60.75,61.25,80
59,60.75,61.25,80
52,60.75,61.25,80
66,61.25,61.5,80
63,61.25,61.5,80
59,61.25,61.5,80
54,61.25,61.5,80
47,61.25,61.5,80
68,61.5,62.0,80
64,61.5,62.0,80
59,61.5,62.0,80
52,61.5,62.0,80
66,62.0,62.25,80
63,62.0,62.25,80
59,62.0,62.25,80
54,62.0,62.25,80
47,62.0,62.25,80
68,62.25,62.5,80
64,62.25,62.5,80
59,62.25,62.5,80
52,62.25,62.5,80
63,62.75,63.0,80
59,62.75,63.0,80
54,62.75,63.0,80
47,62.75,63.0,80
63,63.0,64.5,80
59,63.0,64.5,80
54,63.0,64.5,80
47,63.0,64.5,80
66,64.5,64.75,80
63,64.5,64.75,80
59,64.5,64.75,80
54,64.5,64.75,80
47,64.5,64.75,80
68,64.75,65.25,80
64,64.75,65.25,80
59,64.75,65.25,80
52,64.75,65.25,80
66,65.25,65.5,80
63,65.25,65.5,80
59,65.25,65.5,80
54,65.25,65.5,80
47,65.25,65.5,80
68,65.5,66.0,80
64,65.5,66.0,80
59,65.5,66.0,80
52,65.5,66.0,80
66,66.0,66.25,80
63,66.0,66.25,80
59,66.0,66.25,80
54,66.0,66.25,80
47,66.0,66.25,80
68,66.25,66.5,80
64,66.25,66.5,80
59,66.25,66.5,80
52,66.25,66.5,80
63,66.75,67.0,80
59,66.75,67.0,80
54,66.75,67.0,80
47,66.75,67.0,80
63,67.0,68.5,80
59,67.0,68.5,80
54,67.0,68.5,80
47,67.0,68.5,80
66,68.5,68.75,80
63,68.5,68.75,80
59,68.5,68.75,80
54,68.5,68.75,80
47,68.5,68.75,80
68,68.75,69.25,80
64,68.75,69.25,80
59,68.75,69.25,80
52,68.75,69.25,80
66,69.25,69.5,80
63,69.25,69.5,80
59,69.25,69.5,80
54,69.25,69.5,80
47,69.25,69.5,80
68,69.5,70.0,80
64,69.5,70.0,80
59,69.5,70.0,80
52,69.5,70.0,80
66,70.0,70.25,80
63,70.0,70.25,80
59,70.0,70.25,80
54,70.0,70.25,80
47,70.0,70.25,80
68,70.25,70.5,80
64,70.25,70.5,80
59,70.25,70.5,80
52,70.25,70.5,80
63,70.75,71.0,80
59,70.75,71.0,80
54,70.75,71.0,80
47,70.75,71.0,80
63,71.0,72.5,80
59,71.0,72.5,80
54,71.0,72.5,80
47,71.0,72.5,80
66,72.5,72.75,80
63,72.5,72.75,80
59,72.5,72.75,80
54,72.5,72.75,80
47,72.5,72.75,80
68,72.75,73.25,80
64,72.75,73.25,80
59,72.75,73.25,80
52,72.75,73.25,80
66,73.25,73.5,80
63,73.25,73.5,80
59,73.25,73.5,80
54,73.25,73.5,80
47,73.25,73.5,80
68,73.5,74.0,80
64,73.5,74.0,80
59,73.5,74.0,80
52,73.5,74.0,80
66,74.0,74.25,80
63,74.0,74.25,80
59,74.0,74.25,80
54,74.0,74.25,80
47,74.0,74.25,80
68,74.25,74.5,80
64,74.25,74.5,80
59,74.25,74.5,80
52,74.25,74.5,80
63,74.75,75.0,80
59,74.75,75.0,80
54,74.75,75.0,80
47,74.75,75.0,80
63,75.0,76.5,80
59,75.0,76.5,80
54,75.0,76.5,80
47,75.0,76.5,80
66,76.5,76.75,80
63,76.5,76.75,80
59,76.5,76.75,80
54,76.5,76.75,80
47,76.5,76.75,80
68,76.75,77.25,80
64,76.75,77.25,80
59,76.75,77.25,80
52,76.75,77.25,80
66,77.25,77.5,80
63,77.25,77.5,80
59,77.25,77.5,80
54,77.25,77.5,80
47,77.25,77.5,80
68,77.5,78.0,80
64,77.5,78.0,80
59,77.5,78.0,80
52,77.5,78.0,80
66,78.0,78.25,80
63,78.0,78.25,80
59,78.0,78.25,80
54,78.0,78.25,80
47,78.0,78.25,80
68,78.25,78.5,80
64,78.25,78.5,80
59,78.25,78.5,80
52,78.25,78.5,80
63,78.75,79.0,80
59,78.75,79.0,80
54,78.75,79.0,80
47,78.75,79.0,80
63,79.0,80.5,80
59,79.0,80.5,80
54,79.0,80.5,80
47,79.0,80.5,80
45,80.5,80.75,80
62,80.75,81.25,80
57,80.75,81.25,80
50,80.75,81.25,80
45,81.25,81.5,80
62,81.5,82.0,80
57,81.5,82.0,80
50,81.5,82.0,80
45,82.0,82.25,80
62,82.25,82.5,80
57,82.25,82.5,80
50,82.25,82.5,80
45,82.75,83.0,80
57,83.0,84.5,80
52,83.0,84.5,80
45,83.0,84.5,80
40,84.5,84.75,80
57,84.75,85.25,80
52,84.75,85.25,80
45,84.75,85.25,80
40,85.25,85.5,80
57,85.5,86.0,80
52,85.5,86.0,80
45,85.5,86.0,80
40,86.0,86.25,80
57,86.25,86.5,80
52,86.25,86.5,80
45,86.25,86.5,80
40,86.75,87.0,80
52,87.0,88.5,80
47,87.0,88.5,80
40,87.0,88.5,80
66,88.5,88.75,80
63,88.5,88.75,80
59,88.5,88.75,80
54,88.5,88.75,80
47,88.5,88.75,80
68,88.75,89.25,80
64,88.75,89.25,80
59,88.75,89.25,80
52,88.75,89.25,80
66,89.25,89.5,80
63,89.25,89.5,80
59,89.25,89.5,80
54,89.25,89.5,80
47,89.25,89.5,80
68,89.5,90.0,80
64,89.5,90.0,80
59,89.5,90.0,80
52,89.5,90.0,80
66,90.0,90.25,80
63,90.0,90.25,80
59,90.0,90.25,80
54,90.0,90.25,80
47,90.0,90.25,80
68,90.25,90.5,80
64,90.25,90.5,80
59,90.25,90.5,80
52,90.25,90.5,80
63,90.75,91.0,80
59,90.75,91.0,80
54,90.75,91.0,80
47,90.75,91.0,80
63,91.0,92.5,80
59,91.0,92.5,80
54,91.0,92.5,80
47,91.0,92.5,80
66,92.5,92.75,80
63,92.5,92.75,80
59,92.5,92.75,80
54,92.5,92.75,80
47,92.5,92.75,80
68,92.75,93.25,80
64,92.75,93.25,80
59,92.75,93.25,80
52,92.75,93.25,80
66,93.25,93.5,80
63,93.25,93.5,80
59,93.25,93.5,80
54,93.25,93.5,80
47,93.25,93.5,80
68,93.5,94.0,80
64,93.5,94.0,80
59,93.5,94.0,80
52,93.5,94.0,80
66,94.0,94.25,80
63,94.0,94.25,80
59,94.0,94.25,80
54,94.0,94.25,80
47,94.0,94.25,80
68,94.25,94.5,80
64,94.25,94.5,80
59,94.25,94.5,80
52,94.25,94.5,80
63,94.75,95.0,80
59,94.75,95.0,80
54,94.75,95.0,80
47,94.75,95.0,80
63,95.0,96.5,80
59,95.0,96.5,80
54,95.0,96.5,80
47,95.0,96.5,80
47,96.5,96.75,80
59,96.75,97.25,80
52,96.75,97.25,80
47,97.25,97.5,80
59,97.5,98.0,80
52,97.5,98.0,80
47,98.0,98.25,80
59,98.25,98.5,80
52,98.25,98.5,80
47,98.75,99.0,80
59,99.0,99.5,80
54,99.0,99.5,80
47,99.0,99.5,80
59,99.5,99.75,80
54,99.5,99.75,80
47,99.5,99.75,80
59,99.75,100.0,80
54,99.75,100.0,80
47,99.75,100.0,80
59,100.0,100.5,80
54,100.0,100.5,80
47,100.0,100.5,80
47,100.5,100.75,80
59,100.75,101.25,80
52,100.75,101.25,80
47,101.25,101.5,80
59,101.5,102.0,80
52,101.5,102.0,80
