0.0
120.0
Note,Start,End,Volume
47,2.0,9.994791666666666,67
52,2.0,9.994791666666666,92
52,10.0,10.497395833333334,99
52,10.5,10.502604166666666,107
40,10.0,10.510416666666666,79
47,10.0,10.536458333333334,76
59,10.5,10.997395833333334,107
52,11.0,11.002604166666666,102
43,11.25,11.494791666666666,96
50,11.25,11.494791666666666,61
55,11.25,11.494791666666666,77
45,11.75,12.432291666666666,97
52,11.75,12.432291666666666,82
57,11.75,12.432291666666666,79
59,11.0,12.497395833333334,104
52,12.5,12.502604166666666,99
43,12.75,12.994791666666666,84
45,13.0,13.244791666666666,93
52,13.0,13.244791666666666,83
57,13.0,13.244791666666666,94
43,13.25,13.6015625,86
55,13.25,13.606770833333334,74
50,13.25,13.609375,63
40,13.739583333333334,14.463541666666666,100
47,13.75,14.473958333333334,83
52,13.75,14.473958333333334,92
59,12.5,14.497395833333334,100
59,14.5,14.502604166666666,104
52,14.5,14.997395833333334,102
52,15.0,15.002604166666666,102
43,15.25,15.494791666666666,96
50,15.25,15.494791666666666,61
55,15.25,15.494791666666666,77
45,15.75,16.432291666666668,97
52,15.75,16.432291666666668,82
57,15.75,16.432291666666668,79
59,15.0,16.497395833333332,102
59,16.5,16.502604166666668,106
43,16.75,16.994791666666668,84
52,16.5,16.997395833333332,100
45,17.0,17.244791666666668,92
52,17.0,17.244791666666668,82
57,17.0,17.244791666666668,93
43,17.25,17.6015625,83
55,17.25,17.606770833333332,78
50,17.25,17.609375,67
40,17.739583333333332,18.463541666666668,100
47,17.75,18.473958333333332,83
52,17.75,18.473958333333332,92
52,18.5,18.502604166666668,103
59,18.5,18.997395833333332,102
59,19.0,19.002604166666668,106
43,19.25,19.494791666666668,96
50,19.25,19.494791666666668,61
55,19.25,19.494791666666668,77
52,19.0,19.747395833333332,104
45,19.75,20.432291666666668,97
52,19.75,20.432291666666668,82
57,19.75,20.432291666666668,79
59,20.5,20.502604166666668,109
43,20.75,20.994791666666668,84
52,20.5,20.997395833333332,103
45,21.0,21.244791666666668,93
52,21.0,21.244791666666668,81
57,21.0,21.244791666666668,91
52,21.5,21.502604166666668,105
43,21.25,21.6015625,83
55,21.25,21.606770833333332,73
50,21.25,21.609375,72
40,21.739583333333332,22.463541666666668,100
47,21.75,22.473958333333332,83
52,21.75,22.473958333333332,92
59,21.5,22.497395833333332,104
52,22.5,22.502604166666668,103
59,22.5,22.997395833333332,106
59,23.0,23.002604166666668,109
43,23.25,23.494791666666668,96
