0.0
120.0
Note,Start,End,Volume
57,24.0,24.25,95
52,24.0,24.25,95
45,24.0,24.25,95
57,24.25,24.286458333333332,95
50,24.25,24.286458333333332,95
45,24.25,24.286458333333332,95
62,24.75,25.0,95
57,24.75,25.0,95
50,24.75,25.0,95
55,25.0,25.036458333333332,95
50,25.0,25.036458333333332,95
45,25.0,25.036458333333332,95
57,25.25,25.5,95
52,25.25,25.5,95
45,25.25,25.5,95
55,25.5,25.536458333333332,95
50,25.5,25.536458333333332,95
45,25.5,25.536458333333332,95
62,25.75,26.0,95
57,25.75,26.0,95
50,25.75,26.0,95
62,26.0,26.036458333333332,95
57,26.0,26.036458333333332,95
50,26.0,26.036458333333332,95
67,26.5,27.0,95
62,26.5,27.0,95
55,26.5,27.0,95
50,26.5,27.0,95
67,27.0,27.25,95
62,27.0,27.25,95
55,27.0,27.25,95
50,27.0,27.25,95
66,27.25,27.5,95
62,27.25,27.5,95
57,27.25,27.5,95
50,27.25,27.5,95
64,27.5,27.536458333333332,95
59,27.5,27.536458333333332,95
55,27.5,27.536458333333332,95
57,28.0,28.25,95
52,28.0,28.25,95
45,28.0,28.25,95
57,28.25,28.286458333333332,95
50,28.25,28.286458333333332,95
45,28.25,28.286458333333332,95
62,28.75,29.0,95
57,28.75,29.0,95
50,28.75,29.0,95
55,29.0,29.036458333333332,95
50,29.0,29.036458333333332,95
45,29.0,29.036458333333332,95
57,29.25,29.5,95
52,29.25,29.5,95
45,29.25,29.5,95
55,29.5,29.536458333333332,95
50,29.5,29.536458333333332,95
45,29.5,29.536458333333332,95
62,29.75,30.0,95
57,29.75,30.0,95
50,29.75,30.0,95
62,30.0,30.036458333333332,95
57,30.0,30.036458333333332,95
50,30.0,30.036458333333332,95
67,30.5,31.0,95
62,30.5,31.0,95
55,30.5,31.0,95
50,30.5,31.0,95
67,31.0,31.25,95
62,31.0,31.25,95
55,31.0,31.25,95
50,31.0,31.25,95
66,31.25,31.5,95
62,31.25,31.5,95
57,31.25,31.5,95
50,31.25,31.5,95
64,31.5,31.536458333333332,95
59,31.5,31.536458333333332,95
55,31.5,31.536458333333332,95
57,32.0,32.25,95
52,32.0,32.25,95
45,32.0,32.25,95
57,32.25,32.286458333333336,95
50,32.25,32.286458333333336,95
45,32.25,32.286458333333336,95
62,32.75,33.0,95
57,32.75,33.0,95
50,32.75,33.0,95
55,33.0,33.036458333333336,95
50,33.0,33.036458333333336,95
45,33.0,33.036458333333336,95
57,33.25,33.5,95
52,33.25,33.5,95
45,33.25,33.5,95
55,33.5,33.536458333333336,95
50,33.5,33.536458333333336,95
45,33.5,33.536458333333336,95
62,33.75,34.0,95
57,33.75,34.0,95
50,33.75,34.0,95
62,34.0,34.036458333333336,95
57,34.0,34.036458333333336,95
50,34.0,34.036458333333336,95
67,34.5,35.0,95
62,34.5,35.0,95
55,34.5,35.0,95
50,34.5,35.0,95
67,35.0,35.25,95
62,35.0,35.25,95
55,35.0,35.25,95
50,35.0,35.25,95
66,35.25,35.5,95
62,35.25,35.5,95
57,35.25,35.5,95
50,35.25,35.5,95
