0.0
120.0
Note,Start,End,Volume
40,0.0,0.25,127
52,0.25,0.5,127
47,0.25,0.5,127
40,0.5,0.75,127
57,0.75,1.25,127
50,0.75,1.25,127
56,1.25,1.5,127
49,1.25,1.5,127
40,1.5,2.0,127
52,2.0,2.5,127
47,2.0,2.5,127
40,2.5,2.75,127
57,2.75,3.25,127
50,2.75,3.25,127
56,3.25,3.5,127
49,3.25,3.5,127
40,3.5,4.0,127
52,4.0,4.5,127
47,4.0,4.5,127
40,4.5,4.75,127
57,4.75,5.25,127
50,4.75,5.25,127
56,5.25,5.5,127
49,5.25,5.5,127
40,5.5,6.0,127
52,6.0,6.5,127
47,6.0,6.5,127
40,6.5,6.75,127
57,6.75,7.25,127
50,6.75,7.25,127
56,7.25,7.5,127
49,7.25,7.5,127
40,7.5,8.0,127
52,8.0,8.5,127
47,8.0,8.5,127
40,8.5,8.75,127
57,8.75,9.25,127
50,8.75,9.25,127
56,9.25,9.5,127
49,9.25,9.5,127
40,9.5,10.0,127
52,10.0,10.5,127
47,10.0,10.5,127
40,10.5,10.75,127
57,10.75,11.25,127
50,10.75,11.25,127
56,11.25,11.5,127
49,11.25,11.5,127
40,11.5,12.0,127
52,12.0,12.5,127
47,12.0,12.5,127
40,12.5,12.75,127
57,12.75,13.25,127
50,12.75,13.25,127
56,13.25,13.5,127
49,13.25,13.5,127
40,13.5,14.0,127
52,14.0,14.5,127
47,14.0,14.5,127
40,14.5,14.75,127
57,14.75,15.25,127
50,14.75,15.25,127
56,15.25,15.5,127
49,15.25,15.5,127
40,15.5,16.0,127
52,16.0,16.5,127
47,16.0,16.5,127
40,16.5,16.75,127
57,16.75,17.25,127
50,16.75,17.25,127
56,17.25,17.5,127
49,17.25,17.5,127
40,17.5,18.0,127
52,18.0,18.5,127
47,18.0,18.5,127
40,18.5,18.75,127
57,18.75,19.25,127
50,18.75,19.25,127
56,19.25,19.5,127
49,19.25,19.5,127
40,19.5,20.0,127
52,20.0,20.5,127
47,20.0,20.5,127
40,20.5,20.75,127
57,20.75,21.25,127
50,20.75,21.25,127
56,21.25,21.5,127
49,21.25,21.5,127
40,21.5,22.0,127
