0.0
120.0
Note,Start,End,Volume
40,2.0,2.245833333333333,100
52,2.0,2.245833333333333,100
59,2.0,2.245833333333333,100
40,2.25,2.2875,100
52,2.25,2.2875,100
52,2.5,2.5375,100
40,2.5,2.5375,100
52,2.75,2.7875,100
40,2.75,2.7875,100
52,3.0,3.0375,100
40,3.0,3.0375,100
52,3.25,3.2875,100
40,3.25,3.2875,100
52,3.5,3.5375,100
40,3.5,3.5375,100
52,3.75,3.7875,100
40,3.75,3.7875,100
40,4.0,4.245833333333334,100
52,4.0,4.245833333333334,100
59,4.0,4.245833333333334,100
40,4.25,4.2875,100
52,4.25,4.2875,100
52,4.5,4.5375,100
40,4.5,4.5375,100
52,4.75,4.7875,100
40,4.75,4.7875,100
52,5.0,5.0375,100
40,5.0,5.0375,100
52,5.25,5.2875,100
40,5.25,5.2875,100
52,5.5,5.5375,100
40,5.5,5.5375,100
52,5.75,5.7875,100
40,5.75,5.7875,100
40,6.0,6.245833333333334,100
52,6.0,6.245833333333334,100
59,6.0,6.245833333333334,100
40,6.25,6.2875,100
52,6.25,6.2875,100
52,6.5,6.5375,100
40,6.5,6.5375,100
52,6.75,6.7875,100
40,6.75,6.7875,100
52,7.0,7.0375,100
40,7.0,7.0375,100
52,7.25,7.2875,100
40,7.25,7.2875,100
52,7.5,7.5375,100
40,7.5,7.5375,100
52,7.75,7.7875,100
40,7.75,7.7875,100
40,8.0,8.245833333333334,100
52,8.0,8.245833333333334,100
59,8.0,8.245833333333334,100
40,8.25,8.2875,100
52,8.25,8.2875,100
52,8.5,8.5375,100
40,8.5,8.5375,100
52,8.75,8.7875,100
40,8.75,8.7875,100
52,9.0,9.0375,100
40,9.0,9.0375,100
52,9.25,9.2875,100
40,9.25,9.2875,100
52,9.5,9.5375,100
40,9.5,9.5375,100
52,9.75,9.7875,100
40,9.75,9.7875,100
40,10.0,10.245833333333334,100
52,10.0,10.245833333333334,100
59,10.0,10.245833333333334,100
40,10.25,10.2875,100
52,10.25,10.2875,100
52,10.5,10.5375,100
40,10.5,10.5375,100
