0.0
120.0
Note,Start,End,Volume
56,0.0,1.75,127
52,0.0,1.75,127
47,0.0,1.75,127
40,0.0,1.75,127
55,1.75,2.25,127
50,1.75,2.25,127
43,1.75,2.25,127
56,2.25,3.75,127
52,2.25,3.75,127
47,2.25,3.75,127
40,2.25,3.75,127
57,3.75,4.25,127
52,3.75,4.25,127
45,3.75,4.25,127
56,4.25,5.75,127
52,4.25,5.75,127
47,4.25,5.75,127
40,4.25,5.75,127
62,5.75,6.25,127
57,5.75,6.25,127
50,5.75,6.25,127
45,5.75,6.25,127
56,6.25,8.0,127
52,6.25,8.0,127
47,6.25,8.0,127
40,6.25,8.0,127
56,8.0,9.75,127
52,8.0,9.75,127
47,8.0,9.75,127
40,8.0,9.75,127
55,9.75,10.25,127
50,9.75,10.25,127
43,9.75,10.25,127
56,10.25,11.75,127
52,10.25,11.75,127
47,10.25,11.75,127
40,10.25,11.75,127
57,11.75,12.25,127
52,11.75,12.25,127
45,11.75,12.25,127
56,12.25,13.75,127
52,12.25,13.75,127
47,12.25,13.75,127
40,12.25,13.75,127
62,13.75,14.25,127
57,13.75,14.25,127
50,13.75,14.25,127
45,13.75,14.25,127
56,14.25,16.0,127
52,14.25,16.0,127
47,14.25,16.0,127
40,14.25,16.0,127
56,16.0,17.75,127
52,16.0,17.75,127
47,16.0,17.75,127
40,16.0,17.75,127
55,17.75,18.25,127
50,17.75,18.25,127
43,17.75,18.25,127
56,18.25,19.75,127
52,18.25,19.75,127
47,18.25,19.75,127
40,18.25,19.75,127
57,19.75,20.25,127
52,19.75,20.25,127
45,19.75,20.25,127
56,20.25,21.75,127
52,20.25,21.75,127
47,20.25,21.75,127
40,20.25,21.75,127
62,21.75,22.25,127
57,21.75,22.25,127
50,21.75,22.25,127
45,21.75,22.25,127
56,22.25,24.0,127
52,22.25,24.0,127
47,22.25,24.0,127
40,22.25,24.0,127
56,24.0,25.75,127
52,24.0,25.75,127
47,24.0,25.75,127
40,24.0,25.75,127
55,25.75,26.25,127
50,25.75,26.25,127
43,25.75,26.25,127
56,26.25,27.75,127
52,26.25,27.75,127
47,26.25,27.75,127
40,26.25,27.75,127
57,27.75,28.25,127
52,27.75,28.25,127
45,27.75,28.25,127
56,28.25,29.75,127
52,28.25,29.75,127
47,28.25,29.75,127
40,28.25,29.75,127
62,29.75,30.25,127
57,29.75,30.25,127
50,29.75,30.25,127
45,29.75,30.25,127
56,30.25,31.25,127
52,30.25,31.25,127
47,30.25,31.25,127
