0.0
120.0
Note,Start,End,Volume
40,2.0,2.25,127
47,2.25,2.5,120
52,2.5,2.75,110
55,2.75,3.0,100
59,3.0,4.0,85
45,4.0,5.0,127
41,5.0,6.0,110
36,6.0,6.25,127
43,6.25,6.5,120
48,6.5,6.75,110
55,6.75,7.0,100
60,7.0,8.0,85
43,8.0,10.001041666666666,127
40,10.0,10.25,127
47,10.25,10.5,120
52,10.5,10.75,110
55,10.75,11.0,100
59,11.0,12.0,85
45,12.0,13.0,127
41,13.0,14.0,110
36,14.0,14.25,127
43,14.25,14.5,120
48,14.5,14.75,110
55,14.75,15.0,100
60,15.0,16.0,85
43,16.0,18.001041666666666,127
40,18.0,18.25,127
47,18.25,18.5,120
52,18.5,18.75,110
55,18.75,19.0,100
59,19.0,20.0,85
45,20.0,21.0,127
41,21.0,22.0,110
36,22.0,22.25,127
43,22.25,22.5,120
48,22.5,22.75,110
55,22.75,23.0,100
60,23.0,24.0,85
43,24.0,26.001041666666666,127
40,26.0,26.25,127
47,26.25,26.5,120
52,26.5,26.75,110
55,26.75,27.0,100
59,27.0,28.0,85
45,28.0,29.0,127
41,29.0,30.0,110
36,30.0,30.25,127
43,30.25,30.5,120
48,30.5,30.75,110
55,30.75,31.0,100
60,31.0,32.0,85
43,32.0,34.001041666666666,127
40,34.0,34.25,127
47,34.25,34.5,120
52,34.5,34.75,110
55,34.75,35.0,100
59,35.0,36.0,85
45,36.0,37.0,127
41,37.0,38.0,110
36,38.0,38.25,127
43,38.25,38.5,120
48,38.5,38.75,110
55,38.75,39.0,100
60,39.0,40.0,85
43,40.0,42.001041666666666,127
40,42.0,42.25,127
47,42.25,42.5,120
52,42.5,42.75,110
55,42.75,43.0,100
59,43.0,44.0,85
45,44.0,45.0,127
41,45.0,46.0,110
45,46.0,47.0,100
52,46.0,47.0,100
57,46.0,47.0,100
60,46.0,47.0,100
40,47.0,48.0,100
52,47.0,48.0,100
55,47.0,48.0,100
60,47.0,48.0,100
41,48.0,49.0,100
48,48.0,49.0,100
53,48.0,49.0,100
57,48.0,49.0,100
