0.0
120.0
Note,Start,End,Volume
68,17.0,17.25,106
65,17.0,17.25,103
65,17.5,17.625,77
68,17.5,17.625,87
60,17.25,17.625,90
67,17.75,18.125,101
58,17.75,18.125,90
63,17.75,18.125,101
65,18.25,18.625,103
68,18.25,18.625,106
60,18.25,18.625,103
60,18.75,19.0,100
68,19.0,19.25,106
65,19.0,19.25,103
65,19.5,19.625,77
68,19.5,19.625,87
60,19.25,19.625,81
67,19.75,20.125,101
58,19.75,20.125,90
63,19.75,20.125,101
65,20.25,20.625,103
68,20.25,20.625,106
60,20.25,20.625,103
60,20.75,21.0,100
68,21.0,21.25,106
65,21.0,21.25,103
65,21.5,21.625,77
68,21.5,21.625,87
60,21.25,21.625,90
67,21.75,22.125,101
58,21.75,22.125,90
63,21.75,22.125,101
65,22.25,22.625,103
68,22.25,22.625,106
60,22.25,22.625,103
60,22.75,23.0,100
68,23.0,23.25,106
65,23.0,23.25,103
65,23.5,23.625,77
68,23.5,23.625,87
60,23.25,23.625,81
67,23.75,24.125,101
58,23.75,24.125,90
63,23.75,24.125,101
65,24.25,24.625,103
68,24.25,24.625,106
60,24.25,24.625,103
60,24.75,25.0,100
68,25.0,25.25,106
65,25.0,25.25,103
65,25.5,25.625,77
68,25.5,25.625,87
60,25.25,25.625,90
67,25.75,26.125,101
58,25.75,26.125,90
63,25.75,26.125,101
65,26.25,26.625,103
68,26.25,26.625,106
60,26.25,26.625,103
60,26.75,27.0,100
68,27.0,27.25,106
65,27.0,27.25,103
65,27.5,27.625,77
68,27.5,27.625,87
60,27.25,27.625,81
67,27.75,28.125,101
58,27.75,28.125,90
63,27.75,28.125,101
65,28.25,28.625,103
68,28.25,28.625,106
60,28.25,28.625,103
60,28.75,29.0,100
68,29.0,29.25,106
65,29.0,29.25,103
65,29.5,29.625,77
68,29.5,29.625,87
60,29.25,29.625,90
67,29.75,30.125,101
58,29.75,30.125,90
63,29.75,30.125,101
65,30.25,30.625,103
68,30.25,30.625,106
60,30.25,30.625,103
60,30.75,31.0,100
68,31.0,31.25,106
65,31.0,31.25,103
65,31.5,31.625,77
68,31.5,31.625,87
60,31.25,31.625,81
67,31.75,32.125,101
58,31.75,32.125,90
63,31.75,32.125,101
67,32.25,32.625,103
70,32.25,32.625,106
60,32.25,32.625,103
60,32.75,33.0,100
68,33.0,33.25,106
65,33.0,33.25,103
65,33.5,33.625,77
68,33.5,33.625,87
60,33.25,33.625,85
67,33.75,34.125,101
58,33.75,34.125,90
63,33.75,34.125,101
65,34.25,34.625,103
68,34.25,34.625,106
60,34.25,34.625,103
60,34.75,35.0,100
68,35.0,35.25,106
65,35.0,35.25,103
65,35.5,35.625,77
68,35.5,35.625,87
60,35.25,35.625,81
67,35.75,36.125,101
58,35.75,36.125,90
63,35.75,36.125,101
67,36.25,36.625,103
70,36.25,36.625,106
60,36.25,36.625,103
60,36.75,37.0,100
68,37.0,37.25,106
65,37.0,37.25,103
65,37.5,37.625,77
68,37.5,37.625,87
60,37.25,37.625,85
67,37.75,38.125,101
58,37.75,38.125,90
63,37.75,38.125,101
65,38.25,38.625,103
68,38.25,38.625,106
60,38.25,38.625,103
60,38.75,39.0,100
68,39.0,39.25,106
65,39.0,39.25,103
65,39.5,39.625,77
68,39.5,39.625,87
60,39.25,39.625,81
67,39.75,40.125,101
58,39.75,40.125,90
63,39.75,40.125,101
67,40.25,40.625,103
70,40.25,40.625,106
60,40.25,40.625,103
60,40.75,41.0,100
68,41.0,41.25,106
65,41.0,41.25,103
65,41.5,41.625,77
68,41.5,41.625,87
60,41.25,41.625,85
67,41.75,42.125,101
58,41.75,42.125,90
63,41.75,42.125,101
65,42.25,42.625,103
68,42.25,42.625,106
60,42.25,42.625,103
60,42.75,43.0,100
68,43.0,43.25,106
65,43.0,43.25,103
65,43.5,43.625,77
68,43.5,43.625,87
60,43.25,43.625,81
67,43.75,44.125,101
58,43.75,44.125,90
63,43.75,44.125,101
67,44.25,44.625,103
70,44.25,44.625,106
60,44.25,44.625,103
60,44.75,45.0,100
68,45.0,45.25,106
65,45.0,45.25,103
65,45.5,45.625,77
68,45.5,45.625,87
60,45.25,45.625,85
67,45.75,46.125,101
58,45.75,46.125,90
63,45.75,46.125,101
65,46.25,46.625,103
68,46.25,46.625,106
60,46.25,46.625,103
60,46.75,47.0,100
68,47.0,47.25,106
65,47.0,47.25,103
65,47.5,47.625,77
68,47.5,47.625,87
60,47.25,47.625,81
67,47.75,48.125,101
58,47.75,48.125,90
63,47.75,48.125,101
67,48.25,48.625,103
70,48.25,48.625,106
60,48.25,48.625,103
60,48.75,49.0,100
68,49.0,49.25,106
65,49.0,49.25,103
65,49.5,49.625,77
68,49.5,49.625,87
60,49.25,49.625,85
67,49.75,50.125,101
58,49.75,50.125,90
63,49.75,50.125,101
65,50.25,50.625,103
68,50.25,50.625,106
60,50.25,50.625,103
60,50.75,51.0,100
68,51.0,51.25,106
65,51.0,51.25,103
65,51.5,51.625,77
68,51.5,51.625,87
60,51.25,51.625,81
67,51.75,52.125,101
58,51.75,52.125,90
63,51.75,52.125,101
67,52.25,52.625,103
70,52.25,52.625,106
60,52.25,52.625,103
60,52.75,53.0,100
68,53.0,53.25,106
65,53.0,53.25,103
65,53.5,53.625,77
68,53.5,53.625,87
60,53.25,53.625,85
67,53.75,54.125,101
58,53.75,54.125,90
63,53.75,54.125,101
65,54.25,54.625,103
68,54.25,54.625,106
60,54.25,54.625,103
60,54.75,55.0,100
68,55.0,55.25,106
65,55.0,55.25,103
65,55.5,55.625,77
68,55.5,55.625,87
60,55.25,55.625,81
67,55.75,56.125,101
58,55.75,56.125,90
