0.0
120.0
Note,Start,End,Volume
62,4.25,5.505208333333333,109
59,4.25,5.518229166666667,107
66,4.25,5.520833333333333,119
64,5.75,5.985416666666667,103
66,5.75,5.988020833333334,109
59,5.75,5.9921875,101
62,6.25,7.495833333333334,105
59,6.25,7.511458333333334,105
66,6.25,7.521875,114
66,7.75,8.015625,114
59,7.75,8.019270833333334,105
64,7.75,8.021875,105
57,8.25,9.536458333333334,105
62,8.25,9.541666666666666,103
66,8.25,9.559895833333334,116
64,9.75,9.988020833333334,93
59,9.75,10.00625,103
66,9.75,10.010416666666666,112
57,10.25,11.515625,103
66,10.25,11.532291666666666,114
62,10.25,11.533854166666666,105
62,12.25,13.505208333333334,109
59,12.25,13.518229166666666,107
66,12.25,13.520833333333334,119
64,13.75,13.985416666666666,103
66,13.75,13.988020833333334,109
59,13.75,13.9921875,101
62,14.25,15.495833333333334,105
59,14.25,15.511458333333334,105
66,14.25,15.521875,114
66,15.75,16.015625,114
59,15.75,16.019270833333334,105
64,15.75,16.021875,105
57,16.25,17.536458333333332,105
62,16.25,17.541666666666668,103
66,16.25,17.559895833333332,116
64,17.75,17.988020833333334,93
59,17.75,18.00625,103
66,17.75,18.010416666666668,112
57,18.25,19.515625,103
66,18.25,19.532291666666666,114
62,18.25,19.533854166666668,105
62,20.25,21.505208333333332,109
59,20.25,21.518229166666668,107
66,20.25,21.520833333333332,119
64,21.75,21.985416666666666,103
66,21.75,21.988020833333334,109
59,21.75,21.9921875,101
62,22.25,23.495833333333334,105
59,22.25,23.511458333333334,105
66,22.25,23.521875,114
66,23.75,24.015625,114
59,23.75,24.019270833333334,105
64,23.75,24.021875,105
57,24.25,25.536458333333332,105
62,24.25,25.541666666666668,103
66,24.25,25.559895833333332,116
64,25.75,25.988020833333334,93
59,25.75,26.006249999999998,103
66,25.75,26.010416666666668,112
57,26.25,27.515625,103
66,26.25,27.532291666666666,114
62,26.25,27.533854166666668,105
62,28.25,29.505208333333332,109
59,28.25,29.518229166666668,107
66,28.25,29.520833333333332,119
64,29.75,29.985416666666666,103
66,29.75,29.988020833333334,109
59,29.75,29.9921875,101
62,30.25,31.495833333333334,105
59,30.25,31.511458333333334,105
66,30.25,31.521874999999998,114
66,31.75,32.015625,114
59,31.75,32.01927083333333,105
64,31.75,32.021875,105
57,32.25,33.536458333333336,105
62,32.25,33.541666666666664,103
66,32.25,33.559895833333336,116
64,33.75,33.98802083333333,93
59,33.75,34.00625,103
66,33.75,34.010416666666664,112
57,34.25,35.515625,103
66,34.25,35.532291666666666,114
62,34.25,35.533854166666664,105
67,36.5,36.5140625,68
65,36.5,37.041666666666664,112
