0.0
120.0
Note,Start,End,Volume
61,0.0,1.875,60
77,0.0,2.0,60
73,0.0,2.0,60
68,0.0,2.0,60
75,2.0,2.2447916666666665,60
77,2.25,2.4947916666666665,60
75,2.5,2.7447916666666665,60
80,2.75,3.1666666666666665,60
77,3.25,3.4947916666666665,60
68,2.0,3.875,60
60,2.0,3.875,60
75,3.5,3.9166666666666665,60
73,4.0,5.875,60
70,4.0,5.875,60
65,4.0,5.875,60
58,4.0,5.875,60
72,6.0,6.244791666666667,60
73,6.25,6.494791666666667,60
72,6.5,6.744791666666667,60
77,6.75,7.166666666666667,60
73,7.25,7.494791666666667,60
65,6.0,7.875,60
56,6.0,7.875,60
72,7.5,7.916666666666667,60
70,8.0,8.666666666666666,60
72,8.75,9.416666666666666,60
73,9.5,9.916666666666666,60
73,10.0,10.416666666666666,60
77,10.5,10.916666666666666,60
75,11.0,11.416666666666666,60
67,8.0,11.875,60
65,8.0,11.875,60
61,8.0,11.875,60
58,8.0,11.875,60
73,11.5,11.916666666666666,60
63,12.0,14.0,60
56,12.0,14.0,60
73,12.0,15.375,60
68,12.0,15.375,60
60,14.0,15.875,60
56,14.0,15.875,60
72,15.5,15.916666666666666,60
68,15.5,15.916666666666666,60
77,16.0,17.875,45
73,16.0,17.875,45
68,16.0,17.875,45
61,16.0,17.875,45
75,18.0,19.875,45
68,18.0,19.875,45
60,18.0,19.875,45
73,20.0,21.875,45
70,20.0,21.875,45
65,20.0,21.875,45
58,20.0,21.875,45
72,22.0,23.875,45
65,22.0,23.875,45
56,22.0,23.875,45
77,24.0,25.875,45
73,24.0,25.875,45
70,24.0,25.875,45
63,24.0,25.875,45
58,24.0,25.875,45
82,26.0,27.875,45
79,26.0,27.875,45
73,26.0,27.875,45
61,26.0,27.875,45
58,26.0,27.875,45
82,28.0,29.875,45
78,28.0,29.875,45
73,28.0,29.875,45
63,28.0,29.875,45
80,30.0,31.875,45
78,30.0,31.875,45
72,30.0,31.875,45
56,28.0,31.875,45
63,30.0,31.875,45
77,32.0,33.875,45
73,32.0,33.875,45
68,32.0,33.875,45
61,32.0,33.875,45
75,34.0,35.875,45
68,34.0,35.875,45
60,34.0,35.875,45
70,36.0,37.875,45
65,36.0,37.875,45
58,36.0,37.875,45
70,38.0,39.875,45
73,36.0,39.875,45
65,38.0,39.875,45
56,38.0,39.875,45
77,40.0,41.875,45
73,40.0,41.875,45
70,40.0,41.875,45
55,40.0,41.875,45
77,42.0,43.875,45
73,42.0,43.875,45
55,42.0,43.875,45
82,42.0,45.875,45
73,44.0,45.875,45
56,44.0,45.875,45
80,46.0,47.875,45
75,46.0,47.875,45
78,44.0,47.875,45
72,46.0,47.875,45
56,46.0,47.875,45
70,48.0,49.875,45
65,48.0,49.875,45
58,48.0,49.875,45
46,48.0,49.875,45
70,50.0,51.875,45
65,50.0,51.875,45
56,50.0,51.875,45
44,50.0,51.875,45
70,52.0,53.875,45
63,52.0,53.875,45
55,52.0,53.875,45
43,52.0,53.875,45
51,54.0,55.875,45
39,54.0,55.875,45
68,56.0,57.875,45
63,56.0,57.875,45
56,56.0,57.875,45
44,56.0,57.875,45
68,58.0,59.875,45
63,58.0,59.875,45
54,58.0,59.875,45
42,58.0,59.875,45
68,60.0,61.875,45
61,60.0,61.875,45
53,60.0,61.875,45
41,60.0,61.875,45
73,62.0,63.875,45
68,62.0,63.875,45
65,62.0,63.875,45
49,62.0,63.875,45
37,62.0,63.875,45
70,64.0,65.875,45
65,64.0,65.875,45
56,64.0,65.875,45
46,64.0,65.875,45
63,66.0,67.875,45
60,66.0,67.875,45
53,66.0,67.875,45
70,68.0,69.875,45
66,68.0,69.875,45
54,68.0,69.875,45
42,68.0,69.875,45
75,70.0,71.875,45
70,70.0,71.875,45
66,70.0,71.875,45
56,70.0,71.875,45
44,70.0,71.875,45
77,72.0,73.875,45
73,72.0,73.875,45
68,72.0,73.875,45
61,72.0,73.875,45
49,72.0,73.875,45
75,74.0,75.875,45
68,74.0,75.875,45
60,74.0,75.875,45
48,74.0,75.875,45
73,76.0,77.875,45
70,76.0,77.875,45
65,76.0,77.875,45
58,76.0,77.875,45
46,76.0,77.875,45
72,78.0,79.875,45
65,78.0,79.875,45
56,78.0,79.875,45
44,78.0,79.875,45
70,80.0,81.875,45
67,80.0,81.875,45
65,80.0,81.875,45
55,80.0,81.875,45
70,82.0,83.875,45
67,82.0,83.875,45
73,80.0,83.875,45
65,82.0,83.875,45
55,82.0,83.875,45
70,84.0,85.875,45
68,84.0,85.875,45
65,84.0,85.875,45
56,84.0,85.875,45
70,86.0,87.875,45
68,86.0,87.875,45
73,84.0,87.875,45
65,86.0,87.875,45
56,86.0,87.875,45
73,88.0,89.875,45
70,88.0,89.875,45
66,88.0,89.875,45
63,88.0,89.875,45
56,88.0,89.875,45
78,90.0,91.875,45
73,90.0,91.875,45
70,90.0,91.875,45
66,90.0,91.875,45
56,90.0,91.875,45
44,90.0,91.875,45
49,92.0,92.41666666666667,45
37,92.0,92.41666666666667,45
49,92.5,93.16666666666667,45
37,92.5,93.16666666666667,45
77,92.0,93.24479166666667,45
73,92.0,93.24479166666667,45
68,92.0,93.24479166666667,45
77,93.25,93.91666666666667,45
73,93.25,93.91666666666667,45
68,93.25,93.91666666666667,45
49,93.25,93.91666666666667,45
37,93.25,93.91666666666667,45
48,94.0,94.41666666666667,45
36,94.0,94.41666666666667,45
48,94.5,95.16666666666667,45
36,94.5,95.16666666666667,45
75,94.0,95.24479166666667,45
72,94.0,95.24479166666667,45
68,94.0,95.24479166666667,45
75,95.25,95.91666666666667,45
72,95.25,95.91666666666667,45
68,95.25,95.91666666666667,45
48,95.25,95.91666666666667,45
36,95.25,95.91666666666667,45
46,96.0,96.41666666666667,45
34,96.0,96.41666666666667,45
46,96.5,97.16666666666667,45
34,96.5,97.16666666666667,45
73,96.0,97.24479166666667,45
70,96.0,97.24479166666667,45
65,96.0,97.24479166666667,45
73,97.25,97.91666666666667,45
70,97.25,97.91666666666667,45
65,97.25,97.91666666666667,45
46,97.25,97.91666666666667,45
34,97.25,97.91666666666667,45
44,98.0,98.41666666666667,45
32,98.0,98.41666666666667,45
44,98.5,99.16666666666667,45
32,98.5,99.16666666666667,45
72,98.0,99.24479166666667,45
68,98.0,99.24479166666667,45
65,98.0,99.24479166666667,45
72,99.25,99.91666666666667,45
68,99.25,99.91666666666667,45
65,99.25,99.91666666666667,45
44,99.25,99.91666666666667,45
32,99.25,99.91666666666667,45
70,100.0,100.66666666666667,45
66,100.0,100.66666666666667,45
42,100.0,100.66666666666667,45
30,100.0,100.66666666666667,45
72,100.75,101.41666666666667,45
68,100.75,101.41666666666667,45
42,100.75,101.41666666666667,45
30,100.75,101.41666666666667,45
42,101.5,102.875,45
30,101.5,102.875,45
42,103.0,103.24479166666667,45
41,103.25,103.66666666666667,45
73,101.5,103.875,45
70,101.5,103.875,45
66,101.5,103.875,45
37,103.75,103.99479166666667,45
73,104.0,104.66666666666667,45
70,104.0,104.66666666666667,45
66,104.0,104.66666666666667,45
51,104.0,104.66666666666667,45
39,104.0,104.66666666666667,45
75,104.75,105.41666666666667,45
72,104.75,105.41666666666667,45
68,104.75,105.41666666666667,45
51,104.75,105.41666666666667,45
39,104.75,105.41666666666667,45
51,105.5,107.375,45
39,105.5,107.375,45
77,105.5,107.875,45
73,105.5,107.875,45
70,105.5,107.875,45
66,105.5,107.875,45
56,107.5,107.91666666666667,45
44,107.5,107.91666666666667,45
49,108.0,108.41666666666667,45
68,108.0,108.875,45
65,108.0,108.875,45
61,108.0,108.875,45
61,109.0,109.24479166666667,45
63,109.25,109.49479166666667,45
65,109.5,109.74479166666667,45
49,108.5,109.875,45
66,109.75,109.99479166666667,45
68,110.0,110.24479166666667,45
63,110.0,110.24479166666667,45
60,110.0,110.41666666666667,45
48,110.0,110.41666666666667,45
70,110.25,110.49479166666667,45
68,110.5,110.74479166666667,45
73,110.75,111.875,45
66,110.75,111.875,45
60,110.5,111.875,45
48,110.5,111.875,45
58,112.0,112.41666666666667,45
46,112.0,112.41666666666667,45
73,112.0,113.24479166666667,45
70,112.0,113.24479166666667,45
65,112.0,113.24479166666667,45
58,112.5,113.875,45
46,112.5,113.875,45
73,113.25,113.91666666666667,45
70,113.25,113.91666666666667,45
65,113.25,113.91666666666667,45
56,114.0,114.41666666666667,45
44,114.0,114.41666666666667,45
73,114.0,115.24479166666667,45
70,114.0,115.24479166666667,45
65,114.0,115.24479166666667,45
56,114.5,115.875,45
44,114.5,115.875,45
73,115.25,115.91666666666667,45
70,115.25,115.91666666666667,45
65,115.25,115.91666666666667,45
77,116.0,116.66666666666667,45
73,116.0,116.66666666666667,45
70,116.0,116.66666666666667,45
55,116.0,117.24479166666667,45
43,116.0,117.24479166666667,45
82,116.75,117.41666666666667,45
77,116.75,117.41666666666667,45
73,116.75,117.41666666666667,45
53,117.25,117.91666666666667,45
41,117.25,117.91666666666667,45
77,117.5,118.41666666666667,45
73,117.5,118.41666666666667,45
70,117.5,118.41666666666667,45
82,118.5,118.91666666666667,45
77,118.5,118.91666666666667,45
73,118.5,118.91666666666667,45
51,118.0,119.24479166666667,45
39,118.0,119.24479166666667,45
77,119.0,119.41666666666667,45
73,119.0,119.41666666666667,45
70,119.0,119.41666666666667,45
82,119.5,119.91666666666667,45
77,119.5,119.91666666666667,45
73,119.5,119.91666666666667,45
51,119.25,119.91666666666667,45
39,119.25,119.91666666666667,45
82,120.0,120.66666666666667,45
78,120.0,120.66666666666667,45
73,120.0,120.66666666666667,45
56,120.0,121.24479166666667,45
44,120.0,121.24479166666667,45
78,120.75,121.41666666666667,45
73,120.75,121.41666666666667,45
70,120.75,121.41666666666667,45
56,121.25,121.91666666666667,45
44,121.25,121.91666666666667,45
78,121.5,122.875,45
73,121.5,122.875,45
70,121.5,122.875,45
56,122.0,123.24479166666667,45
44,122.0,123.24479166666667,45
78,123.0,123.41666666666667,45
73,123.0,123.41666666666667,45
70,123.0,123.41666666666667,45
78,123.5,123.91666666666667,45
75,123.5,123.91666666666667,45
72,123.5,123.91666666666667,45
56,123.25,123.91666666666667,45
44,123.25,123.91666666666667,45
49,124.0,124.41666666666667,45
77,124.0,125.24479166666667,45
73,124.0,125.24479166666667,45
68,124.0,125.24479166666667,45
49,124.5,125.875,45
77,125.25,125.91666666666667,45
73,125.25,125.91666666666667,45
68,125.25,125.91666666666667,45
60,126.0,126.41666666666667,45
48,126.0,126.41666666666667,45
75,126.0,127.24479166666667,45
72,126.0,127.24479166666667,45
68,126.0,127.24479166666667,45
60,126.5,127.875,45
48,126.5,127.875,45
75,127.25,127.91666666666667,45
72,127.25,127.91666666666667,45
68,127.25,127.91666666666667,45
58,128.0,128.41666666666666,45
46,128.0,128.41666666666666,45
73,128.0,129.24479166666666,45
70,128.0,129.24479166666666,45
65,128.0,129.24479166666666,45
58,128.5,129.875,45
46,128.5,129.875,45
56,130.0,130.41666666666666,45
44,130.0,130.41666666666666,45
73,129.25,131.24479166666666,45
70,129.25,131.24479166666666,45
65,129.25,131.24479166666666,45
56,130.5,131.875,45
