0.0
120.0
Note,Start,End,Volume
74,27.5,28.625,66
78,27.5,28.625,66
81,27.5,28.75,66
74,29.0,31.125,64
78,29.0,31.25,64
81,29.0,31.25,64
78,31.5,32.5,69
81,31.5,32.5,69
74,31.5,32.5,69
74,33.0,34.5,65
78,33.0,34.875,65
81,33.0,35.0,65
71,35.5,36.75,64
67,35.5,36.75,64
76,35.5,36.75,64
76,37.0,39.0,64
71,37.0,39.0,64
67,37.0,39.25,64
81,43.5,44.875,66
74,43.5,44.875,66
78,43.5,44.875,66
81,45.0,47.0,68
74,45.0,47.125,68
78,45.0,47.125,68
81,47.5,48.75,65
78,47.5,48.875,65
74,47.5,48.875,65
78,49.0,50.875,64
81,49.0,51.0,64
74,49.0,51.0,64
76,51.5,52.875,66
79,51.5,52.875,66
71,51.5,53.0,66
71,53.0,54.875,77
79,53.0,55.0,77
76,53.0,55.125,77
69,59.5,60.5,98
62,59.5,60.5,72
66,59.5,60.5,62
66,61.5,62.5,76
62,61.5,62.5,86
69,61.5,62.5,109
64,63.5,64.55416666666666,100
71,63.5,64.67916666666666,100
68,63.5,64.67916666666666,100
71,65.5,66.5,103
64,65.5,66.5,103
68,65.5,66.5,103
66,67.5,68.5,74
62,67.5,68.5,80
69,67.5,68.5,104
62,69.5,70.5,94
69,69.5,70.5,94
66,69.5,70.5125,94
68,71.5,72.5,102
64,71.5,72.5,102
71,71.5,72.5,102
71,73.5,74.5,97
64,73.5,74.5125,97
68,73.5,74.5125,97
69,75.5,76.85833333333333,102
62,75.5,76.875,102
66,75.5,76.9,102
69,77.5,78.5,103
62,77.5,78.5,103
66,77.5,78.56666666666666,103
68,79.5,80.5,96
71,79.5,80.5,96
64,79.5,80.5,96
68,81.5,82.5,93
64,81.5,82.5,93
71,81.5,82.525,93
62,90.5,91.875,68
66,90.5,91.875,68
69,90.5,91.875,68
62,92.0,93.25,63
69,92.0,93.375,63
66,92.0,93.375,63
62,93.375,94.125,62
69,93.375,94.125,62
66,93.375,94.125,62
67,94.5,95.875,58
64,94.5,95.875,58
60,94.5,95.875,58
60,96.0,97.125,70
64,96.0,97.25,70
67,96.0,97.375,70
67,97.5,98.0,64
60,97.5,98.0,64
64,97.5,98.0,64
66,98.5,99.875,73
62,98.5,99.875,73
59,98.5,99.875,73
59,100.0,101.375,62
62,100.0,101.5,62
66,100.0,101.5,62
62,101.5,102.375,63
66,101.5,102.375,63
59,101.5,102.375,63
62,102.5,104.0,63
59,102.5,104.0,63
66,102.5,104.0,63
62,104.125,105.0,63
62,105.0,105.125,65
59,104.0,105.125,62
66,104.0,105.125,62
62,105.25,105.375,66
59,105.25,105.375,66
66,105.25,105.5,66
62,105.5,105.875,67
59,105.5,105.875,67
62,106.0,106.25,82
59,106.0,106.25,82
66,105.5,106.375,67
66,106.5,107.875,78
62,106.5,107.875,78
69,106.5,108.0,78
66,108.0,109.375,75
69,108.0,109.375,75
62,108.0,109.375,75
62,109.5,109.875,78
66,109.5,109.875,78
69,109.5,109.875,78
62,110.0,110.375,79
69,110.0,110.375,79
66,110.0,110.375,79
67,110.5,111.875,77
60,110.5,111.875,77
64,110.5,111.875,77
60,112.0,113.375,81
64,112.0,113.375,81
67,112.0,113.375,81
64,113.5,114.25,79
60,113.5,114.375,79
