0.0
120.0
Note,Start,End,Volume
64,24.0,24.475,56
69,24.0,24.475,56
60,24.0,24.475,56
69,24.5,24.858333333333334,56
60,24.5,24.975,56
64,24.5,24.975,56
60,25.0,25.475,56
64,25.0,25.475,56
69,25.0,25.475,56
60,25.5,25.974999999999998,56
64,25.5,25.974999999999998,56
69,25.5,25.974999999999998,56
64,26.0,26.474999999999998,56
69,26.0,26.474999999999998,56
60,26.0,26.474999999999998,56
60,26.5,26.974999999999998,56
64,26.5,26.974999999999998,56
69,26.5,26.974999999999998,56
60,27.0,27.474999999999998,56
64,27.0,27.474999999999998,56
69,27.0,27.474999999999998,56
60,27.5,27.974999999999998,56
64,27.5,27.974999999999998,56
69,27.5,27.974999999999998,56
64,28.0,28.474999999999998,56
69,28.0,28.474999999999998,56
60,28.0,28.474999999999998,56
60,28.5,28.974999999999998,56
64,28.5,28.974999999999998,56
69,28.5,28.974999999999998,56
60,29.0,29.474999999999998,56
64,29.0,29.474999999999998,56
69,29.0,29.474999999999998,56
60,29.5,29.974999999999998,56
64,29.5,29.974999999999998,56
69,29.5,29.974999999999998,56
64,30.0,30.474999999999998,56
69,30.0,30.474999999999998,56
60,30.0,30.474999999999998,56
60,30.5,30.974999999999998,56
64,30.5,30.974999999999998,56
69,30.5,30.974999999999998,56
60,31.0,31.474999999999998,56
64,31.0,31.474999999999998,56
69,31.0,31.474999999999998,56
60,31.5,31.620833333333334,56
64,31.5,31.620833333333334,56
69,31.5,31.620833333333334,56
67,31.625,31.983333333333334,56
62,31.625,31.983333333333334,56
59,31.625,31.983333333333334,56
57,32.0,32.475,56
60,32.0,32.475,56
65,32.0,32.475,56
60,32.5,32.975,56
57,32.5,32.975,56
65,32.5,32.975,56
60,33.0,33.475,56
57,33.0,33.475,56
65,33.0,33.475,56
60,33.5,33.975,56
57,33.5,33.975,56
65,33.5,33.975,56
64,34.0,34.475,56
59,34.0,34.475,56
67,34.0,34.475,56
67,34.5,34.975,56
64,34.5,34.975,56
59,34.5,34.975,56
64,35.0,35.475,56
67,35.0,35.475,56
59,35.0,35.475,56
64,35.5,35.62083333333333,56
59,35.5,35.62083333333333,56
67,35.5,35.62083333333333,56
67,35.625,35.983333333333334,56
62,35.625,35.983333333333334,56
59,35.625,35.983333333333334,56
64,36.0,36.475,56
69,36.0,36.475,56
60,36.0,36.475,56
60,36.5,36.975,56
64,36.5,36.975,56
69,36.5,36.975,56
60,37.0,37.475,56
64,37.0,37.475,56
69,37.0,37.475,56
60,37.5,37.975,56
64,37.5,37.975,56
69,37.5,37.975,56
64,38.0,38.475,56
69,38.0,38.475,56
60,38.0,38.475,56
60,38.5,38.975,56
64,38.5,38.975,56
69,38.5,38.975,56
60,39.0,39.475,56
64,39.0,39.475,56
69,39.0,39.475,56
60,39.5,39.62083333333333,56
64,39.5,39.62083333333333,56
69,39.5,39.62083333333333,56
67,39.625,39.983333333333334,56
62,39.625,39.983333333333334,56
59,39.625,39.983333333333334,56
57,40.0,40.475,56
60,40.0,40.475,56
65,40.0,40.475,56
60,40.5,40.975,56
57,40.5,40.975,56
65,40.5,40.975,56
60,41.0,41.475,56
57,41.0,41.475,56
65,41.0,41.475,56
60,41.5,41.975,56
57,41.5,41.975,56
65,41.5,41.975,56
64,42.0,42.475,56
59,42.0,42.475,56
67,42.0,42.475,56
67,42.5,42.975,56
64,42.5,42.975,56
59,42.5,42.975,56
64,43.0,43.475,56
67,43.0,43.475,56
59,43.0,43.475,56
64,43.5,43.62083333333333,56
59,43.5,43.62083333333333,56
67,43.5,43.62083333333333,56
67,43.625,43.983333333333334,56
62,43.625,43.983333333333334,56
59,43.625,43.983333333333334,56
69,44.0,44.475,56
64,44.0,44.475,56
60,44.0,44.475,56
69,44.5,44.975,56
60,44.5,44.975,56
64,44.5,44.975,56
60,45.0,45.475,56
69,45.0,45.475,56
64,45.0,45.475,56
60,45.5,45.975,56
69,45.5,45.975,56
64,45.5,45.975,56
66,46.0,46.475,56
69,46.0,46.475,56
62,46.0,46.475,56
69,46.5,46.975,56
62,46.5,46.975,56
66,46.5,46.975,56
66,47.0,47.475,56
69,47.0,47.475,56
62,47.0,47.475,56
69,47.5,47.975,56
62,47.5,47.975,56
66,47.5,47.975,56
62,48.0,48.475,56
71,48.0,48.475,56
67,48.0,48.475,56
71,48.5,48.975,56
62,48.5,48.975,56
67,48.5,48.975,56
62,49.0,49.475,56
71,49.0,49.475,56
67,49.0,49.475,56
67,49.5,49.975,56
62,49.5,49.975,56
71,49.5,49.975,56
64,50.0,50.475,56
60,50.0,50.475,56
69,50.0,50.475,56
64,50.5,50.975,56
60,50.5,50.975,56
69,50.5,50.975,56
64,51.0,51.475,56
69,51.0,51.475,56
60,51.0,51.475,56
64,51.5,51.97604166666667,56
69,51.5,51.97604166666667,56
60,51.5,51.97604166666667,56
57,52.502604166666664,52.80104166666666,43
60,52.502604166666664,52.80520833333333,43
64,52.502604166666664,52.821875,43
60,52.87552083333333,52.93802083333333,43
57,52.87552083333333,52.93802083333333,43
64,52.87552083333333,52.950520833333336,43
57,53.0,53.30833333333333,43
60,53.0,53.3125,43
64,53.0,53.329166666666666,43
60,53.375,53.416666666666664,43
64,53.375,53.425,43
57,53.375,53.42916666666667,43
62,53.5,53.55833333333333,43
59,53.5,53.56666666666666,43
67,53.5,53.574999999999996,43
59,53.625,53.69583333333333,43
62,53.625,53.699999999999996,43
67,53.625,53.71666666666667,43
59,53.75,53.80416666666667,43
62,53.75,53.82083333333333,43
67,53.75,53.833333333333336,43
62,53.875,53.93333333333333,43
59,53.875,53.93333333333333,43
67,53.875,53.958333333333336,43
62,54.0,54.1875,43
59,54.0,54.1875,43
67,54.0,54.21666666666667,43
62,54.25,54.275,43
59,54.25,54.291666666666664,43
67,54.25,54.30833333333333,43
62,54.375,54.395833333333336,43
59,54.375,54.420833333333334,43
67,54.375,54.425,43
62,54.5,54.762499999999996,43
57,54.5,54.766666666666666,43
66,54.5,54.80416666666667,43
62,54.875,54.895833333333336,43
57,54.875,54.920833333333334,43
66,54.875,54.9375,43
62,55.0,55.25416666666666,43
66,55.0,55.425,43
62,55.375,55.42916666666667,43
57,55.0,55.44583333333333,43
60,55.5,55.55833333333333,43
57,55.5,55.5625,43
64,55.5,55.56666666666666,43
60,55.625,55.7875,43
57,55.625,55.791666666666664,43
64,55.625,55.8,43
57,55.875,55.920833333333334,43
60,55.875,55.925,43
64,55.875,55.93333333333333,43
57,56.0,56.1875,43
64,56.0,56.19583333333333,43
60,56.0,56.199999999999996,43
60,56.25,56.416666666666664,43
57,56.25,56.416666666666664,43
64,56.25,56.420833333333334,43
57,56.5,56.8,43
60,56.5,56.80416666666667,43
64,56.5,56.82083333333333,43
60,56.875,56.9375,44
57,56.875,56.9375,44
64,56.875,56.949999999999996,44
57,57.0,57.30833333333333,44
60,57.0,57.3125,44
64,57.0,57.329166666666666,44
60,57.375,57.416666666666664,45
64,57.375,57.425,45
57,57.375,57.42916666666667,45
