0.0
120.0
Note,Start,End,Volume
66,15.5,19.0,110
62,15.5,19.0,110
59,15.5,19.0,110
66,19.0,19.5,110
62,19.0,19.5,110
59,19.0,19.5,110
67,19.5,22.75,110
64,19.5,22.75,110
59,19.5,22.75,110
71,22.916666666666668,23.5,110
64,22.833333333333332,23.5,110
60,22.75,23.5,110
66,23.5,24.25,110
62,23.5,24.25,110
59,23.5,24.25,110
66,24.25,25.0,110
62,24.25,25.0,110
59,24.25,25.0,110
66,25.0,25.75,110
62,25.0,25.75,110
59,25.0,25.75,110
66,25.75,26.5,110
62,25.75,26.5,110
59,25.75,26.5,110
66,26.5,27.0,110
62,26.5,27.0,110
59,26.5,27.0,110
66,27.0,27.5,110
62,27.0,27.5,110
59,27.0,27.5,110
67,27.5,28.25,110
64,27.5,28.25,110
59,27.5,28.25,110
67,28.25,29.0,110
64,28.25,29.0,110
59,28.25,29.0,110
67,29.0,29.75,110
64,29.0,29.75,110
59,29.0,29.75,110
67,29.75,30.5,110
64,29.75,30.5,110
59,29.75,30.5,110
67,30.5,30.75,110
64,30.5,30.75,110
59,30.5,30.75,110
67,30.916666666666668,31.5,110
64,30.833333333333332,31.5,110
59,30.75,31.5,110
66,31.5,32.25,110
62,31.5,32.25,110
59,31.5,32.25,110
66,32.25,33.0,110
62,32.25,33.0,110
59,32.25,33.0,110
66,33.0,33.75,110
62,33.0,33.75,110
59,33.0,33.75,110
66,33.75,34.5,110
62,33.75,34.5,110
59,33.75,34.5,110
66,34.5,35.0,110
62,34.5,35.0,110
59,34.5,35.0,110
66,35.0,35.5,110
62,35.0,35.5,110
59,35.0,35.5,110
67,35.5,36.25,110
64,35.5,36.25,110
59,35.5,36.25,110
67,36.25,37.0,110
64,36.25,37.0,110
59,36.25,37.0,110
67,37.0,37.75,110
64,37.0,37.75,110
59,37.0,37.75,110
67,37.75,38.5,110
64,37.75,38.5,110
59,37.75,38.5,110
67,38.5,39.0,110
64,38.5,39.0,110
59,38.5,39.0,110
67,39.0,39.5,110
64,39.0,39.5,110
59,39.0,39.5,110
66,39.5,40.25,75
62,39.5,40.25,75
59,39.5,40.25,75
66,40.25,41.0,75
62,40.25,41.0,75
59,40.25,41.0,75
66,41.0,41.75,75
62,41.0,41.75,75
59,41.0,41.75,75
66,41.75,42.5,75
62,41.75,42.5,75
59,41.75,42.5,75
66,42.5,43.0,75
62,42.5,43.0,75
59,42.5,43.0,75
66,43.0,43.5,75
62,43.0,43.5,75
59,43.0,43.5,75
67,43.5,44.25,75
64,43.5,44.25,75
59,43.5,44.25,75
67,44.25,45.0,75
64,44.25,45.0,75
59,44.25,45.0,75
67,45.0,45.75,75
64,45.0,45.75,75
59,45.0,45.75,75
67,45.75,46.5,75
64,45.75,46.5,75
59,45.75,46.5,75
67,46.5,47.0,75
64,46.5,47.0,75
59,46.5,47.0,75
67,47.0,47.5,75
64,47.0,47.5,75
59,47.0,47.5,75
66,47.5,48.25,75
62,47.5,48.25,75
59,47.5,48.25,75
66,48.25,49.0,75
62,48.25,49.0,75
59,48.25,49.0,75
66,49.0,49.75,75
62,49.0,49.75,75
59,49.0,49.75,75
66,49.75,50.5,75
62,49.75,50.5,75
59,49.75,50.5,75
66,50.5,51.0,75
62,50.5,51.0,75
59,50.5,51.0,75
66,51.0,51.5,75
62,51.0,51.5,75
59,51.0,51.5,75
67,51.5,52.25,75
64,51.5,52.25,75
59,51.5,52.25,75
67,52.25,53.0,75
64,52.25,53.0,75
59,52.25,53.0,75
67,53.0,53.75,75
64,53.0,53.75,75
59,53.0,53.75,75
67,53.75,54.5,75
64,53.75,54.5,75
59,53.75,54.5,75
67,54.5,55.0,75
64,54.5,55.0,75
59,54.5,55.0,75
67,55.0,55.5,75
64,55.0,55.5,75
59,55.0,55.5,75
66,55.5,56.25,75
62,55.5,56.25,75
59,55.5,56.25,75
66,56.25,57.0,75
62,56.25,57.0,75
59,56.25,57.0,75
66,57.0,57.75,75
62,57.0,57.75,75
59,57.0,57.75,75
66,57.75,58.5,75
62,57.75,58.5,75
59,57.75,58.5,75
66,58.5,59.0,75
62,58.5,59.0,75
59,58.5,59.0,75
66,59.0,59.5,75
62,59.0,59.5,75
59,59.0,59.5,75
67,59.5,60.25,75
64,59.5,60.25,75
59,59.5,60.25,75
67,60.25,61.0,75
64,60.25,61.0,75
59,60.25,61.0,75
67,61.0,61.75,75
64,61.0,61.75,75
59,61.0,61.75,75
67,61.75,62.5,75
64,61.75,62.5,75
59,61.75,62.5,75
67,62.5,63.0,75
64,62.5,63.0,75
59,62.5,63.0,75
67,63.0,63.5,75
64,63.0,63.5,75
59,63.0,63.5,75
66,63.5,64.25,75
62,63.5,64.25,75
59,63.5,64.25,75
66,64.25,65.0,75
62,64.25,65.0,75
59,64.25,65.0,75
66,65.0,65.75,75
62,65.0,65.75,75
59,65.0,65.75,75
66,65.75,66.5,75
62,65.75,66.5,75
59,65.75,66.5,75
66,66.5,67.0,75
62,66.5,67.0,75
59,66.5,67.0,75
66,67.0,67.5,75
