0.0
120.0
Note,Start,End,Volume
53,27.0,27.25,60
58,27.0,27.25,60
62,27.0,27.25,60
53,27.25,27.5,60
58,27.25,27.5,60
62,27.25,27.5,60
53,27.5,27.75,60
58,27.5,27.75,60
62,27.5,27.75,60
53,27.75,28.0,60
58,27.75,28.0,60
62,27.75,28.0,60
53,28.0,28.25,60
58,28.0,28.25,60
62,28.0,28.25,60
53,28.25,28.5,60
58,28.25,28.5,60
62,28.25,28.5,60
53,28.5,28.75,60
58,28.5,28.75,60
62,28.5,28.75,60
53,28.75,29.0,60
58,28.75,29.0,60
62,28.75,29.0,60
53,29.0,29.25,60
58,29.0,29.25,60
62,29.0,29.25,60
53,29.25,29.5,60
58,29.25,29.5,60
62,29.25,29.5,60
53,29.5,29.75,60
58,29.5,29.75,60
62,29.5,29.75,60
53,29.75,30.0,60
58,29.75,30.0,60
62,29.75,30.0,60
53,30.0,30.25,60
58,30.0,30.25,60
62,30.0,30.25,60
53,30.25,30.5,60
58,30.25,30.5,60
62,30.25,30.5,60
53,30.5,30.75,60
58,30.5,30.75,60
62,30.5,30.75,60
53,30.75,31.0,60
58,30.75,31.0,60
62,30.75,31.0,60
53,31.0,31.25,60
58,31.0,31.25,60
62,31.0,31.25,60
53,31.25,31.5,60
58,31.25,31.5,60
62,31.25,31.5,60
53,31.5,31.75,60
58,31.5,31.75,60
62,31.5,31.75,60
53,31.75,32.0,60
58,31.75,32.0,60
62,31.75,32.0,60
53,32.0,32.25,60
58,32.0,32.25,60
62,32.0,32.25,60
53,32.25,32.5,60
58,32.25,32.5,60
62,32.25,32.5,60
53,32.5,32.75,60
58,32.5,32.75,60
62,32.5,32.75,60
53,32.75,33.0,60
58,32.75,33.0,60
62,32.75,33.0,60
53,33.0,33.25,60
58,33.0,33.25,60
62,33.0,33.25,60
53,33.25,33.5,60
58,33.25,33.5,60
62,33.25,33.5,60
53,33.5,33.75,60
58,33.5,33.75,60
62,33.5,33.75,60
53,33.75,34.0,60
58,33.75,34.0,60
62,33.75,34.0,60
53,34.0,34.25,60
58,34.0,34.25,60
62,34.0,34.25,60
53,34.25,34.5,60
58,34.25,34.5,60
62,34.25,34.5,60
53,34.5,34.75,60
58,34.5,34.75,60
62,34.5,34.75,60
53,34.75,35.0,60
58,34.75,35.0,60
62,34.75,35.0,60
53,35.0,35.25,60
58,35.0,35.25,60
62,35.0,35.25,60
53,35.25,35.5,60
58,35.25,35.5,60
62,35.25,35.5,60
53,35.5,35.75,60
58,35.5,35.75,60
62,35.5,35.75,60
53,35.75,36.0,60
58,35.75,36.0,60
62,35.75,36.0,60
53,36.0,36.25,60
58,36.0,36.25,60
62,36.0,36.25,60
53,36.25,36.5,60
58,36.25,36.5,60
62,36.25,36.5,60
53,36.5,36.75,60
58,36.5,36.75,60
62,36.5,36.75,60
53,36.75,37.0,60
58,36.75,37.0,60
62,36.75,37.0,60
53,37.0,37.25,60
58,37.0,37.25,60
62,37.0,37.25,60
53,37.25,37.5,60
58,37.25,37.5,60
62,37.25,37.5,60
53,37.5,37.75,60
58,37.5,37.75,60
62,37.5,37.75,60
53,37.75,38.0,60
58,37.75,38.0,60
62,37.75,38.0,60
53,38.0,38.25,60
58,38.0,38.25,60
62,38.0,38.25,60
53,38.25,38.5,60
58,38.25,38.5,60
62,38.25,38.5,60
53,38.5,38.75,60
58,38.5,38.75,60
62,38.5,38.75,60
53,38.75,39.0,60
58,38.75,39.0,60
62,38.75,39.0,60
55,39.0,39.25,60
60,39.0,39.25,60
63,39.0,39.25,60
55,39.25,39.5,60
60,39.25,39.5,60
63,39.25,39.5,60
55,39.5,39.75,60
60,39.5,39.75,60
63,39.5,39.75,60
55,39.75,40.0,60
60,39.75,40.0,60
63,39.75,40.0,60
55,40.0,40.25,60
60,40.0,40.25,60
63,40.0,40.25,60
55,40.25,40.5,60
60,40.25,40.5,60
63,40.25,40.5,60
55,40.5,40.75,60
60,40.5,40.75,60
63,40.5,40.75,60
55,40.75,41.0,60
60,40.75,41.0,60
63,40.75,41.0,60
55,41.0,41.25,60
60,41.0,41.25,60
63,41.0,41.25,60
55,41.25,41.5,60
60,41.25,41.5,60
63,41.25,41.5,60
55,41.5,41.75,60
60,41.5,41.75,60
63,41.5,41.75,60
55,41.75,42.0,60
60,41.75,42.0,60
63,41.75,42.0,60
55,42.0,42.25,60
60,42.0,42.25,60
63,42.0,42.25,60
55,42.25,42.5,60
60,42.25,42.5,60
63,42.25,42.5,60
55,42.5,42.75,60
60,42.5,42.75,60
63,42.5,42.75,60
55,42.75,43.0,60
60,42.75,43.0,60
63,42.75,43.0,60
57,43.0,43.25,60
60,43.0,43.25,60
65,43.0,43.25,60
57,43.25,43.5,60
60,43.25,43.5,60
65,43.25,43.5,60
57,43.5,43.75,60
60,43.5,43.75,60
65,43.5,43.75,60
57,43.75,44.0,60
60,43.75,44.0,60
65,43.75,44.0,60
57,44.0,44.25,60
60,44.0,44.25,60
65,44.0,44.25,60
57,44.25,44.5,60
60,44.25,44.5,60
65,44.25,44.5,60
57,44.5,44.75,60
60,44.5,44.75,60
65,44.5,44.75,60
57,44.75,45.0,60
60,44.75,45.0,60
65,44.75,45.0,60
57,45.0,45.25,60
60,45.0,45.25,60
65,45.0,45.25,60
57,45.25,45.5,60
60,45.25,45.5,60
65,45.25,45.5,60
57,45.5,45.75,60
60,45.5,45.75,60
65,45.5,45.75,60
57,45.75,46.0,60
60,45.75,46.0,60
65,45.75,46.0,60
57,46.0,46.25,60
60,46.0,46.25,60
65,46.0,46.25,60
57,46.25,46.5,60
60,46.25,46.5,60
65,46.25,46.5,60
57,46.5,46.75,60
60,46.5,46.75,60
65,46.5,46.75,60
57,46.75,47.0,60
60,46.75,47.0,60
65,46.75,47.0,60
53,47.0,47.25,60
58,47.0,47.25,60
