0.0
120.0
Note,Start,End,Volume
57,20.5625,20.75,75
50,20.5,20.75,75
54,20.53125,20.78125,75
57,20.75,21.0,75
62,20.78125,21.03125,75
66,20.8125,21.0625,75
50,21.0,21.25,75
57,21.0625,21.25,75
54,21.03125,21.28125,75
57,21.25,21.5,75
62,21.28125,21.53125,75
66,21.3125,21.5625,75
57,21.5625,21.75,75
50,21.5,21.75,75
54,21.53125,21.78125,75
57,21.75,22.0,75
62,21.78125,22.03125,75
66,21.8125,22.0625,75
50,22.0,22.25,75
57,22.0625,22.25,75
54,22.03125,22.28125,75
57,22.25,22.5,75
62,22.28125,22.53125,75
66,22.3125,22.5625,75
50,22.5,22.75,75
55,22.53125,22.78125,84
59,22.5625,22.8125,84
62,22.75,23.0,75
67,22.78125,23.03125,75
59,23.0625,23.25,75
50,23.0,23.25,75
55,23.03125,23.28125,75
59,23.25,23.5,75
62,23.28125,23.53125,75
67,23.3125,23.5625,75
59,23.5625,23.75,75
50,23.5,23.75,75
55,23.53125,23.78125,75
59,23.75,24.0,75
62,23.78125,24.03125,75
67,23.8125,24.0625,75
50,24.0,24.25,75
55,24.03125,24.28125,75
59,24.0625,24.3125,75
57,24.25,24.5,76
62,24.28125,24.53125,75
66,24.3125,24.5625,75
57,24.5625,24.75,75
50,24.5,24.75,75
54,24.53125,24.78125,75
57,24.75,25.0,75
62,24.78125,25.03125,75
66,24.8125,25.0625,75
57,25.0625,25.25,75
50,25.0,25.25,75
54,25.03125,25.28125,75
57,25.25,25.5,75
62,25.28125,25.53125,75
66,25.3125,25.5625,75
50,25.5,25.75,75
57,25.5625,25.75,75
54,25.53125,25.78125,75
57,25.75,26.0,75
62,25.78125,26.03125,75
66,25.8125,26.0625,75
57,26.0625,26.25,75
50,26.0,26.25,75
54,26.03125,26.28125,75
57,26.25,26.5,75
62,26.28125,26.53125,75
66,26.3125,26.5625,75
59,26.5625,26.75,75
50,26.5,26.75,75
55,26.53125,26.78125,75
59,26.75,27.0,75
62,26.78125,27.03125,75
67,26.8125,27.0625,75
59,27.0625,27.25,75
50,27.0,27.25,75
55,27.03125,27.28125,75
59,27.25,27.5,75
62,27.28125,27.53125,75
67,27.3125,27.5625,75
50,27.5,27.75,75
59,27.5625,27.75,75
55,27.53125,27.78125,75
59,27.75,28.0,75
62,27.78125,28.03125,76
67,27.8125,28.0625,76
50,28.0,28.25,75
55,28.03125,28.28125,75
57,28.25,28.5,84
62,28.28125,28.53125,75
66,28.3125,28.5625,75
50,28.5,28.75,75
57,28.5625,28.75,75
54,28.53125,28.78125,75
57,28.75,29.0,75
62,28.78125,29.03125,75
66,28.8125,29.0625,75
57,29.0625,29.25,75
50,29.0,29.25,75
54,29.03125,29.28125,75
57,29.25,29.5,75
62,29.28125,29.53125,75
66,29.3125,29.5625,75
50,29.5,29.75,75
57,29.5625,29.75,75
54,29.53125,29.78125,75
57,29.75,30.0,75
62,29.78125,30.03125,75
66,29.8125,30.0625,75
50,30.0,30.25,75
57,30.0625,30.25,75
54,30.03125,30.28125,75
57,30.25,30.5,75
62,30.28125,30.53125,75
66,30.3125,30.5625,75
50,30.5,30.75,75
55,30.53125,30.78125,84
59,30.5625,30.8125,84
62,30.75,31.0,75
67,30.78125,31.03125,75
59,31.0625,31.25,75
50,31.0,31.25,75
55,31.03125,31.28125,75
59,31.25,31.5,75
62,31.28125,31.53125,75
67,31.3125,31.5625,75
59,31.5625,31.75,75
50,31.5,31.75,75
55,31.53125,31.78125,75
59,31.75,32.0,75
62,31.78125,32.03125,75
67,31.8125,32.0625,75
50,32.0,32.25,75
55,32.03125,32.28125,75
59,32.0625,32.3125,75
57,32.25,32.5,76
