0.0
120.0
Note,Start,End,Volume
69,23.5,26.458333333333332,100
69,26.5,26.729166666666668,100
71,26.75,27.21875,100
72,27.25,27.479166666666668,100
71,27.5,27.96875,100
72,28.0,28.229166666666668,100
71,28.25,28.958333333333332,100
69,29.0,29.46875,100
71,29.5,29.729166666666668,100
67,29.75,31.479166666666668,100
77,31.5,31.96875,100
79,32.0,32.229166666666664,100
77,32.25,32.958333333333336,100
76,33.0,33.46875,100
74,33.5,35.479166666666664,100
77,35.5,35.96875,100
79,36.0,36.229166666666664,100
77,36.25,36.958333333333336,100
76,37.0,37.46875,100
72,37.5,39.479166666666664,100
81,39.5,42.458333333333336,120
83,42.5,43.208333333333336,120
84,43.25,43.479166666666664,120
83,43.5,43.96875,120
84,44.0,44.229166666666664,120
83,44.25,44.958333333333336,120
81,45.0,45.46875,120
81,45.5,45.96875,120
79,46.0,47.479166666666664,120
89,47.5,47.96875,120
91,48.0,48.229166666666664,120
89,48.25,48.958333333333336,120
88,49.0,49.46875,120
86,49.5,51.479166666666664,120
89,51.5,51.96875,120
91,52.0,52.229166666666664,120
89,52.25,52.958333333333336,120
89,53.0,53.46875,120
84,53.5,55.479166666666664,120
43,67.5,68.20833333333333,110
43,68.25,68.47916666666667,110
43,68.5,68.96875,110
42,69.0,69.22916666666667,110
43,69.25,69.47916666666667,110
44,69.5,70.20833333333333,110
44,70.25,70.95833333333333,110
43,83.5,84.20833333333333,110
43,84.25,84.47916666666667,110
43,84.5,84.96875,110
42,85.0,85.22916666666667,110
43,85.25,85.47916666666667,110
44,85.5,86.97916666666667,110
69,87.5,89.47916666666667,120
69,89.5,90.45833333333333,120
69,90.5,91.45833333333333,120
69,91.5,92.97916666666667,120
71,93.0,93.46875,120
67,93.5,95.47916666666667,120
65,95.5,96.97916666666667,120
64,97.0,97.46875,120
62,97.5,98.45833333333333,120
60,98.5,99.45833333333333,120
67,99.5,103.47916666666667,120
55,103.5,103.52083333333333,120
60,103.5,103.52083333333333,127
64,103.5,103.52083333333333,127
55,103.75,103.77083333333333,120
60,103.75,103.77083333333333,127
64,103.75,103.77083333333333,127
55,104.0,104.46875,110
60,104.0,104.46875,120
64,104.0,104.46875,120
55,104.5,104.96875,110
59,104.5,104.96875,120
62,104.5,104.96875,120
53,105.0,105.02083333333333,127
57,105.0,105.02083333333333,127
60,105.0,105.02083333333333,127
60,105.25,105.72916666666667,120
57,105.25,105.72916666666667,120
53,105.25,105.72916666666667,110
53,105.75,105.97916666666667,100
57,105.75,105.97916666666667,110
60,105.75,105.97916666666667,110
53,106.0,106.46875,110
57,106.0,106.46875,120
60,106.0,106.46875,120
55,106.5,106.96875,100
60,106.5,106.96875,110
64,106.5,106.96875,110
55,107.0,107.46875,110
60,107.0,107.46875,120
64,107.0,107.46875,120
55,107.5,107.52083333333333,120
60,107.5,107.52083333333333,127
64,107.5,107.52083333333333,127
55,107.75,107.77083333333333,120
60,107.75,107.77083333333333,127
64,107.75,107.77083333333333,127
55,108.0,108.46875,110
60,108.0,108.46875,120
64,108.0,108.46875,120
55,108.5,108.96875,110
59,108.5,108.96875,120
62,108.5,108.96875,120
53,109.0,109.02083333333333,127
57,109.0,109.02083333333333,127
