0.0
120.0
Note,Start,End,Volume
68,24.010416666666668,24.708333333333332,105
51,23.979166666666668,24.708333333333332,83
56,23.989583333333332,24.708333333333332,87
44,23.96875,24.708333333333332,80
63,24.010416666666668,24.708333333333332,98
60,24.0,24.708333333333332,92
70,24.78125,25.458333333333332,105
53,24.75,25.458333333333332,83
58,24.760416666666668,25.458333333333332,87
46,24.739583333333332,25.458333333333332,80
65,24.78125,25.458333333333332,98
61,24.770833333333332,25.458333333333332,92
66,25.520833333333332,26.1875,105
49,25.489583333333332,26.1875,83
54,25.5,26.1875,87
42,25.479166666666668,26.1875,80
61,25.520833333333332,26.1875,98
58,25.510416666666668,26.1875,92
63,26.25,26.552083333333332,98
60,26.239583333333332,26.5625,92
44,26.208333333333332,26.5625,80
68,26.25,26.5625,105
56,26.229166666666668,26.666666666666668,87
51,26.21875,26.677083333333332,83
49,26.708333333333332,26.71875,80
65,26.739583333333332,26.9375,105
49,26.71875,26.9375,90
56,26.729166666666668,26.9375,94
61,26.739583333333332,26.9375,98
56,26.979166666666668,28.760416666666668,97
65,26.989583333333332,28.822916666666668,106
49,26.96875,28.864583333333332,94
61,26.989583333333332,28.958333333333332,101
85,26.989583333333332,28.96875,21
68,29.010416666666668,29.697916666666668,105
51,28.979166666666668,29.697916666666668,83
56,28.989583333333332,29.697916666666668,87
44,28.96875,29.697916666666668,80
63,29.010416666666668,29.697916666666668,98
60,29.0,29.697916666666668,92
46,29.71875,29.729166666666668,70
70,29.770833333333332,30.447916666666668,104
53,29.739583333333332,30.447916666666668,83
58,29.75,30.447916666666668,87
46,29.729166666666668,30.447916666666668,80
65,29.770833333333332,30.447916666666668,98
61,29.760416666666668,30.447916666666668,92
42,30.46875,30.479166666666668,60
66,30.520833333333332,31.197916666666668,105
49,30.489583333333332,31.197916666666668,83
54,30.5,31.197916666666668,87
42,30.479166666666668,31.197916666666668,80
61,30.520833333333332,31.197916666666668,98
58,30.510416666666668,31.197916666666668,92
44,31.21875,31.229166666666668,68
51,31.239583333333332,31.552083333333332,83
44,31.229166666666668,31.552083333333332,80
63,31.270833333333332,31.5625,98
60,31.260416666666668,31.5625,92
68,31.270833333333332,31.5625,105
56,31.25,31.5625,87
65,31.739583333333332,31.947916666666668,104
49,31.71875,31.947916666666668,90
56,31.729166666666668,31.947916666666668,93
61,31.739583333333332,31.947916666666668,97
56,31.979166666666668,33.760416666666664,93
65,31.989583333333332,33.833333333333336,104
49,31.96875,33.864583333333336,90
61,31.989583333333332,33.96875,97
85,31.989583333333332,33.96875,22
68,34.010416666666664,34.6875,105
51,33.979166666666664,34.6875,83
56,33.989583333333336,34.6875,87
44,33.96875,34.6875,80
63,34.010416666666664,34.6875,98
60,34.0,34.6875,92
46,34.71875,34.729166666666664,60
70,34.770833333333336,35.458333333333336,105
53,34.739583333333336,35.458333333333336,83
58,34.75,35.458333333333336,87
46,34.729166666666664,35.458333333333336,80
65,34.770833333333336,35.458333333333336,98
61,34.760416666666664,35.458333333333336,92
42,35.479166666666664,35.489583333333336,68
66,35.53125,36.197916666666664,105
49,35.5,36.197916666666664,83
54,35.510416666666664,36.197916666666664,87
42,35.489583333333336,36.197916666666664,80
61,35.53125,36.197916666666664,98
58,35.520833333333336,36.197916666666664,92
44,36.21875,36.229166666666664,72
51,36.239583333333336,36.552083333333336,83
44,36.229166666666664,36.552083333333336,80
63,36.270833333333336,36.5625,98
60,36.260416666666664,36.5625,92
68,36.270833333333336,36.5625,105
56,36.25,36.5625,87
49,36.71875,36.9375,90
56,36.729166666666664,36.947916666666664,94
61,36.739583333333336,36.947916666666664,99
65,36.739583333333336,36.947916666666664,105
56,36.979166666666664,38.770833333333336,94
65,36.989583333333336,38.822916666666664,105
49,36.96875,38.854166666666664,90
61,36.989583333333336,38.947916666666664,99
85,36.989583333333336,38.96875,21
68,39.010416666666664,39.71875,105
51,38.979166666666664,39.71875,83
56,38.989583333333336,39.71875,87
44,38.96875,39.71875,80
