0.0
120.0
Note,Start,End,Volume
60,14.0,14.5,75
64,14.0,14.5,75
69,14.0,14.5,75
60,14.5,15.0,75
64,14.5,15.0,75
67,14.5,15.0,75
71,14.5,15.0,75
69,15.0,15.25,75
72,15.0,15.25,75
60,15.25,15.5,75
64,15.25,15.5,75
67,15.25,15.5,75
71,15.25,15.5,75
60,15.75,17.5,75
64,15.75,17.5,75
67,15.75,17.5,75
69,15.75,17.5,75
60,18.0,18.5,75
65,18.0,18.5,75
69,18.0,18.5,75
60,18.5,18.75,75
71,18.5,18.75,75
67,18.5,19.0,75
60,19.0,19.25,75
69,19.0,19.25,75
72,19.0,19.25,75
60,19.25,21.0,75
65,19.25,21.0,75
69,19.25,21.0,75
60,22.0,22.5,75
64,22.0,22.5,75
69,22.0,22.5,75
60,22.5,23.0,75
64,22.5,23.0,75
67,22.5,23.0,75
71,22.5,23.0,75
69,23.0,23.25,75
72,23.0,23.25,75
60,23.25,23.5,75
64,23.25,23.5,75
67,23.25,23.5,75
71,23.25,23.5,75
60,23.75,25.5,75
64,23.75,25.5,75
67,23.75,25.5,75
69,23.75,25.5,75
60,26.0,26.5,75
65,26.0,26.5,75
69,26.0,26.5,75
60,26.5,27.0,75
67,26.5,27.0,75
71,26.5,27.0,75
60,27.0,27.25,75
69,27.0,27.25,75
72,27.0,27.25,75
60,27.25,29.0,75
65,27.25,29.0,75
69,27.25,29.0,75
57,29.5,30.0,75
60,29.5,30.0,75
64,29.5,30.0,75
60,30.0,30.25,75
64,30.0,30.25,75
69,30.0,30.25,75
60,30.25,30.75,75
64,30.25,30.75,75
67,30.25,30.75,75
71,30.25,30.75,75
64,30.75,31.25,75
72,30.75,31.25,75
62,31.25,32.0,75
71,31.25,32.0,75
64,32.0,32.25,75
69,32.0,32.25,75
72,32.0,32.25,75
60,32.25,32.5,75
64,32.25,32.5,75
69,32.25,32.5,75
64,32.75,33.0,75
69,32.75,33.0,75
72,32.75,33.0,75
60,33.0,33.25,75
64,33.0,33.25,75
69,33.0,33.25,75
57,33.5,33.75,75
60,33.5,33.75,75
64,33.5,33.75,75
60,33.75,34.25,75
64,33.75,34.25,75
69,33.75,34.25,75
60,34.25,35.25,75
64,34.25,35.25,75
67,34.25,35.25,75
71,34.25,35.25,75
60,35.25,36.0,75
64,35.25,36.0,75
69,35.25,36.0,75
64,36.0,36.25,75
69,36.0,36.25,75
72,36.0,36.25,75
60,36.25,36.5,75
64,36.25,36.5,75
69,36.25,36.5,75
64,36.75,37.0,75
69,36.75,37.0,75
72,36.75,37.0,75
60,37.0,37.25,75
64,37.0,37.25,75
69,37.0,37.25,75
57,37.25,37.5,75
64,37.25,37.5,75
57,37.5,37.75,75
60,37.5,37.75,75
64,37.5,37.75,75
57,37.75,38.25,75
60,37.75,38.25,75
64,37.75,38.25,75
57,38.25,38.5,75
60,38.25,38.5,75
64,38.25,38.5,75
64,38.5,38.75,75
69,38.5,38.75,75
72,38.5,38.75,75
64,38.75,39.5,75
69,38.75,39.5,75
72,38.75,39.5,75
62,39.5,39.75,75
71,39.5,39.75,75
64,39.75,40.0,75
72,39.75,40.0,75
62,40.0,40.25,75
71,40.0,40.25,75
60,40.25,40.75,75
69,40.25,40.75,75
62,40.75,41.0,75
63,41.0,41.25,75
64,41.25,42.5,75
62,42.5,43.5,75
71,42.5,43.5,75
64,43.5,44.5,75
72,43.5,44.5,75
65,44.5,45.5,75
74,44.5,45.5,75
57,45.5,45.75,75
60,45.5,45.75,75
64,45.5,45.75,75
60,45.75,46.5,75
64,45.75,46.5,75
69,45.75,46.5,75
60,46.5,47.0,75
64,46.5,47.0,75
67,46.5,47.0,75
71,46.5,47.0,75
64,47.0,47.25,75
72,47.0,47.25,75
62,47.25,48.0,75
71,47.25,48.0,75
64,48.0,48.25,75
69,48.0,48.25,75
72,48.0,48.25,75
60,48.25,48.5,75
64,48.25,48.5,75
69,48.25,48.5,75
64,48.75,49.0,75
69,48.75,49.0,75
72,48.75,49.0,75
60,49.0,49.25,75
64,49.0,49.25,75
69,49.0,49.25,75
57,49.5,49.75,75
60,49.5,49.75,75
64,49.5,49.75,75
60,49.75,50.25,75
64,49.75,50.25,75
69,49.75,50.25,75
60,50.25,50.75,75
64,50.25,50.75,75
67,50.25,50.75,75
71,50.25,50.75,75
60,50.75,51.25,75
64,50.75,51.25,75
67,50.75,51.25,75
72,50.75,51.25,75
60,51.25,52.0,75
64,51.25,52.0,75
69,51.25,52.0,75
64,52.0,52.25,75
69,52.0,52.25,75
72,52.0,52.25,75
60,52.25,52.5,75
64,52.25,52.5,75
69,52.25,52.5,75
64,52.75,53.0,75
69,52.75,53.0,75
72,52.75,53.0,75
60,53.0,53.25,75
64,53.0,53.25,75
69,53.0,53.25,75
64,53.25,53.5,75
57,53.5,53.75,75
60,53.5,53.75,75
64,53.5,53.75,75
57,53.75,54.25,75
60,53.75,54.25,75
64,53.75,54.25,75
57,54.25,54.5,75
60,54.25,54.5,75
64,54.25,54.5,75
64,54.5,54.75,75
72,54.5,54.75,75
64,54.75,55.25,75
72,54.75,55.25,75
64,55.25,55.5,75
72,55.25,55.5,75
62,55.5,55.75,75
71,55.5,55.75,75
64,55.75,56.0,75
72,55.75,56.0,75
62,56.0,56.25,75
71,56.0,56.25,75
60,56.25,56.75,75
69,56.25,56.75,75
62,56.75,57.0,75
63,57.0,57.25,75
64,57.25,59.5,75
57,62.0,62.75,75
60,62.0,62.75,75
64,62.0,62.75,75
57,62.75,63.25,75
60,62.75,63.25,75
64,62.75,63.25,75
60,63.5,64.0,75
64,63.5,64.0,75
57,64.0,64.75,75
60,64.0,64.75,75
64,64.0,64.75,75
60,64.75,65.25,75
64,64.75,65.25,75
57,66.0,66.75,75
60,66.0,66.75,75
64,66.0,66.75,75
60,66.75,67.25,75
64,66.75,67.25,75
76,67.75,68.0,75
76,68.0,68.25,75
57,67.25,68.5,75
60,67.25,68.5,75
65,67.25,68.5,75
76,68.25,68.5,75
68,68.5,69.0,75
71,68.5,69.0,75
76,68.5,69.0,75
68,69.0,69.25,75
71,69.0,69.25,75
76,69.0,69.25,75
64,69.25,69.75,75
69,69.25,69.75,75
74,69.25,69.75,75
64,69.75,70.0,75
69,69.75,70.0,75
72,69.75,70.0,75
64,70.0,71.0,75
69,70.0,71.0,75
72,70.0,71.0,75
71,71.0,71.25,75
72,71.25,72.0,75
60,72.0,72.75,75
64,72.0,72.75,75
69,72.0,72.75,75
60,72.75,73.5,75
64,72.75,73.5,75
69,72.75,73.5,75
57,74.0,74.75,75
60,74.0,74.75,75
64,74.0,74.75,75
57,74.75,76.0,75
60,74.75,76.0,75
64,74.75,76.0,75
57,76.0,76.25,75
60,76.0,76.25,75
64,76.0,76.25,75
57,76.25,76.75,75
60,76.25,76.75,75
65,76.25,76.75,75
53,76.75,77.0,75
57,77.0,77.25,75
60,77.0,77.25,75
57,77.25,77.5,75
60,77.25,77.5,75
64,77.25,77.5,75
57,77.5,77.75,75
60,77.5,77.75,75
64,77.5,77.75,75
60,77.75,78.0,75
64,77.75,78.0,75
60,78.0,78.25,75
64,78.0,78.25,75
69,78.0,78.25,75
60,78.25,79.0,75
64,78.25,79.0,75
67,78.25,79.0,75
71,78.25,79.0,75
64,79.0,79.25,75
72,79.0,79.25,75
62,79.25,80.0,75
71,79.25,80.0,75
64,80.0,80.25,75
69,80.0,80.25,75
72,80.0,80.25,75
60,80.25,80.5,75
64,80.25,80.5,75
69,80.25,80.5,75
64,80.75,81.0,75
69,80.75,81.0,75
72,80.75,81.0,75
60,81.0,81.25,75
64,81.0,81.25,75
69,81.0,81.25,75
57,81.5,81.75,75
60,81.5,81.75,75
64,81.5,81.75,75
60,81.75,82.25,75
64,81.75,82.25,75
69,81.75,82.25,75
60,82.25,82.75,75
64,82.25,82.75,75
67,82.25,82.75,75
71,82.25,82.75,75
60,82.75,83.25,75
64,82.75,83.25,75
67,82.75,83.25,75
72,82.75,83.25,75
60,83.25,84.0,75
64,83.25,84.0,75
69,83.25,84.0,75
64,84.0,84.25,75
69,84.0,84.25,75
72,84.0,84.25,75
60,84.25,84.5,75
64,84.25,84.5,75
69,84.25,84.5,75
64,84.75,85.0,75
69,84.75,85.0,75
72,84.75,85.0,75
60,85.0,85.25,75
64,85.0,85.25,75
69,85.0,85.25,75
57,85.5,85.75,75
60,85.5,85.75,75
64,85.5,85.75,75
57,85.75,86.25,75
60,85.75,86.25,75
64,85.75,86.25,75
57,86.25,86.5,75
60,86.25,86.5,75
64,86.25,86.5,75
64,86.5,86.75,75
72,86.5,86.75,75
64,86.75,87.25,75
72,86.75,87.25,75
64,87.25,87.5,75
72,87.25,87.5,75
62,87.5,87.75,75
71,87.5,87.75,75
64,87.75,88.0,75
72,87.75,88.0,75
62,88.0,88.25,75
71,88.0,88.25,75
60,88.25,88.75,75
69,88.25,88.75,75
62,88.75,89.0,75
63,89.0,89.25,75
64,89.25,91.5,75
57,94.0,94.75,75
60,94.0,94.75,75
64,94.0,94.75,75
57,94.75,95.25,75
60,94.75,95.25,75
64,94.75,95.25,75
60,95.5,96.0,75
64,95.5,96.0,75
57,96.0,96.75,75
60,96.0,96.75,75
64,96.0,96.75,75
60,96.75,97.25,75
64,96.75,97.25,75
57,98.0,98.75,75
60,98.0,98.75,75
64,98.0,98.75,75
60,98.75,99.25,75
64,98.75,99.25,75
57,99.25,99.75,75
60,99.25,99.75,75
65,99.25,99.75,75
76,99.75,100.0,75
76,100.0,100.25,75
76,100.25,100.5,75
68,100.5,101.0,75
71,100.5,101.0,75
76,100.5,101.0,75
68,101.0,101.25,75
71,101.0,101.25,75
76,101.0,101.25,75
64,101.25,101.75,75
69,101.25,101.75,75
74,101.25,101.75,75
64,101.75,102.0,75
69,101.75,102.0,75
72,101.75,102.0,75
64,102.0,103.0,75
69,102.0,103.0,75
72,102.0,103.0,75
71,103.0,103.25,75
72,103.25,104.0,75
60,104.0,104.75,75
64,104.0,104.75,75
69,104.0,104.75,75
60,104.75,105.5,75
64,104.75,105.5,75
69,104.75,105.5,75
57,106.0,106.75,75
60,106.0,106.75,75
64,106.0,106.75,75
57,106.75,107.0,75
60,106.75,107.0,75
64,106.75,107.0,75
57,107.0,107.25,75
60,107.0,107.25,75
64,107.0,107.25,75
57,107.25,107.75,75
60,107.25,107.75,75
65,107.25,107.75,75
53,107.75,108.0,75
57,108.0,108.25,75
60,108.0,108.25,75
57,108.25,108.5,75
60,108.25,108.5,75
64,108.25,108.5,75
60,108.5,109.0,75
64,108.5,109.0,75
69,108.5,109.0,75
64,109.0,109.5,75
69,109.0,109.5,75
72,109.0,109.5,75
60,109.5,110.25,75
64,109.5,110.25,75
64,110.25,110.5,75
69,110.25,110.5,75
60,110.75,111.5,75
64,110.75,111.5,75
69,110.75,111.5,75
62,111.5,112.0,75
65,111.5,112.0,75
60,112.0,112.5,75
64,112.0,112.5,75
57,112.5,113.0,75
60,112.5,113.0,75
65,112.5,113.0,75
64,113.0,113.5,75
69,113.0,113.5,75
72,113.0,113.5,75
60,113.5,114.25,75
64,113.5,114.25,75
64,114.25,114.5,75
69,114.25,114.5,75
64,114.75,115.5,75
69,114.75,115.5,75
72,114.75,115.5,75
64,115.5,116.0,75
67,115.5,116.0,75
60,116.0,116.5,75
64,116.0,116.5,75
60,116.5,117.0,75
64,116.5,117.0,75
69,116.5,117.0,75
64,117.0,117.5,75
69,117.0,117.5,75
72,117.0,117.5,75
60,117.5,118.25,75
64,117.5,118.25,75
64,118.25,118.5,75
69,118.25,118.5,75
60,118.75,119.5,75
64,118.75,119.5,75
69,118.75,119.5,75
62,119.5,120.0,75
65,119.5,120.0,75
60,120.0,120.5,75
64,120.0,120.5,75
57,120.5,121.0,75
60,120.5,121.0,75
65,120.5,121.0,75
64,121.0,121.5,75
69,121.0,121.5,75
72,121.0,121.5,75
60,121.5,122.0,75
64,121.5,122.0,75
64,122.0,122.5,75
69,122.0,122.5,75
69,122.5,123.5,75
72,122.5,123.5,75
76,122.5,123.5,75
71,123.5,124.5,75
74,123.5,124.5,75
79,123.5,124.5,75
72,124.5,125.5,75
76,124.5,125.5,75
81,124.5,125.5,75
79,125.5,126.5,75
74,125.5,126.5,75
83,125.5,126.5,75
60,127.0,127.5,75
64,127.0,127.5,75
69,127.0,127.5,75
60,127.5,128.0,75
64,127.5,128.0,75
67,127.5,128.0,75
71,127.5,128.0,75
69,128.0,128.25,75
72,128.0,128.25,75
60,128.25,128.75,75
64,128.25,128.75,75
67,128.25,128.75,75
71,128.25,128.75,75
60,128.75,130.5,75
64,128.75,130.5,75
67,128.75,130.5,75
69,128.75,130.5,75
60,131.0,131.5,75
64,131.0,131.5,75
69,131.0,131.5,75
60,131.5,132.0,75
64,131.5,132.0,75
67,131.5,132.0,75
71,131.5,132.0,75
69,132.0,132.25,75
72,132.0,132.25,75
60,132.25,134.5,75
64,132.25,134.5,75
69,132.25,134.5,75
57,134.5,135.0,75
60,134.5,135.0,75
64,134.5,135.0,75
60,135.0,135.25,75
64,135.0,135.25,75
69,135.0,135.25,75
60,135.25,136.0,75
64,135.25,136.0,75
67,135.25,136.0,75
71,135.25,136.0,75
64,136.0,136.25,75
72,136.0,136.25,75
62,136.25,137.0,75
71,136.25,137.0,75
64,137.0,137.25,75
69,137.0,137.25,75
72,137.0,137.25,75
60,137.25,137.5,75
64,137.25,137.5,75
69,137.25,137.5,75
64,137.75,138.0,75
69,137.75,138.0,75
