0.0
120.0
Note,Start,End,Volume
72,0.271875,0.771875,110
72,0.771875,1.021875,110
72,1.021875,1.521875,110
72,1.521875,1.7718749999999999,110
72,1.7718749999999999,2.271875,110
74,2.271875,2.521875,110
71,2.521875,3.271875,110
69,3.271875,4.021875,110
69,4.021875,4.521875,110
67,4.521875,4.771875,110
67,4.771875,5.271875,110
67,5.271875,5.521875,110
70,5.521875,6.271875,110
70,6.271875,6.771875,110
70,6.771875,7.021875,110
70,7.021875,7.771875,110
72,7.771875,8.271875,110
69,8.271875,8.396875,110
67,8.396875,8.521875,110
65,8.521875,9.271875,110
72,12.271875,12.771875,110
72,12.771875,13.021875,110
72,13.021875,13.521875,110
72,13.521875,13.771875,110
72,13.771875,14.271875,110
74,14.271875,14.521875,110
71,14.521875,15.271875,110
69,15.271875,16.021875,110
69,16.021875,16.521875,110
67,16.521875,16.771875,110
67,16.771875,17.271875,110
67,17.271875,17.521875,110
70,17.521875,18.271875,110
70,18.271875,18.771875,110
70,18.771875,19.021875,110
70,19.021875,19.771875,110
72,19.771875,20.271875,110
69,20.271875,20.396875,110
67,20.396875,20.521875,110
65,20.521875,21.271875,110
64,24.271875,24.771875,110
64,24.771875,25.021875,110
67,25.021875,25.521875,110
67,25.521875,25.771874999999998,110
71,25.771874999999998,26.271874999999998,110
71,26.271874999999998,26.521874999999998,110
72,26.521874999999998,27.271874999999998,110
69,27.271874999999998,27.771874999999998,110
64,27.771874999999998,28.021874999999998,110
67,28.021874999999998,28.521874999999998,110
69,28.521874999999998,28.771874999999998,110
64,29.271874999999998,29.521874999999998,110
64,29.521874999999998,30.271874999999998,110
64,30.271874999999998,31.021874999999998,110
67,31.021874999999998,31.521874999999998,110
67,31.521874999999998,31.771874999999998,110
71,31.771874999999998,32.271875,110
71,32.271875,32.521875,110
72,32.521875,33.021875,110
67,33.021875,33.271875,110
69,33.271875,33.771875,110
64,33.771875,34.021875,110
67,34.021875,34.521875,110
69,34.521875,34.771875,110
72,35.521875,36.021875,110
72,36.021875,36.271875,110
72,36.271875,36.771875,110
72,36.771875,37.021875,110
71,37.021875,37.521875,110
71,37.521875,37.771875,110
71,37.771875,38.271875,110
67,38.271875,38.521875,110
70,38.521875,39.271875,110
70,39.271875,40.021875,110
69,40.021875,40.521875,110
69,40.521875,40.771875,110
69,40.771875,41.271875,110
65,41.271875,41.521875,110
69,41.521875,42.271875,110
67,42.271875,42.771875,110
62,42.771875,43.021875,110
64,43.021875,43.771875,110
62,43.771875,44.271875,110
62,44.271875,45.021875,110
60,45.021875,45.521875,110
72,51.271875,51.771875,110
72,51.771875,52.021875,110
72,52.021875,52.521875,110
72,52.521875,52.771875,110
72,52.771875,53.271875,110
74,53.271875,53.521875,110
71,53.521875,54.271875,110
69,54.271875,55.021875,110
69,55.021875,55.521875,110
67,55.521875,55.771875,110
67,55.771875,56.271875,110
67,56.271875,56.521875,110
70,56.521875,57.271875,110
70,57.271875,57.771875,110
70,57.771875,58.021875,110
70,58.021875,58.771875,110
72,58.771875,59.271875,110
69,59.271875,59.396875,110
67,59.396875,59.521875,110
65,59.521875,60.271875,110
72,63.271875,63.771875,110
72,63.771875,64.021875,110
72,64.021875,64.521875,110
72,64.521875,64.771875,110
72,64.771875,65.271875,110
74,65.271875,65.521875,110
71,65.521875,66.271875,110
69,66.271875,67.021875,110
69,67.021875,67.521875,110
67,67.521875,67.771875,110
67,67.771875,68.271875,110
67,68.271875,68.521875,110
70,68.521875,69.021875,110
70,69.021875,69.271875,110
70,69.271875,69.771875,110
70,69.771875,70.021875,110
70,70.021875,70.521875,110
70,70.521875,70.771875,110
72,70.771875,71.271875,110
69,71.271875,71.396875,110
67,71.396875,71.521875,110
65,71.521875,72.271875,110
64,75.271875,75.771875,110
64,75.771875,76.021875,110
67,76.021875,76.521875,110
67,76.521875,76.771875,110
71,76.771875,77.271875,110
71,77.271875,77.521875,110
72,77.521875,78.271875,110
69,78.271875,78.771875,110
64,78.771875,79.021875,110
67,79.021875,79.521875,110
69,79.521875,79.771875,110
64,80.271875,80.521875,110
64,80.521875,81.271875,110
64,81.271875,81.771875,110
64,81.771875,82.021875,110
67,82.021875,82.521875,110
67,82.521875,82.771875,110
71,82.771875,83.271875,110
71,83.271875,83.521875,110
72,83.521875,84.271875,110
69,84.271875,84.771875,110
64,84.771875,85.021875,110
67,85.021875,85.521875,110
69,85.521875,85.771875,110
72,86.521875,87.021875,110
72,87.021875,87.271875,110
72,87.271875,87.771875,110
72,87.771875,88.021875,110
71,88.021875,88.521875,110
71,88.521875,88.771875,110
71,88.771875,89.271875,110
67,89.271875,89.521875,110
70,89.521875,90.021875,110
70,90.021875,90.271875,110
70,90.271875,90.771875,110
70,90.771875,91.021875,110
69,91.021875,91.521875,110
69,91.521875,91.771875,110
69,91.771875,92.271875,110
65,92.271875,92.521875,110
69,92.521875,93.271875,110
67,93.271875,93.771875,110
62,93.771875,94.021875,110
64,94.021875,94.771875,110
62,94.771875,95.271875,110
62,95.271875,96.021875,110
60,96.021875,96.521875,110
74,100.021875,102.021875,110
74,102.021875,102.271875,110
74,102.271875,102.771875,110
74,102.771875,103.021875,110
74,103.021875,103.521875,110
74,103.521875,103.771875,110
74,103.771875,104.271875,110
72,104.271875,104.521875,110
74,104.521875,105.271875,110
72,105.271875,105.771875,110
69,105.771875,106.021875,110
72,106.021875,106.521875,110
74,106.521875,106.771875,110
74,106.771875,107.271875,110
74,107.271875,107.521875,110
76,107.521875,108.021875,110
74,108.021875,108.271875,110
74,108.271875,108.771875,110
72,108.771875,109.021875,110
74,109.021875,109.521875,110
72,109.521875,110.271875,110
74,110.271875,110.396875,110
72,110.396875,110.521875,110
69,110.521875,111.021875,110
73,112.771875,113.271875,110
