0.0
125.0
Note,Start,End,Volume
55,3.6,3.8360000000000003,127
58,3.6,3.8360000000000003,127
63,3.6,3.8360000000000003,127
57,3.84,4.0760000000000005,127
60,3.84,4.0760000000000005,127
65,3.84,4.0760000000000005,127
57,4.08,4.316,127
60,4.08,4.316,127
65,4.08,4.316,127
55,4.32,4.556,127
58,4.32,4.556,127
63,4.32,4.556,127
65,4.5600000000000005,4.796,127
57,4.5600000000000005,4.796,127
60,4.5600000000000005,4.796,127
55,5.5200000000000005,5.756,127
58,5.5200000000000005,5.756,127
63,5.5200000000000005,5.756,127
57,5.76,5.996,127
60,5.76,5.996,127
65,5.76,5.996,127
57,6.0,6.236,127
60,6.0,6.236,127
65,6.0,6.236,127
55,6.24,6.476,127
58,6.24,6.476,127
63,6.24,6.476,127
57,6.48,6.716,127
60,6.48,6.716,127
65,6.48,6.716,127
58,7.44,7.676,127
55,7.44,7.676,127
63,7.44,7.676,127
57,7.68,7.916,127
60,7.68,7.916,127
65,7.68,7.916,127
57,7.92,8.156,127
60,7.92,8.156,127
65,7.92,8.156,127
55,8.16,8.396,127
58,8.16,8.396,127
63,8.16,8.396,127
65,8.4,8.636000000000001,127
57,8.4,8.636000000000001,127
60,8.4,8.636000000000001,127
55,9.36,9.596,127
58,9.36,9.596,127
63,9.36,9.596,127
57,9.6,9.836,127
60,9.6,9.836,127
65,9.6,9.836,127
57,9.84,10.076,127
60,9.84,10.076,127
65,9.84,10.076,127
55,10.08,10.316,127
58,10.08,10.316,127
63,10.08,10.316,127
57,10.32,10.556000000000001,127
60,10.32,10.556000000000001,127
65,10.32,10.556000000000001,127
55,11.28,11.516,127
58,11.28,11.516,127
63,11.28,11.516,127
57,11.52,11.756,127
60,11.52,11.756,127
57,11.76,11.996,127
60,11.76,11.996,127
55,12.0,12.236,127
58,12.0,12.236,127
57,12.24,12.476,127
60,12.24,12.476,127
65,11.52,12.476,127
65,12.72,12.956,127
60,12.96,13.196,127
65,12.96,13.196,127
69,12.96,13.196,127
70,13.200000000000001,13.436,127
57,13.44,13.676,127
60,13.44,13.676,127
69,13.44,13.676,127
57,13.68,13.916,127
60,13.68,13.916,127
65,13.68,13.916,127
55,13.92,14.156,127
58,13.92,14.156,127
63,13.92,14.156,127
57,14.16,14.396,127
60,14.16,14.396,127
65,14.16,14.396,127
65,14.64,14.876,127
60,14.88,15.116,127
65,14.88,15.116,127
69,14.88,15.116,127
70,15.120000000000001,15.356,127
60,15.36,15.596,127
65,15.36,15.596,127
72,15.36,15.596,127
60,15.6,15.836,127
65,15.6,15.836,127
70,15.6,15.836,127
58,15.84,16.076,127
63,15.84,16.076,127
69,15.84,16.076,127
57,16.080000000000002,16.316,127
60,16.080000000000002,16.316,127
65,16.080000000000002,16.316,127
69,16.32,16.556,127
65,16.56,16.796,127
55,16.8,17.036,127
58,16.8,17.036,127
63,16.8,17.036,127
57,17.28,17.516000000000002,127
60,17.28,17.516000000000002,127
65,17.04,17.52,127
57,17.52,17.756,127
60,17.52,17.756,127
55,17.76,17.996,127
58,17.76,17.996,127
57,18.0,18.236,127
60,18.0,18.236,127
57,18.72,18.956,127
60,18.72,18.956,127
65,18.72,18.956,127
55,18.96,19.196,127
58,18.96,19.196,127
63,18.96,19.196,127
57,19.2,19.436,127
60,19.2,19.436,127
57,19.44,19.676000000000002,127
60,19.44,19.676000000000002,127
55,19.68,19.916,127
58,19.68,19.916,127
57,19.92,20.156,127
60,19.92,20.156,127
65,19.2,20.156,127
65,20.400000000000002,20.636,127
60,20.64,20.876,127
65,20.64,20.876,127
69,20.64,20.876,127
65,20.88,21.116,127
57,21.12,21.356,127
60,21.12,21.356,127
69,21.12,21.356,127
57,21.36,21.596,127
60,21.36,21.596,127
65,21.36,21.596,127
55,21.6,21.836000000000002,127
58,21.6,21.836000000000002,127
57,21.84,22.076,127
60,21.84,22.076,127
63,21.6,22.076,127
65,22.32,22.556,127
60,22.56,22.796,127
65,22.56,22.796,127
69,22.56,22.796,127
70,22.8,23.036,127
72,23.04,23.276,127
65,23.04,23.276,127
60,23.04,23.276,127
60,23.28,23.516000000000002,127
65,23.28,23.516000000000002,127
70,23.28,23.516000000000002,127
58,23.52,23.756,127
63,23.52,23.756,127
69,23.52,23.756,127
57,23.76,23.996000000000002,127
60,23.76,23.996000000000002,127
65,23.76,23.996000000000002,127
69,24.0,24.236,127
57,24.48,24.716,127
60,24.48,24.716,127
65,24.240000000000002,24.953,127
60,24.72,24.96,127
57,24.72,24.96,127
57,24.96,25.196,127
60,24.96,25.196,127
65,24.96,25.196,127
57,25.2,25.436,127
60,25.2,25.436,127
65,25.2,25.436,127
55,25.44,25.676000000000002,127
58,25.44,25.676000000000002,127
63,25.44,25.676000000000002,127
57,25.68,25.916,127
60,25.68,25.916,127
65,25.68,25.916,127
57,26.400000000000002,26.636,127
60,26.400000000000002,26.636,127
65,26.400000000000002,26.636,127
57,26.64,26.876,127
60,26.64,26.876,127
65,26.64,26.876,127
59,26.88,27.116,127
62,26.88,27.116,127
59,27.12,27.356,127
62,27.12,27.356,127
57,27.36,27.596,127
60,27.36,27.596,127
59,27.6,27.836000000000002,127
62,27.6,27.836000000000002,127
67,26.88,27.836000000000002,127
67,28.080000000000002,28.316,127
62,28.32,28.556,127
67,28.32,28.556,127
71,28.32,28.556,127
72,28.560000000000002,28.796,127
59,28.8,29.036,127
62,28.8,29.036,127
71,28.8,29.036,127
59,29.04,29.276,127
62,29.04,29.276,127
67,29.04,29.276,127
57,29.28,29.516000000000002,127
60,29.28,29.516000000000002,127
59,29.52,29.756,127
62,29.52,29.756,127
65,29.28,29.756,127
67,30.0,30.236,127
71,30.240000000000002,30.476,127
72,30.48,30.716,127
62,30.240000000000002,30.716,127
67,30.240000000000002,30.716,127
62,30.72,30.956,127
67,30.72,30.956,127
74,30.72,30.956,127
62,30.96,31.196,127
67,30.96,31.196,127
72,30.96,31.196,127
60,31.2,31.436,127
65,31.2,31.436,127
71,31.2,31.436,127
59,31.44,31.676000000000002,127
62,31.44,31.676000000000002,127
67,31.44,31.676000000000002,127
71,31.68,31.916,127
67,31.92,32.156,127
59,32.160000000000004,32.396,127
62,32.160000000000004,32.396,127
65,32.160000000000004,32.396,127
59,32.64,32.876,127
62,32.64,32.876,127
59,32.88,33.116,127
62,32.88,33.116,127
57,33.12,33.356,127
60,33.12,33.356,127
59,33.36,33.596000000000004,127
62,33.36,33.596000000000004,127
67,32.4,33.596000000000004,127
59,34.08,34.316,127
62,34.08,34.316,127
62,34.32,34.556,127
65,34.32,34.556,127
67,34.08,34.556,127
64,34.56,34.796,127
67,34.56,34.796,127
64,34.800000000000004,35.036,127
67,34.800000000000004,35.036,127
62,35.04,35.276,127
65,35.04,35.276,127
64,35.28,35.516,127
67,35.28,35.516,127
72,34.56,35.516,127
72,35.76,35.996,127
67,36.0,36.236000000000004,127
72,36.0,36.236000000000004,127
75,36.0,36.236000000000004,127
62,36.24,36.476,127
65,36.24,36.476,127
72,36.24,36.476,127
64,36.480000000000004,36.716,127
67,36.480000000000004,36.716,127
75,36.480000000000004,36.716,127
64,36.72,36.956,127
67,36.72,36.956,127
72,36.72,36.956,127
62,36.96,37.196,127
65,36.96,37.196,127
64,37.2,37.436,127
67,37.2,37.436,127
70,36.96,37.676,127
72,37.68,37.916000000000004,127
67,37.92,38.156,127
72,37.92,38.156,127
76,37.92,38.156,127
62,38.160000000000004,38.396,127
65,38.160000000000004,38.396,127
72,38.160000000000004,38.396,127
64,38.4,38.636,127
67,38.4,38.636,127
75,38.4,38.636,127
64,38.64,38.876,127
67,38.64,38.876,127
72,38.64,38.876,127
65,38.88,39.116,127
70,38.88,39.116,127
76,38.88,39.116,127
64,39.12,39.356,127
67,39.12,39.356,127
72,39.12,39.356,127
76,39.36,39.596000000000004,127
64,39.84,40.076,127
67,39.84,40.076,127
72,39.6,40.076,127
62,40.08,40.316,127
65,40.08,40.316,127
70,40.08,40.316,127
64,40.32,40.556,127
67,40.32,40.556,127
72,40.32,40.556,127
64,40.56,40.796,127
67,40.56,40.796,127
72,40.56,40.796,127
62,40.800000000000004,41.036,127
65,40.800000000000004,41.036,127
70,40.800000000000004,41.036,127
64,41.04,41.756,127
67,41.04,41.756,127
72,41.04,41.756,127
64,41.76,41.996,127
67,41.76,41.996,127
70,42.0,42.236000000000004,127
64,42.24,42.476,127
67,42.24,42.476,127
74,42.24,42.476,127
64,42.480000000000004,42.716,127
67,42.480000000000004,42.716,127
72,42.480000000000004,42.716,127
62,42.72,42.956,127
65,42.72,42.956,127
70,42.72,42.956,127
64,42.96,43.676,127
67,42.96,43.676,127
72,42.96,43.676,127
64,43.68,43.916000000000004,127
67,43.68,43.916000000000004,127
70,43.92,44.156,127
64,44.160000000000004,44.396,127
67,44.160000000000004,44.396,127
72,44.160000000000004,44.396,127
64,44.4,44.636,127
67,44.4,44.636,127
72,44.4,44.636,127
62,44.64,44.876,127
65,44.64,44.876,127
70,44.64,44.876,127
64,44.88,45.596000000000004,127
67,44.88,45.596000000000004,127
72,44.88,45.596000000000004,127
64,45.6,45.836,127
67,45.6,45.836,127
62,45.84,46.076,127
65,45.84,46.076,127
58,46.08,48.004,127
58,48.0,48.004,127
62,46.08,48.004,127
62,48.0,48.004,127
70,46.08,48.96,127
65,46.08,48.96,127
62,49.2,49.436,127
65,49.2,49.436,127
70,49.2,49.436,127
64,49.44,49.676,127
67,49.44,49.676,127
72,49.44,49.676,127
64,49.68,49.916000000000004,127
67,49.68,49.916000000000004,127
72,49.68,49.916000000000004,127
57,49.92,50.156,127
60,49.92,50.156,127
57,50.160000000000004,50.396,127
60,50.160000000000004,50.396,127
55,50.4,50.636,127
58,50.4,50.636,127
57,50.64,50.876,127
60,50.64,50.876,127
65,49.92,50.876,127
65,51.120000000000005,51.356,127
60,51.36,51.596000000000004,127
65,51.36,51.596000000000004,127
69,51.36,51.596000000000004,127
70,51.6,51.836,127
57,51.84,52.076,127
60,51.84,52.076,127
69,51.84,52.076,127
57,52.08,52.316,127
60,52.08,52.316,127
65,52.08,52.316,127
55,52.32,52.556000000000004,127
58,52.32,52.556000000000004,127
63,52.32,52.556000000000004,127
57,52.56,52.796,127
60,52.56,52.796,127
65,52.56,52.796,127
65,53.04,53.276,127
60,53.28,53.516,127
65,53.28,53.516,127
69,53.28,53.516,127
70,53.52,53.756,127
60,53.76,53.996,127
65,53.76,53.996,127
72,53.76,53.996,127
60,54.0,54.236000000000004,127
65,54.0,54.236000000000004,127
70,54.0,54.236000000000004,127
58,54.24,54.476,127
63,54.24,54.476,127
69,54.24,54.476,127
57,54.480000000000004,54.716,127
60,54.480000000000004,54.716,127
65,54.480000000000004,54.716,127
69,54.72,54.956,127
65,54.96,55.196,127
55,55.2,55.436,127
58,55.2,55.436,127
63,55.2,55.436,127
57,55.68,55.916000000000004,127
60,55.68,55.916000000000004,127
65,55.44,55.92,127
57,55.92,56.156,127
60,55.92,56.156,127
55,56.160000000000004,56.396,127
58,56.160000000000004,56.396,127
57,56.4,56.636,127
60,56.4,56.636,127
57,57.120000000000005,57.356,127
60,57.120000000000005,57.356,127
65,57.120000000000005,57.356,127
55,57.36,57.596000000000004,127
58,57.36,57.596000000000004,127
63,57.36,57.596000000000004,127
57,57.6,57.836,127
60,57.6,57.836,127
57,57.84,58.076,127
60,57.84,58.076,127
55,58.08,58.316,127
58,58.08,58.316,127
57,58.32,58.556000000000004,127
60,58.32,58.556000000000004,127
65,57.6,58.556000000000004,127
65,58.800000000000004,59.036,127
60,59.04,59.276,127
65,59.04,59.276,127
69,59.04,59.276,127
65,59.28,59.516,127
57,59.52,59.756,127
60,59.52,59.756,127
69,59.52,59.756,127
57,59.76,59.996,127
60,59.76,59.996,127
65,59.76,59.996,127
55,60.0,60.236000000000004,127
58,60.0,60.236000000000004,127
57,60.24,60.476,127
60,60.24,60.476,127
63,60.0,60.476,127
65,60.72,60.956,127
60,60.96,61.196,127
65,60.96,61.196,127
69,60.96,61.196,127
70,61.2,61.436,127
72,61.44,61.676,127
65,61.44,61.676,127
60,61.44,61.676,127
60,61.68,61.916000000000004,127
65,61.68,61.916000000000004,127
70,61.68,61.916000000000004,127
58,61.92,62.156,127
63,61.92,62.156,127
69,61.92,62.156,127
57,62.160000000000004,62.396,127
60,62.160000000000004,62.396,127
65,62.160000000000004,62.396,127
69,62.4,62.636,127
57,62.88,63.116,127
60,62.88,63.116,127
65,62.64,63.353,127
60,63.120000000000005,63.36,127
57,63.120000000000005,63.36,127
