0.0
100.0
Note,Start,End,Volume
45,0.0,0.15,100
47,0.15,0.3,100
50,0.3,0.45,100
52,0.45,0.6,100
40,0.6,1.05,100
57,1.05,1.475,100
57,1.5,1.6500000000000001,100
56,1.6500000000000001,1.8,100
57,1.8,2.075,100
52,2.1,2.4,100
45,2.4,2.5500000000000003,100
47,2.5500000000000003,2.7,100
50,2.7,2.85,100
52,2.85,3.0,100
40,3.0,3.45,100
57,3.45,3.875,100
57,3.9,4.05,100
56,4.05,4.2,100
57,4.2,4.8,100
45,4.8,4.95,100
47,4.95,5.1000000000000005,100
50,5.1000000000000005,5.25,100
52,5.25,5.4,100
40,5.4,5.8500000000000005,100
57,5.8500000000000005,6.275,100
57,6.3,6.45,100
56,6.45,6.6000000000000005,100
57,6.6000000000000005,6.875,100
52,6.9,7.2,100
45,7.2,7.3500000000000005,100
47,7.3500000000000005,7.5,100
50,7.5,7.65,100
52,7.65,7.8,100
40,7.8,8.25,100
57,8.25,8.675,100
57,8.700000000000001,8.85,100
56,8.85,9.0,100
57,9.0,9.6,100
45,9.6,9.75,100
47,9.75,9.9,100
50,9.9,10.05,100
52,10.05,10.200000000000001,100
40,10.200000000000001,10.65,100
57,10.65,11.075000000000001,100
57,11.1,11.25,100
56,11.25,11.4,100
57,11.4,11.675,100
52,11.700000000000001,12.0,100
45,12.0,12.15,100
47,12.15,12.3,100
50,12.3,12.450000000000001,100
52,12.450000000000001,12.6,100
40,12.6,13.05,100
57,13.05,13.475,100
57,13.5,13.65,100
56,13.65,13.8,100
57,13.8,14.4,100
45,14.4,14.55,100
47,14.55,14.700000000000001,100
50,14.700000000000001,14.85,100
52,14.85,15.0,100
40,15.0,15.450000000000001,100
57,15.450000000000001,15.875,100
57,15.9,16.05,100
56,16.05,16.2,100
57,16.2,16.475,100
52,16.5,16.8,100
45,16.8,16.95,100
47,16.95,17.1,100
50,17.1,17.25,100
52,17.25,17.400000000000002,100
40,17.400000000000002,17.85,100
57,17.85,18.275000000000002,100
57,18.3,18.45,100
56,18.45,18.6,100
57,18.6,18.900000000000002,100
50,18.6,18.900000000000002,100
50,18.900000000000002,19.2,100
57,19.2,19.25,100
61,19.2,19.25,100
62,19.25,19.5,100
59,19.25,19.5,100
52,19.2,19.5,100
62,19.5,19.54,100
59,19.5,19.54,100
52,19.5,19.54,100
52,19.650000000000002,19.69,100
59,19.650000000000002,19.69,100
62,19.650000000000002,19.69,100
61,19.8,20.1,100
57,19.8,20.1,100
52,19.8,20.1,100
52,20.1,20.14,100
61,20.1,20.14,100
57,20.1,20.14,100
61,20.25,20.29,100
57,20.25,20.29,100
52,20.25,20.29,100
56,20.400000000000002,20.7,110
59,20.7,20.740000000000002,100
56,20.7,20.740000000000002,100
52,20.7,20.740000000000002,100
59,20.85,20.89,100
56,20.85,20.89,100
52,20.85,20.89,100
67,21.0,21.3,100
55,21.0,21.3,100
59,21.0,21.3,100
62,21.0,21.3,100
57,21.3,21.6,100
69,21.3,21.6,100
64,21.3,21.6,100
61,21.3,21.6,100
57,21.6,21.650000000000002,100
61,21.6,21.650000000000002,100
62,21.650000000000002,21.900000000000002,100
66,21.6,21.900000000000002,100
52,21.6,21.900000000000002,100
59,21.650000000000002,21.900000000000002,100
62,21.900000000000002,21.94,100
59,21.900000000000002,21.94,100
52,21.900000000000002,21.94,100
52,22.05,22.09,100
59,22.05,22.09,100
62,22.05,22.09,100
61,22.2,22.5,100
57,22.2,22.5,100
52,22.2,22.5,100
52,22.5,22.54,100
61,22.5,22.54,100
57,22.5,22.54,100
61,22.650000000000002,22.69,100
57,22.650000000000002,22.69,100
52,22.650000000000002,22.69,100
56,22.8,23.1,110
59,23.1,23.14,100
50,23.1,23.14,100
55,23.1,23.14,100
59,23.25,23.29,100
55,23.25,23.29,100
50,23.25,23.29,100
44,23.400000000000002,23.675,100
40,23.7,24.0,100
57,24.0,24.05,100
61,24.0,24.05,100
62,24.05,24.3,100
59,24.05,24.3,100
52,24.0,24.3,100
62,24.3,24.34,100
59,24.3,24.34,100
52,24.3,24.34,100
