0.0
155.00031000062
Note,Start,End,Volume
58,1.354836,1.854835,110
65,1.354836,1.870964,110
65,1.93548,2.12499575,110
57,1.93548,2.12499575,110
58,2.129028,2.3145115,110
65,2.129028,2.31854375,110
57,2.322576,2.41935,110
58,2.41935,2.516124,110
57,2.516124,2.70563975,110
55,2.709672,2.89918775,110
60,2.90322,3.419348,110
59,3.483864,3.67337975,110
60,3.677412,3.86692775,110
59,3.87096,3.9637017500000002,110
60,3.967734,4.06047575,110
59,4.064508,4.15724975,110
57,4.161282,4.25402375,110
55,4.258056,4.35079775,110
53,4.35483,4.44757175,110
62,4.451604,7.645146,110
69,4.451604,7.645146,110
67,7.758049,7.94756475,110
65,8.338693,8.52820875,110
64,8.919337,9.49594875,110
62,9.499981,9.68949675,110
64,9.693529,9.88304475,110
65,9.887077,10.07659275,110
67,10.080625,10.27014075,110
65,10.274173,10.46368875,110
64,10.467721000000001,10.52820475,110
65,10.532237,10.59272075,110
64,10.596753,10.657236750000001,110
62,10.661269,10.85078475,110
67,10.854817,11.04433275,110
65,11.435461,11.62497675,110
64,12.016105,12.59271675,110
62,12.596749,12.78626475,110
64,12.790297,12.97981275,110
65,12.983845,13.17336075,110
67,13.177393,13.36690875,110
65,13.370941,13.56045675,110
64,13.564489,13.62497275,110
65,13.629005,13.68948875,110
64,13.693521,13.75400475,110
62,13.758037,13.94755275,110
67,13.951585,14.14110075,110
65,14.532229000000001,14.721744750000001,110
64,15.112873,15.68948475,110
62,15.693517,15.88303275,110
64,15.887065,16.07658075,110
65,16.080613,16.27012875,110
67,16.274161,16.46367675,110
65,16.467709,16.65722475,110
64,16.661257,16.72174075,110
65,16.725773,16.78625675,110
64,16.790289,16.85077275,110
62,16.854805,17.04432075,110
67,17.048353,17.112869,110
67,20.145121,20.33463675,110
65,20.725765,20.91528075,110
64,21.306409,21.88302075,110
62,21.887053,22.07656875,110
64,22.080601,22.27011675,110
65,22.274149,22.46366475,110
67,22.467697,22.65721275,110
65,22.661245,22.85076075,110
64,22.854793,22.91527675,110
65,22.919309,22.97979275,110
64,22.983825,23.04430875,110
62,23.048341,23.23785675,110
67,23.241889,23.43140475,110
65,23.822533,24.01204875,110
64,24.403177,24.97978875,110
62,24.983821,25.17333675,110
64,25.177369,25.36688475,110
65,25.370917,25.56043275,110
67,25.564465,25.75398075,110
65,25.758013000000002,25.94752875,110
64,25.951561,26.01204475,110
65,26.016077,26.07656075,110
64,26.080593,26.14107675,110
62,26.145109,26.33462475,110
67,26.338657,26.52817275,110
65,26.919301,27.10881675,110
64,27.499945,28.07655675,110
62,28.080589,28.27010475,110
64,28.274137,28.46365275,110
65,28.467685,28.65720075,110
67,28.661233,28.85074875,110
65,28.854781,29.04429675,110
64,29.048329,29.10881275,110
65,29.112845,29.17332875,110
64,29.177361,29.23784475,110
62,29.241877,29.43139275,110
67,29.435425,29.499941,110
67,32.532193,32.72170875,110
65,33.112837,33.30235275,110
64,33.693481,34.27009275,110
62,34.274125,34.46364075,110
64,34.467673,34.65718875,110
65,34.661221,34.85073675,110
67,34.854769,35.04428475,110
65,35.048317,35.23783275,110
64,35.241865,35.30234875,110
65,35.306381,35.36686475,110
64,35.370897,35.43138075,110
62,35.435413,35.62492875,110
67,35.628961,35.81847675,110
65,36.209605,36.39912075,110
64,36.790249,37.36686075,110
62,37.370893,37.56040875,110
64,37.564441,37.75395675,110
65,37.757989,37.94750475,110
67,37.951537,38.14105275,110
65,38.145085,38.33460075,110
64,38.338633,38.39911675,110
65,38.403149,38.46363275,110
64,38.467665000000004,38.52814875,110
62,38.532181,38.72169675,110
67,38.725729,38.91524475,110
65,39.306373,39.49588875,110
64,39.887017,40.46362875,110
62,40.467661,40.65717675,110
64,40.661209,40.85072475,110
65,40.854757,41.04427275,110
67,41.048305,41.23782075,110
65,41.241853,41.43136875,110
64,41.435401,41.49588475,110
65,41.499917,41.56040075,110
64,41.564433,41.62491675,110
62,41.628949,41.81846475,110
67,41.822497,41.887013,110
58,44.338621,44.5241045,110
65,44.338621,44.52813675,110
70,44.338621,44.52813675,110
66,44.532169,44.72168475,110
71,44.532169,44.72168475,110
59,44.532169,44.72168475,110
60,44.725717,45.241845,110
67,44.725717,45.241845,110
72,44.725717,45.241845,110
65,45.306361,45.49587675,110
58,45.306361,45.499909,110
66,45.499909,45.68942475,110
59,45.499909,45.68942475,110
60,45.693457,45.88297275,110
67,45.693457,45.88297275,110
65,46.661197,46.85071275,110
58,46.661197,46.854745,110
59,46.854745,47.04426075,110
66,46.854745,47.04426075,110
67,47.048293,47.23780875,110
60,47.048293,47.23780875,110
65,47.435389,47.62490475,110
58,47.435389,47.628937,110
59,47.628937,47.81845275,110
66,47.628937,47.81845275,110
60,47.822485,48.338613,110
67,47.822485,48.338613,110
65,48.403129,48.59264475,110
58,48.403129,48.596677,110
59,48.596677,48.78619275,110
66,48.596677,48.78619275,110
67,48.790225,48.97974075,110
60,48.790225,48.97974075,110
65,49.757965,49.94748075,110
58,49.757965,49.951513,110
66,49.951513,50.141028750000004,110
59,49.951513,50.141028750000004,110
60,50.145061,50.334576750000004,110
67,50.145061,50.334576750000004,110
65,50.532157,50.72167275,110
58,50.532157,50.725705,110
66,50.725705,50.91522075,110
59,50.725705,50.91522075,110
67,50.919253,51.435381,110
60,50.919253,51.435381,110
65,51.499897,51.68941275,110
58,51.499897,51.693445,110
59,51.693445,51.88296075,110
66,51.693445,51.88296075,110
67,51.886993,52.07650875,110
60,51.886993,52.07650875,110
65,52.854733,53.04424875,110
58,52.854733,53.048281,110
59,53.048281,53.23779675,110
66,53.048281,53.23779675,110
60,53.241829,53.43134475,110
67,53.241829,53.43134475,110
60,53.628925,53.81844075,110
67,53.628925,53.81844075,110
61,53.822473,54.01198875,110
68,53.822473,54.01198875,110
74,54.016021,54.20553675,110
69,54.016021,54.20553675,110
62,54.016021,54.20553675,110
78,54.016021,54.20553675,110
65,57.112789,57.30230475,110
67,57.306337,57.49585275,110
65,57.886981,58.07649675,110
64,58.467625,59.04423675,110
62,59.048269,59.23778475,110
64,59.241817,59.43133275,110
65,59.435365,59.62488075,110
67,59.628913,59.81842875,110
65,59.822461,60.01197675,110
64,60.016009000000004,60.07649275,110
65,60.080525,60.14100875,110
64,60.145041,60.20552475,110
62,60.209557000000004,60.39907275,110
67,60.403105000000004,60.59262075,110
65,60.983749,61.17326475,110
64,61.564393,62.14100475,110
62,62.145037,62.33455275,110
64,62.338585,62.52810075,110
65,62.532133,62.72164875,110
67,62.725681,62.91519675,110
65,62.919229,63.10874475,110
64,63.112777,63.17326075,110
65,63.177293,63.23777675,110
64,63.241809,63.30229275,110
62,63.306325,63.49584075,110
67,63.499873,63.68938875,110
65,64.080517,64.27003275,110
64,64.661161,65.23777275,110
62,65.241805,65.43132075,110
64,65.435353,65.62486875,110
65,65.628901,65.81841675,110
67,65.822449,66.01196475,110
65,66.015997,66.20551275,110
64,66.209545,66.27002875,110
65,66.274061,66.33454475,110
64,66.338577,66.39906075,110
62,66.403093,66.59260875,110
67,66.596641,66.661157,110
