0.0
160.0
Note,Start,End,Volume
72,4.875,5.25,100
67,4.875,5.25,100
64,4.875,5.25,100
72,5.625,6.0,100
67,5.625,6.0,100
64,5.625,6.0,100
69,6.375,6.75,100
64,6.375,6.75,100
60,6.375,6.75,100
69,7.125,7.5,100
64,7.125,7.5,100
60,7.125,7.5,100
69,7.875,8.25,100
65,7.875,8.25,100
60,7.875,8.25,100
69,8.625,9.0,100
65,8.625,9.0,100
60,8.625,9.0,100
67,9.375,9.75,100
71,9.375,9.75,100
62,9.375,9.75,100
62,10.125,10.5,100
67,10.125,10.5,100
71,10.125,10.5,100
72,10.875,11.25,100
67,10.875,11.25,100
64,10.875,11.25,100
72,11.625,12.0,100
67,11.625,12.0,100
64,11.625,12.0,100
69,12.375,12.75,100
64,12.375,12.75,100
60,12.375,12.75,100
69,13.125,13.5,100
64,13.125,13.5,100
60,13.125,13.5,100
69,13.875,14.25,100
65,13.875,14.25,100
60,13.875,14.25,100
69,14.625,15.0,100
65,14.625,15.0,100
60,14.625,15.0,100
67,15.375,15.75,100
71,15.375,15.75,100
62,15.375,15.75,100
62,16.125,16.5,100
67,16.125,16.5,100
71,16.125,16.5,100
72,16.875,17.25,100
67,16.875,17.25,100
64,16.875,17.25,100
72,17.625,18.0,100
67,17.625,18.0,100
64,17.625,18.0,100
69,18.375,18.75,100
64,18.375,18.75,100
60,18.375,18.75,100
69,19.125,19.5,100
64,19.125,19.5,100
60,19.125,19.5,100
69,19.875,20.25,100
65,19.875,20.25,100
60,19.875,20.25,100
69,20.625,21.0,100
65,20.625,21.0,100
60,20.625,21.0,100
67,21.375,21.75,100
71,21.375,21.75,100
62,21.375,21.75,100
62,22.125,22.5,100
67,22.125,22.5,100
71,22.125,22.5,100
72,22.875,23.25,100
67,22.875,23.25,100
64,22.875,23.25,100
72,23.625,24.0,100
67,23.625,24.0,100
64,23.625,24.0,100
69,24.375,24.75,100
64,24.375,24.75,100
60,24.375,24.75,100
69,25.125,25.5,100
64,25.125,25.5,100
60,25.125,25.5,100
69,25.875,26.25,100
65,25.875,26.25,100
60,25.875,26.25,100
69,26.625,27.0,100
65,26.625,27.0,100
60,26.625,27.0,100
67,27.375,27.75,100
71,27.375,27.75,100
62,27.375,27.75,100
62,28.125,28.5,100
67,28.125,28.5,100
71,28.125,28.5,100
72,28.875,29.25,100
67,28.875,29.25,100
64,28.875,29.25,100
72,29.625,30.0,100
67,29.625,30.0,100
64,29.625,30.0,100
69,30.375,30.75,100
64,30.375,30.75,100
60,30.375,30.75,100
69,31.125,31.5,100
64,31.125,31.5,100
60,31.125,31.5,100
69,31.875,32.25,100
65,31.875,32.25,100
60,31.875,32.25,100
69,32.625,33.0,100
65,32.625,33.0,100
60,32.625,33.0,100
67,33.375,33.75,100
71,33.375,33.75,100
62,33.375,33.75,100
72,40.875,41.25,100
67,40.875,41.25,100
64,40.875,41.25,100
72,41.625,42.0,100
67,41.625,42.0,100
64,41.625,42.0,100
69,42.375,42.75,100
64,42.375,42.75,100
60,42.375,42.75,100
69,43.125,43.5,100
64,43.125,43.5,100
60,43.125,43.5,100
69,43.875,44.25,100
65,43.875,44.25,100
60,43.875,44.25,100
69,44.625,45.0,100
65,44.625,45.0,100
60,44.625,45.0,100
67,45.375,45.75,100
71,45.375,45.75,100
62,45.375,45.75,100
62,46.125,46.5,100
67,46.125,46.5,100
71,46.125,46.5,100
72,46.875,47.25,100
67,46.875,47.25,100
64,46.875,47.25,100
72,47.625,48.0,100
67,47.625,48.0,100
64,47.625,48.0,100
69,48.375,48.75,100
64,48.375,48.75,100
60,48.375,48.75,100
69,49.125,49.5,100
64,49.125,49.5,100
60,49.125,49.5,100
69,49.875,50.25,100
65,49.875,50.25,100
60,49.875,50.25,100
69,50.625,51.0,100
65,50.625,51.0,100
60,50.625,51.0,100
67,51.375,51.75,100
71,51.375,51.75,100
62,51.375,51.75,100
62,52.125,52.5,100
67,52.125,52.5,100
71,52.125,52.5,100
72,52.875,53.25,100
67,52.875,53.25,100
64,52.875,53.25,100
72,53.625,54.0,100
67,53.625,54.0,100
64,53.625,54.0,100
69,54.375,54.75,100
64,54.375,54.75,100
60,54.375,54.75,100
69,55.125,55.5,100
64,55.125,55.5,100
60,55.125,55.5,100
69,55.875,56.25,100
65,55.875,56.25,100
60,55.875,56.25,100
69,56.625,57.0,100
65,56.625,57.0,100
60,56.625,57.0,100
67,57.375,57.75,100
71,57.375,57.75,100
62,57.375,57.75,100
69,64.875,65.25,100
64,64.875,65.25,100
60,64.875,65.25,100
