0.0
80.0
Note,Start,End,Volume
57,0.0,0.1875,127
57,0.1875,0.375,127
57,0.375,0.75,127
57,1.125,1.3125,127
57,1.3125,1.5,127
57,1.5,1.875,127
58,2.25,2.4375,127
58,2.4375,2.625,127
38,1.875,3.0,127
58,2.625,3.0,127
58,3.375,3.5625,127
58,3.5625,3.75,127
58,3.75,4.125,127
59,4.5,4.6875,127
59,4.6875,4.875,127
38,4.125,5.25,127
59,4.875,5.25,127
59,5.625,5.8125,127
59,5.8125,6.0,127
59,6.0,6.375,127
60,6.75,6.9375,127
60,6.9375,7.125,127
38,6.375,7.5,127
60,7.125,7.5,127
60,7.875,8.0625,127
60,8.0625,8.25,127
60,8.25,8.625,127
62,9.0,9.1875,127
62,9.1875,9.375,127
38,8.625,9.75,127
62,9.375,9.75,127
57,10.125,10.3125,127
57,10.3125,10.5,127
57,10.5,10.875,127
58,11.25,11.4375,127
58,11.4375,11.625,127
38,10.875,12.0,127
58,11.625,12.0,127
58,12.375,12.5625,127
58,12.5625,12.75,127
58,12.75,13.125,127
59,13.5,13.6875,127
59,13.6875,13.875,127
38,13.125,14.25,127
59,13.875,14.25,127
59,14.625,14.8125,127
59,14.8125,15.0,127
59,15.0,15.375,127
60,15.75,15.9375,127
60,15.9375,16.125,127
38,15.375,16.5,127
60,16.125,16.5,127
60,16.875,17.0625,127
60,17.0625,17.25,127
60,17.25,17.625,127
62,18.0,18.1875,127
62,18.1875,18.375,127
38,17.625,18.75,127
62,18.375,18.75,127
57,19.125,19.3125,127
57,19.3125,19.5,127
57,19.5,19.875,127
58,20.25,20.4375,127
58,20.4375,20.625,127
38,19.875,21.0,127
58,20.625,21.0,127
58,21.375,21.5625,127
58,21.5625,21.75,127
58,21.75,22.125,127
59,22.5,22.6875,127
59,22.6875,22.875,127
38,22.125,23.25,127
59,22.875,23.25,127
59,23.625,23.8125,127
59,23.8125,24.0,127
59,24.0,24.375,127
60,24.75,24.9375,127
60,24.9375,25.125,127
38,24.375,25.5,127
60,25.125,25.5,127
60,25.875,26.0625,127
60,26.0625,26.25,127
60,26.25,26.625,127
62,27.0,27.1875,127
62,27.1875,27.375,127
38,26.625,27.75,127
62,27.375,27.75,127
57,28.125,28.3125,127
57,28.3125,28.5,127
57,28.5,28.875,127
58,29.25,29.4375,127
58,29.4375,29.625,127
38,28.875,30.0,127
58,29.625,30.0,127
58,30.375,30.5625,127
58,30.5625,30.75,127
58,30.75,31.125,127
59,31.5,31.6875,127
59,31.6875,31.875,127
38,31.125,32.25,127
59,31.875,32.25,127
59,32.625,32.8125,127
59,32.8125,33.0,127
59,33.0,33.375,127
60,33.75,33.9375,127
60,33.9375,34.125,127
38,33.375,34.5,127
60,34.125,34.5,127
60,34.875,35.0625,127
60,35.0625,35.25,127
60,35.25,35.625,127
62,36.0,36.1875,127
62,36.1875,36.375,127
38,35.625,36.75,127
62,36.375,36.75,127
57,37.125,37.3125,127
57,37.3125,37.5,127
57,37.5,37.875,127
58,38.25,38.4375,127
58,38.4375,38.625,127
38,37.875,39.0,127
58,38.625,39.0,127
58,39.375,39.5625,127
58,39.5625,39.75,127
58,39.75,40.125,127
59,40.5,40.6875,127
59,40.6875,40.875,127
38,40.125,41.25,127
59,40.875,41.25,127
59,41.625,41.8125,127
59,41.8125,42.0,127
59,42.0,42.375,127
60,42.75,42.9375,127
60,42.9375,43.125,127
38,42.375,43.5,127
60,43.125,43.5,127
60,43.875,44.0625,127
60,44.0625,44.25,127
60,44.25,44.625,127
62,45.0,45.1875,127
62,45.1875,45.375,127
38,44.625,45.75,127
62,45.375,45.75,127
57,46.125,46.3125,127
57,46.3125,46.5,127
57,46.5,46.875,127
58,47.25,47.4375,127
58,47.4375,47.625,127
38,46.875,48.0,127
58,47.625,48.0,127
58,48.375,48.5625,127
58,48.5625,48.75,127
58,48.75,49.125,127
59,49.5,49.6875,127
59,49.6875,49.875,127
38,49.125,50.25,127
59,49.875,50.25,127
59,50.625,50.8125,127
59,50.8125,51.0,127
59,51.0,51.375,127
60,51.75,51.9375,127
60,51.9375,52.125,127
38,51.375,52.5,127
60,52.125,52.5,127
60,52.875,53.0625,127
60,53.0625,53.25,127
60,53.25,53.625,127
38,53.625,54.0,127
62,54.0,54.5625,127
67,54.0,54.5625,127
57,54.0,54.5625,127
74,54.0,54.5625,127
62,54.5625,55.125,127
66,54.5625,55.125,127
57,54.5625,55.125,127
74,54.5625,55.125,127
60,55.125,55.6875,127
65,55.125,55.6875,127
57,55.125,55.6875,127
72,55.125,55.6875,127
60,55.6875,56.25,127
64,55.6875,56.25,127
57,55.6875,56.25,127
72,55.6875,56.25,127
62,56.25,56.625,127
69,56.25,56.625,127
61,56.625,57.0,127
69,56.625,57.0,127
55,57.0,57.5625,127
60,57.0,57.5625,127
57,57.0,57.5625,127
67,57.0,57.5625,127
55,57.5625,58.125,127
59,57.5625,58.125,127
57,57.5625,58.125,127
67,57.5625,58.125,127
53,58.125,58.6875,127
58,58.125,58.6875,127
57,58.125,58.6875,127
65,58.125,58.6875,127
53,58.6875,59.25,127
65,58.6875,59.25,127
53,59.25,59.4375,127
52,59.4375,59.625,127
50,59.625,60.0,127
62,60.0,60.5625,127
67,60.0,60.5625,127
57,60.0,60.5625,127
74,60.0,60.5625,127
62,60.5625,61.125,127
66,60.5625,61.125,127
57,60.5625,61.125,127
74,60.5625,61.125,127
60,61.125,61.6875,127
65,61.125,61.6875,127
57,61.125,61.6875,127
72,61.125,61.6875,127
60,61.6875,62.25,127
64,61.6875,62.25,127
