0.0
120.0
Note,Start,End,Volume
59,4.5,4.783333333333333,84
71,4.5,4.791666666666667,69
68,4.5,4.808333333333334,83
68,4.916666666666667,4.983333333333333,40
71,4.916666666666667,4.991666666666666,39
59,4.916666666666667,5.004166666666666,63
59,5.004166666666666,5.083333333333333,68
71,5.004166666666666,5.1,47
68,5.004166666666666,5.1,62
59,5.25,5.620833333333334,88
71,5.25,5.645833333333333,73
68,5.25,5.645833333333333,86
59,5.75,6.0,88
71,5.75,6.0,73
68,5.75,6.0,84
61,6.5,6.783333333333333,84
69,6.5,6.791666666666667,69
66,6.5,6.808333333333334,83
66,6.916666666666667,6.983333333333333,40
69,6.916666666666667,6.991666666666666,39
61,6.916666666666667,7.004166666666666,63
61,7.004166666666666,7.083333333333333,68
69,7.004166666666666,7.1,47
66,7.004166666666666,7.1,62
61,7.25,7.620833333333334,88
69,7.25,7.645833333333333,73
66,7.25,7.645833333333333,86
61,7.75,8.0,88
69,7.75,8.0,73
66,7.75,8.0,84
56,8.5,8.783333333333333,84
68,8.5,8.791666666666666,69
64,8.5,8.808333333333334,83
64,8.916666666666666,8.983333333333333,40
68,8.916666666666666,8.991666666666667,39
56,8.916666666666666,9.004166666666666,63
56,9.004166666666666,9.083333333333334,68
68,9.004166666666666,9.1,47
64,9.004166666666666,9.1,62
56,9.25,9.620833333333334,88
68,9.25,9.645833333333334,73
64,9.25,9.645833333333334,86
56,9.75,10.0,88
68,9.75,10.0,73
64,9.75,10.0,84
56,10.25,10.333333333333334,76
68,10.25,10.366666666666667,58
64,10.25,10.366666666666667,68
56,10.5,10.583333333333334,60
68,10.5,10.6375,53
64,10.5,10.645833333333334,72
56,10.75,10.875,88
64,10.75,10.895833333333334,83
68,10.75,10.9,72
68,11.0,11.5,63
61,11.0,11.5,74
64,11.0,11.5,75
66,11.5,12.0,63
59,11.5,12.0,74
63,11.5,12.0,75
59,12.5,12.783333333333333,84
71,12.5,12.791666666666666,69
68,12.5,12.808333333333334,83
68,12.916666666666666,12.983333333333333,40
71,12.916666666666666,12.991666666666667,39
59,12.916666666666666,13.004166666666666,63
59,13.004166666666666,13.083333333333334,68
71,13.004166666666666,13.1,47
68,13.004166666666666,13.1,62
59,13.25,13.620833333333334,88
71,13.25,13.645833333333334,73
68,13.25,13.645833333333334,86
59,13.75,14.0,88
71,13.75,14.0,73
68,13.75,14.0,84
61,14.5,14.783333333333333,84
69,14.5,14.791666666666666,69
66,14.5,14.808333333333334,83
66,14.916666666666666,14.983333333333333,40
69,14.916666666666666,14.991666666666667,39
61,14.916666666666666,15.004166666666666,63
61,15.004166666666666,15.083333333333334,68
69,15.004166666666666,15.1,47
66,15.004166666666666,15.1,62
61,15.25,15.620833333333334,88
69,15.25,15.645833333333334,73
66,15.25,15.645833333333334,86
61,15.75,16.0,88
69,15.75,16.0,73
66,15.75,16.0,84
56,16.5,16.78333333333333,84
68,16.5,16.791666666666668,69
64,16.5,16.808333333333334,83
64,16.916666666666668,16.983333333333334,40
68,16.916666666666668,16.991666666666667,39
56,16.916666666666668,17.004166666666666,63
56,17.004166666666666,17.083333333333332,68
68,17.004166666666666,17.1,47
64,17.004166666666666,17.1,62
56,17.25,17.620833333333334,88
68,17.25,17.645833333333332,73
64,17.25,17.645833333333332,86
56,17.75,18.0,88
68,17.75,18.0,73
64,17.75,18.0,84
56,18.25,18.333333333333332,76
68,18.25,18.366666666666667,58
64,18.25,18.366666666666667,68
56,18.5,18.583333333333332,60
68,18.5,18.6375,53
64,18.5,18.645833333333332,72
56,18.75,18.875,88
64,18.75,18.895833333333332,83
68,18.75,18.9,72
68,19.0,19.5,63
61,19.0,19.5,74
64,19.0,19.5,75
66,19.5,20.0,63
59,19.5,20.0,74
63,19.5,20.0,75
59,20.5,20.78333333333333,84
71,20.5,20.791666666666668,69
68,20.5,20.808333333333334,83
68,20.916666666666668,20.983333333333334,40
71,20.916666666666668,20.991666666666667,39
59,20.916666666666668,21.004166666666666,63
59,21.004166666666666,21.083333333333332,68
71,21.004166666666666,21.1,47
68,21.004166666666666,21.1,62
59,21.25,21.620833333333334,88
71,21.25,21.645833333333332,73
68,21.25,21.645833333333332,86
59,21.75,22.0,88
71,21.75,22.0,73
68,21.75,22.0,84
61,22.5,22.78333333333333,84
69,22.5,22.791666666666668,69
66,22.5,22.808333333333334,83
66,22.916666666666668,22.983333333333334,40
69,22.916666666666668,22.991666666666667,39
61,22.916666666666668,23.004166666666666,63
61,23.004166666666666,23.083333333333332,68
69,23.004166666666666,23.1,47
66,23.004166666666666,23.1,62
61,23.25,23.620833333333334,88
69,23.25,23.645833333333332,73
66,23.25,23.645833333333332,86
61,23.75,24.0,88
69,23.75,24.0,73
66,23.75,24.0,84
56,24.5,24.78333333333333,84
68,24.5,24.791666666666668,69
64,24.5,24.808333333333334,83
64,24.916666666666668,24.983333333333334,40
68,24.916666666666668,24.991666666666667,39
56,24.916666666666668,25.004166666666666,63
56,25.004166666666666,25.083333333333332,68
68,25.004166666666666,25.1,47
64,25.004166666666666,25.1,62
56,25.25,25.620833333333334,88
68,25.25,25.645833333333332,73
64,25.25,25.645833333333332,86
56,25.75,26.0,88
68,25.75,26.0,73
64,25.75,26.0,84
56,26.5,26.704166666666666,74
68,26.5,26.758333333333333,61
64,26.5,26.779166666666665,72
56,26.875,26.945833333333333,76
64,26.875,26.97083333333333,72
68,26.875,26.974999999999998,66
68,27.0,27.5,63
61,27.0,27.5,74
64,27.0,27.5,75
66,27.5,28.0,63
59,27.5,28.0,74
63,27.5,28.0,75
59,28.5,28.78333333333333,84
71,28.5,28.791666666666668,69
68,28.5,28.808333333333334,83
68,28.916666666666668,28.983333333333334,40
71,28.916666666666668,28.991666666666667,39
59,28.916666666666668,29.004166666666666,63
59,29.004166666666666,29.083333333333332,68
71,29.004166666666666,29.099999999999998,47
68,29.004166666666666,29.099999999999998,62
59,29.25,29.620833333333334,88
71,29.25,29.645833333333332,73
68,29.25,29.645833333333332,86
59,29.75,30.0,88
71,29.75,30.0,73
68,29.75,30.0,84
61,30.5,30.78333333333333,84
69,30.5,30.791666666666668,69
66,30.5,30.808333333333334,83
66,30.916666666666668,30.983333333333334,40
69,30.916666666666668,30.991666666666667,39
61,30.916666666666668,31.004166666666666,63
61,31.004166666666666,31.083333333333332,68
69,31.004166666666666,31.099999999999998,47
66,31.004166666666666,31.099999999999998,62
61,31.25,31.620833333333334,88
69,31.25,31.645833333333332,73
66,31.25,31.645833333333332,86
61,31.75,32.0,88
69,31.75,32.0,73
66,31.75,32.0,84
56,32.5,32.78333333333333,84
68,32.5,32.791666666666664,69
64,32.5,32.80833333333333,83
64,32.916666666666664,32.983333333333334,40
68,32.916666666666664,32.99166666666667,39
56,32.916666666666664,33.00416666666666,63
56,33.00416666666666,33.083333333333336,68
68,33.00416666666666,33.1,47
64,33.00416666666666,33.1,62
56,33.25,33.62083333333333,88
68,33.25,33.645833333333336,73
64,33.25,33.645833333333336,86
56,33.75,34.0,88
68,33.75,34.0,73
64,33.75,34.0,84
56,34.5,34.704166666666666,74
68,34.5,34.75833333333333,61
64,34.5,34.77916666666667,72
56,34.875,34.94583333333333,76
64,34.875,34.97083333333333,72
68,34.875,34.975,66
68,35.0,35.5,63
61,35.0,35.5,74
64,35.0,35.5,75
66,35.5,36.0,63
59,35.5,36.0,74
63,35.5,36.0,75
56,36.5,36.78333333333333,84
68,36.5,36.791666666666664,69
64,36.5,36.80833333333333,83
64,36.916666666666664,36.983333333333334,40
68,36.916666666666664,36.99166666666667,39
56,36.916666666666664,37.00416666666666,63
56,37.00416666666666,37.083333333333336,68
68,37.00416666666666,37.1,47
64,37.00416666666666,37.1,62
56,37.25,37.62083333333333,88
68,37.25,37.645833333333336,73
64,37.25,37.645833333333336,86
56,37.75,38.02916666666667,88
68,37.75,38.0375,73
64,37.75,38.0375,84
68,38.5,38.7875,71
56,38.5,38.7875,86
64,38.5,38.8,84
64,38.916666666666664,38.979166666666664,46
56,38.916666666666664,38.9875,68
68,38.916666666666664,38.9875,35
56,39.0,39.0875,68
68,39.0,39.104166666666664,48
64,39.0,39.108333333333334,67
56,39.25,39.5625,89
64,39.25,39.583333333333336,89
68,39.25,39.59166666666667,75
56,39.75,39.979166666666664,91
68,39.75,39.979166666666664,77
64,39.75,39.979166666666664,86
59,40.5,40.78333333333333,84
71,40.5,40.791666666666664,69
68,40.5,40.80833333333333,83
68,40.916666666666664,40.983333333333334,40
71,40.916666666666664,40.99166666666667,39
59,40.916666666666664,41.00416666666666,63
59,41.00416666666666,41.083333333333336,68
71,41.00416666666666,41.1,47
68,41.00416666666666,41.1,62
59,41.25,41.62083333333333,88
71,41.25,41.645833333333336,73
68,41.25,41.645833333333336,86
59,41.75,42.02916666666667,88
71,41.75,42.0375,73
68,41.75,42.0375,84
71,42.5,42.7875,71
59,42.5,42.7875,86
68,42.5,42.8,84
68,42.916666666666664,42.979166666666664,46
59,42.916666666666664,42.9875,68
71,42.916666666666664,42.9875,35
59,43.0,43.0875,68
71,43.0,43.104166666666664,48
68,43.0,43.108333333333334,67
59,43.25,43.5625,89
68,43.25,43.583333333333336,89
71,43.25,43.59166666666667,75
59,43.75,43.979166666666664,91
71,43.75,43.979166666666664,77
68,43.75,43.979166666666664,86
56,44.5,44.78333333333333,84
68,44.5,44.791666666666664,69
64,44.5,44.80833333333333,83
64,44.916666666666664,44.983333333333334,40
68,44.916666666666664,44.99166666666667,39
56,44.916666666666664,45.00416666666666,63
56,45.00416666666666,45.083333333333336,68
68,45.00416666666666,45.1,47
64,45.00416666666666,45.1,62
56,45.25,45.62083333333333,88
68,45.25,45.645833333333336,73
64,45.25,45.645833333333336,86
56,45.75,46.02916666666667,88
68,45.75,46.0375,73
64,45.75,46.0375,84
68,46.5,46.7875,71
56,46.5,46.7875,86
64,46.5,46.8,84
64,46.916666666666664,46.979166666666664,46
56,46.916666666666664,46.9875,68
68,46.916666666666664,46.9875,35
56,47.0,47.0875,68
68,47.0,47.104166666666664,48
64,47.0,47.108333333333334,67
56,47.25,47.5625,89
64,47.25,47.583333333333336,89
68,47.25,47.59166666666667,75
56,47.75,47.979166666666664,91
68,47.75,47.979166666666664,77
64,47.75,47.979166666666664,86
59,48.5,48.78333333333333,84
71,48.5,48.791666666666664,69
68,48.5,48.80833333333333,83
68,48.916666666666664,48.983333333333334,40
71,48.916666666666664,48.99166666666667,39
59,48.916666666666664,49.00416666666666,63
59,49.00416666666666,49.083333333333336,68
71,49.00416666666666,49.1,47
68,49.00416666666666,49.1,62
59,49.25,49.62083333333333,88
71,49.25,49.645833333333336,73
68,49.25,49.645833333333336,86
59,49.75,50.02916666666667,88
71,49.75,50.0375,73
68,49.75,50.0375,84
71,50.5,50.7875,71
59,50.5,50.7875,86
68,50.5,50.8,84
68,50.916666666666664,50.979166666666664,46
59,50.916666666666664,50.9875,68
71,50.916666666666664,50.9875,35
59,51.0,51.0875,68
71,51.0,51.104166666666664,48
68,51.0,51.108333333333334,67
59,51.25,51.5625,89
68,51.25,51.583333333333336,89
