0.0
120.0
Note,Start,End,Volume
74,8.5,8.75,100
73,8.75,9.0,100
72,9.0,9.25,100
71,9.25,10.0,100
67,10.0,10.25,100
66,10.25,10.5,100
74,10.5,10.75,100
62,10.75,11.0,100
60,11.0,12.0,100
74,12.5,12.75,100
73,12.75,13.0,100
72,13.0,13.25,100
71,13.25,14.0,100
67,14.0,14.25,100
66,14.25,14.5,100
74,14.5,14.75,100
62,14.75,15.0,100
60,15.0,16.0,100
74,16.5,16.75,100
73,16.75,17.0,100
72,17.0,17.25,100
71,17.25,18.0,100
67,18.0,18.25,100
66,18.25,18.5,100
74,18.5,18.75,100
62,18.75,19.0,100
60,19.0,20.0,100
74,20.5,20.75,100
73,20.75,21.0,100
72,21.0,21.25,100
71,21.25,22.0,100
67,22.0,22.25,100
66,22.25,22.5,100
74,22.5,22.75,100
62,22.75,23.0,100
60,23.0,24.0,100
74,24.5,24.75,100
73,24.75,25.0,100
72,25.0,25.25,100
71,25.25,26.0,100
67,26.0,26.25,100
66,26.25,26.5,100
74,26.5,26.75,100
62,26.75,27.0,100
60,27.0,28.0,100
74,28.5,28.75,100
73,28.75,29.0,100
72,29.0,29.25,100
71,29.25,30.0,100
67,30.0,30.25,100
66,30.25,30.5,100
74,30.5,30.75,100
62,30.75,31.0,100
60,31.0,32.0,100
74,32.5,32.75,100
73,32.75,33.0,100
72,33.0,33.25,100
71,33.25,34.0,100
67,34.0,34.25,100
66,34.25,34.5,100
74,34.5,34.75,100
62,34.75,35.0,100
60,35.0,36.0,100
74,36.5,36.75,100
73,36.75,37.0,100
72,37.0,37.25,100
71,37.25,38.0,100
67,38.0,38.25,100
66,38.25,38.5,100
74,38.5,38.75,100
62,38.75,39.0,100
60,39.0,40.0,100
40,56.0,56.25,100
47,56.0,56.25,100
43,56.25,56.5,100
50,56.25,56.5,100
49,56.5,56.75,100
42,56.5,56.75,100
41,56.75,57.0,100
48,56.75,57.0,100
40,57.0,57.25,100
47,57.0,57.25,100
43,57.25,57.5,100
50,57.25,57.5,100
42,57.5,57.75,100
49,57.5,57.75,100
48,57.75,58.0,100
41,57.75,58.0,100
40,58.0,58.25,100
47,58.0,58.25,100
43,58.25,58.5,100
50,58.25,58.5,100
49,58.5,58.75,100
42,58.5,58.75,100
41,58.75,59.0,100
48,58.75,59.0,100
40,59.0,59.25,100
47,59.0,59.25,100
42,59.25,59.5,100
49,59.25,59.5,100
43,59.5,59.75,100
50,59.5,59.75,100
45,59.75,60.0,100
52,59.75,60.0,100
40,60.0,60.25,100
47,60.0,60.25,100
43,60.25,60.5,100
50,60.25,60.5,100
49,60.5,60.75,100
42,60.5,60.75,100
41,60.75,61.0,100
48,60.75,61.0,100
40,61.0,61.25,100
47,61.0,61.25,100
43,61.25,61.5,100
50,61.25,61.5,100
42,61.5,61.75,100
49,61.5,61.75,100
48,61.75,62.0,100
41,61.75,62.0,100
40,62.0,62.25,100
47,62.0,62.25,100
43,62.25,62.5,100
50,62.25,62.5,100
49,62.5,62.75,100
42,62.5,62.75,100
41,62.75,63.0,100
48,62.75,63.0,100
40,63.0,63.25,100
47,63.0,63.25,100
42,63.25,63.5,100
49,63.25,63.5,100
43,63.5,63.75,100
50,63.5,63.75,100
43,63.75,64.0,100
50,63.75,64.0,100
40,64.0,64.25,100
47,64.0,64.25,100
43,64.25,64.5,100
50,64.25,64.5,100
49,64.5,64.75,100
42,64.5,64.75,100
41,64.75,65.0,100
48,64.75,65.0,100
40,65.0,65.25,100
47,65.0,65.25,100
43,65.25,65.5,100
50,65.25,65.5,100
42,65.5,65.75,100
49,65.5,65.75,100
48,65.75,66.0,100
41,65.75,66.0,100
40,66.0,66.25,100
47,66.0,66.25,100
43,66.25,66.5,100
50,66.25,66.5,100
49,66.5,66.75,100
42,66.5,66.75,100
41,66.75,67.0,100
48,66.75,67.0,100
40,67.0,67.25,100
47,67.0,67.25,100
42,67.25,67.5,100
49,67.25,67.5,100
43,67.5,67.75,100
50,67.5,67.75,100
45,67.75,68.0,100
52,67.75,68.0,100
40,68.0,68.25,100
47,68.0,68.25,100
43,68.25,68.5,100
50,68.25,68.5,100
49,68.5,68.75,100
42,68.5,68.75,100
41,68.75,69.0,100
48,68.75,69.0,100
40,69.0,69.25,100
47,69.0,69.25,100
43,69.25,69.5,100
50,69.25,69.5,100
42,69.5,69.75,100
49,69.5,69.75,100
48,69.75,70.0,100
41,69.75,70.0,100
40,70.0,70.25,100
47,70.0,70.25,100
43,70.25,70.5,100
50,70.25,70.5,100
49,70.5,70.75,100
42,70.5,70.75,100
41,70.75,71.0,100
48,70.75,71.0,100
40,71.0,71.25,100
47,71.0,71.25,100
42,71.25,71.5,100
49,71.25,71.5,100
43,71.5,71.75,100
50,71.5,71.75,100
43,71.75,72.0,100
50,71.75,72.0,100
40,72.0,76.0,100
47,72.0,76.0,100
67,76.0,76.16666666666667,100
64,76.16666666666667,76.33333333333333,100
66,76.33333333333333,76.5,100
62,76.5,76.66666666666667,100
64,76.66666666666667,76.83333333333333,100
66,76.83333333333333,77.0,100
67,77.0,77.16666666666667,100
64,77.16666666666667,77.33333333333333,100
66,77.33333333333333,77.5,100
62,77.5,77.66666666666667,100
64,77.66666666666667,77.83333333333333,100
66,77.83333333333333,78.0,100
67,78.0,78.16666666666667,100
64,78.16666666666667,78.33333333333333,100
66,78.33333333333333,78.5,100
62,78.5,78.66666666666667,100
64,78.66666666666667,78.83333333333333,100
66,78.83333333333333,79.0,100
67,79.0,79.16666666666667,100
64,79.16666666666667,79.33333333333333,100
66,79.33333333333333,79.5,100
62,79.5,79.66666666666667,100
64,79.66666666666667,79.83333333333333,100
66,79.83333333333333,80.0,100
67,80.0,80.16666666666667,100
64,80.16666666666667,80.33333333333333,100
66,80.33333333333333,80.5,100
62,80.5,80.66666666666667,100
64,80.66666666666667,80.83333333333333,100
66,80.83333333333333,81.0,100
67,81.0,81.16666666666667,100
64,81.16666666666667,81.33333333333333,100
66,81.33333333333333,81.5,100
62,81.5,81.66666666666667,100
64,81.66666666666667,81.83333333333333,100
66,81.83333333333333,82.0,100
67,82.0,82.16666666666667,100
64,82.16666666666667,82.33333333333333,100
66,82.33333333333333,82.5,100
62,82.5,82.66666666666667,100
64,82.66666666666667,82.83333333333333,100
66,82.83333333333333,83.0,100
67,83.0,83.16666666666667,100
64,83.16666666666667,83.33333333333333,100
66,83.33333333333333,83.5,100
62,83.5,83.66666666666667,100
64,83.66666666666667,83.83333333333333,100
66,83.83333333333333,84.0,100
67,84.0,84.16666666666667,100
64,84.16666666666667,84.33333333333333,100
66,84.33333333333333,84.5,100
62,84.5,84.66666666666667,100
64,84.66666666666667,84.83333333333333,100
66,84.83333333333333,85.0,100
67,85.0,85.16666666666667,100
64,85.16666666666667,85.33333333333333,100
66,85.33333333333333,85.5,100
62,85.5,85.66666666666667,100
64,85.66666666666667,85.83333333333333,100
66,85.83333333333333,86.0,100
67,86.0,86.16666666666667,100
64,86.16666666666667,86.33333333333333,100
66,86.33333333333333,86.5,100
62,86.5,86.66666666666667,100
64,86.66666666666667,86.83333333333333,100
66,86.83333333333333,87.0,100
67,87.0,87.16666666666667,100
64,87.16666666666667,87.33333333333333,100
66,87.33333333333333,87.5,100
62,87.5,87.66666666666667,100
64,87.66666666666667,87.83333333333333,100
66,87.83333333333333,88.0,100
67,88.0,88.16666666666667,100
64,88.16666666666667,88.33333333333333,100
66,88.33333333333333,88.5,100
62,88.5,88.66666666666667,100
64,88.66666666666667,88.83333333333333,100
66,88.83333333333333,89.0,100
67,89.0,89.16666666666667,100
64,89.16666666666667,89.33333333333333,100
66,89.33333333333333,89.5,100
62,89.5,89.66666666666667,100
64,89.66666666666667,89.83333333333333,100
66,89.83333333333333,90.0,100
67,90.0,90.16666666666667,100
64,90.16666666666667,90.33333333333333,100
66,90.33333333333333,90.5,100
62,90.5,90.66666666666667,100
64,90.66666666666667,90.83333333333333,100
66,90.83333333333333,91.0,100
67,91.0,91.16666666666667,100
64,91.16666666666667,91.33333333333333,100
66,91.33333333333333,91.5,100
62,91.5,91.66666666666667,100
64,91.66666666666667,91.83333333333333,100
66,91.83333333333333,92.0,100
67,92.0,92.16666666666667,100
64,92.16666666666667,92.33333333333333,100
66,92.33333333333333,92.5,100
62,92.5,92.66666666666667,100
64,92.66666666666667,92.83333333333333,100
66,92.83333333333333,93.0,100
67,93.0,93.16666666666667,100
64,93.16666666666667,93.33333333333333,100
66,93.33333333333333,93.5,100
62,93.5,93.66666666666667,100
64,93.66666666666667,93.83333333333333,100
66,93.83333333333333,94.0,100
67,94.0,94.16666666666667,100
64,94.16666666666667,94.33333333333333,100
66,94.33333333333333,94.5,100
62,94.5,94.66666666666667,100
64,94.66666666666667,94.83333333333333,100
66,94.83333333333333,95.0,100
67,95.0,95.16666666666667,100
64,95.16666666666667,95.33333333333333,100
66,95.33333333333333,95.5,100
62,95.5,95.66666666666667,100
64,95.66666666666667,95.83333333333333,100
66,95.83333333333333,96.0,100
67,96.0,96.16666666666667,100
64,96.16666666666667,96.33333333333333,100
66,96.33333333333333,96.5,100
62,96.5,96.66666666666667,100
64,96.66666666666667,96.83333333333333,100
66,96.83333333333333,97.0,100
67,97.0,97.16666666666667,100
64,97.16666666666667,97.33333333333333,100
66,97.33333333333333,97.5,100
62,97.5,97.66666666666667,100
64,97.66666666666667,97.83333333333333,100
66,97.83333333333333,98.0,100
67,98.0,98.16666666666667,100
64,98.16666666666667,98.33333333333333,100
66,98.33333333333333,98.5,100
62,98.5,98.66666666666667,100
64,98.66666666666667,98.83333333333333,100
66,98.83333333333333,99.0,100
67,99.0,99.16666666666667,100
64,99.16666666666667,99.33333333333333,100
66,99.33333333333333,99.5,100
62,99.5,99.66666666666667,100
64,99.66666666666667,99.83333333333333,100
66,99.83333333333333,100.0,100
67,100.0,100.16666666666667,100
64,100.16666666666667,100.33333333333333,100
66,100.33333333333333,100.5,100
62,100.5,100.66666666666667,100
64,100.66666666666667,100.83333333333333,100
66,100.83333333333333,101.0,100
67,101.0,101.16666666666667,100
64,101.16666666666667,101.33333333333333,100
66,101.33333333333333,101.5,100
62,101.5,101.66666666666667,100
64,101.66666666666667,101.83333333333333,100
66,101.83333333333333,102.0,100
67,102.0,102.16666666666667,100
64,102.16666666666667,102.33333333333333,100
66,102.33333333333333,102.5,100
62,102.5,102.66666666666667,100
64,102.66666666666667,102.83333333333333,100
66,102.83333333333333,103.0,100
67,103.0,103.16666666666667,100
64,103.16666666666667,103.33333333333333,100
66,103.33333333333333,103.5,100
62,103.5,103.66666666666667,100
64,103.66666666666667,103.83333333333333,100
66,103.83333333333333,104.0,100
67,104.0,104.16666666666667,100
64,104.16666666666667,104.33333333333333,100
66,104.33333333333333,104.5,100
62,104.5,104.66666666666667,100
64,104.66666666666667,104.83333333333333,100
66,104.83333333333333,105.0,100
67,105.0,105.16666666666667,100
64,105.16666666666667,105.33333333333333,100
66,105.33333333333333,105.5,100
62,105.5,105.66666666666667,100
64,105.66666666666667,105.83333333333333,100
66,105.83333333333333,106.0,100
67,106.0,106.16666666666667,100
64,106.16666666666667,106.33333333333333,100
66,106.33333333333333,106.5,100
62,106.5,106.66666666666667,100
64,106.66666666666667,106.83333333333333,100
66,106.83333333333333,107.0,100
67,107.0,107.16666666666667,100
64,107.16666666666667,107.33333333333333,100
66,107.33333333333333,107.5,100
62,107.5,107.66666666666667,100
64,107.66666666666667,107.83333333333333,100
66,107.83333333333333,108.0,100
40,108.0,108.16666666666667,100
40,108.16666666666667,108.33333333333333,100
40,108.33333333333333,108.5,100
55,108.5,109.0,100
43,108.5,109.0,100
50,108.5,109.0,100
40,109.0,109.16666666666667,100
40,109.16666666666667,109.33333333333333,100
40,109.33333333333333,109.5,100
52,109.5,110.0,100
45,109.5,110.0,100
57,109.5,110.0,100
40,110.0,110.16666666666667,100
40,110.16666666666667,110.33333333333333,100
40,110.33333333333333,110.5,100
55,110.5,111.0,100
43,110.5,111.0,100
50,110.5,111.0,100
58,111.0,111.5,100
53,111.0,111.5,100
46,111.0,111.5,100
54,111.5,112.0,100
49,111.5,112.0,100
42,111.5,112.0,100
40,112.0,112.16666666666667,100
40,112.16666666666667,112.33333333333333,100
40,112.33333333333333,112.5,100
55,112.5,113.0,100
43,112.5,113.0,100
50,112.5,113.0,100
40,113.0,113.16666666666667,100
40,113.16666666666667,113.33333333333333,100
40,113.33333333333333,113.5,100
52,113.5,114.0,100
45,113.5,114.0,100
57,113.5,114.0,100
40,114.0,114.16666666666667,100
40,114.16666666666667,114.33333333333333,100
40,114.33333333333333,114.5,100
43,114.5,114.66666666666667,100
50,114.5,114.66666666666667,100
55,114.5,114.66666666666667,100
40,114.66666666666667,114.83333333333333,100
40,114.83333333333333,115.0,100
58,115.0,115.33333333333333,100
53,115.0,115.33333333333333,100
46,115.0,115.33333333333333,100
42,115.33333333333333,115.66666666666667,100
49,115.33333333333333,115.66666666666667,100
54,115.33333333333333,115.66666666666667,100
53,115.66666666666667,116.0,100
48,115.66666666666667,116.0,100
41,115.66666666666667,116.0,100
40,116.0,116.16666666666667,100
40,116.16666666666667,116.33333333333333,100
40,116.33333333333333,116.5,100
55,116.5,117.0,100
43,116.5,117.0,100
50,116.5,117.0,100
40,117.0,117.16666666666667,100
40,117.16666666666667,117.33333333333333,100
40,117.33333333333333,117.5,100
52,117.5,118.0,100
45,117.5,118.0,100
57,117.5,118.0,100
40,118.0,118.16666666666667,100
40,118.16666666666667,118.33333333333333,100
40,118.33333333333333,118.5,100
55,118.5,119.0,100
43,118.5,119.0,100
50,118.5,119.0,100
58,119.0,119.5,100
53,119.0,119.5,100
46,119.0,119.5,100
54,119.5,120.0,100
49,119.5,120.0,100
42,119.5,120.0,100
40,120.0,120.16666666666667,100
40,120.16666666666667,120.33333333333333,100
40,120.33333333333333,120.5,100
55,120.5,121.0,100
43,120.5,121.0,100
50,120.5,121.0,100
40,121.0,121.16666666666667,100
40,121.16666666666667,121.33333333333333,100
40,121.33333333333333,121.5,100
52,121.5,122.0,100
45,121.5,122.0,100
57,121.5,122.0,100
40,122.0,122.16666666666667,100
40,122.16666666666667,122.33333333333333,100
40,122.33333333333333,122.5,100
43,122.5,122.66666666666667,100
50,122.5,122.66666666666667,100
55,122.5,122.66666666666667,100
40,122.66666666666667,122.83333333333333,100
40,122.83333333333333,123.0,100
58,123.0,123.33333333333333,100
53,123.0,123.33333333333333,100
46,123.0,123.33333333333333,100
42,123.33333333333333,123.66666666666667,100
49,123.33333333333333,123.66666666666667,100
54,123.33333333333333,123.66666666666667,100
53,123.66666666666667,124.0,100
48,123.66666666666667,124.0,100
41,123.66666666666667,124.0,100
67,124.0,124.16666666666667,100
64,124.16666666666667,124.33333333333333,100
66,124.33333333333333,124.5,100
62,124.5,124.66666666666667,100
64,124.66666666666667,124.83333333333333,100
66,124.83333333333333,125.0,100
67,125.0,125.16666666666667,100
64,125.16666666666667,125.33333333333333,100
66,125.33333333333333,125.5,100
62,125.5,125.66666666666667,100
64,125.66666666666667,125.83333333333333,100
66,125.83333333333333,126.0,100
67,126.0,126.16666666666667,100
64,126.16666666666667,126.33333333333333,100
66,126.33333333333333,126.5,100
62,126.5,126.66666666666667,100
64,126.66666666666667,126.83333333333333,100
66,126.83333333333333,127.0,100
67,127.0,127.16666666666667,100
64,127.16666666666667,127.33333333333333,100
66,127.33333333333333,127.5,100
62,127.5,127.66666666666667,100
64,127.66666666666667,127.83333333333333,100
66,127.83333333333333,128.0,100
67,128.0,128.16666666666666,100
64,128.16666666666666,128.33333333333334,100
66,128.33333333333334,128.5,100
62,128.5,128.66666666666666,100
64,128.66666666666666,128.83333333333334,100
66,128.83333333333334,129.0,100
67,129.0,129.16666666666666,100
64,129.16666666666666,129.33333333333334,100
66,129.33333333333334,129.5,100
62,129.5,129.66666666666666,100
64,129.66666666666666,129.83333333333334,100
66,129.83333333333334,130.0,100
67,130.0,130.16666666666666,100
64,130.16666666666666,130.33333333333334,100
66,130.33333333333334,130.5,100
62,130.5,130.66666666666666,100
64,130.66666666666666,130.83333333333334,100
66,130.83333333333334,131.0,100
67,131.0,131.16666666666666,100
64,131.16666666666666,131.33333333333334,100
66,131.33333333333334,131.5,100
62,131.5,131.66666666666666,100
64,131.66666666666666,131.83333333333334,100
66,131.83333333333334,132.0,100
67,132.0,132.16666666666666,100
64,132.16666666666666,132.33333333333334,100
66,132.33333333333334,132.5,100
62,132.5,132.66666666666666,100
64,132.66666666666666,132.83333333333334,100
66,132.83333333333334,133.0,100
67,133.0,133.16666666666666,100
64,133.16666666666666,133.33333333333334,100
