0.0
72.00002880001152
Note,Start,End,Volume
60,6.675344552083333,6.983504151041666,85
67,6.675344552083333,7.061629119791666,85
64,6.675344552083333,7.065969395833333,77
60,7.092011052083333,7.222219333333333,54
67,7.508677552083333,7.894962119791666,85
64,7.508677552083333,7.907982947916667,93
60,7.925344052083333,8.064232885416667,68
48,6.675344552083333,8.094614817708333,89
59,8.342010552083332,8.67187153125,77
67,8.342010552083332,8.763017328124999,77
64,8.342010552083332,8.763017328124999,81
59,8.758677052083334,8.880204781249999,59
67,9.175343552083334,9.574648947916666,77
64,9.175343552083334,9.578989223958333,85
47,8.342010552083332,9.631072536458333,93
59,9.592010052083333,9.674475296875,65
57,10.008676552083333,10.308155598958333,73
60,10.008676552083333,10.455724984375,89
64,10.008676552083333,10.477426364583334,81
57,10.425343052083333,10.551211057291667,62
64,10.842009552083333,11.206592739583332,81
60,10.842009552083333,11.232634395833333,85
45,10.008676552083333,11.241314947916665,73
57,11.258676052083333,11.354162125,62
55,11.675342552083332,11.979161874999999,73
60,11.675342552083332,12.074647947916667,81
64,11.675342552083332,12.078988223958333,85
55,12.092009052083332,12.191835401041667,65
60,12.508675552083332,12.8645781875,93
64,12.508675552083332,12.877599015625,89
55,12.925342052083332,12.986105916666666,59
43,11.675342552083332,12.986105916666666,77
60,13.342008552083332,13.697911187499999,77
69,13.342008552083332,13.780376432291666,77
65,13.342008552083332,13.789056984375,85
60,13.758675052083333,13.901904161458333,52
65,14.175341552083333,14.535584463541666,77
69,14.175341552083333,14.578987223958332,77
41,13.342008552083332,14.670133020833333,81
60,14.592008052083333,14.752598265625,65
69,15.008674552083333,15.429681328125,77
64,15.008674552083333,15.442702156249998,85
60,15.425341052083333,15.62499375,68
69,15.842007552083333,16.245653223958332,70
40,15.008674552083333,16.2499935,77
64,15.842007552083333,16.258674052083332,85
60,16.258674052083332,16.315097640624998,70
57,16.675340552083334,16.970479322916667,59
62,16.675340552083334,17.100687604166666,77
65,16.675340552083334,17.118048708333333,81
57,17.092007052083332,17.278638921875,29
62,17.508673552083334,17.89061784375,85
65,17.508673552083334,17.907978947916664,89
38,16.675340552083334,17.951381708333333,81
57,17.92534005208333,18.111971921875,54
65,18.342006552083333,18.763013328125,85
60,18.342006552083333,18.763013328125,81
57,18.75867305208333,18.919263265625,59
60,19.175339552083333,19.565964395833333,85
65,19.175339552083333,19.59200605208333,89
36,18.342006552083333,19.600686604166665,81
