0.0
134.00005806669182
Note,Start,End,Volume
38,22.83114682291667,22.859131885416666,119
49,23.288236177083334,23.316221239583335,105
36,23.288236177083334,23.316221239583335,119
42,23.72666882291667,23.754653885416666,65
38,23.731333,23.7593180625,118
42,23.96454185416667,23.992526916666666,41
42,24.174429822916668,24.20241488541667,70
36,24.183758177083334,24.211743239583335,108
42,24.398310322916668,24.42629538541667,55
42,24.617526645833333,24.645511708333334,70
38,24.626855,24.6548400625,116
42,24.846071322916668,24.87405638541667,50
42,25.069951822916668,25.09793688541667,50
36,25.079280177083334,25.107265239583334,110
42,25.303160677083333,25.331145739583334,43
38,25.517712822916668,25.54569788541667,116
42,25.522377000000002,25.5503620625,60
42,25.746257500000002,25.7742425625,51
42,25.965473822916668,25.99345888541667,60
36,25.970138000000002,25.9981230625,112
42,26.194018500000002,26.2220035625,51
36,26.203346854166668,26.23133191666667,116
42,26.413234822916667,26.44121988541667,67
38,26.417899000000002,26.4458840625,116
42,26.641779500000002,26.6697645625,63
36,26.651107854166668,26.67909291666667,106
42,26.870324177083333,26.898309239583334,73
36,26.874988354166668,26.90297341666667,108
42,27.094204677083333,27.122189739583334,55
38,27.308756822916667,27.336741885416668,117
42,27.318085177083333,27.346070239583334,71
42,27.5373015,27.5652865625,55
36,27.751853645833332,27.779838708333333,108
42,27.756517822916667,27.784502885416668,69
42,27.975734145833332,28.003719208333333,53
42,28.199614645833336,28.227599708333333,65
38,28.204278822916667,28.232263885416668,119
42,28.428159322916667,28.456144385416668,56
42,28.652039822916667,28.680024885416668,64
36,28.661368177083332,28.689353239583333,106
42,28.875920322916667,28.903905385416667,46
42,29.099800822916666,29.127785885416667,69
38,29.104465,29.132450062500002,117
42,29.319017145833335,29.347002208333333,53
42,29.547561822916666,29.575546885416667,63
36,29.556890177083336,29.584875239583333,106
42,29.780770677083336,29.808755739583333,59
36,29.780770677083336,29.808755739583333,101
38,30.004651177083336,30.032636239583333,117
42,30.004651177083336,30.032636239583333,69
42,30.2238675,30.2518525625,58
36,30.228531677083335,30.256516739583333,101
42,30.447748,30.4757330625,62
36,30.452412177083335,30.480397239583333,108
42,30.666964322916666,30.694949385416667,59
38,30.890844822916666,30.918829885416667,115
42,30.900173177083335,30.928158239583333,70
42,31.124053677083335,31.152038739583332,65
36,31.333941645833335,31.361926708333336,101
42,31.338605822916666,31.366590885416667,60
42,31.562486322916666,31.590471385416667,59
42,31.781702645833334,31.809687708333335,65
38,31.786366822916666,31.814351885416666,116
42,32.005583145833334,32.033568208333335,62
42,32.229463645833334,32.257448708333335,64
36,32.229463645833334,32.257448708333335,110
42,32.453344145833334,32.481329208333335,59
42,32.677224645833334,32.705209708333335,67
38,32.68188882291667,32.70987388541667,115
42,32.901105145833334,32.929090208333335,57
42,33.12032146875,33.14830653125,59
36,33.124985645833334,33.152970708333335,108
42,33.348866145833334,33.376851208333335,57
36,33.35353032291667,33.38151538541667,106
42,33.572746645833334,33.600731708333335,66
38,33.57741082291667,33.60539588541667,115
42,33.796627145833334,33.824612208333335,59
36,33.80129132291667,33.82927638541667,103
42,34.01584346875,34.04382853125,59
36,34.029836,34.057821062500004,106
42,34.23972396875,34.26770903125,58
42,34.46360446875,34.49158953125,63
38,34.477597,34.505582062500004,114
42,34.68748496875,34.71547003125,57
42,34.91136546875,34.93935053125,59
36,34.92069382291667,34.94867888541667,106
42,35.13991014583333,35.167895208333334,58
42,35.36379064583333,35.391775708333334,64
38,35.373119,35.4011040625,115
42,35.58767114583333,35.615656208333334,54
42,35.81621582291667,35.84420088541667,66
36,35.82088,35.8488650625,106
42,36.04009632291667,36.06808138541667,53
42,36.26397682291667,36.29196188541667,67
38,36.27330517708334,36.30129023958333,112
42,36.4925215,36.5205065625,57
42,36.71173782291667,36.73972288541667,66
36,36.71173782291667,36.73972288541667,103
36,36.9402825,36.9682675625,106
42,36.94494667708334,36.97293173958334,57
38,37.16882717708334,37.19681223958334,114
42,37.16882717708334,37.19681223958334,69
42,37.39270767708334,37.42069273958334,62
36,37.39270767708334,37.42069273958334,98
42,37.61658817708334,37.64457323958334,60
36,37.61658817708334,37.64457323958334,106
42,37.845132854166664,37.873117916666665,55
38,38.05502082291667,38.08300588541667,115
42,38.069013354166664,38.096998416666665,73
42,38.29289385416667,38.320878916666665,63
36,38.512110177083336,38.54009523958334,103
42,38.51677435416667,38.544759416666665,65
42,38.74065485416667,38.768639916666665,62
38,38.955207,38.9831920625,114
42,38.96453535416667,38.992520416666665,67
42,39.18841585416667,39.216400916666665,59
36,39.407632177083336,39.43561723958334,104
42,39.41229635416667,39.440281416666664,66
42,39.631512677083336,39.65949773958334,59
38,39.84606482291667,39.87404988541667,113
42,39.855393177083336,39.88337823958334,66
42,40.0746095,40.1025945625,58
42,40.293825822916666,40.32181088541667,59
36,40.293825822916666,40.32181088541667,108
42,40.51304214583333,40.54102720833333,52
36,40.527034677083336,40.55501973958334,108
42,40.73692264583333,40.76490770833333,63
38,40.741586822916666,40.76957188541667,113
42,40.96080314583333,40.98878820833333,59
36,40.965467322916666,40.99345238541667,90
42,41.18468364583333,41.21266870833333,60
36,41.194012,41.2219970625,114
42,41.40856414583333,41.43654920833333,59
42,41.637108822916666,41.66509388541667,63
38,41.646437177083335,41.674422239583336,112
42,41.860989322916666,41.88897438541667,59
42,42.084869822916666,42.11285488541667,64
36,42.084869822916666,42.11285488541667,103
42,42.308750322916666,42.33673538541667,59
42,42.52796664583333,42.55595170833333,67
38,42.537295,42.5652800625,112
42,42.756511322916666,42.784496385416666,56
42,42.97572764583333,43.00371270833333,66
36,42.980391822916665,43.008376885416666,106
42,43.204272322916665,43.232257385416666,59
38,43.428152822916665,43.456137885416666,112
42,43.428152822916665,43.456137885416666,63
42,43.652033322916665,43.680018385416666,62
42,43.875913822916665,43.903898885416666,59
36,43.875913822916665,43.903898885416666,103
42,44.09513014583334,44.12311520833333,53
36,44.099794322916665,44.127779385416666,104
42,44.31901064583334,44.34699570833333,62
38,44.333003177083334,44.360988239583335,114
42,44.53822696875,44.566212031250004,54
36,44.547555322916665,44.575540385416666,90
42,44.76210746875,44.790092531250004,60
36,44.7761,44.8040850625,106
42,44.99065214583334,45.01863720833333,59
42,45.20986846875,45.23785353125,59
38,45.228525177083334,45.256510239583335,112
42,45.43841314583334,45.46639820833333,55
42,45.66229364583334,45.69027870833333,59
36,45.666957822916665,45.694942885416665,100
42,45.890838322916665,45.918823385416665,58
36,45.900166677083334,45.928151739583335,103
42,46.11005464583334,46.13803970833334,59
38,46.114718822916664,46.142703885416665,112
42,46.33393514583334,46.36192020833334,58
36,46.338599322916664,46.366584385416665,104
42,46.55315146875,46.58113653125,54
36,46.567144,46.5951290625,108
42,46.78169614583334,46.80968120833334,54
42,47.00557664583334,47.03356170833334,59
38,47.010240822916664,47.038225885416665,111
42,47.23412132291667,47.262106385416665,58
42,47.45333764583334,47.48132270833334,60
36,47.45800182291667,47.485986885416665,104
42,47.68188232291667,47.709867385416665,59
36,47.69121067708333,47.719195739583334,106
38,47.90576282291667,47.933747885416665,112
42,47.90576282291667,47.933747885416665,62
42,48.12964332291667,48.157628385416665,59
36,48.12964332291667,48.157628385416665,93
42,48.35352382291667,48.381508885416665,62
36,48.36285217708333,48.390837239583334,108
