0.0
76.99997818333954
Note,Start,End,Volume
63,32.72728199999999,34.23377593333333,108
65,34.285723999999995,34.967542374999994,86
67,35.064944999999994,35.779230916666656,86
65,35.844165999999994,38.798712291666654,92
74,41.29871299999999,42.01299891666665,95
70,42.07793399999999,45.06494783333332,108
70,45.19481799999999,46.68832491666665,95
72,46.75325999999999,47.46754591666665,80
74,47.53248099999999,48.32468901666665,80
70,48.31170199999999,51.34417039166665,99
72,51.42858599999999,53.00001501666665,86
74,52.98702799999999,53.74676847499999,83
75,53.76624899999999,54.136378974999985,95
74,54.155859499999984,54.52598947499999,75
72,54.54546999999999,57.370146124999984,103
75,57.662353999999986,60.16235470833332,116
67,60.38962749999998,60.746770458333316,103
65,60.779237999999985,63.79871937499998,92
70,96.62340399999998,98.11691091666664,95
72,98.18184599999998,98.89613191666665,80
74,98.96106699999997,99.75327501666663,80
70,99.74028799999998,102.77275639166665,99
72,102.85717199999998,104.42860101666665,86
74,104.41561399999998,105.17535447499998,83
75,105.19483499999997,105.56496497499997,95
74,105.58444549999997,105.95457547499997,75
72,105.97405599999998,108.79873212499997,103
75,109.09093999999997,111.5909407083333,116
67,111.81821349999997,112.17535645833331,103
65,112.20782399999997,115.22730537499997,92
53,142.59744299999997,142.7597807083333,116
55,142.98705349999997,143.31172891666662,109
58,143.37666399999998,144.90263845833329,116
62,144.93510599999996,145.40263859999996,108
62,145.51952174999997,145.69484647499996,99
60,145.71432699999997,145.88965172499996,99
58,145.90913224999997,146.0714699583333,80
55,146.10393749999997,146.4415999333333,124
60,146.49354799999998,148.18186016666664,103
60,148.44160049999996,148.7013408333333,99
62,148.63640574999997,148.84419801666664,70
60,148.83121099999997,149.02601624999997,103
58,149.02601624999997,149.20134097499997,116
55,149.22082149999997,149.51302937499997,99
60,149.61043199999997,151.13640645833328,108
58,151.16887399999996,151.34419872499996,118
60,151.36367924999996,151.57147151666663,86
58,151.55848449999996,151.83121184999996,93
53,151.94809499999997,152.1104327083333,113
55,152.14290024999997,152.33770549999997,82
53,152.33770549999997,152.62991337499997,96
50,152.72731599999997,158.68186314166664,99
53,152.72731599999997,158.68186314166664,85
70,158.96108399999997,160.45459091666663,95
72,160.51952599999996,161.23381191666664,80
74,161.29874699999996,162.0909550166666,80
70,162.07796799999997,165.11043639166664,99
72,165.19485199999997,166.76628101666662,86
74,166.75329399999995,167.51303447499996,83
75,167.53251499999996,167.90264497499996,95
74,167.92212549999996,168.29225547499996,75
72,168.31173599999997,171.13641212499996,103
75,171.42861999999997,173.92862070833328,116
67,174.15589349999996,174.5130364583333,103
65,174.54550399999997,177.56498537499996,92
