0.0
76.99997818333954
Note,Start,End,Volume
62,3.1168839999999993,3.9610400833333324,92
70,3.1168839999999993,3.993507624999999,92
65,3.1168839999999993,4.006494641666666,86
53,3.506494499999999,4.590910391666665,70
58,3.896104999999999,4.675325999999999,72
46,3.1168839999999993,4.720780558333332,108
46,5.064936499999999,5.629871724999998,95
53,5.259741749999999,5.746754874999999,89
70,5.844157499999999,6.0844173083333315,103
74,5.454546999999999,6.149352391666665,103
67,6.038962749999999,6.7207811249999985,86
72,6.233767999999999,6.753248666666665,108
63,7.402599499999998,7.610391766666665,108
51,6.6233784999999985,7.837664558333332,75
55,7.012988999999998,7.935067183333332,57
60,7.597404749999998,8.344158208333331,80
55,8.181820499999997,8.668833624999998,70
48,6.233767999999999,8.733768708333331,95
51,8.571430999999999,8.779223266666664,63
67,7.792209999999998,8.831171333333332,83
60,8.766236249999999,9.006496058333331,108
62,8.961041499999999,9.29870393333333,95
39,9.350651999999998,9.720781974999998,103
51,9.740262499999998,9.90260020833333,63
63,9.350651999999998,9.980522308333331,103
63,10.129872999999998,10.324678249999998,83
67,10.129872999999998,10.435067891666664,70
58,10.714288749999998,11.688314999999998,63
67,11.298704499999998,11.720782541666663,99
51,10.519483499999998,11.961042349999998,92
55,11.103899249999998,12.110393041666663,80
75,11.688314999999998,12.305198291666663,108
67,12.077925499999997,12.480523016666664,78
41,12.467535999999997,13.21428945833333,103
53,12.857146499999997,13.38961418333333,61
53,14.025977999999997,14.07143255833333,75
65,13.636367499999997,14.07143255833333,78
69,13.246756999999997,14.09091308333333,78
72,13.246756999999997,14.155848166666663,72
77,14.785718474999996,14.85065355833333,99
79,14.837666541666662,15.162341958333329,95
77,15.194809499999996,15.45454983333333,99
74,15.584419999999996,15.92208243333333,103
72,15.974030499999996,16.344160474999995,108
53,14.415588499999997,16.344160474999995,75
58,14.025977999999997,16.40909555833333,86
46,14.025977999999997,16.655848874999997,103
70,16.363640999999994,16.76623851666666,103
67,16.753251499999998,17.025978849999994,92
53,17.142861999999997,19.331174308333328,89
58,17.142861999999997,19.383122374999996,89
62,17.142861999999997,19.480524999999997,99
65,17.142861999999997,19.49351201666666,99
46,17.142861999999997,19.512992541666662,78
70,20.259745999999996,20.987018933333328,89
62,20.259745999999996,21.038966999999996,89
65,20.259745999999996,21.07143454166666,89
53,20.649356499999996,21.798707474999993,72
65,21.428577499999996,21.818187999999996,89
58,21.038966999999996,21.896110099999994,70
46,20.259745999999996,21.915590624999993,86
74,21.818187999999996,22.383123224999995,89
58,22.402603749999994,22.662344083333327,83
46,22.207798499999996,22.889616874999994,89
70,22.987019499999995,23.733772958333326,99
74,22.597408999999995,23.733772958333326,89
65,23.376629999999995,23.811695058333328,86
65,24.155850999999995,24.610396583333326,70
62,24.545461499999995,24.935071999999995,75
70,24.935071999999995,25.43507214166666,86
53,23.766240499999995,25.662344933333326,65
58,25.324682499999994,25.759747558333327,53
46,23.376629999999995,25.811695624999995,89
70,25.714292999999994,26.01948789166666,89
65,25.909098249999992,26.084422974999992,75
62,26.103903499999994,26.571436099999993,92
63,27.272734999999994,27.59741041666666,95
55,26.883124499999994,28.06494301666666,46
60,27.662345499999994,28.37663141666666,63
67,28.051955999999993,28.487021058333326,80
51,28.831176999999993,29.03896926666666,65
55,28.441566499999993,29.13637189166666,48
48,26.493513999999994,29.13637189166666,80
67,29.220787499999993,29.428579766666658,75
72,29.610397999999993,30.01299551666666,86
63,29.41559274999999,30.064943583333324,78
63,30.779229499999992,30.954554224999992,80
51,30.000008499999993,31.149359474999994,59
55,30.389618999999993,31.233775083333324,53
60,30.97403474999999,31.73377522499999,61
55,31.558450499999992,32.11039870833333,50
48,29.610397999999993,32.22078834999999,78
60,31.948060999999992,32.33767149999999,83
62,32.33767149999999,32.66234691666666,80
67,31.168839999999992,32.74026901666666,75
67,32.72728199999999,32.74026901666666,83
39,32.72728199999999,33.129879516666655,99
51,33.11689249999999,33.259749683333325,45
63,32.72728199999999,33.64936018333332,95
58,34.285723999999995,35.012996933333326,72
51,33.89611349999999,35.19481516666666,86
55,34.67533449999999,35.25975024999999,45
75,35.064944999999994,35.40260743333332,86
70,35.064944999999994,35.43507497499999,89
67,35.45455549999999,35.681828291666655,92
65,35.844165999999994,36.50650384999999,92
69,35.844165999999994,36.52598437499999,86
72,36.623386999999994,36.96104943333332,63
69,36.623386999999994,36.99351697499999,68
65,37.01299749999999,37.337672916666655,46
60,37.01299749999999,37.53247816666666,38
75,37.402607999999994,37.72728341666666,95
65,37.79221849999999,38.08442637499999,70
57,36.23377649999999,38.149361458333324,75
53,35.844165999999994,38.246764083333325,80
72,38.18182899999999,38.37663424999999,75
65,39.74027099999999,40.11040097499999,61
62,40.12988149999999,40.30520622499999,72
46,38.96104999999999,40.72728426666666,92
58,39.35066049999999,40.746764791666656,57
70,40.51949199999999,41.10390774999999,103
46,40.90910249999999,41.363648083333324,70
72,41.29871299999999,41.655855958333326,75
70,42.07793399999999,42.61040168333332,99
74,41.68832349999999,42.61040168333332,70
65,41.88312874999999,42.69481729166666,48
58,43.24676549999999,43.94157089166666,57
53,42.46754449999999,44.00650597499999,59
65,43.63637599999999,44.09092158333332,50
46,42.07793399999999,44.20131122499999,86
62,44.02598649999999,44.88312959999999,50
65,45.19481799999999,45.64936358333332,75
62,45.19481799999999,45.66235059999999,57
70,45.19481799999999,45.75975322499999,75
58,45.58442849999999,46.34416897499999,68
72,46.75325999999999,46.948065249999985,92
67,46.75325999999999,47.48053293333332,83
74,46.948065249999985,47.57793555833332,78
62,46.36364949999999,47.889623958333324,46
53,45.19481799999999,47.954559041666656,53
58,46.75325999999999,48.03248114166666,75
72,47.922091499999986,48.09741622499999,108
70,48.11689674999999,48.29222147499999,116
72,48.31170199999999,48.506507249999984,65
62,49.480533499999986,50.259754499999985,32
74,48.31170199999999,50.292222041666655,75
53,48.31170199999999,50.324689583333324,78
58,48.701312499999986,50.357157124999986,75
63,51.42858599999999,51.948066666666655,78
60,51.42858599999999,51.948066666666655,65
67,51.42858599999999,52.05845630833332,72
55,51.818196499999985,52.40261224999999,42
74,52.98702799999999,53.09741764166665,92
75,52.98702799999999,53.259755349999985,72
74,53.376638499999984,53.64936584999999,78
79,52.98702799999999,53.64936584999999,83
74,53.76624899999999,54.038976349999984,103
79,53.76624899999999,54.071443891666654,92
72,54.155859499999984,54.33118422499999,83
79,54.155859499999984,54.49352193333332,70
75,54.54546999999999,54.55845701666665,103
74,54.54546999999999,54.61040508333332,103
79,54.54546999999999,56.038976916666655,103
48,51.42858599999999,56.038976916666655,65
75,54.74027524999999,56.08443147499999,95
65,59.025990749999984,59.13638039166665,95
67,59.220795999999986,59.52599089166665,116
75,59.220795999999986,59.57793895833332,108
67,59.61040649999998,59.91560139166665,99
75,59.61040649999998,59.94806893333332,108
58,57.662353999999986,60.11040664166665,70
67,60.000016999999986,60.24027680833332,92
75,60.000016999999986,60.25975733333332,95
51,57.662353999999986,60.32469241666665,83
75,60.38962749999998,60.629887308333316,95
67,60.38962749999998,60.69482239166665,86
60,61.16884849999998,62.090926683333315,48
53,60.779237999999985,62.88962820833332,75
69,60.779237999999985,62.88962820833332,99
72,60.779237999999985,62.95456329166665,99
65,63.50651149999998,63.844173933333316,86
69,63.50651149999998,63.863654458333315,95
46,63.896121999999984,64.36365459999999,92
58,64.28573249999998,64.55845984999998,63
70,63.896121999999984,65.00001841666665,89
65,63.896121999999984,65.22729120833331,78
58,65.06495349999999,66.11690184999998,80
62,65.64936924999998,66.14936939166665,26
53,66.23378499999998,66.27923955833332,28
46,67.01300599999999,67.41560351666665,83
62,67.01300599999999,67.56495420833332,50
70,67.01300599999999,67.57794122499999,72
65,67.01300599999999,67.59742174999998,83
62,68.76625324999998,68.92859095833332,35
70,68.96105849999998,69.09092866666666,116
74,68.96105849999998,69.10391568333331,95
70,69.15586374999998,69.22079883333332,92
65,68.96105849999998,69.26625339166665,86
74,69.15586374999998,69.26625339166665,70
62,69.35066899999998,69.57794179166665,28
70,69.54547424999998,69.62339634999998,103
65,69.54547424999998,69.64287687499998,75
74,69.54547424999998,69.64287687499998,80
58,68.57144799999999,69.74027949999999,61
53,68.18183749999999,69.85066914166664,43
