0.0
76.99997818333954
Note,Start,End,Volume
46,3.1168839999999993,5.629871724999998,52
65,3.1168839999999993,5.727274349999998,22
58,3.1168839999999993,5.876625041666665,41
62,3.1168839999999993,6.051949766666665,31
53,3.1168839999999993,6.168832916666665,43
70,3.1168839999999993,6.266235541666665,41
51,6.233767999999999,6.538962891666665,1
48,5.844157499999999,8.389612766666664,13
51,7.012988999999998,8.668833624999998,38
72,6.233767999999999,9.201301308333331,43
55,6.233767999999999,9.201301308333331,41
58,9.350651999999998,12.14286058333333,38
63,6.233767999999999,12.272730749999997,52
70,9.350651999999998,12.43506845833333,49
67,6.233767999999999,12.610393183333331,9
51,9.350651999999998,12.694808791666663,5
57,12.467535999999997,13.99351045833333,35
48,12.467535999999997,14.006497474999996,31
53,12.467535999999997,14.058445541666662,3
53,14.025977999999997,14.058445541666662,31
69,12.467535999999997,14.09091308333333,20
62,14.025977999999997,19.91559005833333,55
58,14.025977999999997,19.935070583333328,71
65,12.467535999999997,20.175330391666662,43
58,20.259745999999996,25.467539683333328,24
53,20.259745999999996,26.03896841666666,33
62,20.259745999999996,26.246760683333328,13
65,20.259745999999996,26.441565933333326,26
48,26.493513999999994,32.04546362499999,1
55,26.493513999999994,32.350658516666655,1
60,26.493513999999994,32.88961970833333,35
51,32.72728199999999,35.27273726666666,41
58,32.72728199999999,35.29221779166666,41
55,32.72728199999999,35.53247759999999,1
67,26.493513999999994,35.779230916666656,16
63,26.493513999999994,35.94156862499999,1
48,35.844165999999994,38.19481601666666,1
53,35.844165999999994,38.35715372499999,1
57,35.844165999999994,38.38962126666666,11
60,35.844165999999994,38.58442651666666,28
69,35.844165999999994,38.84416684999999,1
53,38.96104999999999,44.12338912499999,6
50,38.96104999999999,44.25325929166666,1
58,38.96104999999999,44.493519099999986,33
62,38.96104999999999,44.525986641666655,1
65,35.844165999999994,44.65585680833332,8
70,38.96104999999999,45.324688166666654,62
65,45.19481799999999,46.65585737499999,9
74,45.19481799999999,47.54546801666665,31
72,47.53248099999999,48.01949412499999,28
70,48.31170199999999,48.668844958333324,49
53,45.19481799999999,50.824689724999985,1
62,45.19481799999999,51.20131320833332,5
58,45.19481799999999,51.27923530833332,22
74,48.31170199999999,51.52598862499999,43
54,51.42858599999999,52.045469291666656,6
72,51.42858599999999,53.68183339166665,38
74,53.76624899999999,54.59092455833332,41
75,54.54546999999999,56.89612001666665,55
77,56.88313299999999,57.61040593333332,33
55,51.42858599999999,59.29871809999999,20
63,51.42858599999999,60.032484541666655,41
79,57.662353999999986,60.811705541666655,41
72,60.779237999999985,62.402615083333316,20
77,60.779237999999985,62.44806964166665,16
60,51.42858599999999,63.73378429166665,6
75,62.337679999999985,63.766251833333314,33
69,62.337679999999985,63.79871937499998,6
58,63.896121999999984,66.39612270833332,22
62,63.896121999999984,66.40910972499998,28
53,60.779237999999985,66.63638251666664,13
70,63.896121999999984,66.86365530833332,18
74,63.896121999999984,66.98053845833331,33
65,67.01300599999999,68.35716222499998,49
70,67.01300599999999,68.48703239166665,52
74,67.01300599999999,69.51300670833332,52
62,67.01300599999999,69.85066914166664,31
58,67.01300599999999,70.06495491666665,49
77,69.35066899999998,70.24027964166665,71
75,70.12988999999999,72.37015037499998,71
72,70.12988999999999,73.11690383333331,49
77,72.46755299999998,73.32469609999998,46
60,70.12988999999999,73.37664416666665,26
63,70.12988999999999,75.98703451666665,28
58,73.24677399999999,76.31170993333332,52
79,73.24677399999999,76.33119045833331,49
75,73.24677399999999,76.40911255833332,58
62,76.36365799999999,79.29872376666664,43
58,76.36365799999999,79.33119130833332,35
77,76.36365799999999,79.38313937499998,46
70,79.48054199999999,81.24677626666664,66
62,79.48054199999999,82.46755583333331,24
77,81.81820499999998,82.54547793333332,62
58,79.48054199999999,82.54547793333332,46
74,76.36365799999999,82.61041301666664,62
75,82.59742599999998,85.45456966666664,55
60,82.59742599999998,85.6818424583333,2
63,82.59742599999998,87.25327147499998,52
70,85.71430999999998,87.88963529166665,66
79,82.59742599999998,88.66885629166664,41
58,85.71430999999998,88.74677839166664,46
75,85.71430999999998,88.77924593333331,62
60,88.83119399999998,90.06496058333332,35
53,88.83119399999998,90.27275284999997,41
72,88.83119399999998,90.29223337499998,38
77,88.83119399999998,90.3571684583333,52
62,90.38963599999998,95.5974296833333,38
70,90.38963599999998,95.64937774999997,58
58,90.38963599999998,95.68184529166665,43
74,90.38963599999998,95.84418299999997,52
65,96.62340399999998,98.08444337499998,9
74,96.62340399999998,98.97405401666664,31
72,98.96106699999997,99.44808012499998,28
70,99.74028799999998,100.0974309583333,49
53,96.62340399999998,102.25327572499998,1
62,96.62340399999998,102.62989920833331,5
58,96.62340399999998,102.70782130833331,22
74,99.74028799999998,102.95457462499998,43
54,102.85717199999998,103.47405529166664,6
72,102.85717199999998,105.11041939166664,38
74,105.19483499999997,106.01951055833331,41
75,105.97405599999998,108.32470601666664,55
77,108.31171899999997,109.0389919333333,33
55,102.85717199999998,110.72730409999997,20
63,102.85717199999998,111.46107054166664,41
79,109.09093999999997,112.24029154166664,41
72,112.20782399999997,113.8312010833333,20
77,112.20782399999997,113.87665564166664,16
60,102.85717199999998,115.16237029166663,6
75,113.76626599999997,115.19483783333331,33
69,113.76626599999997,115.22730537499997,6
58,115.32470799999997,117.8247087083333,22
62,115.32470799999997,117.83769572499997,28
53,112.20782399999997,118.06496851666664,13
70,115.32470799999997,118.2922413083333,18
74,115.32470799999997,118.40912445833331,33
65,118.44159199999997,119.78574822499996,49
70,118.44159199999997,119.91561839166664,52
74,118.44159199999997,120.9415927083333,52
62,118.44159199999997,121.27925514166664,31
58,118.44159199999997,121.49354091666663,49
77,120.77925499999996,121.66886564166664,71
75,121.55847599999997,123.79873637499996,71
72,121.55847599999997,124.5454898333333,49
77,123.89613899999996,124.75328209999996,46
60,121.55847599999997,124.80523016666663,26
63,121.55847599999997,127.41562051666664,28
58,124.67535999999997,127.7402959333333,52
79,124.67535999999997,127.7597764583333,49
75,124.67535999999997,127.8376985583333,58
62,127.79224399999997,130.72730976666662,43
58,127.79224399999997,130.7597773083333,35
77,127.79224399999997,130.81172537499998,46
70,130.90912799999995,132.67536226666664,66
62,130.90912799999995,133.8961418333333,24
77,133.24679099999997,133.9740639333333,62
58,130.90912799999995,133.9740639333333,46
74,127.79224399999997,134.03899901666662,62
75,134.02601199999998,136.88315566666662,55
60,134.02601199999998,137.1104284583333,2
63,134.02601199999998,138.68185747499996,52
70,137.14289599999998,139.31822129166662,66
79,134.02601199999998,140.09744229166662,41
58,137.14289599999998,140.17536439166662,46
75,137.14289599999998,140.2078319333333,62
60,140.25977999999998,141.5714686833333,24
65,140.25977999999998,141.65588429166664,26
69,140.25977999999998,141.6688713083333,41
72,140.25977999999998,141.70133884999996,28
53,140.25977999999998,141.72081937499996,33
58,141.81822199999996,143.08445612499997,46
62,141.81822199999996,143.2467938333333,38
65,141.81822199999996,143.29224839166662,43
70,141.81822199999996,143.3441964583333,62
62,143.37666399999998,146.18185959999997,28
58,143.37666399999998,146.31172976666662,31
70,143.37666399999998,146.39614537499997,55
65,143.37666399999998,146.47406747499997,33
74,143.37666399999998,146.60393764166662,38
74,148.83121099999997,149.62341901666662,38
72,146.49354799999998,149.62341901666662,38
60,146.49354799999998,149.68835409999997,24
63,146.49354799999998,150.9221206833333,31
75,149.61043199999997,151.1169259333333,79
58,149.61043199999997,151.24679609999995,58
53,151.16887399999996,152.66238091666662,43
77,151.16887399999996,155.95458964166662,41
62,152.72731599999997,158.45459034999996,24
58,152.72731599999997,158.7143306833333,38
70,155.84419999999997,158.7338112083333,11
74,152.72731599999997,158.76627874999997,43
65,158.96108399999997,160.42212337499996,9
74,158.96108399999997,161.31173401666663,31
72,161.29874699999996,161.78576012499997,28
70,162.07796799999997,162.4351109583333,49
53,158.96108399999997,164.59095572499996,1
62,158.96108399999997,164.9675792083333,5
58,158.96108399999997,165.0455013083333,22
74,162.07796799999997,165.29225462499997,43
54,165.19485199999997,165.81173529166662,6
72,165.19485199999997,167.44809939166663,38
74,167.53251499999996,168.3571905583333,41
75,168.31173599999997,170.66238601666663,55
77,170.64939899999996,171.37667193333328,33
55,165.19485199999997,173.06498409999995,20
63,165.19485199999997,173.79875054166664,41
79,171.42861999999997,174.5779715416666,41
72,174.54550399999997,176.16888108333328,20
77,174.54550399999997,176.21433564166662,16
60,165.19485199999997,177.5000502916666,6
75,176.10394599999995,177.5325178333333,33
69,176.10394599999995,177.56498537499996,6
58,177.66238799999996,180.16238870833328,22
62,177.66238799999996,180.17537572499995,28
53,174.54550399999997,180.40264851666663,13
70,177.66238799999996,180.62992130833328,18
