0.0
120.0
Note,Start,End,Volume
71,4.25,4.5,64
71,4.5,4.75,64
71,4.75,5.0,64
71,5.0,5.5,64
69,5.5,5.75,64
68,5.75,6.0,64
69,6.0,6.25,64
71,6.25,6.75,64
73,6.75,7.5,64
68,8.5,8.625,64
68,8.625,8.75,64
68,8.75,9.5,64
68,10.25,10.5,64
68,10.5,10.75,64
68,10.75,11.0,64
68,11.0,11.25,64
66,11.25,11.5,64
66,11.5,12.0,64
71,12.5,12.75,64
71,12.75,13.0,64
71,13.0,13.5,64
69,13.5,13.75,64
68,13.75,14.0,64
69,14.0,14.25,64
71,14.25,14.75,64
73,14.75,15.5,64
68,16.25,16.5,64
68,16.5,16.625,64
68,16.625,16.75,64
68,16.75,17.5,64
68,18.25,18.5,64
68,18.5,18.75,64
68,18.75,19.0,64
68,19.0,19.25,64
69,19.25,19.5,64
66,19.5,20.0,64
71,20.5,20.75,64
71,20.75,21.0,64
71,21.0,21.5,64
69,21.5,21.75,64
68,21.75,22.0,64
69,22.0,22.25,64
71,22.25,22.75,64
73,22.75,23.5,64
68,24.5,24.625,64
68,24.625,24.75,64
68,24.75,25.5,64
68,26.25,26.5,64
68,26.5,26.75,64
68,26.75,27.0,64
68,27.0,27.25,64
69,27.25,27.5,64
66,27.5,28.0,64
71,28.5,28.75,64
71,28.75,29.5,64
69,29.5,29.75,64
68,29.75,30.0,64
69,30.0,30.25,64
71,30.25,30.75,64
73,30.75,31.5,64
68,32.25,32.5,64
68,32.5,32.625,64
68,32.625,33.0,64
68,34.25,34.5,64
68,34.5,34.75,64
68,34.75,35.0,64
68,35.0,35.25,64
69,35.25,35.5,64
66,35.5,36.0,64
76,36.0,36.25,64
78,36.25,36.5,64
76,36.5,36.75,64
80,36.75,37.5,64
78,37.5,37.75,64
76,37.75,38.5,64
76,40.0,40.25,64
78,40.25,40.5,64
76,40.5,40.75,64
80,40.75,41.5,64
78,41.5,41.75,64
76,41.75,42.5,64
76,44.0,44.25,64
78,44.25,44.5,64
76,44.5,44.75,64
80,44.75,45.5,64
78,45.5,45.75,64
76,45.75,46.5,64
76,48.0,48.25,64
78,48.25,48.5,64
76,48.5,48.75,64
80,48.75,49.5,64
78,49.5,49.75,64
76,49.75,50.5,64
71,52.25,52.5,64
71,52.5,52.75,64
71,52.75,53.0,64
71,53.0,53.5,64
69,53.5,53.75,64
68,53.75,54.0,64
69,54.0,54.25,64
71,54.25,54.75,64
73,54.75,55.5,64
68,56.5,56.625,64
68,56.625,56.75,64
68,56.75,57.5,64
68,58.25,58.5,64
68,58.5,58.75,64
68,58.75,59.0,64
68,59.0,59.25,64
66,59.25,59.5,64
66,59.5,60.0,64
71,60.5,60.75,64
71,60.75,61.0,64
71,61.0,61.5,64
69,61.5,61.75,64
68,61.75,62.0,64
69,62.0,62.25,64
71,62.25,62.75,64
73,62.75,63.5,64
68,64.25,64.5,64
68,64.5,64.625,64
68,64.625,64.75,64
68,64.75,65.5,64
68,66.25,66.5,64
68,66.5,66.75,64
68,66.75,67.0,64
68,67.0,67.25,64
69,67.25,67.5,64
66,67.5,68.0,64
71,68.5,68.75,64
71,68.75,69.0,64
71,69.0,69.5,64
69,69.5,69.75,64
68,69.75,70.0,64
69,70.0,70.25,64
71,70.25,70.75,64
73,70.75,71.5,64
68,72.5,72.625,64
68,72.625,72.75,64
68,72.75,73.5,64
68,74.25,74.5,64
68,74.5,74.75,64
68,74.75,75.0,64
68,75.0,75.25,64
69,75.25,75.5,64
66,75.5,76.0,64
71,76.5,76.75,64
71,76.75,77.5,64
69,77.5,77.75,64
68,77.75,78.0,64
69,78.0,78.25,64
