0.0
120.0
Note,Start,End,Volume
37,0.0,0.5,84
37,1.0,1.5,84
37,2.0,2.5,64
37,2.5,3.0,84
37,3.0,3.5,64
37,3.5,4.0,84
51,4.0,4.125,90
36,4.0,4.125,90
38,4.0,4.125,90
42,4.0,4.125,50
42,4.25,4.375,80
42,4.5,4.625,80
38,4.5,4.625,100
42,4.75,4.875,50
36,4.75,4.875,80
42,5.0,5.125,50
36,5.0,5.125,90
42,5.25,5.375,80
42,5.5,5.625,80
38,5.5,5.625,100
42,5.75,5.875,50
42,6.0,6.125,50
36,6.0,6.125,90
42,6.25,6.375,80
42,6.5,6.625,80
38,6.5,6.625,100
42,6.75,6.875,50
36,6.75,6.875,80
42,7.0,7.125,50
36,7.0,7.125,100
42,7.25,7.375,90
36,7.25,7.375,90
42,7.5,7.625,80
38,7.5,7.625,100
42,7.75,7.875,50
36,7.75,7.875,80
42,8.0,8.125,50
36,8.0,8.125,90
42,8.25,8.375,80
36,8.25,8.375,90
42,8.5,8.625,80
38,8.5,8.625,100
42,8.75,8.875,50
36,8.75,8.875,80
42,9.0,9.125,50
36,9.0,9.125,90
42,9.25,9.375,80
42,9.5,9.625,80
38,9.5,9.625,100
42,9.75,9.875,50
36,9.75,9.875,90
42,10.0,10.125,50
36,10.0,10.125,90
42,10.25,10.375,80
42,10.5,10.625,80
38,10.5,10.625,100
42,10.75,10.875,50
36,10.75,10.875,80
42,11.0,11.125,50
36,11.0,11.125,100
42,11.25,11.375,90
36,11.25,11.375,90
42,11.5,11.625,80
38,11.5,11.625,100
42,11.75,11.875,50
36,11.75,11.875,80
42,12.0,12.125,50
36,12.0,12.125,90
42,12.25,12.375,80
42,12.5,12.625,80
38,12.5,12.625,100
42,12.75,12.875,50
36,12.75,12.875,80
42,13.0,13.125,50
36,13.0,13.125,90
42,13.25,13.375,80
42,13.5,13.625,80
38,13.5,13.625,100
42,13.75,13.875,50
42,14.0,14.125,50
36,14.0,14.125,90
42,14.25,14.375,80
42,14.5,14.625,80
38,14.5,14.625,100
42,14.75,14.875,50
36,14.75,14.875,80
42,15.0,15.125,50
36,15.0,15.125,100
42,15.25,15.375,90
